"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042742","GO:0042742","defense response to bacterium","4/10","314/18614",1.53984453087202e-05,0.000125452039721044,4.95801335017615e-05,"9636/4939/4938/4940",4
"GO:0032760","GO:0032760","positive regulation of tumor necrosis factor production","3/10","105/18614",2.03366258446027e-05,0.000160949867398713,6.36092958748476e-05,"4939/4938/4940",3
"GO:1903557","GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production","3/10","109/18614",2.27489696886901e-05,0.000175040683437977,6.91781534392916e-05,"4939/4938/4940",3
"GO:0071639","GO:0071639","positive regulation of monocyte chemotactic protein-1 production","2/10","15/18614",2.71742530241333e-05,0.000203439678045539,8.04017728167813e-05,"4938/4940",2
"GO:0045088","GO:0045088","regulation of innate immune response","4/10","373/18614",3.02850908860966e-05,0.000220762373038125,8.72479072618849e-05,"9636/4938/4940/55601",4
"GO:0002832","GO:0002832","negative regulation of response to biotic stimulus","3/10","125/18614",3.42766761783549e-05,0.000243452289779597,9.62152313778382e-05,"9636/4938/4940",3
"GO:0072567","GO:0072567","chemokine (C-X-C motif) ligand 2 production","2/10","18/18614",3.95627365614982e-05,0.000267289707988659,0.000105636061678968,"4938/4940",2
"GO:2000341","GO:2000341","regulation of chemokine (C-X-C motif) ligand 2 production","2/10","18/18614",3.95627365614982e-05,0.000267289707988659,0.000105636061678968,"4938/4940",2
"GO:0071605","GO:0071605","monocyte chemotactic protein-1 production","2/10","21/18614",5.42551240459725e-05,0.00034950393862173,0.000138128100386319,"4938/4940",2
"GO:0071637","GO:0071637","regulation of monocyte chemotactic protein-1 production","2/10","21/18614",5.42551240459725e-05,0.00034950393862173,0.000138128100386319,"4938/4940",2
"GO:0035458","GO:0035458","cellular response to interferon-beta","2/10","24/18614",7.12454470414174e-05,0.000448522473419832,0.000177261399337498,"4938/6772",2
"GO:0001959","GO:0001959","regulation of cytokine-mediated signaling pathway","3/10","165/18614",7.84078371000641e-05,0.000482643797260395,0.00019074655107384,"9636/4938/4940",3
"GO:0032682","GO:0032682","negative regulation of chemokine production","2/10","27/18614",9.05277472337131e-05,0.000533535871994437,0.000210859702403273,"4938/4940",2
"GO:0039529","GO:0039529","RIG-I signaling pathway","2/10","27/18614",9.05277472337131e-05,0.000533535871994437,0.000210859702403273,"4940/55601",2
"GO:0060759","GO:0060759","regulation of response to cytokine stimulus","3/10","177/18614",9.65810226855728e-05,0.000557352985081326,0.000220272507879377,"9636/4938/4940",3
"GO:0032640","GO:0032640","tumor necrosis factor production","3/10","185/18614",0.000110109312240363,0.000610005589811609,0.000241081441536794,"4939/4938/4940",3
"GO:0032680","GO:0032680","regulation of tumor necrosis factor production","3/10","185/18614",0.000110109312240363,0.000610005589811609,0.000241081441536794,"4939/4938/4940",3
"GO:0002221","GO:0002221","pattern recognition receptor signaling pathway","3/10","189/18614",0.000117314689215691,0.000620840101599319,0.000245363369053122,"4938/4940/55601",3
"GO:0071706","GO:0071706","tumor necrosis factor superfamily cytokine production","3/10","190/18614",0.000119162968343918,0.000620840101599319,0.000245363369053122,"4939/4938/4940",3
"GO:1903555","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","3/10","190/18614",0.000119162968343918,0.000620840101599319,0.000245363369053122,"4939/4938/4940",3
"GO:0050777","GO:0050777","negative regulation of immune response","3/10","191/18614",0.000121030200311781,0.000620840101599319,0.000245363369053122,"9636/4938/4940",3
"GO:0035456","GO:0035456","response to interferon-beta","2/10","32/18614",0.000127742045832097,0.000643355394463468,0.000254261679742355,"4938/6772",2
"GO:0045648","GO:0045648","positive regulation of erythrocyte differentiation","2/10","34/18614",0.000144399631814885,0.000714262464512913,0.000282284994525339,"9636/6772",2
"GO:0002758","GO:0002758","innate immune response-activating signaling pathway","3/10","209/18614",0.00015798251610187,0.0007677395957933,0.000303419790851238,"4938/4940/55601",3
"GO:0002218","GO:0002218","activation of innate immune response","3/10","233/18614",0.00021773533375409,0.00103987392154971,0.000410970502911532,"4938/4940/55601",3
"GO:0045646","GO:0045646","regulation of erythrocyte differentiation","2/10","47/18614",0.000277211081311089,0.00130148253429105,0.000514361328391673,"9636/6772",2
"GO:0031348","GO:0031348","negative regulation of defense response","3/10","284/18614",0.000389528962025439,0.00179832537468411,0.00071071950966045,"9636/4938/4940",3
"GO:0030522","GO:0030522","intracellular receptor signaling pathway","3/10","299/18614",0.000452875853747532,0.00204318952667606,0.00080749272572415,"4938/4940/55601",3
"GO:0045089","GO:0045089","positive regulation of innate immune response","3/10","300/18614",0.000457320399472619,0.00204318952667606,0.00080749272572415,"4938/4940/55601",3
"GO:0002833","GO:0002833","positive regulation of response to biotic stimulus","3/10","327/18614",0.0005882037156452,0.00258622903545588,0.00102210837806351,"4938/4940/55601",3
"GO:0032722","GO:0032722","positive regulation of chemokine production","2/10","70/18614",0.000615231565119946,0.00266279911778477,0.00105236978244201,"4938/4940",2
"GO:0032642","GO:0032642","regulation of chemokine production","2/10","98/18614",0.00120116598363274,0.00511881503794259,0.00202301639348672,"4938/4940",2
"GO:0032602","GO:0032602","chemokine production","2/10","99/18614",0.00122558085579063,0.00513277000480833,0.00202853156184711,"4938/4940",2
"GO:0002757","GO:0002757","immune response-activating signaling pathway","3/10","423/18614",0.00124150032607277,0.00513277000480833,0.00202853156184711,"4938/4940/55601",3
"GO:0045639","GO:0045639","positive regulation of myeloid cell differentiation","2/10","103/18614",0.00132562297756417,0.00539996418801875,0.00213412987100114,"9636/6772",2
"GO:0031349","GO:0031349","positive regulation of defense response","3/10","441/18614",0.001400037474386,0.00562044029572352,0.00222126464280922,"4938/4940/55601",3
"GO:0032102","GO:0032102","negative regulation of response to external stimulus","3/10","446/18614",0.0014462475819267,0.00572300828848137,0.00226180072962973,"9636/4938/4940",3
"GO:0002764","GO:0002764","immune response-regulating signaling pathway","3/10","450/18614",0.00148390592331039,0.00578932310925322,0.00228800913305087,"4938/4940/55601",3
"GO:0002683","GO:0002683","negative regulation of immune system process","3/10","487/18614",0.00186205585465806,0.00716374266305947,0.00283119603632219,"9636/4938/4940",3
"GO:0002253","GO:0002253","activation of immune response","3/10","495/18614",0.00195107157165144,0.00740338116914312,0.00292590401516582,"4938/4940/55601",3
"GO:0030218","GO:0030218","erythrocyte differentiation","2/10","130/18614",0.00209968191092687,0.00785962012603708,0.00310621506026166,"9636/6772",2
"GO:0034101","GO:0034101","erythrocyte homeostasis","2/10","139/18614",0.00239548539232004,0.0088473260489687,0.00349656815159698,"9636/6772",2
"GO:0002262","GO:0002262","myeloid cell homeostasis","2/10","171/18614",0.00359715616746719,0.0131106876103738,0.0051814991885954,"9636/6772",2
"GO:0072203","GO:0072203","cell proliferation involved in metanephros development","1/10","10/18614",0.00536062422820838,0.0190370886053041,0.00752368312731,"6772",1
"GO:1900246","GO:1900246","positive regulation of RIG-I signaling pathway","1/10","10/18614",0.00536062422820838,0.0190370886053041,0.00752368312731,"55601",1
"GO:0045637","GO:0045637","regulation of myeloid cell differentiation","2/10","214/18614",0.00557123634297487,0.0195345881899246,0.00772030086168403,"9636/6772",2
"GO:0030167","GO:0030167","proteoglycan catabolic process","1/10","11/18614",0.00589526160499376,0.0199144812754058,0.00787043911321375,"2817",1
"GO:0071609","GO:0071609","chemokine (C-C motif) ligand 5 production","1/10","11/18614",0.00589526160499376,0.0199144812754058,0.00787043911321375,"4940",1
"GO:0071649","GO:0071649","regulation of chemokine (C-C motif) ligand 5 production","1/10","11/18614",0.00589526160499376,0.0199144812754058,0.00787043911321375,"4940",1
"GO:0003337","GO:0003337","mesenchymal to epithelial transition involved in metanephros morphogenesis","1/10","12/18614",0.00642964032799309,0.0209530631865187,0.00828089899828212,"6772",1
"GO:0051095","GO:0051095","regulation of helicase activity","1/10","12/18614",0.00642964032799309,0.0209530631865187,0.00828089899828212,"3434",1
"GO:0072182","GO:0072182","regulation of nephron tubule epithelial cell differentiation","1/10","12/18614",0.00642964032799309,0.0209530631865187,0.00828089899828212,"6772",1
"GO:0072160","GO:0072160","nephron tubule epithelial cell differentiation","1/10","14/18614",0.00749762225753725,0.0241493182016025,0.00954409687617961,"6772",1
"GO:0072075","GO:0072075","metanephric mesenchyme development","1/10","15/18614",0.00803122568643111,0.025280108126607,0.00999099846158894,"6772",1
"GO:0072283","GO:0072283","metanephric renal vesicle morphogenesis","1/10","15/18614",0.00803122568643111,0.025280108126607,0.00999099846158894,"6772",1
"GO:2000696","GO:2000696","regulation of epithelial cell differentiation involved in kidney development","1/10","16/18614",0.00856457090623541,0.0266560240564855,0.0105347767504256,"6772",1
"GO:0034138","GO:0034138","toll-like receptor 3 signaling pathway","1/10","17/18614",0.0090976580280191,0.0273918616713184,0.01082558850016,"4938",1
"GO:0043129","GO:0043129","surfactant homeostasis","1/10","17/18614",0.0090976580280191,0.0273918616713184,0.01082558850016,"4938",1
"GO:0071360","GO:0071360","cellular response to exogenous dsRNA","1/10","17/18614",0.0090976580280191,0.0273918616713184,0.01082558850016,"3434",1
"GO:0051770","GO:0051770","positive regulation of nitric-oxide synthase biosynthetic process","1/10","18/18614",0.00963048716281045,0.0283792015329627,0.0112157969197345,"6772",1
"GO:0072077","GO:0072077","renal vesicle morphogenesis","1/10","18/18614",0.00963048716281045,0.0283792015329627,0.0112157969197345,"6772",1
"GO:0072074","GO:0072074","kidney mesenchyme development","1/10","19/18614",0.0101630584215956,0.029324658153979,0.0115894525860301,"6772",1
"GO:0072087","GO:0072087","renal vesicle development","1/10","19/18614",0.0101630584215956,0.029324658153979,0.0115894525860301,"6772",1
"GO:0039535","GO:0039535","regulation of RIG-I signaling pathway","1/10","20/18614",0.010695371915319,0.0296261802054336,0.0117086176757176,"55601",1
"GO:0060231","GO:0060231","mesenchymal to epithelial transition","1/10","20/18614",0.010695371915319,0.0296261802054336,0.0117086176757176,"6772",1
"GO:0072234","GO:0072234","metanephric nephron tubule development","1/10","20/18614",0.010695371915319,0.0296261802054336,0.0117086176757176,"6772",1
"GO:2001014","GO:2001014","regulation of skeletal muscle cell differentiation","1/10","20/18614",0.010695371915319,0.0296261802054336,0.0117086176757176,"2817",1
"GO:0048872","GO:0048872","homeostasis of number of cells","2/10","304/18614",0.0109713912108227,0.0300898551029495,0.0118918674927104,"9636/6772",2
"GO:0032780","GO:0032780","negative regulation of ATP-dependent activity","1/10","22/18614",0.0117592260511479,0.0307292982657355,0.012144583012109,"3434",1
"GO:0051767","GO:0051767","nitric-oxide synthase biosynthetic process","1/10","22/18614",0.0117592260511479,0.0307292982657355,0.012144583012109,"6772",1
"GO:0051769","GO:0051769","regulation of nitric-oxide synthase biosynthetic process","1/10","22/18614",0.0117592260511479,0.0307292982657355,0.012144583012109,"6772",1
"GO:0071359","GO:0071359","cellular response to dsRNA","1/10","22/18614",0.0117592260511479,0.0307292982657355,0.012144583012109,"3434",1
"GO:0072111","GO:0072111","cell proliferation involved in kidney development","1/10","22/18614",0.0117592260511479,0.0307292982657355,0.012144583012109,"6772",1
"GO:0032288","GO:0032288","myelin assembly","1/10","23/18614",0.0122907669149325,0.0309503857766936,0.0122319594177318,"2817",1
"GO:0032727","GO:0032727","positive regulation of interferon-alpha production","1/10","23/18614",0.0122907669149325,0.0309503857766936,0.0122319594177318,"6772",1
"GO:0072170","GO:0072170","metanephric tubule development","1/10","23/18614",0.0122907669149325,0.0309503857766936,0.0122319594177318,"6772",1
"GO:0072243","GO:0072243","metanephric nephron epithelium development","1/10","23/18614",0.0122907669149325,0.0309503857766936,0.0122319594177318,"6772",1
"GO:0002053","GO:0002053","positive regulation of mesenchymal cell proliferation","1/10","24/18614",0.0128220504570147,0.0314310440406466,0.0124219212625014,"6772",1
"GO:0040037","GO:0040037","negative regulation of fibroblast growth factor receptor signaling pathway","1/10","24/18614",0.0128220504570147,0.0314310440406466,0.0124219212625014,"2817",1
"GO:0072202","GO:0072202","cell differentiation involved in metanephros development","1/10","24/18614",0.0128220504570147,0.0314310440406466,0.0124219212625014,"6772",1
"GO:0060333","GO:0060333","type II interferon-mediated signaling pathway","1/10","25/18614",0.0133530767881301,0.0321634980027135,0.0127113957525449,"6772",1
"GO:0072273","GO:0072273","metanephric nephron morphogenesis","1/10","25/18614",0.0133530767881301,0.0321634980027135,0.0127113957525449,"6772",1
"GO:0072207","GO:0072207","metanephric epithelium development","1/10","27/18614",0.0144143582601921,0.0344204934316656,0.0136033871058074,"6772",1
"GO:0032607","GO:0032607","interferon-alpha production","1/10","29/18614",0.0154746122161706,0.0363259964735531,0.0143564645002832,"6772",1
"GO:0032647","GO:0032647","regulation of interferon-alpha production","1/10","29/18614",0.0154746122161706,0.0363259964735531,0.0143564645002832,"6772",1
"GO:0001818","GO:0001818","negative regulation of cytokine production","2/10","371/18614",0.0160388066635485,0.0373340289563272,0.0147548508890672,"4938/4940",2
"GO:0002230","GO:0002230","positive regulation of defense response to virus by host","1/10","31/18614",0.0165338395404487,0.0378501946504488,0.0149588456912281,"6772",1
"GO:0010464","GO:0010464","regulation of mesenchymal cell proliferation","1/10","31/18614",0.0165338395404487,0.0378501946504488,0.0149588456912281,"6772",1
"GO:0003338","GO:0003338","metanephros morphogenesis","1/10","32/18614",0.017063068491888,0.0384265851402681,0.0151866420466953,"6772",1
"GO:0045070","GO:0045070","positive regulation of viral genome replication","1/10","32/18614",0.017063068491888,0.0384265851402681,0.0151866420466953,"3434",1
"GO:0090183","GO:0090183","regulation of kidney development","1/10","33/18614",0.0175920411167444,0.0392983499140177,0.0155311738212344,"6772",1
"GO:0006516","GO:0006516","glycoprotein catabolic process","1/10","34/18614",0.0181207575253785,0.0401555986762386,0.0158699686959104,"2817",1
"GO:0014037","GO:0014037","Schwann cell differentiation","1/10","37/18614",0.0197053705569322,0.0427368124505835,0.0168900949833201,"2817",1
"GO:0044273","GO:0044273","sulfur compound catabolic process","1/10","37/18614",0.0197053705569322,0.0427368124505835,0.0168900949833201,"2817",1
"GO:1903706","GO:1903706","regulation of hemopoiesis","2/10","415/18614",0.0198226246737893,0.0427368124505835,0.0168900949833201,"9636/6772",2
"GO:0010742","GO:0010742","macrophage derived foam cell differentiation","1/10","38/18614",0.020233063203454,0.0427368124505835,0.0168900949833201,"6772",1
"GO:0040036","GO:0040036","regulation of fibroblast growth factor receptor signaling pathway","1/10","38/18614",0.020233063203454,0.0427368124505835,0.0168900949833201,"2817",1
"GO:0140894","GO:0140894","endolysosomal toll-like receptor signaling pathway","1/10","38/18614",0.020233063203454,0.0427368124505835,0.0168900949833201,"4938",1
"GO:0030099","GO:0030099","myeloid cell differentiation","2/10","421/18614",0.0203655568356571,0.0427368124505835,0.0168900949833201,"9636/6772",2
"GO:0090077","GO:0090077","foam cell differentiation","1/10","39/18614",0.020760500184933,0.0432380342197477,0.0170881837691574,"6772",1
"GO:0072210","GO:0072210","metanephric nephron development","1/10","41/18614",0.0218146075931708,0.0450943753978232,0.0178218318121741,"6772",1
"GO:0007595","GO:0007595","lactation","1/10","42/18614",0.0223412782400276,0.0451717815510048,0.0178524236416663,"4939",1
"GO:0032733","GO:0032733","positive regulation of interleukin-10 production","1/10","42/18614",0.0223412782400276,0.0451717815510048,0.0178524236416663,"9636",1
"GO:0050691","GO:0050691","regulation of defense response to virus by host","1/10","42/18614",0.0223412782400276,0.0451717815510048,0.0178524236416663,"6772",1
"GO:0010463","GO:0010463","mesenchymal cell proliferation","1/10","43/18614",0.022867693662039,0.0452453653170343,0.0178815048184365,"6772",1
"GO:0030501","GO:0030501","positive regulation of bone mineralization","1/10","43/18614",0.022867693662039,0.0452453653170343,0.0178815048184365,"9636",1
"GO:0034142","GO:0034142","toll-like receptor 4 signaling pathway","1/10","43/18614",0.022867693662039,0.0452453653170343,0.0178815048184365,"4938",1
"GO:0062208","GO:0062208","positive regulation of pattern recognition receptor signaling pathway","1/10","45/18614",0.0239197592712682,0.0469913001286617,0.0185715189564158,"55601",1
"GO:0035850","GO:0035850","epithelial cell differentiation involved in kidney development","1/10","48/18614",0.0254959462460657,0.0497350500715506,0.0196558814647207,"6772",1
