"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BM2_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
3.0978075,10.09404625,59.0289563614548,6.71595469986766e-11,2.8977577173429e-08,15.9951804083421,"CMPK2_HUMAN",26,62.1449124806883,1.45074256587089e-11,6.25957239737345e-09,3.0978075,"Up in D",8.20345533321193,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
3.311175,14.3215625,57.2817650747189,8.32652715030608e-11,3.41304347891046e-08,15.7963953725144,"OAS3_HUMAN",45,60.9058491554518,1.69022687828819e-11,6.9282399741033e-09,3.311175,"Up in D",8.15937707803114,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
1.3047,11.17975,53.2478662961152,1.40382874262775e-10,5.23117637821012e-08,15.3043583798483,"TAP1_HUMAN",24,59.9270322587399,1.9112645907025e-11,7.46121291170434e-09,1.3047,"Up in D",8.12719056689165,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN"
1.08355,11.95175,45.1724873690581,4.54931625025682e-10,1.33197480784305e-07,14.1553405211748,"PML_HUMAN",44,58.0016576932636,2.44847727368659e-11,9.12391667712849e-09,1.08355,"Up in D",8.03981868950987,"PML","Protein PML","PML_HUMAN"
2.567845,10.2468025,52.0854428227314,1.64386875394844e-10,5.8593200195084e-08,15.1532913867167,"IFIH1_HUMAN",45,56.0815225956906,3.1606807238188e-11,1.09057582697565e-08,2.567845,"Up in D",7.96234413284343,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
1.771875,11.4815875,50.3523931525554,2.09388650602246e-10,7.15236732348839e-08,14.9196990881715,"STAT2_HUMAN",35,56.0070141666868,3.1927079589431e-11,1.09057582697565e-08,1.771875,"Up in D",7.96234413284343,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN"
1.372,11.071575,55.7927321063648,1.00529338959168e-10,3.92447390851076e-08,15.6203437807049,"T23O_HUMAN",17,55.6226367196304,3.36387680098713e-11,1.1030824805797e-08,1.372,"Up in D",7.95739201292574,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN"
1.3429,11.77395,46.7824474916313,3.54207491349258e-10,1.07547889410415e-07,14.4042781560691,"TAP2_HUMAN",22,50.376169334517,7.12930597944459e-11,2.2479250161341e-08,1.3429,"Up in D",7.64821817958977,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN"
2.4101825,9.74413375,48.5653956635134,2.71111563584492e-10,8.89029039306267e-08,14.6677199267644,"IRF9_HUMAN",16,49.2604206642861,8.44832101066847e-11,2.56516057946149e-08,2.4101825,"Up in D",7.59088544279733,"IRF9","Interferon regulatory factor 9","IRF9_HUMAN"
-1.8638,13.636425,-46.9582654483909,3.44837291783953e-10,1.07547889410415e-07,14.4308146063315,"FGL1_HUMAN",17,-47.7447876923568,1.0705847413604e-10,3.13451918202592e-08,-1.8638,"Up in BM2",7.50382906810528,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
1.198625,11.8094625,42.1750987995035,7.42958931236534e-10,2.10026804078521e-07,13.6613463315543,"5NT3A_HUMAN",23,45.9094631899813,1.44079090708974e-10,4.07296684700749e-08,1.198625,"Up in D",7.39008912495459,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN"
0.868975000000002,11.1146875,34.3324648444125,3.22550796753941e-09,6.91873039505917e-07,12.1414800715033,"PAR14_HUMAN",91,45.5038494965724,1.54097934458919e-10,4.21098288898072e-08,0.868975000000002,"Up in D",7.37561652329984,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN"
-0.771225000000001,13.0961125,-31.6142701192763,5.80582963501244e-09,1.05769314106293e-06,11.5188010994293,"FAT1_HUMAN",153,-43.9269556029882,2.01284881979991e-10,5.3230111692644e-08,-0.771225000000001,"Up in BM2",7.27384262254699,"FAT1","Protocadherin Fat 1","FAT1_HUMAN"
0.939775000000004,10.5416375,34.8381128275631,2.90620245625381e-09,6.80715649610534e-07,12.2511558105989,"PAR10_HUMAN",43,42.2418749881473,2.70674532802063e-10,6.93434318722286e-08,0.939775000000004,"Up in D",7.15899466850181,"PARP10","Protein mono-ADP-ribosyltransferase PARP10","PAR10_HUMAN"
0.976749999999999,10.940475,33.2405559830047,4.06118503298563e-09,7.92704640486101e-07,11.8982555599196,"RN213_HUMAN",232,41.3911970800542,3.15743589212752e-10,7.8438361950489e-08,0.976749999999999,"Up in D",7.10547148439859,"RNF213","E3 ubiquitin-protein ligase RNF213","RN213_HUMAN"
-0.542100000000001,11.497925,-25.4381093979805,2.72357149263366e-08,3.66030149124767e-06,9.85242386864214,"VP13C_HUMAN",153,-40.9446422439993,3.4276322791173e-10,8.06632764359146e-08,-0.542100000000001,"Up in BM2",7.09332414150099,"VPS13C","Intermembrane lipid transfer protein VPS13C","VP13C_HUMAN"
1.430975,11.6755625,38.423809282699,1.44480594473473e-09,3.82081262417267e-07,12.9798497432649,"E2AK2_HUMAN",23,40.8355109403148,3.49757932737067e-10,8.06632764359146e-08,1.430975,"Up in D",7.09332414150099,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN"
1.09345,16.392,40.6828742548947,9.60921301323327e-10,2.62587760941621e-07,13.3992531005002,"HLAA_HUMAN",17,40.7672082430213,3.54217852121606e-10,8.06632764359146e-08,1.09345,"Up in D",7.09332414150099,"HLA-A","HLA class I histocompatibility antigen, A alpha chain","HLAA_HUMAN"
1.156065,10.0544175,34.8442104801963,2.90257800653141e-09,6.80715649610534e-07,12.2524673029248,"TDRD7_HUMAN",52,40.133735884167,3.98792362631075e-10,8.83594537526905e-08,1.156065,"Up in D",7.05374697764584,"TDRD7","Tudor domain-containing protein 7","TDRD7_HUMAN"
1.59221,10.25442,34.2351894824425,3.29141846068928e-09,6.91873039505917e-07,12.1201700356589,"GBP4_HUMAN",27,36.3495971397073,8.43533899620174e-10,1.81981339712794e-07,1.59221,"Up in D",6.73997314209868,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN"
2.121825,12.9257875,36.5313179211177,2.07170009758086e-09,5.30743668748996e-07,12.6055616413451,"UB2L6_HUMAN",12,35.9638818217918,9.14389650025497e-10,1.92209393613052e-07,2.121825,"Up in D",6.71622539140929,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
1.8125075,10.96959625,32.9549556903916,4.31876313690498e-09,8.23377213868535e-07,11.8331460229038,"SLFN5_HUMAN",37,35.0202185327496,1.1179495772925e-09,2.25137376301185e-07,1.8125075,"Up in D",6.64755239938475,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
0.727475000000002,13.1317125,29.6296432823356,9.21135631752572e-09,1.48068037433482e-06,11.0251811132349,"HOIL1_HUMAN",29,34.9871459083026,1.12596150626355e-09,2.25137376301185e-07,0.727475000000002,"Up in D",6.64755239938475,"RBCK1","RanBP-type and C3HC4-type zinc finger-containing protein 1","HOIL1_HUMAN"
0.737600000000002,11.9241,28.138908655371,1.329847549126e-08,2.09655580917979e-06,10.6298916454604,"DTX3L_HUMAN",43,34.5151419565277,1.24768113311456e-09,2.43535474506503e-07,0.737600000000002,"Up in D",6.61343776849335,"DTX3L","E3 ubiquitin-protein ligase DTX3L","DTX3L_HUMAN"
1.747595,9.4472275,34.3355065288971,3.22347139226199e-09,6.91873039505917e-07,12.1421453037608,"HLAF_HUMAN",14,34.2580400098472,1.32020311678286e-09,2.51698259334556e-07,1.747595,"Up in D",6.59911978788434,"HLA-F","HLA class I histocompatibility antigen, alpha chain F","HLAF_HUMAN"
0.723899999999999,11.679025,27.1931557067012,1.69569843245418e-08,2.49649943744954e-06,10.3671315930881,"DSRAD_HUMAN",59,34.0967260869826,1.36813592494695e-09,2.54908598016252e-07,0.723899999999999,"Up in D",6.59361551561728,"ADAR","Double-stranded RNA-specific adenosine deaminase","DSRAD_HUMAN"
-0.401175,12.5705625,-19.5686404781001,1.7429975898745e-07,1.55108676011147e-05,7.81185412243718,"LRP1_HUMAN",189,-33.843106080152,1.44752983443175e-09,2.6370776850381e-07,-0.401175,"Non-significant",6.57887707624129,"LRP1","Prolow-density lipoprotein receptor-related protein 1","LRP1_HUMAN"
-2.63402,10.39669,-32.3034960595482,4.97901775099397e-09,9.27681534605649e-07,11.682225632076,"TSP4_HUMAN",21,-33.3991885967746,1.59936435005818e-09,2.85034542212543e-07,-2.63402,"Up in BM2",6.54510250636596,"THBS4","Thrombospondin-4","TSP4_HUMAN"
0.714499999999997,15.06185,30.2155029795829,8.01314610507321e-09,1.36857857852896e-06,11.1746071980518,"GBP1_HUMAN",22,33.2827720086006,1.64210957757906e-09,2.86425836531768e-07,0.714499999999997,"Up in D",6.54298780983802,"GBP1","Guanylate-binding protein 1","GBP1_HUMAN"
0.91375,12.035025,29.6907427683978,9.07730730164049e-09,1.48068037433482e-06,11.0409157888472,"RO52_HUMAN",27,32.8878781738221,1.79702606272149e-09,3.06917076295641e-07,0.91375,"Up in D",6.51297894755823,"TRIM21","E3 ubiquitin-protein ligase TRIM21","RO52_HUMAN"
1.534975,11.0491875,35.1490206696961,2.72779041567786e-09,6.77649267506881e-07,12.3176942338332,"NAT8_HUMAN",11,32.7245141813313,1.86589514372496e-09,3.12175681393005e-07,1.534975,"Up in D",6.50560093166497,"NAT8","N-acetyltransferase 8","NAT8_HUMAN"
0.801624999999998,11.5523875,27.821354368632,1.44160698697773e-08,2.18857297763768e-06,10.5427440404979,"PARP9_HUMAN",37,32.4911424783841,1.96951611083734e-09,3.19595652868294e-07,0.801624999999998,"Up in D",6.49539913658005,"PARP9","Protein mono-ADP-ribosyltransferase PARP9","PARP9_HUMAN"
-0.450875,17.0392375,-22.6499172795145,6.20251511004183e-08,7.16172096790464e-06,8.95189735918616,"SBP1_HUMAN",39,-32.4505119219226,1.98821399076397e-09,3.19595652868294e-07,-0.450875,"Non-significant",6.49539913658005,"SELENBP1","Methanethiol oxidase","SBP1_HUMAN"
0.995520000000001,8.731465,27.8513343325003,1.43061092464878e-08,2.18857297763768e-06,10.5510174977598,"TRNK1_HUMAN",78,31.9336252990217,2.24447458177189e-09,3.52185973499651e-07,0.995520000000001,"Up in D",6.4532279446578,"TRANK1","TPR and ankyrin repeat-containing protein 1","TRNK1_HUMAN"
1.214465,10.4634925,30.015033904169,8.40196213784916e-09,1.40569970624668e-06,11.1238380379769,"IFIT5_HUMAN",24,31.873050322358,2.27687931147615e-09,3.52185973499651e-07,1.214465,"Up in D",6.4532279446578,"IFIT5","Interferon-induced protein with tetratricopeptide repeats 5","IFIT5_HUMAN"
0.861775,11.7094375,31.0711943408008,6.56835158099335e-09,1.17059448393442e-06,11.3872092856678,"APOL3_HUMAN",18,31.7677193287553,2.3344940851595e-09,3.5441078722477e-07,0.861775,"Up in D",6.4504930679337,"APOL3","Apolipoprotein L3","APOL3_HUMAN"
5.298075,8.0256875,30.4033025959859,7.66739195183659e-09,1.33738891959907e-06,11.2218321883947,"UBP18_HUMAN",10,31.0182431425609,2.79547448850224e-09,4.1667817921348e-07,5.298075,"Up in D",6.38019924227205,"USP18","Ubl carboxyl-terminal hydrolase 18","UBP18_HUMAN"
-0.939614999999998,10.4906425,-27.1038729655968,1.73579492479414e-08,2.49649943744954e-06,10.3418179798804,"TRFL_HUMAN",33,-30.092550213467,3.51345286274266e-09,5.14344403013649e-07,-0.939614999999998,"Up in BM2",6.2887459817038,"LTF","Lactotransferrin","TRFL_HUMAN"
-0.431349999999998,12.579825,-21.8166930726909,8.08645920297668e-08,8.83903900613371e-06,8.66014771020916,"PROS_HUMAN",30,-28.6873905744661,5.03890241544599e-09,7.247179298566e-07,-0.431349999999998,"Non-significant",6.13983099390256,"PROS1","Vitamin K-dependent protein S","PROS_HUMAN"
0.574325000000002,16.2298125,23.0968556309538,5.40096904297461e-08,6.41697742236317e-06,9.10382883375288,"AMPL_HUMAN",38,28.5182312991561,5.26860036771254e-09,7.44689410594956e-07,0.574325000000002,"Up in D",6.12802482173455,"LAP3","Cytosol aminopeptidase","AMPL_HUMAN"
0.616,12.149225,23.5318761746322,4.73215193381211e-08,5.87790629596844e-06,9.24879003287134,"AMPE_HUMAN",38,28.4532497461372,5.35996635221802e-09,7.44762782296328e-07,0.616,"Up in D",6.12798203429201,"ENPEP","Glutamyl aminopeptidase","AMPE_HUMAN"
0.63805,13.477275,24.149298661948,3.93848255529753e-08,4.96733538281987e-06,9.44978223460592,"CN37_HUMAN",30,28.0944644569699,5.89784179519577e-09,8.05841783950249e-07,0.63805,"Up in D",6.09375021762702,"CNP","2',3'-cyclic-nucleotide 3'-phosphodiesterase","CN37_HUMAN"
1.574625,12.0992125,34.6769383089927,3.00389914676753e-09,6.84054589033338e-07,12.2163948720756,"BST2_HUMAN",7,27.4723089724451,6.98171033958344e-09,9.35836483242829e-07,1.574625,"Up in D",6.02880002800236,"BST2","Bone marrow stromal antigen 2","BST2_HUMAN"
-0.535775000000001,10.6838625,-21.1231097481765,1.01615345266993e-07,1.06095840035946e-05,8.40836898091038,"AKA12_HUMAN",66,-27.404877381888,7.11214604011299e-09,9.35836483242829e-07,-0.535775000000001,"Up in BM2",6.02880002800236,"AKAP12","A-kinase anchor protein 12","AKA12_HUMAN"
1.447595,9.4104525,27.1165761317639,1.73002466906631e-08,2.49649943744954e-06,10.3454250793167,"TREX1_HUMAN",15,27.3644242111543,7.19171730230522e-09,9.35836483242829e-07,1.447595,"Up in D",6.02880002800236,"TREX1","Three-prime repair exonuclease 1","TREX1_HUMAN"
0.991400000000001,11.935675,24.6797115604152,3.37607180496157e-08,4.46403817049596e-06,9.61817869859279,"NUB1_HUMAN",27,26.4906905843094,9.1821375117909e-09,1.17617442690097e-06,0.991400000000001,"Up in D",5.92952826752583,"NUB1","NEDD8 ultimate buster 1","NUB1_HUMAN"
-0.729825000000002,11.8105875,-23.2505087506265,5.15315445782366e-08,6.21258238900564e-06,9.15535404383553,"A0AAG2UXZ5_HUMAN;COIA1_HUMAN",30,-26.0205474181082,1.05067960985774e-08,1.32514945255596e-06,-0.729825000000002,"Up in BM2",5.87773513851201,"COL18A1","Collagen type XVIII alpha 1 chain;Collagen alpha-1(XVIII) chain","A0AAG2UXZ5_HUMAN;COIA1_HUMAN"
-0.3538,14.30055,-16.3282443671276,6.21972880466929e-07,4.28481821350242e-05,6.39759791915818,"UTRN_HUMAN",162,-25.7431365707403,1.13891795645394e-08,1.3942817987871e-06,-0.3538,"Non-significant",5.85564944195543,"UTRN","Utrophin","UTRN_HUMAN"
5.2794975,8.64872625,25.7660463304714,2.48684227627511e-08,3.50285920084769e-06,9.95142646045777,"CXL10_HUMAN",5,25.712595353361,1.14913415714731e-08,1.3942817987871e-06,5.2794975,"Up in D",5.85564944195543,"CXCL10","C-X-C motif chemokine 10","CXL10_HUMAN"
0.747475000000001,11.7449375,22.5326574348508,6.43467205497374e-08,7.32658909814926e-06,8.91151915157121,"UBA7_HUMAN",43,25.690718474778,1.15651576381462e-08,1.3942817987871e-06,0.747475000000001,"Up in D",5.85564944195543,"UBA7","Ubiquitin-like modifier-activating enzyme 7","UBA7_HUMAN"
0.487224999999999,15.4068375,19.8127154367125,1.59710526167417e-07,1.45478543724499e-05,7.9086467590861,"AMPN_HUMAN",49,25.4404093976904,1.24490177362424e-08,1.47908764350312e-06,0.487224999999999,"Non-significant",5.83000609107272,"ANPEP","Aminopeptidase N","AMPN_HUMAN"
0.7942,13.61865,25.5666245235183,2.62786878750014e-08,3.59054471998769e-06,9.89138291588376,"PSB9_HUMAN",15,24.8584368902723,1.4815094315528e-08,1.73505918855284e-06,0.7942,"Up in D",5.76068570541291,"PSMB9","Proteasome subunit beta type-9","PSB9_HUMAN"
0.437825,13.7255875,19.8128510226137,1.59702817316252e-07,1.45478543724499e-05,7.90870019101934,"EHD4_HUMAN",31,24.781052911113,1.51664142238999e-08,1.75118681419058e-06,0.437825,"Non-significant",5.75666752150969,"EHD4","EH domain-containing protein 4","EHD4_HUMAN"
0.354775,11.8734625,17.0655795063035,4.56408403166379e-07,3.37084332356574e-05,6.74255220395955,"ITA6_HUMAN",48,24.729255616275,1.54068308543119e-08,1.75423887977291e-06,0.354775,"Non-significant",5.75591126780959,"ITGA6","Integrin alpha-6","ITA6_HUMAN"
-0.899699999999999,10.9803,-24.2529262866887,3.82069931419567e-08,4.89407702777752e-06,9.48298664106466,"FSTL1_HUMAN",17,-24.6146707879085,1.59541335981459e-08,1.79167105804931e-06,-0.899699999999999,"Up in BM2",5.7467417216757,"FSTL1","Follistatin-related protein 1","FSTL1_HUMAN"
-2.2082325,8.69572625,-24.2935644212761,3.77560816771695e-08,4.89407702777752e-06,9.4959671631924,"AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",12,-24.5483695444178,1.62808330198076e-08,1.80365228508626e-06,-2.2082325,"Up in BM2",5.74384718365859,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN"
0.732875,14.8357125,23.0492064550188,5.48055289549548e-08,6.41851037675313e-06,9.08777768257131,"APOL2_HUMAN",21,24.3964744540805,1.70581926118668e-08,1.86430372409011e-06,0.732875,"Up in D",5.72948333288814,"APOL2","Apolipoprotein L2","APOL2_HUMAN"
-0.547000000000004,15.74075,-20.9873330085347,1.06352863689132e-07,1.08985097065438e-05,8.35808552948379,"APOE_HUMAN",29,-24.3539778016165,1.72831279618015e-08,1.86430372409011e-06,-0.547000000000004,"Up in BM2",5.72948333288814,"APOE","Apolipoprotein E","APOE_HUMAN"
0.666074999999999,11.2536375,21.2420024930634,9.76633373689773e-08,1.03979745422192e-05,8.45212763237031,"PCKGC_HUMAN",35,24.1561642304767,1.83752561433015e-08,1.95636818003617e-06,0.666074999999999,"Up in D",5.70854940951212,"PCK1","Phosphoenolpyruvate carboxykinase, cytosolic [GTP]","PCKGC_HUMAN"
0.616987499999999,9.82885625,20.7326139184559,1.15934618645612e-07,1.17337284402065e-05,8.26284603781171,"ECE1_HUMAN",28,23.2188251886219,2.47340337783389e-08,2.59961037070285e-06,0.616987499999999,"Up in D",5.58509173915764,"ECE1","Endothelin-converting enzyme 1","ECE1_HUMAN"
-1.07764,9.487115,-21.2597169213408,9.70896063983552e-08,1.03979745422192e-05,8.45862588815183,"PTPRF_HUMAN",57,-22.9333964520271,2.71397791746658e-08,2.80109540869725e-06,-1.07764,"Up in BM2",5.55267209832921,"PTPRF","Receptor-type tyrosine-protein phosphatase F","PTPRF_HUMAN"
-0.521425000000001,14.9782875,-18.321690365909,2.77128925943567e-07,2.14330465555223e-05,7.29748713279294,"CO3_HUMAN",111,-22.9115629813239,2.73344270182703e-08,2.80109540869725e-06,-0.521425000000001,"Up in BM2",5.55267209832921,"C3","Complement C3","CO3_HUMAN"
-0.534799999999994,17.0994,-18.2662498351978,2.83099825885368e-07,2.16762850156573e-05,7.27380697122938,"AHNK_HUMAN",315,-22.7929819894108,2.84195343705027e-08,2.87223931114955e-06,-0.534799999999994,"Up in BM2",5.54177937808507,"AHNAK","Neuroblast differentiation-associated protein AHNAK","AHNK_HUMAN"
-0.500225000000002,11.2278375,-18.4352539908415,2.65339766193168e-07,2.07167181262056e-05,7.34576961748118,"CBPD_HUMAN",54,-22.7600567357949,2.87294002822961e-08,2.87223931114955e-06,-0.500225000000002,"Up in BM2",5.54177937808507,"CPD","Carboxypeptidase D","CBPD_HUMAN"
-0.511600000000005,11.992725,-18.7828909277201,2.32647211240132e-07,1.85169110460835e-05,7.49173372233698,"PCSK6_HUMAN",41,-22.5793682637727,3.04993666885632e-08,3.01245551943183e-06,-0.511600000000005,"Up in BM2",5.52107935696742,"PCSK6","Proprotein convertase subtilisin/kexin type 6","PCSK6_HUMAN"
0.595649999999999,15.3201,19.8635222094263,1.56851268589182e-07,1.45478543724499e-05,7.92864279936043,"TYPH_HUMAN",30,22.4254604759715,3.21045700372483e-08,3.13325315673049e-06,0.595649999999999,"Up in D",5.50400451410987,"TYMP","Thymidine phosphorylase","TYPH_HUMAN"
0.764150000000001,11.77055,20.1261406311784,1.42969112932191e-07,1.39531046168822e-05,8.03117888131234,"PNPT1_HUMAN",42,22.3334162008782,3.3110079451435e-08,3.19336978050428e-06,0.764150000000001,"Up in D",5.49575078884105,"PNPT1","Polyribonucleotide nucleotidyltransferase 1, mitochondrial","PNPT1_HUMAN"
1.0572,10.341625,20.4514051287428,1.27672009800133e-07,1.2697555393219e-05,8.15630006813256,"CMTR1_HUMAN",42,21.8953522461592,3.84103261547562e-08,3.66148667228711e-06,1.0572,"Up in D",5.43634254234447,"CMTR1","Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1","CMTR1_HUMAN"
0.355024999999999,11.3220375,15.7364150416043,8.05228425042186e-07,5.22538698532468e-05,6.10944211835545,"ZCCHV_HUMAN",51,21.4815117087003,4.43131307945873e-08,4.17562122131066e-06,0.355024999999999,"Non-significant",5.37927890391277,"ZC3HAV1","Zinc finger CCCH-type antiviral protein 1","ZCCHV_HUMAN"
-0.441724999999998,16.8572625,-18.7872128695958,2.32270653076079e-07,1.85169110460835e-05,7.49353123954365,"GSTM1_HUMAN",24,-21.3230136197577,4.68401719583867e-08,4.3635878376688e-06,-0.441724999999998,"Non-significant",5.36015627739615,"GSTM1","Glutathione S-transferase Mu 1","GSTM1_HUMAN"
-0.952499999999997,11.881975,-19.8757642058802,1.56171057055022e-07,1.45478543724499e-05,7.9334531116094,"APOA5_HUMAN",23,-20.855459996724,5.52962252043046e-08,5.09346577780775e-06,-0.952499999999997,"Up in BM2",5.29298660745187,"APOA5","Apolipoprotein A-V","APOA5_HUMAN"
0.954525,12.3754625,19.9753177108227,1.50762364846508e-07,1.43715100815311e-05,7.97245964914009,"SP100_HUMAN",21,20.8169977703331,5.60653196237537e-08,5.10692766972814e-06,0.954525,"Up in D",5.29184029308638,"SP100","Nuclear autoantigen Sp-100","SP100_HUMAN"
