"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_BM2","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","BM2_vs_BD"
2.223455,10.2723975,82.9734293377823,5.44456817866463e-12,3.71954749405772e-09,18.4176541425524,"HELZ2_HUMAN",117,-108.385266573875,1.53946141399462e-13,1.1473186065389e-10,-2.223455,"Up in BD",9.94031596322545,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN",2.223455
5.00245,14.946875,92.3473535280141,2.52275431308782e-12,1.90774065200955e-09,19.0738099917237,"ISG15_HUMAN",15,-93.2040946342255,4.91636662190589e-13,3.35869779719871e-10,-5.00245,"Up in BD",9.47382907055944,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN",5.00245
1.856525,12.3382375,71.6811168032248,1.55765143194747e-11,7.51154496417963e-09,17.4679973078757,"PML_HUMAN",44,-88.8001645141489,7.13465005704746e-13,4.49922008982116e-10,-1.856525,"Up in BD",9.34686276178954,"PML","Protein PML","PML_HUMAN",1.856525
2.30015,12.252575,80.1549075645802,6.97940338881458e-12,4.40131915242323e-09,18.1985314556054,"TAP2_HUMAN",22,-85.8800433261288,9.22756617005926e-13,5.40339910443898e-10,-2.30015,"Up in BD",9.26733295353165,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN",2.30015
2.271275,11.6630375,77.0474118836757,9.272747759633e-12,5.42985615239081e-09,17.9437563818771,"TAP1_HUMAN",24,-83.9206817989555,1.10202721009866e-12,6.02294604559256e-10,-2.271275,"Up in BD",9.22019102728374,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN",2.271275
2.63716,10.776895,72.750614792402,1.40043364428138e-11,7.17547188488673e-09,17.5666671535483,"GBP4_HUMAN",27,-78.9086786553882,1.76973504811679e-12,9.06767995278841e-10,-2.63716,"Up in BD",9.04250381686388,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN",2.63716
3.9150075,10.50264625,73.433687997916,1.30949422268265e-11,7.15682242503492e-09,17.6286511604571,"CMPK2_HUMAN",26,-77.4693248839846,2.03892045598277e-12,9.56347330743604e-10,-3.9150075,"Up in BD",9.019384349952,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN",3.9150075
1.944275,12.1822875,70.971863559069,1.67299425176459e-11,7.61955937553672e-09,17.4014481123289,"5NT3A_HUMAN",23,-77.1734862161618,2.09981116777078e-12,9.56347330743604e-10,-1.944275,"Up in BD",9.019384349952,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN",1.944275
3.823325,14.5776375,68.8247289398995,2.08610035683714e-11,9.00097406597414e-09,17.1943674782305,"OAS3_HUMAN",45,-73.7053893009281,2.99057069726965e-12,1.18548737896768e-09,-3.823325,"Up in BD",8.92610306528248,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN",3.823325
1.395375,12.5389125,58.5351887786212,6.67409111534235e-11,2.27975829014902e-08,16.0689632774677,"AMPE_HUMAN",38,-73.6344985823099,3.01278330527455e-12,1.18548737896768e-09,-1.395375,"Up in BD",8.92610306528248,"ENPEP","Glutamyl aminopeptidase","AMPE_HUMAN",1.395375
3.34862,10.63719,67.8474093960853,2.31180531255985e-11,9.4760899761828e-09,17.0972143200541,"IFIH1_HUMAN",45,-73.3604284602267,3.10043000082076e-12,1.18548737896768e-09,-3.34862,"Up in BD",8.92610306528248,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN",3.34862
2.152675,11.5272375,62.7790768355932,4.0375855743166e-11,1.50455120628398e-08,16.5619815883641,"DDX60_HUMAN",75,-73.1150483065633,3.18135183426312e-12,1.18548737896768e-09,-2.152675,"Up in BD",8.92610306528248,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN",2.152675
1.35795,12.257125,57.3792158102018,7.7016183972845e-11,2.52551470483753e-08,15.9267935194533,"RO52_HUMAN",27,-66.8490949124906,6.3358514436106e-12,2.25831783194433e-09,-1.35795,"Up in BD",8.64621493621712,"TRIM21","E3 ubiquitin-protein ligase TRIM21","RO52_HUMAN",1.35795
-0.864850000000004,16.7749,-41.354872475262,8.06899503568722e-10,1.18124323754578e-07,13.5070800127914,"AL1L1_HUMAN",79,65.5082235165758,7.40382368093116e-12,2.52902277234474e-09,0.864850000000004,"Up in BM2",8.59704726007468,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN",-0.864850000000004
1.5134625,10.27709375,56.4349971968309,8.67586762055405e-11,2.54017009833222e-08,15.8079892409565,"ECE1_HUMAN",28,-64.3657979211692,8.47603987592673e-12,2.77946299611389e-09,-1.5134625,"Up in BD",8.55603910348925,"ECE1","Endothelin-converting enzyme 1","ECE1_HUMAN",1.5134625
2.317775,11.7545375,56.4530203181192,8.65600377746141e-11,2.54017009833222e-08,15.8102800213572,"STAT2_HUMAN",35,-61.624903965156,1.18429956454908e-11,3.73418762698975e-09,-2.317775,"Up in BD",8.42780386439467,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN",2.317775
-1.15315,14.004875,-51.1861077341944,1.74820787763367e-10,4.09480233738309e-08,15.0998331894784,"AL8A1_HUMAN",26,59.7193346570995,1.50765787596639e-11,4.57769602487869e-09,1.15315,"Up in BM2",8.33935304938556,"ALDH8A1","2-aminomuconic semialdehyde dehydrogenase","AL8A1_HUMAN",-1.15315
-1.0072,14.72795,-43.7618174164744,5.379247204313e-10,9.18730595436624e-08,13.9347816441037,"ACOHC_HUMAN",48,58.513654053568,1.76348954819563e-11,5.16324547003848e-09,1.0072,"Up in BM2",8.28707722731593,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN",-1.0072
-0.972925000000004,18.5281375,-45.1004284230178,4.3341484916366e-10,8.26310449638067e-08,14.1611557420197,"ALDOB_HUMAN",33,57.7354952521555,1.95457286673292e-11,5.52537529706084e-09,0.972925000000004,"Up in BM2",8.25763821829314,"ALDOB","Fructose-bisphosphate aldolase B","ALDOB_HUMAN",-0.972925000000004
1.802225,12.7390875,53.4078386469129,1.28876092729523e-10,3.20159457029282e-08,15.4099109451296,"ANXA1_HUMAN",23,-57.0666516821334,2.13764830432037e-11,5.84148026627279e-09,-1.802225,"Up in BD",8.23347708610449,"ANXA1","Annexin A1","ANXA1_HUMAN",1.802225
1.76792499999999,16.7292375,56.6172759231516,8.47733979676149e-11,2.54017009833222e-08,15.8311155787986,"HLAA_HUMAN",17,-56.7507130586289,2.23080694121284e-11,5.89940493679446e-09,-1.76792499999999,"Up in BD",8.22919179271378,"HLA-A","HLA class I histocompatibility antigen, A alpha chain","HLAA_HUMAN",1.76792499999999
1.30495,11.908975,50.9349164679933,1.81101997861647e-10,4.12409494019384e-08,15.0637574045956,"5NTD_HUMAN",22,-55.0827086413573,2.80545657958663e-11,7.18722907482851e-09,-1.30495,"Up in BD",8.14343851287965,"NT5E","5'-nucleotidase","5NTD_HUMAN",1.30495
2.455,11.5092,60.399276230088,5.32891844472565e-11,1.89941188738525e-08,16.2909390386979,"NAT8_HUMAN",11,-54.8458344646919,2.89989526821995e-11,7.20404285117185e-09,-2.455,"Up in BD",8.14242371256931,"NAT8","N-acetyltransferase 8","NAT8_HUMAN",2.455
1.7639175,9.11566375,47.1522239576673,3.15023018095028e-10,6.79620711142905e-08,14.4934555955001,"TRNK1_HUMAN",78,-53.8318889323154,3.34686148835443e-11,8.06987367103813e-09,-1.7639175,"Up in BD",8.09313326384057,"TRANK1","TPR and ankyrin repeat-containing protein 1","TRNK1_HUMAN",1.7639175
1.3502,11.060675,54.343690253998,1.13769861251234e-10,3.00866233076649e-08,15.5358740805119,"T23O_HUMAN",17,-53.5271481132363,3.49604340327364e-11,8.18873252001065e-09,-1.3502,"Up in BD",8.08678331462104,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN",1.3502
2.6752325,11.40095875,49.4215231804749,2.24857884299164e-10,4.98212144725553e-08,14.8418102143955,"SLFN5_HUMAN",37,-52.780055767694,3.89461941062393e-11,8.86891386897083e-09,-2.6752325,"Up in BD",8.0521295627607,"SLFN5","Schlafen family member 5","SLFN5_HUMAN",2.6752325
2.86665,13.2982,53.6941993501133,1.24023754134987e-10,3.17733355124569e-08,15.4487383707559,"UB2L6_HUMAN",12,-52.2539346572989,4.2061318510167e-11,9.31942403098241e-09,-2.86665,"Up in BD",8.03061092754898,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN",2.86665
2.395325,10.4910375,63.0028892036007,3.93570634787044e-11,1.50455120628398e-08,16.5867922227337,"SYUG_HUMAN",9,-51.6116119244024,4.62528379667574e-11,9.97844120135466e-09,-2.395325,"Up in BD",8.00093729744258,"SNCG","Gamma-synuclein","SYUG_HUMAN",2.395325
-0.743224999999999,16.8930625,-36.4281945774602,2.0016625039871e-09,2.10379861637003e-07,12.5370464054448,"SBP1_HUMAN",39,50.8422931979685,5.19072754096218e-11,1.09111754822584e-08,0.743224999999999,"Up in BM2",7.96212845949795,"SELENBP1","Methanethiol oxidase","SBP1_HUMAN",-0.743224999999999
-1.191,10.98705,-44.6725949596053,4.64071190638601e-10,8.42718172698852e-08,14.0896552718396,"ACO12_HUMAN",27,50.6272092738499,5.36249751852449e-11,1.09904386642159e-08,1.191,"Up in BM2",7.95898497312279,"ACOT12","Acetyl-coenzyme A thioesterase","ACO12_HUMAN",-1.191
1.208125,11.9752625,42.1767678012166,7.00759407679632e-10,1.08392936304861e-07,13.6562411082213,"UBA7_HUMAN",43,-50.1864624662923,5.73492672273183e-11,1.1467055920233e-08,-1.208125,"Up in BD",7.94054806960685,"UBA7","Ubiquitin-like modifier-activating enzyme 7","UBA7_HUMAN",1.208125
1.3147,11.10945,41.0010836132655,8.58139547721137e-10,1.2129358641755e-07,13.4418367566098,"RN213_HUMAN",232,-49.7855143133966,6.09926591791013e-11,1.16435896607398e-08,-1.3147,"Up in BD",7.93391310821575,"RNF213","E3 ubiquitin-protein ligase RNF213","RN213_HUMAN",1.3147
0.894474999999998,15.1518375,44.6546821573716,4.65407584054689e-10,8.42718172698852e-08,14.0866444272094,"GBP1_HUMAN",22,-49.7770074159194,6.10727440121753e-11,1.16435896607398e-08,-0.894474999999998,"Up in BD",7.93391310821575,"GBP1","Guanylate-binding protein 1","GBP1_HUMAN",0.894474999999998
-1.023925,13.2506125,-44.5558576879001,4.728596724097e-10,8.42718172698852e-08,14.0700086070607,"BUP1_HUMAN",23,49.5521094441977,6.32336515103663e-11,1.1781578979136e-08,1.023925,"Up in BM2",7.92879650106234,"UPB1","Beta-ureidopropionase","BUP1_HUMAN",-1.023925
0.992050000000004,14.832425,39.1944544213427,1.18514176389231e-09,1.4766325706215e-07,13.0984901948478,"VIME_HUMAN",46,-49.3445641506032,6.530471378146e-11,1.18970676351202e-08,-0.992050000000004,"Up in BD",7.92456006943263,"VIM","Vimentin","VIME_HUMAN",0.992050000000004
0.917250000000003,16.401275,38.7010177762322,1.29772082670138e-09,1.54184280250694e-07,13.0016269831605,"AMPL_HUMAN",38,-48.8198831813389,7.08908596824013e-11,1.26339840799201e-08,-0.917250000000003,"Up in BD",7.89845967469566,"LAP3","Cytosol aminopeptidase","AMPL_HUMAN",0.917250000000003
0.871625,11.1160125,35.3504434434946,2.48166255430619e-09,2.36565925816304e-07,12.3054586132291,"PAR14_HUMAN",91,-48.1958923210529,7.82495864787535e-11,1.33317693302612e-08,-0.871625,"Up in BD",7.87511220922253,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN",0.871625
-1.110025,14.7193875,-41.0638338863839,8.48787052069954e-10,1.2129358641755e-07,13.4534549875926,"CP2C8_HUMAN",33,48.1328471169583,7.90398871251433e-11,1.33317693302612e-08,1.110025,"Up in BM2",7.87511220922253,"CYP2C8","Cytochrome P450 2C8","CP2C8_HUMAN",-1.110025
-0.734549999999999,15.9982,-32.0841486058149,4.96471712671868e-09,3.83969349102262e-07,11.5536956697107,"FAS_HUMAN",149,48.0819185538943,7.96848862140518e-11,1.33317693302612e-08,0.734549999999999,"Up in BM2",7.87511220922253,"FASN","Fatty acid synthase","FAS_HUMAN",-0.734549999999999
1.454025,10.7987625,41.8767532719428,7.37545204016117e-10,1.09979309575567e-07,13.6021780666964,"PAR10_HUMAN",43,-47.4445858325007,8.82802998842683e-11,1.44016716996792e-08,-1.454025,"Up in BD",7.84158709347364,"PARP10","Protein mono-ADP-ribosyltransferase PARP10","PAR10_HUMAN",1.454025
-1.046275,11.3889125,-38.2516346318869,1.41094339507964e-09,1.62914281026237e-07,12.9122077607378,"DPYD_HUMAN",55,47.3534314767675,8.95932247723396e-11,1.44016716996792e-08,1.046275,"Up in BM2",7.84158709347364,"DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","DPYD_HUMAN",-1.046275
-1.0759,16.092225,-40.3688043310534,9.59222376588461e-10,1.28913197430692e-07,13.3236397472666,"ALDOC_HUMAN",31,47.0094481672024,9.47502392405061e-11,1.49377396402629e-08,1.0759,"Up in BM2",7.82571511443689,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN",-1.0759
1.694465,10.3236175,41.8743702812881,7.37846063266184e-10,1.09979309575567e-07,13.6017468908432,"TDRD7_HUMAN",52,-46.573820383077,1.01769062319287e-10,1.57415617527078e-08,-1.694465,"Up in BD",7.80295218259092,"TDRD7","Tudor domain-containing protein 7","TDRD7_HUMAN",1.694465
-0.825350000000002,15.262125,-34.9613812571805,2.68618492545433e-09,2.49128953180014e-07,12.219954221311,"TRFE_HUMAN",51,46.401171147342,1.04711822933476e-10,1.57689817790519e-08,0.825350000000002,"Up in BM2",7.80219634865054,"TF","Serotransferrin","TRFE_HUMAN",-0.825350000000002
-0.621124999999999,14.0244375,-29.3275909955212,9.43239725017561e-09,6.23603166588223e-07,10.8523585502166,"LPPRC_HUMAN",87,46.2797592105068,1.06838823798313e-10,1.57689817790519e-08,0.621124999999999,"Up in BM2",7.80219634865054,"LRPPRC","Leucine-rich PPR motif-containing protein, mitochondrial","LPPRC_HUMAN",-0.621124999999999
0.689975,12.0410625,32.4617452620188,4.56633703951177e-09,3.6700814754821e-07,11.6447289129295,"ITA6_HUMAN",48,-46.1540176757132,1.09093265317223e-10,1.57689817790519e-08,-0.689975,"Up in BD",7.80219634865054,"ITGA6","Integrin alpha-6","ITA6_HUMAN",0.689975
1.10765,13.347975,38.3537706169913,1.38425423607121e-09,1.62115946104454e-07,12.9326331591153,"TSP1_HUMAN",50,-46.1239438049804,1.09640395389846e-10,1.57689817790519e-08,-1.10765,"Up in BD",7.80219634865054,"THBS1","Thrombospondin-1","TSP1_HUMAN",1.10765
-1.14815,11.41195,-46.4643355332844,3.50039619170587e-10,7.35801230246276e-08,14.3839554667485,"FADS1_HUMAN",17,45.7426700726614,1.16852487483587e-10,1.6516494696387e-08,1.14815,"Up in BM2",7.78208211776309,"FADS1","Acyl-CoA (8-3)-desaturase","FADS1_HUMAN",-1.14815
1.43485,12.615625,43.2013419965994,5.90000742463177e-10,9.87107364635332e-08,13.8376251940963,"SP100_HUMAN",21,-45.4912693488279,1.21900821188787e-10,1.66486920780112e-08,-1.43485,"Up in BD",7.77861987901135,"SP100","Nuclear autoantigen Sp-100","SP100_HUMAN",1.43485
1.770625,11.8453875,42.9626288992369,6.13906322092478e-10,1.00656080570283e-07,13.7958064321195,"E2AK2_HUMAN",23,-45.4106946086462,1.23570610690046e-10,1.66486920780112e-08,-1.770625,"Up in BD",7.77861987901135,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN",1.770625
1.733225,12.3065875,42.3009474044274,6.86148023270088e-10,1.08173874899388e-07,13.678490786652,"NUB1_HUMAN",27,-45.3958887506187,1.23880241126943e-10,1.66486920780112e-08,-1.733225,"Up in BD",7.77861987901135,"NUB1","NEDD8 ultimate buster 1","NUB1_HUMAN",1.733225
2.487645,9.8172525,45.1448753206441,4.30364414718276e-10,8.26310449638067e-08,14.1685388495787,"HLAF_HUMAN",14,-45.1993194652537,1.28075189202904e-10,1.69348451787968e-08,-2.487645,"Up in BD",7.77121876939441,"HLA-F","HLA class I histocompatibility antigen, alpha chain F","HLAF_HUMAN",2.487645
1.3610825,10.48038375,54.7555726333506,1.07768223106855e-10,3.00866233076649e-08,15.5904749793858,"AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",12,-44.7719068102373,1.37762027186172e-10,1.79265571249561e-08,-1.3610825,"Up in BD",7.74650311061664,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",1.3610825
1.64873,10.161435,40.6964599679246,9.05242005596143e-10,1.25782609523342e-07,13.3851492121489,"KPCD2_HUMAN",30,-44.0677744495742,1.55580482624078e-10,1.99288874461281e-08,-1.64873,"Up in BD",7.70051694562937,"PRKD2","Serine/threonine-protein kinase D2","KPCD2_HUMAN",1.64873
0.954424999999999,11.0650125,36.1781590063423,2.10282085113296e-09,2.12826238735654e-07,12.4839938567447,"TRFM_HUMAN",39,-43.7927327862095,1.63236519453508e-10,2.05878920996901e-08,-0.954424999999999,"Up in BD",7.68638811653572,"MELTF","Melanotransferrin","TRFM_HUMAN",0.954424999999999
1.3708025,9.64284875,39.1775983785535,1.18879909320589e-09,1.4766325706215e-07,13.0952037837666,"PHAR4_HUMAN",29,-42.9826636263974,1.88376320836507e-10,2.33986223972377e-08,-1.3708025,"Up in BD",7.63080971108942,"PHACTR4","Phosphatase and actin regulator 4","PHAR4_HUMAN",1.3708025
0.923550000000002,15.625,34.3539343069915,3.04508224207102e-09,2.65498715430177e-07,12.0843612432467,"AMPN_HUMAN",49,-42.3932730661532,2.09422882261227e-10,2.56246087877245e-08,-0.923550000000002,"Up in BD",7.5913427562827,"ANPEP","Aminopeptidase N","AMPN_HUMAN",0.923550000000002
-1.202325,13.2674625,-44.4120628830718,4.83946805244522e-10,8.44126789232892e-08,14.0457265270596,"GNMT_HUMAN",15,41.8809469063874,2.29893216194916e-10,2.77156556818518e-08,1.202325,"Up in BM2",7.55727484264822,"GNMT","Glycine N-methyltransferase","GNMT_HUMAN",-1.202325
2.7340575,9.90607125,40.4659198578209,9.42849855334809e-10,1.28824718567246e-07,13.3419292465235,"IRF9_HUMAN",16,-41.405366022728,2.5093755867541e-10,2.98142913916089e-08,-2.7340575,"Up in BD",7.52557550824919,"IRF9","Interferon regulatory factor 9","IRF9_HUMAN",2.7340575
-0.959044999999998,10.3539025,-32.8044724239969,4.2359967877296e-09,3.47267016658072e-07,11.7263761099184,"SYNE2_HUMAN",160,41.2444091366442,2.58546164515422e-10,3.02794493813919e-08,0.959044999999998,"Up in BM2",7.51885202655629,"SYNE2","Nesprin-2","SYNE2_HUMAN",-0.959044999999998
-0.711550000000003,15.870675,-31.7836339995603,5.31017017519409e-09,4.03081250891122e-07,11.4804210053303,"FTCD_HUMAN",36,40.8121027559886,2.80304622838709e-10,3.2365314056785e-08,0.711550000000003,"Up in BM2",7.48992017444963,"FTCD","Formimidoyltransferase-cyclodeaminase","FTCD_HUMAN",-0.711550000000003
1.20205,13.822575,42.7548792855956,6.35611658060069e-10,1.02171458289734e-07,13.7591955565392,"PSB9_HUMAN",15,-40.5690165100017,2.93443772578337e-10,3.34118339944056e-08,-1.20205,"Up in BD",7.47609968503862,"PSMB9","Proteasome subunit beta type-9","PSB9_HUMAN",1.20205
-0.848075,15.0658875,-36.3429315191293,2.0355221387512e-09,2.11230512575726e-07,12.5190003356295,"PBLD_HUMAN",23,40.3238301443934,3.07405420973482e-10,3.45220498786384e-08,0.848075,"Up in BM2",7.46190342429664,"PBLD","Phenazine biosynthesis-like domain-containing protein","PBLD_HUMAN",-0.848075
-1.209425,13.9478125,-35.6514692355966,2.33554425789064e-09,2.28461087809867e-07,12.370913160673,"CP2A6_HUMAN",38,40.2406503035909,3.12311173939895e-10,3.4599013567017e-08,1.209425,"Up in BM2",7.46093628295602,"CYP2A6","Cytochrome P450 2A6","CP2A6_HUMAN",-1.209425
7.9558225,9.98688875,40.0623489488456,1.01304874479664e-09,1.3395118725553e-07,13.2656000750162,"CXL10_HUMAN",5,-39.9671561881817,3.29075440652027e-10,3.59701394995376e-08,-7.9558225,"Up in BD",7.44405787789564,"CXCL10","C-X-C motif chemokine 10","CXL10_HUMAN",7.9558225
6.4683,8.6108,38.93957922323,1.24183944900564e-09,1.51949250790272e-07,13.0486282082647,"UBP18_HUMAN",10,-39.8232374410245,3.38303775821711e-10,3.64922941340314e-08,-6.4683,"Up in BD",7.43779883330753,"USP18","Ubl carboxyl-terminal hydrolase 18","UBP18_HUMAN",6.4683
1.14057500000001,13.7285375,35.3922282205074,2.4607712673586e-09,2.36565925816304e-07,12.3145805525475,"CN37_HUMAN",30,-39.4304579920448,3.6501294718517e-10,3.88620278055068e-08,-1.14057500000001,"Up in BD",7.41047454182771,"CNP","2',3'-cyclic-nucleotide 3'-phosphodiesterase","CN37_HUMAN",1.14057500000001
1.308875,12.0429125,35.0571903968461,2.63409439579861e-09,2.48210412146632e-07,12.241106208842,"PNPT1_HUMAN",42,-39.1472064486587,3.85753590694121e-10,3.96254624689005e-08,-1.308875,"Up in BD",7.40202565609231,"PNPT1","Polyribonucleotide nucleotidyltransferase 1, mitochondrial","PNPT1_HUMAN",1.308875
0.959117499999998,9.31866625,39.8044250735698,1.06102661207273e-09,1.38068193107496e-07,13.2163643654104,"ANXA8_HUMAN",17,-39.0907494385592,3.9004481203699e-10,3.96254624689005e-08,-0.959117499999998,"Up in BD",7.40202565609231,"ANXA8","Annexin A8","ANXA8_HUMAN",0.959117499999998
1.76064,9.59223,37.068609391225,1.76687927746338e-09,1.9313168422193e-07,12.6711238544792,"ITA3_HUMAN",23,-38.9712550613495,3.99306404521241e-10,3.96254624689005e-08,-1.76064,"Up in BD",7.40202565609231,"ITGA3","Integrin alpha-3","ITA3_HUMAN",1.76064
1.0828,15.010675,36.8227357311222,1.8531014299356e-09,1.97295136657299e-07,12.6199514530263,"APOL2_HUMAN",21,-38.9673998512071,3.99609316959232e-10,3.96254624689005e-08,-1.0828,"Up in BD",7.40202565609231,"APOL2","Apolipoprotein L2","APOL2_HUMAN",1.0828
0.852575000000002,11.7433625,31.2521912214043,5.99025902363794e-09,4.42415706989044e-07,11.3490060311454,"DSRAD_HUMAN",59,-38.9531391396235,4.00732070259861e-10,3.96254624689005e-08,-0.852575000000002,"Up in BD",7.40202565609231,"ADAR","Double-stranded RNA-specific adenosine deaminase","DSRAD_HUMAN",0.852575000000002
-1.521725,12.6759125,-37.6978548175014,1.56625968261668e-09,1.75893107919063e-07,12.800397818228,"ZA2G_HUMAN",19,38.9474009190669,4.01184848123779e-10,3.96254624689005e-08,1.521725,"Up in BM2",7.40202565609231,"AZGP1","Zinc-alpha-2-glycoprotein","ZA2G_HUMAN",-1.521725
0.791599999999997,13.902475,32.1860353183254,4.85345608739451e-09,3.7893936194724e-07,11.5783719260941,"EHD4_HUMAN",31,-38.3835555675376,4.48628243953605e-10,4.37839802849006e-08,-0.791599999999997,"Up in BD",7.35868476042011,"EHD4","EH domain-containing protein 4","EHD4_HUMAN",0.791599999999997
0.875274999999998,12.8544875,33.1637646975547,3.91856039829833e-09,3.27799572910711e-07,11.8109895074234,"ITA5_HUMAN",29,-38.2311195200909,4.62520878556654e-10,4.46087783812642e-08,-0.875274999999998,"Up in BD",7.35057966982138,"ITGA5","Integrin alpha-5","ITA5_HUMAN",0.875274999999998
-0.988325,12.3013375,-33.6427059053217,3.53664078039045e-09,2.98900836264339e-07,11.9222550951836,"PROS_HUMAN",30,38.1044942353248,4.74431249243405e-10,4.52254346662492e-08,0.988325,"Up in BM2",7.34461725039968,"PROS1","Vitamin K-dependent protein S","PROS_HUMAN",-0.988325
-0.658450000000002,13.1525,-26.9785974642953,1.71128089438554e-08,9.47910862984638e-07,10.1973984455431,"FAT1_HUMAN",153,38.039269982428,4.80701133511864e-10,4.52964125578191e-08,0.658450000000002,"Up in BM2",7.3439361924251,"FAT1","Protocadherin Fat 1","FAT1_HUMAN",-0.658450000000002
