"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_BDM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","BDM_vs_BD"
4.81584,12.40133,103.226091719266,9.62976614611866e-13,7.90960928948882e-10,19.9150975575353,"OAS2_HUMAN",31,-110.802630631463,9.39123918347565e-14,6.62054790762083e-11,-4.81584,"Up in BD",10.1791060674471,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN",4.81584
4.688,15.1041,111.168269066548,5.63075839294684e-13,6.00510224645188e-10,20.3300621543621,"ISG15_HUMAN",15,-110.356976173777,9.69097034538302e-14,6.62054790762083e-11,-4.688,"Up in BD",10.1791060674471,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN",4.688
2.3846775,10.19178625,77.8746563579611,7.40386388805125e-12,4.04645841028294e-09,18.1732312407316,"HELZ2_HUMAN",117,-96.3735826489639,2.78631524682134e-13,1.75709326103395e-10,-2.3846775,"Up in BD",9.75520518689541,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN",2.3846775
4.9831525,11.09372375,100.632111354569,1.15778618533625e-12,7.90960928948882e-10,19.768156538056,"ISG20_HUMAN",11,-94.928963000762,3.1343926383741e-13,1.83541077495649e-10,-4.9831525,"Up in BD",9.73626672305643,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN",4.9831525
2.402675,11.4022375,76.151013939369,8.70547614169918e-12,4.46046833810312e-09,18.0250667315722,"DDX60_HUMAN",75,-91.4805430164938,4.18213830306463e-13,2.28567798723492e-10,-2.402675,"Up in BD",9.64098495426341,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN",2.402675
1.924275,12.1922875,80.7983906028314,5.67064905573402e-12,3.32057006849339e-09,18.4143445539251,"5NT3A_HUMAN",23,-88.7854964409632,5.27967778316675e-13,2.70517490415006e-10,-1.924275,"Up in BD",9.56780465016866,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN",1.924275
0.882499999999999,11.110575,44.662243092416,4.12142218354755e-10,7.98373444537964e-08,14.1918511059665,"PAR14_HUMAN",91,-81.8856948890982,9.91718714063885e-13,4.78241765758572e-10,-0.882499999999999,"Up in BD",9.3203524988049,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN",0.882499999999999
1.514,11.822325,63.38166154953,3.28409709865595e-11,1.12572348574355e-08,16.7652496799149,"UBA7_HUMAN",43,-81.2670603748818,1.05208471166015e-12,4.79166137010552e-10,-1.514,"Up in BD",9.31951388141404,"UBA7","Ubiquitin-like modifier-activating enzyme 7","UBA7_HUMAN",1.514
4.9783825,9.30185875,74.7691502345702,9.93887167907482e-12,4.7928747073562e-09,17.9028909752772,"OASL_HUMAN",28,-78.6534961318032,1.35725779075739e-12,5.85621019401529e-10,-4.9783825,"Up in BD",9.2323833437559,"OASL","2'-5'-oligoadenylate synthase-like protein","OASL_HUMAN",4.9783825
3.5788975,10.52205125,71.9486928957851,1.31267173390461e-11,5.78666346432569e-09,17.6436719813278,"IFIH1_HUMAN",45,-77.9235083978676,1.45952875452623e-12,5.98260836480302e-10,-3.5788975,"Up in BD",9.22310942613538,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN",3.5788975
3.6944,14.6421,71.2426670268031,1.40974117177408e-11,5.78666346432569e-09,17.5766237369588,"OAS3_HUMAN",45,-76.8851128953509,1.62033299946106e-12,6.15741555022587e-10,-3.6944,"Up in BD",9.21060153585466,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN",3.6944
1.934975,12.4351625,71.2288153960483,1.41172565609312e-11,5.78666346432569e-09,17.575299384446,"TAP2_HUMAN",22,-76.2992924771566,1.71982001136586e-12,6.15741555022587e-10,-1.934975,"Up in BD",9.21060153585466,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN",1.934975
1.291225,16.2142875,58.4747066230398,5.8812162001494e-11,1.85439270803172e-08,16.1900430231708,"AMPL_HUMAN",38,-76.2556601963881,1.72750131318852e-12,6.15741555022587e-10,-1.291225,"Up in BD",9.21060153585466,"LAP3","Cytosol aminopeptidase","AMPL_HUMAN",1.291225
1.5013,14.848425,69.2519062218817,1.73053243235191e-11,6.75566899067663e-09,17.3826791506926,"GBP1_HUMAN",22,-75.6089546288316,1.8460116119235e-12,6.3056679977287e-10,-1.5013,"Up in BD",9.20026889920026,"GBP1","Guanylate-binding protein 1","GBP1_HUMAN",1.5013
1.106125,12.6835375,53.328797766004,1.14460391290007e-10,3.47535662146472e-08,15.5186735671909,"AMPE_HUMAN",38,-72.3986649574621,2.58832882319168e-12,8.48764787701015e-10,-1.106125,"Up in BD",9.07121264610054,"ENPEP","Glutamyl aminopeptidase","AMPE_HUMAN",1.106125
-0.802374999999998,14.1150625,-40.2036607247952,8.8045793800794e-10,1.33666558810909e-07,13.3879578480819,"LPPRC_HUMAN",87,71.4847900058247,2.85754587056624e-12,9.01006194111616e-10,0.802374999999998,"Up in BDM",9.04527222338359,"LRPPRC","Leucine-rich PPR motif-containing protein, mitochondrial","LPPRC_HUMAN",-0.802374999999998
1.9326,11.832375,62.9944210556928,3.43292109582688e-11,1.12572348574355e-08,16.7219344985794,"TAP1_HUMAN",24,-68.1661520618972,4.13801430802628e-12,1.25642375174813e-09,-1.9326,"Up in BD",8.90086386218467,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN",1.9326
1.516925,12.5080375,52.9187665392833,1.21026588357933e-10,3.54348561199405e-08,15.461813788977,"PML_HUMAN",44,-63.1279335407437,7.52449171584787e-12,2.20306368166146e-09,-1.516925,"Up in BD",8.65697294897068,"PML","Protein PML","PML_HUMAN",1.516925
3.0057,13.228675,65.5888997822028,2.56386411718763e-11,9.55389001486553e-09,17.0058162052878,"UB2L6_HUMAN",12,-62.483534178557,8.15027513900814e-12,2.25214749660088e-09,-3.0057,"Up in BD",8.64740317027619,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN",3.0057
-0.876775000000002,13.2616625,-39.1446540108696,1.06743409379536e-09,1.5352324036727e-07,13.1822636366875,"FAT1_HUMAN",153,62.3942010874065,8.2415741519915e-12,2.25214749660088e-09,0.876775000000002,"Up in BDM",8.64740317027619,"FAT1","Protocadherin Fat 1","FAT1_HUMAN",-0.876775000000002
-1.184425,11.7449875,-50.1312454535424,1.78936830217445e-10,4.35916141082601e-08,15.0607581032911,"TFR1_HUMAN",34,61.6105971240901,9.09379246454757e-12,2.4048680846568e-09,1.184425,"Up in BDM",8.61890874119322,"TFRC","Transferrin receptor protein 1","TFR1_HUMAN",-1.184425
1.0476,15.1678,46.3355238090099,3.16010663744122e-10,6.47663855343577e-08,14.4702542447375,"TYPH_HUMAN",30,-56.0770989259776,1.8918396635184e-11,4.84665673797621e-09,-1.0476,"Up in BD",8.31455773787613,"TYMP","Thymidine phosphorylase","TYPH_HUMAN",1.0476
2.5469,11.639975,51.8146001406597,1.4094779491401e-10,3.91130905557464e-08,15.3060316336978,"STAT2_HUMAN",35,-55.707935095009,1.99162883281779e-11,4.94768883983038e-09,-2.5469,"Up in BD",8.30559762096569,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN",2.5469
1.7766,11.8424,51.704473356455,1.43131582907098e-10,3.91130905557464e-08,15.2902769412937,"E2AK2_HUMAN",23,-55.1050370129942,2.16763152038262e-11,5.22654211885198e-09,-1.7766,"Up in BD",8.2817855454286,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN",1.7766
1.372775,12.2497125,47.7299391400432,2.55093509264137e-10,5.76651118587192e-08,14.6935350421056,"RO52_HUMAN",27,-53.1947166287789,2.85245233604319e-11,6.68125835739487e-09,-1.372775,"Up in BD",8.17514173420027,"TRIM21","E3 ubiquitin-protein ligase TRIM21","RO52_HUMAN",1.372775
1.2602,11.1367,41.255368165596,7.30782410990033e-10,1.19819084105926e-07,13.5863381464643,"RN213_HUMAN",232,-52.0067174039171,3.40044577815525e-11,7.74357069147687e-09,-1.2602,"Up in BD",8.11105873259673,"RNF213","E3 ubiquitin-protein ligase RNF213","RN213_HUMAN",1.2602
1.5039275,10.62781125,44.5637949138723,4.18761382228988e-10,7.98373444537964e-08,14.1750996730969,"CMTR1_HUMAN",42,-50.7594405403839,4.10724572585546e-11,8.89824661561341e-09,-1.5039275,"Up in BD",8.05069556191503,"CMTR1","Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1","CMTR1_HUMAN",1.5039275
1.778,12.2842,46.9733874030138,2.86297879432135e-10,6.01812824508883e-08,14.5733458116939,"NUB1_HUMAN",27,-50.7319605551472,4.12458369594181e-11,8.89824661561341e-09,-1.778,"Up in BD",8.05069556191503,"NUB1","NEDD8 ultimate buster 1","NUB1_HUMAN",1.778
1.4218225,10.27488875,45.214188393441,3.77165188037901e-10,7.54146393057248e-08,14.2849908207862,"KPCD2_HUMAN",30,-50.5023535893258,4.27272021899664e-11,8.93213421586079e-09,-1.4218225,"Up in BD",8.04904475976431,"PRKD2","Serine/threonine-protein kinase D2","KPCD2_HUMAN",1.4218225
0.833475,11.7529125,36.2872521029595,1.84377275866723e-09,2.43794339928289e-07,12.5950454969972,"DSRAD_HUMAN",59,-50.3739087911204,4.35820161788767e-11,8.93213421586079e-09,-0.833475,"Up in BD",8.04904475976431,"ADAR","Double-stranded RNA-specific adenosine deaminase","DSRAD_HUMAN",0.833475
1.2096,10.691775,42.8881195733715,5.52243740320877e-10,1.02893049617058e-07,13.8833287338884,"PAR12_HUMAN",33,-49.5890790129994,4.92438014163284e-11,9.84635814661123e-09,-1.2096,"Up in BD",8.00672437146107,"PARP12","Protein mono-ADP-ribosyltransferase PARP12","PAR12_HUMAN",1.2096
1.571525,10.9500125,49.0509383100138,2.09436718203152e-10,4.90560633094125e-08,14.8981624523174,"T23O_HUMAN",17,-49.0819127849378,5.33427332354172e-11,1.04119935015226e-08,-1.571525,"Up in BD",7.9824661116206,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN",1.571525
1.458225,16.8840875,47.5976330014117,2.6025971441481e-10,5.76651118587192e-08,14.6726767735546,"HLAA_HUMAN",17,-47.472014100793,6.91369985534719e-11,1.31810491660782e-08,-1.458225,"Up in BD",7.88005002002244,"HLA-A","HLA class I histocompatibility antigen, A alpha chain","HLAA_HUMAN",1.458225
1.3478,10.359925,42.3109824092587,6.08975803990604e-10,1.04009953010716e-07,13.7798293447087,"ECE1_HUMAN",28,-46.7400181214765,7.80163119349022e-11,1.45358573918711e-08,-1.3478,"Up in BD",7.83755934644763,"ECE1","Endothelin-converting enzyme 1","ECE1_HUMAN",1.3478
1.032975,13.7698375,50.1409031301352,1.78687968691110e-10,4.35916141082601e-08,15.0621929884408,"PSB8_HUMAN",16,-46.0649452229024,8.73591771356401e-11,1.59149007590662e-08,-1.032975,"Up in BD",7.7981960651752,"PSMB8","Proteasome subunit beta type-8","PSB8_HUMAN",1.032975
-0.633475000000002,12.4548125,-28.881298631372,9.53632678045389e-09,8.7841356119282e-07,10.8044946742867,"MPRI_HUMAN",111,45.8958060385967,8.98935126060893e-11,1.60205873118417e-08,0.633475000000002,"Up in BDM",7.79532156680255,"IGF2R","Cation-independent mannose-6-phosphate receptor","MPRI_HUMAN",-0.633475000000002
1.946875,11.7632625,50.8673874613525,1.61048630820441e-10,4.25895701763217e-08,15.1692025021439,"NAT8_HUMAN",11,-45.401892607145,9.77818269054218e-11,1.68881543636223e-08,-1.946875,"Up in BD",7.77241781007919,"NAT8","N-acetyltransferase 8","NAT8_HUMAN",1.946875
1.6998025,10.67587375,41.051003025203,7.57444640276846e-10,1.2175551296058e-07,13.5482357991787,"PAR10_HUMAN",43,-45.2770093058742,9.98980532958939e-11,1.68881543636223e-08,-1.6998025,"Up in BD",7.77241781007919,"PARP10","Protein mono-ADP-ribosyltransferase PARP10","PAR10_HUMAN",1.6998025
-0.540462500000004,10.25411875,-27.9540657177219,1.2056482968973e-08,1.09821163755156e-06,10.5465153853938,"PLPL6_HUMAN",52,45.2165186224556,1.00941639889911e-10,1.68881543636223e-08,0.540462500000004,"Up in BDM",7.77241781007919,"PNPLA6","Patatin-like phospholipase domain-containing protein 6","PLPL6_HUMAN",-0.540462500000004
3.087885,10.5515325,42.3108719105266,6.08987282814633e-10,1.04009953010716e-07,13.7798093762503,"GBP4_HUMAN",27,-44.3667637482475,1.16980616373431e-10,1.91801418605877e-08,-3.087885,"Up in BD",7.71714818501506,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN",3.087885
-1.335925,12.5830125,-42.117625404835,6.29444055693326e-10,1.0530984425661e-07,13.7447970582306,"ZA2G_HUMAN",19,43.3452079900778,1.40196628306464e-10,2.23814199642795e-08,1.335925,"Up in BDM",7.65011236360355,"AZGP1","Zinc-alpha-2-glycoprotein","ZA2G_HUMAN",-1.335925
-0.878624999999998,11.6054875,-40.4718792869364,8.39215588495708e-10,1.32305565278612e-07,13.4390976931828,"ANXA3_HUMAN",21,43.2753256527854,1.41965581622656e-10,2.23814199642795e-08,0.878624999999998,"Up in BDM",7.65011236360355,"ANXA3","Annexin A3","ANXA3_HUMAN",-0.878624999999998
1.2383,13.679675,37.9368446128692,1.33816026532222e-09,1.83139281808431e-07,12.9400004297152,"CN37_HUMAN",30,-42.1344402947929,1.74719400473032e-10,2.70254650014701e-08,-1.2383,"Up in BD",7.56822682481831,"CNP","2',3'-cyclic-nucleotide 3'-phosphodiesterase","CN37_HUMAN",1.2383
1.6008,13.6232,42.6189585412055,5.77918007869444e-10,1.04009953010716e-07,13.8352566715381,"PSB9_HUMAN",15,-41.847992382491,1.84229012692314e-10,2.75823172988013e-08,-1.6008,"Up in BD",7.55936924984234,"PSMB9","Proteasome subunit beta type-9","PSB9_HUMAN",1.6008
-0.454574999999997,14.0312125,-22.2293469750075,6.2318289747996e-08,3.52334716795911e-06,8.72682027173795,"EPIPL_HUMAN",162,41.8240922615733,1.85048481511841e-10,2.75823172988013e-08,0.454574999999997,"Non-significant",7.55936924984234,"EPPK1","Epiplakin","EPIPL_HUMAN",-0.454574999999997
1.841645,10.2500275,37.9281637107191,1.34037044504829e-09,1.83139281808431e-07,12.938228528738,"TDRD7_HUMAN",52,-41.3332577442304,2.02821476292899e-10,2.96916154044498e-08,-1.841645,"Up in BD",7.52736617350016,"TDRD7","Tudor domain-containing protein 7","TDRD7_HUMAN",1.841645
1.446375,12.6098625,38.6401871564473,1.17212066248056e-09,1.65673192948545e-07,13.0820961496597,"SP100_HUMAN",21,-40.495056909916,2.37807903986953e-10,3.42026174892113e-08,-1.446375,"Up in BD",7.46594065658649,"SP100","Nuclear autoantigen Sp-100","SP100_HUMAN",1.446375
-1.72235,10.9682,-39.6440824612186,9.74145691504977e-10,1.42607971052818e-07,13.2800304363993,"FSTL1_HUMAN",17,40.3196231240898,2.45963563294153e-10,3.47656774463011e-08,1.72235,"Up in BDM",7.45884930350478,"FSTL1","Follistatin-related protein 1","FSTL1_HUMAN",-1.72235
0.495174999999996,13.3566875,24.0543112505925,3.54297650644719e-08,2.28397956934564e-06,9.35456136852049,"CO4B_HUMAN",83,-40.1105485974209,2.56098000250884e-10,3.55846001026567e-08,-0.495174999999996,"Non-significant",7.44873791038182,"C4B_2","Complement C4-B","CO4B_HUMAN",0.495174999999996
2.063975,11.4892125,37.5004927856387,1.45457805025177e-09,1.95485751737114e-07,12.850377485593,"APOL3_HUMAN",18,-38.6315144840474,3.4285080219779e-10,4.68448479402914e-08,-2.063975,"Up in BD",7.32933816644407,"APOL3","Apolipoprotein L3","APOL3_HUMAN",2.063975
1.2236,11.776975,34.8355508654307,2.47453177167487e-09,3.07366840366524e-07,12.276999563257,"OGFR_HUMAN",31,-38.4342482178446,3.56751545368907e-10,4.79450683431852e-08,-1.2236,"Up in BD",7.31925605797174,"OGFR","Opioid growth factor receptor","OGFR_HUMAN",1.2236
-0.8239325,9.67183375,-33.7975176198632,3.07708149524581e-09,3.65592957942393e-07,12.0406444651094,"BCAM_HUMAN",25,38.0134338544923,3.88581440728884e-10,5.13804943725063e-08,0.8239325,"Up in BDM",7.28920172135775,"BCAM","Basal cell adhesion molecule","BCAM_HUMAN",-0.8239325
2.60485,11.49835,42.4109255254232,5.98693578668987e-10,1.04009953010716e-07,13.7978662055892,"PLS1_HUMAN",7,-36.9446574563758,4.84852206410384e-10,6.30923553674973e-08,-2.60485,"Up in BD",7.2000232591844,"PLSCR1","Phospholipid scramblase 1","PLS1_HUMAN",2.60485
1.151425,14.9763625,35.0331177084251,2.37572246778048e-09,3.02334137275796e-07,12.3211212673614,"APOL2_HUMAN",21,-36.8241804050902,4.97298852313234e-10,6.35169419548891e-08,-1.151425,"Up in BD",7.19711041933548,"APOL2","Apolipoprotein L2","APOL2_HUMAN",1.151425
1.162825,13.6747625,35.3159178731291,2.24199473971886e-09,2.91744013908178e-07,12.3838104413186,"LG3BP_HUMAN",20,-36.7643765879061,5.03610786419589e-10,6.35169419548891e-08,-1.162825,"Up in BD",7.19711041933548,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN",1.162825
0.791850000000004,11.308925,30.8773635004279,5.89738630362315e-09,6.19830422014136e-07,11.3314972280975,"ABCD1_HUMAN",33,-36.6407441723697,5.16947939248676e-10,6.42112000903129e-08,-0.791850000000004,"Up in BD",7.19238921315888,"ABCD1","ATP-binding cassette sub-family D member 1","ABCD1_HUMAN",0.791850000000004
-0.680125,10.7973375,-27.7603141274603,1.26741865976977e-08,1.1293802361731e-06,10.4914797731763,"EDC4_HUMAN",55,36.4761601123186,5.35325198563871e-10,6.52020207879144e-08,0.680125,"Up in BDM",7.18573894409262,"EDC4","Enhancer of mRNA-decapping protein 4","EDC4_HUMAN",-0.680125
1.1352,12.1878,34.9895188223167,2.39713575541922e-09,3.02334137275796e-07,12.3114077537558,"CASP1_HUMAN",20,-36.4280832712361,5.4083159472776e-10,6.52020207879144e-08,-1.1352,"Up in BD",7.18573894409262,"CASP1","Caspase-1","CASP1_HUMAN",1.1352
1.3728875,9.64248125,32.0405729026425,4.51941114082455e-09,4.93876229093031e-07,11.6222275124809,"ZNFX1_HUMAN",61,-35.6147393287025,6.44380800708522e-10,7.65599102059198e-08,-1.3728875,"Up in BD",7.11599858459768,"ZNFX1","NFX1-type zinc finger-containing protein 1","ZNFX1_HUMAN",1.3728875
-0.688949999999998,17.039225,-25.7181433770246,2.19351418867433e-08,1.64976415768368e-06,9.88586369780694,"AHNK_HUMAN",315,35.2727680664688,6.94456808035619e-10,8.07089588528271e-08,0.688949999999998,"Up in BDM",7.09307825506235,"AHNAK","Neuroblast differentiation-associated protein AHNAK","AHNK_HUMAN",-0.688949999999998
1.48759,9.584455,32.8858772715634,3.74681423997969e-09,4.26616432491021e-07,11.8265270321528,"PHAR4_HUMAN",29,-35.2431788311687,6.9899195883761e-10,8.07089588528271e-08,-1.48759,"Up in BD",7.09307825506235,"PHACTR4","Phosphatase and actin regulator 4","PHAR4_HUMAN",1.48759
1.354325,12.7273625,50.05981305364,1.80789812110374e-10,4.35916141082601e-08,15.0501349167306,"SP14L_HUMAN",9,-34.9739268799174,7.4183058981726e-10,8.44656552128041e-08,-1.354325,"Up in BD",7.07331984470256,"SP140L","Nuclear body protein SP140-like protein","SP14L_HUMAN",1.354325
-0.9853825,9.89933375,-30.3214010772297,6.72088872608706e-09,6.88723072205771e-07,11.1884080820136,"FIL1L_HUMAN",39,34.6023195319738,8.0590206567452e-10,9.0503905950681e-08,0.9853825,"Up in BDM",7.04333267719014,"FILIP1L","Filamin A-interacting protein 1-like","FIL1L_HUMAN",-0.9853825
-0.67005,12.3969,-26.9815382293931,1.55477950485072e-08,1.24961591968296e-06,10.2661564326376,"CSDE1_HUMAN",47,34.4054767405274,8.42354363302662e-10,9.3319203653449e-08,0.67005,"Up in BDM",7.0300289759476,"CSDE1","Cold shock domain-containing protein E1","CSDE1_HUMAN",-0.67005
2.618905,9.6452475,33.5102013670934,3.27223282313498e-09,3.83225209772294e-07,11.9738389663682,"TREX1_HUMAN",15,-34.3134582647306,8.60029707556507e-10,9.400698056731e-08,-2.618905,"Up in BD",7.02683989630134,"TREX1","Three-prime repair exonuclease 1","TREX1_HUMAN",2.618905
1.3102075,10.55717125,39.7953468976264,9.47747060223343e-10,1.41266007267472e-07,13.3093717277586,"GMPR1_HUMAN",11,-33.9992906674629,9.23603890620854e-10,9.9627693359339e-08,-1.3102075,"Up in BD",7.00161992461428,"GMPR","GMP reductase 1","GMPR1_HUMAN",1.3102075
1.31155,10.7683,32.4244704960255,4.1480602433863e-09,4.61427892932116e-07,11.7157163654724,"ALAT2_HUMAN",21,-33.9323564787155,9.37823282658532e-10,9.98477307952552e-08,-1.31155,"Up in BD",7.00066180074118,"GPT2","Alanine aminotransferase 2","ALAT2_HUMAN",1.31155
-0.639175000000002,14.1265375,-26.6129178661973,1.71616039551069e-08,1.36539059294536e-06,10.157135904612,"PLOD2_HUMAN",38,33.2475651635085,1.09839279118852e-09,1.15443898745686e-07,0.639175000000002,"Up in BDM",6.93762901477019,"PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","PLOD2_HUMAN",-0.639175000000002
2.7418675,6.86631625,34.0274072458717,2.9304384057001e-09,3.5329020661661e-07,12.093658440305,"IRF7_HUMAN",9,-33.129700163212,1.12904684295596e-09,1.17163620488012e-07,-2.7418675,"Up in BD",6.93120721659379,"IRF7","Interferon regulatory factor 7","IRF7_HUMAN",2.7418675
-0.704700000000001,13.268925,-27.6307449147753,1.31073420251599e-08,1.13109463076064e-06,10.4544513537097,"A1CF_HUMAN",34,33.0278192943028,1.15632246768806e-09,1.18494144876334e-07,0.704700000000001,"Up in BDM",6.92630310881609,"A1CF","APOBEC1 complementation factor","A1CF_HUMAN",-0.704700000000001
-0.295999999999999,11.330725,-14.9446761218059,1.04550715609606e-06,3.11675187842744e-05,5.57036831455336,"MACF1_HUMAN",282,32.847389168739,1.20647004357712e-09,1.22106684163521e-07,0.295999999999999,"Non-significant",6.91326056196929,"MACF1","Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5","MACF1_HUMAN",-0.295999999999999
2.026425,12.4269625,40.2138403840317,8.78851197156213e-10,1.33666558810909e-07,13.3899056946446,"BST2_HUMAN",7,-32.7605614763582,1.23147286985258e-09,1.22959856086055e-07,-2.026425,"Up in BD",6.91023665381238,"BST2","Bone marrow stromal antigen 2","BST2_HUMAN",2.026425
1.473895,8.7470525,32.4059895051065,4.16512125847482e-09,4.61427892932116e-07,11.7112429255642,"TRI38_HUMAN",16,-32.7147583967634,1.24489729874879e-09,1.22959856086055e-07,-1.473895,"Up in BD",6.91023665381238,"TRIM38","E3 ubiquitin-protein ligase TRIM38","TRI38_HUMAN",1.473895
1.13845,12.128125,29.0946966430434,9.04480390262095e-09,8.70729821470982e-07,10.8626388926638,"PNPT1_HUMAN",42,-32.3031078593023,1.37324068800652e-09,1.34021751908065e-07,-1.13845,"Up in BD",6.8728247093442,"PNPT1","Polyribonucleotide nucleotidyltransferase 1, mitochondrial","PNPT1_HUMAN",1.13845
-0.389050000000001,12.5796,-18.2508636594736,2.54220384333934e-07,1.04728578430633e-05,7.15666293730657,"LRP1_HUMAN",189,32.0391400883393,1.4633725355526e-09,1.41137977017179e-07,0.389050000000001,"Non-significant",6.85035611176069,"LRP1","Prolow-density lipoprotein receptor-related protein 1","LRP1_HUMAN",-0.389050000000001
0.598249999999997,16.2335,27.6930258742641,1.28970680722498e-08,1.13109463076064e-06,10.4722726069366,"IPYR_HUMAN",25,-31.9197119855925,1.50632825999975e-09,1.43591617156721e-07,-0.598249999999997,"Up in BD",6.84287091335866,"PPA1","Inorganic pyrophosphatase","IPYR_HUMAN",0.598249999999997
1.13865,11.002225,33.0303820975334,3.63036850021943e-09,4.19179731898575e-07,11.860888923938,"FBX6_HUMAN",14,-31.4527874472204,1.68846717996608e-09,1.59104068291516e-07,-1.13865,"Up in BD",6.7983187153002,"FBXO6","F-box only protein 6","FBX6_HUMAN",1.13865
