logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,sca.adj.pval,BD_vs_BDM,Diff_Abund,negLog10_sca_adjPval,Genes,ProtDesc,Protein.Names,Protein.Ids
1.50129365921021,14.848428964614861,,2.0356853541445666e-11,1.6446127306970227e-08,,GBP1_HUMAN,8,,2.0356853541445666e-11,1.6446127306970227e-08,-1.50129365921021,Up,7.783936352256313,GBP1,Guanylate-binding protein 1,GBP1_HUMAN,P32455
0.882508993148804,11.11058247089385,,2.422431459825981e-11,1.6446127306970227e-08,,PAR14_HUMAN,8,,2.422431459825981e-11,1.6446127306970227e-08,-0.882508993148804,Up,7.783936352256313,PARP14,Protein mono-ADP-ribosyltransferase PARP14,PAR14_HUMAN,Q460N5
3.00957942008972,13.31635844707488,,2.474669012742882e-11,1.6446127306970227e-08,,RIGI_HUMAN,8,,2.474669012742882e-11,1.6446127306970227e-08,-3.00957942008972,Up,7.783936352256313,RIGI,Antiviral innate immune response receptor RIG-I,RIGI_HUMAN,O95786
1.92426991462708,12.19228875637055,,2.5637019515170476e-11,1.6446127306970227e-08,,5NT3A_HUMAN,8,,2.5637019515170476e-11,1.6446127306970227e-08,-1.92426991462708,Up,7.783936352256313,NT5C3A,Cytosolic 5'-nucleotidase 3A,5NT3A_HUMAN,Q9H0P0
4.00976777076721,10.455279707908627,,2.6092220526069437e-11,1.6446127306970227e-08,,CMPK2_HUMAN,8,,2.6092220526069437e-11,1.6446127306970227e-08,-4.00976777076721,Up,7.783936352256313,CMPK2,"UMP-CMP kinase 2, mitochondrial",CMPK2_HUMAN,Q5EBM0
4.68798470497131,15.10409677028656,,3.292132353745072e-11,1.9268380361847942e-08,,ISG15_HUMAN,8,,3.292132353745072e-11,1.9268380361847942e-08,-4.68798470497131,Up,7.715154789209314,ISG15,Ubiquitin-like protein ISG15,ISG15_HUMAN,P05161
1.10612821578979,12.68352746963502,,4.03301563466635e-11,2.2031020073637382e-08,,AMPE_HUMAN,8,,4.03301563466635e-11,2.2031020073637382e-08,-1.10612821578979,Up,7.656965393811757,ENPEP,Glutamyl aminopeptidase,AMPE_HUMAN,Q07075
1.03301024436951,13.76983511447909,,4.930160775120783e-11,2.524858586958731e-08,,PSB8_HUMAN,8,,4.930160775120783e-11,2.524858586958731e-08,-1.03301024436951,Up,7.597762940960501,PSMB8,Proteasome subunit beta type-8,PSB8_HUMAN,P28062
4.81584167480469,12.401316165924072,,5.841186151622516e-11,2.815451725082053e-08,,OAS2_HUMAN,8,,5.841186151622516e-11,2.815451725082053e-08,-4.81584167480469,Up,7.55045191485475,OAS2,2'-5'-oligoadenylate synthase 2,OAS2_HUMAN,P29728
-0.802382469177246,14.115053653717041,,6.842551663030028e-11,3.053343495741508e-08,,LPPRC_HUMAN,8,,6.842551663030028e-11,3.053343495741508e-08,0.802382469177246,Down,7.515224335592058,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial",LPPRC_HUMAN,P42704
4.98312187194824,11.093707561492916,,7.247928966734847e-11,3.053343495741508e-08,,ISG20_HUMAN,8,,7.247928966734847e-11,3.053343495741508e-08,-4.98312187194824,Up,7.515224335592058,ISG20,Interferon-stimulated gene 20 kDa protein,ISG20_HUMAN,Q96AZ6
1.29123115539551,16.21430110931398,,7.452632403567264e-11,3.053343495741508e-08,,AMPL_HUMAN,8,,7.452632403567264e-11,3.053343495741508e-08,-1.29123115539551,Up,7.515224335592058,LAP3,Cytosol aminopeptidase,AMPL_HUMAN,P28838
1.51396822929382,11.822319626808149,,1.1303322425332521e-10,4.395964213028863e-08,,UBA7_HUMAN,8,,1.1303322425332521e-10,4.395964213028863e-08,-1.51396822929382,Up,7.356945851768873,UBA7,Ubiquitin-like modifier-activating enzyme 7,UBA7_HUMAN,P41226
-0.540458202362061,10.254118204116821,,1.180268643966744e-10,4.395964213028863e-08,,PLPL6_HUMAN,8,,1.180268643966744e-10,4.395964213028863e-08,0.540458202362061,Down,7.356945851768873,PNPLA6,Patatin-like phospholipase domain-containing protein 6,PLPL6_HUMAN,Q8IY17
2.38465118408203,10.191773176193221,,1.345878310829007e-10,4.701325231341252e-08,,HELZ2_HUMAN,8,,1.345878310829007e-10,4.701325231341252e-08,-2.38465118408203,Up,7.327779703865752,HELZ2,3'-5' exoribonuclease HELZ2,HELZ2_HUMAN,Q9BYK8
1.93496799468994,12.435158729553226,,1.3770051934609477e-10,4.701325231341252e-08,,TAP2_HUMAN,8,,1.3770051934609477e-10,4.701325231341252e-08,-1.93496799468994,Up,7.327779703865752,TAP2,Antigen peptide transporter 2,TAP2_HUMAN,Q03519
2.40267395973206,11.402238011360176,,1.6962386307437565e-10,5.559591736125737e-08,,DDX60_HUMAN,8,,1.6962386307437565e-10,5.559591736125737e-08,-2.40267395973206,Up,7.2549570992916435,DDX60,Probable ATP-dependent RNA helicase DDX60,DDX60_HUMAN,Q8IY21
1.04764556884766,15.16780209541319,,4.131079517093818e-10,1.2704830138433894e-07,,TYPH_HUMAN,8,,4.131079517093818e-10,1.2704830138433894e-07,-1.04764556884766,Up,6.896031137023214,TYMP,Thymidine phosphorylase,TYPH_HUMAN,P19971
-1.18441367149353,11.74500334262846,,4.186360919425374e-10,1.2704830138433894e-07,,TFR1_HUMAN,8,,4.186360919425374e-10,1.2704830138433894e-07,1.18441367149353,Down,6.896031137023214,TFRC,Transferrin receptor protein 1,TFR1_HUMAN,P02786
1.93261480331421,11.8324010372162,,4.828714220410106e-10,1.4130887257871575e-07,,TAP1_HUMAN,8,,4.828714220410106e-10,1.4130887257871575e-07,-1.93261480331421,Up,6.849830568576055,TAP1,Antigen peptide transporter 1,TAP1_HUMAN,Q03518
-0.8786301612854,11.60549259185792,,5.166293356475395e-10,1.438340830270821e-07,,ANXA3_HUMAN,8,,5.166293356475395e-10,1.438340830270821e-07,0.8786301612854,Down,6.842138191027579,ANXA3,Annexin A3,ANXA3_HUMAN,P12429
4.97838807106018,9.301862597465512,,5.316208814886811e-10,1.438340830270821e-07,,OASL_HUMAN,8,,5.316208814886811e-10,1.438340830270821e-07,-4.97838807106018,Up,6.842138191027579,OASL,2'-5'-oligoadenylate synthase-like protein,OASL_HUMAN,Q15646
3.57891345024109,10.522060036659248,,5.441611635147113e-10,1.438340830270821e-07,,IFIH1_HUMAN,8,,5.441611635147113e-10,1.438340830270821e-07,-3.57891345024109,Up,6.842138191027579,IFIH1,Interferon-induced helicase C domain-containing protein 1,IFIH1_HUMAN,Q9BYX4
3.69440627098083,14.64211237430574,,6.006175165341055e-10,1.537956228275144e-07,,OAS3_HUMAN,8,,6.006175165341055e-10,1.537956228275144e-07,-3.69440627098083,Up,6.813056024800573,OAS3,2'-5'-oligoadenylate synthase 3,OAS3_HUMAN,Q9Y6K5
3.00566053390503,13.2286832332611,,8.682531535031462e-10,2.1369463501250563e-07,,UB2L6_HUMAN,8,,8.682531535031462e-10,2.1369463501250563e-07,-3.00566053390503,Up,6.6702063810353325,UBE2L6,Ubiquitin/ISG15-conjugating enzyme E2 L6,UB2L6_HUMAN,O14933
2.47652173042297,13.311949610710151,,8.86699730342347e-10,2.1369463501250563e-07,,HLAB_HUMAN,8,,8.86699730342347e-10,2.1369463501250563e-07,-2.47652173042297,Up,6.6702063810353325,HLA-B,"HLA class I histocompatibility antigen, B alpha chain",HLAB_HUMAN,P01889
-0.876774787902832,13.261680841445909,,1.0103759690304103e-09,2.365434482924338e-07,,FAT1_HUMAN,8,,1.0103759690304103e-09,2.365434482924338e-07,0.876774787902832,Down,6.626089076403612,FAT1,Protocadherin Fat 1,FAT1_HUMAN,Q14517
1.51691722869873,12.508030891418446,,1.0566413976513696e-09,2.405033225654256e-07,,PML_HUMAN,8,,1.0566413976513696e-09,2.405033225654256e-07,-1.51691722869873,Up,6.618878919448725,PML,Protein PML,PML_HUMAN,P29590
1.35434579849243,12.727341413497925,,1.1130100215813199e-09,2.464865977523604e-07,,SP14L_HUMAN,8,,1.1130100215813199e-09,2.464865977523604e-07,-1.35434579849243,Up,6.608206689694792,SP140L,Nuclear body protein SP140-like protein,SP14L_HUMAN,Q9H930
1.37277770042419,12.24969375133514,,1.9843105723036376e-09,4.2788002182778964e-07,,RO52_HUMAN,8,,1.9843105723036376e-09,4.2788002182778964e-07,-1.37277770042419,Up,6.368677990712846,TRIM21,E3 ubiquitin-protein ligase TRIM21,RO52_HUMAN,P19474
0.833486795425415,11.752911686897274,,2.1569001434864042e-09,4.495559555684038e-07,,DSRAD_HUMAN,8,,2.1569001434864042e-09,4.495559555684038e-07,-0.833486795425415,Up,6.347216244571109,ADAR,Double-stranded RNA-specific adenosine deaminase,DSRAD_HUMAN,P55265
1.77660584449768,11.842394471168522,,2.1945616576441485e-09,4.495559555684038e-07,,E2AK2_HUMAN,8,,2.1945616576441485e-09,4.495559555684038e-07,-1.77660584449768,Up,6.347216244571109,EIF2AK2,"Interferon-induced, double-stranded RNA-activated protein kinase",E2AK2_HUMAN,P19525
1.40544843673706,15.680430650711054,,2.35775836934001e-09,4.712066360578547e-07,,HLAC_HUMAN,8,,2.35775836934001e-09,4.712066360578547e-07,-1.40544843673706,Up,6.326788601958191,HLA-C,"HLA class I histocompatibility antigen, C alpha chain",HLAC_HUMAN,P10321
1.57152462005615,10.95002341270446,,2.484951233390015e-09,4.848021525332806e-07,,T23O_HUMAN,8,,2.484951233390015e-09,4.848021525332806e-07,-1.57152462005615,Up,6.314435460559488,TDO2,"Tryptophan 2,3-dioxygenase",T23O_HUMAN,P48775
1.45821952819824,16.88410234451295,,2.5756518160222304e-09,4.908114181508408e-07,,HLAA_HUMAN,8,,2.5756518160222304e-09,4.908114181508408e-07,-1.45821952819824,Up,6.309085342476773,HLA-A,"HLA class I histocompatibility antigen, A alpha chain",HLAA_HUMAN,P04439
1.94684720039368,11.763264298439035,,3.0534117810854014e-09,5.686285485048586e-07,,NAT8_HUMAN,8,,3.0534117810854014e-09,5.686285485048586e-07,-1.94684720039368,Up,6.245171339955314,NAT8,N-acetyltransferase 8,NAT8_HUMAN,Q9UHE5
1.20960450172424,10.691779732704166,,3.462653573300963e-09,6.305107417695131e-07,,PAR12_HUMAN,8,,3.462653573300963e-09,6.305107417695131e-07,-1.20960450172424,Up,6.20030751011947,PARP12,Protein mono-ADP-ribosyltransferase PARP12,PAR12_HUMAN,Q9H0J9
1.42181539535522,10.274883985519423,,3.823293023413371e-09,6.700423330408589e-07,,KPCD2_HUMAN,8,,3.823293023413371e-09,6.700423330408589e-07,-1.42181539535522,Up,6.1738977578584935,PRKD2,Serine/threonine-protein kinase D2,KPCD2_HUMAN,Q9BZL6
2.54691004753113,11.63998019695281,,3.8432987128289445e-09,6.700423330408589e-07,,STAT2_HUMAN,8,,3.8432987128289445e-09,6.700423330408589e-07,-2.54691004753113,Up,6.1738977578584935,STAT2,Signal transducer and activator of transcription 2,STAT2_HUMAN,P52630
0.495152711868286,13.356676459312435,,3.937697519074892e-09,6.721977806520764e-07,,CO4B_HUMAN,8,,3.937697519074892e-09,6.721977806520764e-07,-0.495152711868286,Up,6.172502925743584,C4B_2,Complement C4-B,CO4B_HUMAN,P0C0L5
-0.633510589599609,12.454817056655891,,4.636998269480205e-09,7.696941497974405e-07,,MPRI_HUMAN,8,,4.636998269480205e-09,7.696941497974405e-07,0.633510589599609,Down,6.113681814363406,IGF2R,Cation-independent mannose-6-phosphate receptor,MPRI_HUMAN,P11717
0.598248958587646,16.23350930213926,,4.696693616044914e-09,7.696941497974405e-07,,IPYR_HUMAN,8,,4.696693616044914e-09,7.696941497974405e-07,-0.598248958587646,Up,6.113681814363406,PPA1,Inorganic pyrophosphatase,IPYR_HUMAN,Q15181
1.7779974937439,12.284213781356812,,4.8228099176274176e-09,7.748647934321384e-07,,NUB1_HUMAN,8,,4.8228099176274176e-09,7.748647934321384e-07,-1.7779974937439,Up,6.110774071156963,NUB1,NEDD8 ultimate buster 1,NUB1_HUMAN,Q9Y5A7
1.50391912460327,10.62780737876892,,5.103313375807477e-09,8.041644192570474e-07,,CMTR1_HUMAN,8,,5.103313375807477e-09,8.041644192570474e-07,-1.50391912460327,Up,6.094655146431037,CMTR1,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1,CMTR1_HUMAN,Q8N1G2
-0.454609870910645,14.031214237213135,,5.338142127083818e-09,8.252969167797133e-07,,EPIPL_HUMAN,8,,5.338142127083818e-09,8.252969167797133e-07,0.454609870910645,Down,6.083389777364976,EPPK1,Epiplakin,EPIPL_HUMAN,P58107
-0.823947191238403,9.671842455863953,,5.895086793096324e-09,8.646636067830415e-07,,BCAM_HUMAN,8,,5.895086793096324e-09,8.646636067830415e-07,0.823947191238403,Down,6.063152819856248,BCAM,Basal cell adhesion molecule,BCAM_HUMAN,P50895
1.34782123565674,10.359935283660883,,5.926257410377954e-09,8.646636067830415e-07,,ECE1_HUMAN,8,,5.926257410377954e-09,8.646636067830415e-07,-1.34782123565674,Up,6.063152819856248,ECE1,Endothelin-converting enzyme 1,ECE1_HUMAN,P42892
-1.33595728874207,12.583009123802185,,6.006146453192039e-09,8.646636067830415e-07,,ZA2G_HUMAN,8,,6.006146453192039e-09,8.646636067830415e-07,1.33595728874207,Down,6.063152819856248,AZGP1,Zinc-alpha-2-glycoprotein,ZA2G_HUMAN,P25311
1.26021695137024,11.1367040872574,,6.014867657631604e-09,8.646636067830415e-07,,RN213_HUMAN,8,,6.014867657631604e-09,8.646636067830415e-07,-1.26021695137024,Up,6.063152819856248,RNF213,E3 ubiquitin-protein ligase RNF213,RN213_HUMAN,Q63HN8
1.60078740119934,13.623195290565501,,8.494076703709244e-09,1.2000080087964405e-06,,PSB9_HUMAN,8,,8.494076703709244e-09,1.2000080087964405e-06,-1.60078740119934,Up,5.920815855481964,PSMB9,Proteasome subunit beta type-9,PSB9_HUMAN,P28065
0.582582712173462,12.628551602363604,,8.68147458529357e-09,1.2056949618965342e-06,,C1S_HUMAN,8,,8.68147458529357e-09,1.2056949618965342e-06,-0.582582712173462,Up,5.91876255382257,C1S,Complement C1s subcomponent,C1S_HUMAN,P09871
1.31020355224609,10.55716943740845,,9.38444371298516e-09,1.28160219640334e-06,,GMPR1_HUMAN,8,,9.38444371298516e-09,1.28160219640334e-06,-1.31020355224609,Up,5.892246756967521,GMPR,GMP reductase 1,GMPR1_HUMAN,P36959
0.28240704536438,9.28426468372345,,1.0522717407785586e-08,1.4134942039245097e-06,,INT13_HUMAN,8,,1.0522717407785586e-08,1.4134942039245097e-06,-0.28240704536438,Up,5.849705968008394,INTS13,Integrator complex subunit 13,INT13_HUMAN,Q9NVM9
1.23831081390381,13.679687738418576,,1.2223625888920644e-08,1.6154901699002542e-06,,CN37_HUMAN,8,,1.2223625888920644e-08,1.6154901699002542e-06,-1.23831081390381,Up,5.791695680277761,CNP,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",CN37_HUMAN,P09543
1.69981646537781,10.675880789756786,,1.2553578435446157e-08,1.6327622492070763e-06,,PAR10_HUMAN,8,,1.2553578435446157e-08,1.6327622492070763e-06,-1.69981646537781,Up,5.787077049418018,PARP10,Protein mono-ADP-ribosyltransferase PARP10,PAR10_HUMAN,Q53GL7
0.566442012786865,16.192370653152466,,1.4030898695978793e-08,1.7963934986695349e-06,,PSME1_HUMAN,8,,1.4030898695978793e-08,1.7963934986695349e-06,-0.566442012786865,Up,5.745598525362304,PSME1,Proteasome activator complex subunit 1,PSME1_HUMAN,Q06323
0.791862726211548,11.308921933174151,,1.4634528174895356e-08,1.8272701770423544e-06,,ABCD1_HUMAN,8,,1.4634528174895356e-08,1.8272701770423544e-06,-0.791862726211548,Up,5.7381972338605856,ABCD1,ATP-binding cassette sub-family D member 1,ABCD1_HUMAN,P33897
0.221601009368896,14.77304005622863,,1.471806586341169e-08,1.8272701770423544e-06,,CBS_HUMAN,8,,1.471806586341169e-08,1.8272701770423544e-06,-0.221601009368896,Up,5.7381972338605856,CBS,Cystathionine beta-synthase,CBS_HUMAN,P35520
1.446368932724,12.609841704368584,,1.5183404087292073e-08,1.829839631245585e-06,,SP100_HUMAN,8,,1.5183404087292073e-08,1.829839631245585e-06,-1.446368932724,Up,5.7375869705520826,SP100,Nuclear autoantigen Sp-100,SP100_HUMAN,P23497
2.60482954978943,11.498341441154475,,1.5185391130668754e-08,1.829839631245585e-06,,PLS1_HUMAN,8,,1.5185391130668754e-08,1.829839631245585e-06,-2.60482954978943,Up,5.7375869705520826,PLSCR1,Phospholipid scramblase 1,PLS1_HUMAN,O15162
-0.584817886352539,12.667426109313976,,1.61304823248344e-08,1.915553219850624e-06,,FDFT_HUMAN,8,,1.61304823248344e-08,1.915553219850624e-06,0.584817886352539,Down,5.717705777501642,FDFT1,Squalene synthase,FDFT_HUMAN,P37268
-1.72235655784607,10.96818459033965,,1.653251170363524e-08,1.9352485842798162e-06,,FSTL1_HUMAN,8,,1.653251170363524e-08,1.9352485842798162e-06,1.72235655784607,Down,5.713263241576843,FSTL1,Follistatin-related protein 1,FSTL1_HUMAN,Q12841
3.08787178993225,10.551526665687568,,1.677157345359439e-08,1.935581308151443e-06,,GBP4_HUMAN,8,,1.677157345359439e-08,1.935581308151443e-06,-3.08787178993225,Up,5.713188580511482,GBP4,Guanylate-binding protein 4,GBP4_HUMAN,Q96PP9
2.02642560005188,12.42694294452669,,1.7955723707802694e-08,2.0434611119685454e-06,,BST2_HUMAN,8,,1.7955723707802694e-08,2.0434611119685454e-06,-2.02642560005188,Up,5.689633622703146,BST2,Bone marrow stromal antigen 2,BST2_HUMAN,Q10589
-0.296000957489014,11.33072829246521,,1.883124663140146e-08,2.1091084420235473e-06,,MACF1_HUMAN,8,,1.883124663140146e-08,2.1091084420235473e-06,0.296000957489014,Down,5.675901089979967,MACF1,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5",MACF1_HUMAN,Q9UPN3
1.16282725334167,13.674786210060116,,1.921706775453085e-08,2.1091084420235473e-06,,LG3BP_HUMAN,8,,1.921706775453085e-08,2.1091084420235473e-06,-1.16282725334167,Up,5.675901089979967,LGALS3BP,Galectin-3-binding protein,LG3BP_HUMAN,Q08380
1.13517761230469,12.187822580337524,,1.9489147361100856e-08,2.1091084420235473e-06,,CASP1_HUMAN,8,,1.9489147361100856e-08,2.1091084420235473e-06,-1.13517761230469,Up,5.675901089979967,CASP1,Caspase-1,CASP1_HUMAN,P29466
-0.680138826370239,10.79734408855438,,1.9822253136366403e-08,2.1091084420235473e-06,,EDC4_HUMAN,8,,1.9822253136366403e-08,2.1091084420235473e-06,0.680138826370239,Down,5.675901089979967,EDC4,Enhancer of mRNA-decapping protein 4,EDC4_HUMAN,Q6P2E9
1.15144157409668,14.976349830627434,,2.0028539359314403e-08,2.1091084420235473e-06,,APOL2_HUMAN,8,,2.0028539359314403e-08,2.1091084420235473e-06,-1.15144157409668,Up,5.675901089979967,APOL2,Apolipoprotein L2,APOL2_HUMAN,Q9BQE5
0.867827653884888,12.651218295097335,,2.007694147886706e-08,2.1091084420235473e-06,,CATS_HUMAN,8,,2.007694147886706e-08,2.1091084420235473e-06,-0.867827653884888,Up,5.675901089979967,CTSS,Cathepsin S,CATS_HUMAN,P25774
-0.639181137084961,14.126543521881095,,2.1500742545181244e-08,2.2300896761419634e-06,,PLOD2_HUMAN,8,,2.1500742545181244e-08,2.2300896761419634e-06,0.639181137084961,Down,5.651677672794638,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",PLOD2_HUMAN,O00469
0.750337839126587,12.85632479190826,,2.250378607073945e-08,2.3049502882954883e-06,,ADPRS_HUMAN,8,,2.250378607073945e-08,2.3049502882954883e-06,-0.750337839126587,Up,5.637338436761,ADPRS,ADP-ribosylhydrolase ARH3,ADPRS_HUMAN,Q9NX46
0.483102083206177,15.15466725826264,,2.3146155591438533e-08,2.341476529830214e-06,,FKBP5_HUMAN,8,,2.3146155591438533e-08,2.341476529830214e-06,-0.483102083206177,Up,5.6305101910812665,FKBP5,Peptidyl-prolyl cis-trans isomerase FKBP5,FKBP5_HUMAN,Q13451
-0.815895557403564,11.804607629775985,,2.3737015422989455e-08,2.3719646875118974e-06,,SETD7_HUMAN,8,,2.3737015422989455e-08,2.3719646875118974e-06,0.815895557403564,Down,5.624891780793813,SETD7,Histone-lysine N-methyltransferase SETD7,SETD7_HUMAN,Q8WTS6
1.84161901473999,10.250015974044793,,2.455490257314864e-08,2.3958973634082157e-06,,TDRD7_HUMAN,8,,2.455490257314864e-08,2.3958973634082157e-06,-1.84161901473999,Up,5.620531790397998,TDRD7,Tudor domain-containing protein 7,TDRD7_HUMAN,Q8NHU6
1.22361946105957,11.776991128921516,,2.4561310535305116e-08,2.3958973634082157e-06,,OGFR_HUMAN,8,,2.4561310535305116e-08,2.3958973634082157e-06,-1.22361946105957,Up,5.620531790397998,OGFR,Opioid growth factor receptor,OGFR_HUMAN,Q9NZT2
0.609272718429565,13.75322353839875,,2.4968683914867933e-08,2.406981129393269e-06,,CD47_HUMAN,8,,2.4968683914867933e-08,2.406981129393269e-06,-0.609272718429565,Up,5.618527314557749,CD47,Leukocyte surface antigen CD47,CD47_HUMAN,Q08722
0.388707876205444,12.05235207080841,,2.583321476959344e-08,2.461364672349403e-06,,UBA6_HUMAN,8,,2.583321476959344e-08,2.461364672349403e-06,-0.388707876205444,Up,5.608824037066745,UBA6,Ubiquitin-like modifier-activating enzyme 6,UBA6_HUMAN,A0AVT1
-0.670073747634888,12.396902203559868,,2.6140824778372125e-08,2.4620450371721977e-06,,CSDE1_HUMAN,8,,2.6140824778372125e-08,2.4620450371721977e-06,0.670073747634888,Down,5.608704006962595,CSDE1,Cold shock domain-containing protein E1,CSDE1_HUMAN,O75534
-0.704702615737915,13.268927216529864,,2.742090343419785e-08,2.553260031134286e-06,,A1CF_HUMAN,8,,2.742090343419785e-08,2.553260031134286e-06,0.704702615737915,Down,5.592904953180086,A1CF,APOBEC1 complementation factor,A1CF_HUMAN,Q9NQ94
2.06396222114563,11.489215254783614,,2.9313685083422792e-08,2.698835231163667e-06,,APOL3_HUMAN,8,,2.9313685083422792e-08,2.698835231163667e-06,-2.06396222114563,Up,5.5688236291080795,APOL3,Apolipoprotein L3,APOL3_HUMAN,O95236
0.867911815643311,14.529350757598866,,3.14763120818584e-08,2.8657433466527527e-06,,SNAA_HUMAN,8,,3.14763120818584e-08,2.8657433466527527e-06,-0.867911815643311,Up,5.542762707212781,NAPA,Alpha-soluble NSF attachment protein,SNAA_HUMAN,P54920
1.13862490653992,11.00223076343535,,3.239565080304172e-08,2.917032556924438e-06,,FBX6_HUMAN,8,,3.239565080304172e-08,2.917032556924438e-06,-1.13862490653992,Up,5.53505872370181,FBXO6,F-box only protein 6,FBX6_HUMAN,Q9NRD1
0.827022552490234,11.69989252090455,,3.746832706246689e-08,3.3050141317107282e-06,,RN114_HUMAN,8,,3.746832706246689e-08,3.3050141317107282e-06,-0.827022552490234,Up,5.480826679200772,RNF114,E3 ubiquitin-protein ligase RNF114,RN114_HUMAN,Q9Y508
-1.50113821029663,9.128506183624268,,3.7511144038210606e-08,3.3050141317107282e-06,,MYL9_HUMAN,8,,3.7511144038210606e-08,3.3050141317107282e-06,1.50113821029663,Down,5.480826679200772,MYL9,Myosin regulatory light polypeptide 9,MYL9_HUMAN,P24844
1.12146067619324,14.794026017189001,,4.074007011855723e-08,3.5513205803346592e-06,,TPSN_HUMAN,8,,4.074007011855723e-08,3.5513205803346592e-06,-1.12146067619324,Up,5.449610121844786,TAPBP,Tapasin,TPSN_HUMAN,O15533
0.631404161453247,13.233206629753125,,4.404404832862737e-08,3.778776823121948e-06,,SYWC_HUMAN,8,,4.404404832862737e-08,3.778776823121948e-06,-0.631404161453247,Up,5.422648757024182,WARS1,"Tryptophan--tRNA ligase, cytoplasmic",SYWC_HUMAN,P23381
-0.389048099517822,12.57959938049316,,4.472703784064516e-08,3.778776823121948e-06,,LRP1_HUMAN,8,,4.472703784064516e-08,3.778776823121948e-06,0.389048099517822,Down,5.422648757024182,LRP1,Prolow-density lipoprotein receptor-related protein 1,LRP1_HUMAN,Q07954
0.232146501541138,14.97298181056976,,4.473289624637893e-08,3.778776823121948e-06,,PEPD_HUMAN,8,,4.473289624637893e-08,3.778776823121948e-06,-0.232146501541138,Up,5.422648757024182,PEPD,Xaa-Pro dipeptidase,PEPD_HUMAN,P12955
0.234367609024048,15.163624644279476,,4.56364497661558e-08,3.8110284874558538e-06,,PSB1_HUMAN,8,,4.56364497661558e-08,3.8110284874558538e-06,-0.234367609024048,Up,5.418957804862407,PSMB1,Proteasome subunit beta type-1,PSB1_HUMAN,P20618
