"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BDM_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","D_vs_BDM"
-2.2471275,10.12301125,-76.9432986082838,9.1054507194033e-12,5.74203730751294e-09,17.8496408865677,"HELZ2_HUMAN",117,96.094146288751,3.88692361310501e-13,2.89681816183954e-10,2.2471275,"Up in D",9.53807876533756,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN",-2.2471275
-2.441975,11.4218875,-78.1878132285567,8.11270684106991e-12,5.5423308902576e-09,17.9477126841304,"DDX60_HUMAN",75,93.5122153186723,4.79309655404353e-13,3.2744837958374e-10,2.441975,"Up in D",9.48485715438644,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN",-2.441975
-1.973265,10.8892175,-67.5764417940162,2.3165710201438e-11,1.1952157719774e-08,17.0283642275125,"SLFN5_HUMAN",37,78.4520330318418,1.85052520174598e-12,1.1669696618395e-09,1.973265,"Up in D",8.93294043432906,"SLFN5","Schlafen family member 5","SLFN5_HUMAN",-1.973265
-1.608825,11.8522375,-63.6469306983643,3.56418839369237e-11,1.71877743832295e-08,16.6338630649201,"SAMH1_HUMAN",38,77.6668561242104,1.9993747183911e-12,1.17077671009787e-09,1.608825,"Up in D",8.93152592543929,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN",-1.608825
1.80245,13.60575,78.6251128077862,7.79359620135731e-12,5.5423308902576e-09,17.9816161614536,"FGL1_HUMAN",17,-76.820076076139,2.17526143039514e-12,1.18885288042529e-09,-1.80245,"Up in BDM",8.92487188564428,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN",1.80245
-0.879850000000001,11.10925,-42.9354857848443,6.03050409235521e-10,1.37327979303133e-07,13.8524454987508,"PAR14_HUMAN",91,71.3410673076023,3.84273377927472e-12,1.96892072015589e-09,0.879850000000001,"Up in D",8.70577177065315,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN",-0.879850000000001
0.989550000000001,13.205275,44.3077968443656,4.81139232823356e-10,1.15201663668421e-07,14.084496761878,"FAT1_HUMAN",153,-68.7035887525666,5.13377002536132e-12,2.46798680062276e-09,-0.989550000000001,"Up in BDM",8.60765716734221,"FAT1","Protocadherin Fat 1","FAT1_HUMAN",0.989550000000001
-3.7307,14.62545,-67.5112951225522,2.33269728612324e-11,1.1952157719774e-08,17.0220862912926,"ISG15_HUMAN",15,68.2223615772877,5.4188536729946e-12,2.46798680062276e-09,3.7307,"Up in D",8.60765716734221,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN",-3.7307
-3.7710275,10.48766125,-69.8431999835931,1.82718323698222e-11,1.06994629834144e-08,17.2416130453811,"ISG20_HUMAN",11,67.0009034468601,6.22631635151929e-12,2.68649165525027e-09,3.7710275,"Up in D",8.57081450409376,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN",-3.7710275
1.871575,12.7308625,59.6233834138303,5.70013855871009e-11,2.59609643912807e-08,16.1938134161143,"ANXA1_HUMAN",23,-63.9395820810236,8.92016895628101e-12,3.65637725517959e-09,-1.871575,"Up in BDM",8.43694900128881,"ANXA1","Annexin A1","ANXA1_HUMAN",1.871575
-3.18225,14.386025,-58.6418139940405,6.42265966695778e-11,2.77120862893262e-08,16.0803893931078,"OAS3_HUMAN",45,62.8274158121915,1.02082425137029e-11,3.98510343463506e-09,3.18225,"Up in D",8.39956040186931,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN",-3.18225
1.165325,14.7073125,47.8491661576876,2.76996604627579e-10,7.92373989870335e-08,14.6455769790858,"VIME_HUMAN",46,-61.1300490962357,1.26000965797634e-11,4.52549856517238e-09,-1.165325,"Up in BDM",8.34433356846413,"VIM","Vimentin","VIME_HUMAN",1.165325
-4.2576325,8.94148375,-58.0965525375425,6.86880013184452e-11,2.81552117404307e-08,16.0162918296217,"OASL_HUMAN",28,60.7777823065541,1.3172378968733e-11,4.52549856517238e-09,4.2576325,"Up in D",8.34433356846413,"OASL","2'-5'-oligoadenylate synthase-like protein","OASL_HUMAN",-4.2576325
-2.7981225,10.13166375,-56.284739337168,8.62564149414867e-11,3.36728614138242e-08,15.7975042973282,"IFIH1_HUMAN",45,60.7321764892742,1.32485930183139e-11,4.52549856517238e-09,2.7981225,"Up in D",8.34433356846413,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN",-2.7981225
1.220425,11.4345875,55.8555222385248,9.11355335494455e-11,3.39604138199252e-08,15.7443260061826,"ANXA3_HUMAN",21,-60.1121509737115,1.43357566213729e-11,4.7009813112806e-09,-1.220425,"Up in BDM",8.32781147534309,"ANXA3","Annexin A3","ANXA3_HUMAN",1.220425
1.77385,14.676175,52.0086204642528,1.52197442255331e-10,5.19881096503835e-08,15.2430005678591,"FIBB_HUMAN",38,-58.4965457842206,1.76745679124215e-11,5.5729272210012e-09,-1.77385,"Up in BDM",8.25391662852535,"FGB","Fibrinogen beta chain","FIBB_HUMAN",1.77385
-1.321325,14.7584375,-52.8401723257693,1.35801794560408e-10,4.84044831220097e-08,15.3552875212305,"GBP1_HUMAN",22,57.1615201786874,2.11053895692458e-11,6.40822161809915e-09,1.321325,"Up in D",8.1932624772838,"GBP1","Guanylate-binding protein 1","GBP1_HUMAN",-1.321325
-1.144825,12.2375375,-47.6551449399958,2.85199140843257e-10,7.92373989870335e-08,14.6161570965537,"PURA1_HUMAN",29,56.1331358474526,2.42646140171846e-11,7.10433234688853e-09,1.144825,"Up in D",8.14847673007804,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN",-1.144825
-1.43695,11.672575,-48.7652987329573,2.41720460480217e-10,7.62163205775699e-08,14.7825450115379,"E2AK2_HUMAN",23,52.5644377320473,4.01902091046931e-11,1.13613563531129e-08,1.43695,"Up in D",7.94456981814002,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN",-1.43695
-0.750899999999996,15.44865,-37.1407800762387,1.70623822480622e-09,3.02962952941417e-07,12.7671141884683,"TKFC_HUMAN",40,52.1789863815475,4.25275757476352e-11,1.16213688659704e-08,0.750899999999996,"Up in D",7.9347427139488,"TKFC","Triokinase/FMN cyclase","TKFC_HUMAN",-0.750899999999996
-1.178625,11.8194625,-47.272442702341,3.02202487511232e-10,7.99179352457122e-08,14.5576961708248,"5NT3A_HUMAN",23,51.8562549503444,4.46031352750531e-11,1.17953710640285e-08,1.178625,"Up in D",7.92828839233453,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN",-1.178625
-0.948300000000007,16.042825,-40.7474848932741,8.77738306281619e-10,1.94478341483695e-07,13.4637732212695,"AMPL_HUMAN",38,51.577204848333,4.64903370293031e-11,1.19102432176946e-08,0.948300000000007,"Up in D",7.92407936974945,"LAP3","Cytosol aminopeptidase","AMPL_HUMAN",-0.948300000000007
-1.593325,10.9609125,-50.023326215606,2.01303078551397e-10,6.60113055185741e-08,14.9655490927653,"T23O_HUMAN",17,50.1869499215171,5.73449900272886e-11,1.42458857043549e-08,1.593325,"Up in D",7.84631054434966,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN",-1.593325
3.707695,10.9335275,47.5453406938349,2.89963645963772e-10,7.92373989870335e-08,14.5994423283945,"TSP4_HUMAN",21,-49.3090807625852,6.56664121308789e-11,1.58333307837925e-08,-3.707695,"Up in BDM",7.80042771502648,"THBS4","Thrombospondin-4","TSP4_HUMAN",3.707695
-2.001,11.367025,-45.0180265960693,4.29227440469145e-10,1.09962704905189e-07,14.2012582297006,"STAT2_HUMAN",35,48.658520239684,7.27159218301494e-11,1.70321464903876e-08,2.001,"Up in D",7.76873061626599,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN",-2.001
1.941825,14.9081875,44.2377507472952,4.8663530463106e-10,1.15201663668421e-07,14.072860252067,"FIBA_HUMAN",43,-48.2696529487437,7.73362699119113e-11,1.73572059945004e-08,-1.941825,"Up in BDM",7.76052018231784,"FGA","Fibrinogen alpha chain","FIBA_HUMAN",1.941825
1.07845,14.69215,48.0718537858988,2.67911267400784e-10,7.92373989870335e-08,14.6791643402449,"VNN1_HUMAN",18,-48.1887870059359,7.83382070988674e-11,1.73572059945004e-08,-1.07845,"Up in BDM",7.76052018231784,"VNN1","Pantetheinase","VNN1_HUMAN",1.07845
-0.748924999999996,11.9184375,-34.5164476467086,2.88480951647899e-09,3.99404187442266e-07,12.2100128020212,"DTX3L_HUMAN",43,46.7701381838897,9.85357757052313e-11,2.12577970850391e-08,0.748924999999996,"Up in D",7.67248174279397,"DTX3L","E3 ubiquitin-protein ligase DTX3L","DTX3L_HUMAN",-0.748924999999996
-0.704799999999997,11.688575,-31.8569923769249,5.1222688987373e-09,5.75237814134909e-07,11.5951197463065,"DSRAD_HUMAN",59,45.1472612283034,1.29212864819221e-10,2.71612068150763e-08,0.704799999999997,"Up in D",7.56605093757693,"ADAR","Double-stranded RNA-specific adenosine deaminase","DSRAD_HUMAN",-0.704799999999997
0.969524999999999,13.7630875,34.553858507436,2.862508509598e-09,3.99404187442266e-07,12.2182841889802,"APOB_HUMAN",239,-44.7942329200386,1.37236014118624e-10,2.8126521093612e-08,-0.969524999999999,"Up in BDM",7.55088398142462,"APOB","Apolipoprotein B-100","APOB_HUMAN",0.969524999999999
-1.3019,11.163025,-38.2832116915707,1.37309092527492e-09,2.68014271557233e-07,12.9958877956588,"DPYD_HUMAN",55,44.0534434829104,1.55969233289635e-10,3.11862384026446e-08,1.3019,"Up in D",7.50603700547669,"DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","DPYD_HUMAN",-1.3019
-0.922250000000002,10.967725,-33.2840807459418,3.74291496007024e-09,4.64915406706907e-07,11.9318301712947,"RN213_HUMAN",232,43.4438707390312,1.73566871354809e-10,3.38786002706363e-08,0.922250000000002,"Up in D",7.47007454129577,"RNF213","E3 ubiquitin-protein ligase RNF213","RN213_HUMAN",-0.922250000000002
-2.260875,12.8562625,-44.1723137990543,4.91834377701236e-10,1.15201663668421e-07,14.0619695880125,"UB2L6_HUMAN",12,42.8588357868771,1.92591912688973e-10,3.59364323377693e-08,2.260875,"Up in D",7.44446504055282,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN",-2.260875
1.821875,15.2110875,39.9853090079151,1.00507070007572e-09,2.16830778926861e-07,13.3226278559254,"FIBG_HUMAN",29,-42.7284137590497,1.97147595070965e-10,3.59364323377693e-08,-1.821875,"Up in BDM",7.44446504055282,"FGG","Fibrinogen gamma chain","FIBG_HUMAN",1.821875
-1.05335,11.592,-36.2049087300397,2.04875591616895e-09,3.19142937668724e-07,12.5736728528573,"UBA7_HUMAN",43,42.7252321350419,1.97260240936767e-10,3.59364323377693e-08,1.05335,"Up in D",7.44446504055282,"UBA7","Ubiquitin-like modifier-activating enzyme 7","UBA7_HUMAN",-1.05335
-1.091425,12.0409125,-37.6011603083048,1.56199899981243e-09,2.9102881364687e-07,12.8602570414186,"ATTY_HUMAN",28,42.1130229895554,2.20352906484265e-10,3.86198335570218e-08,1.091425,"Up in D",7.41318960226617,"TAT","Tyrosine aminotransferase","ATTY_HUMAN",-1.091425
0.825132499999999,10.30625875,38.9980370623805,1.20248334740143e-09,2.46448962049923e-07,13.135102703866,"DREB_HUMAN",21,-42.0867153054074,2.21411585408639e-10,3.86198335570218e-08,-0.825132499999999,"Up in BDM",7.41318960226617,"DBN1","Drebrin","DREB_HUMAN",0.825132499999999
1.0697,13.491125,36.1693005025389,2.06325636697272e-09,3.19142937668724e-07,12.566201584096,"K2C7_HUMAN",37,-41.8533001056598,2.31060514371529e-10,3.94632103503707e-08,-1.0697,"Up in BDM",7.4038075875902,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN",1.0697
-0.973924999999999,15.1309625,-36.2090582120229,2.04707371446109e-09,3.19142937668724e-07,12.574542952679,"TYPH_HUMAN",30,41.6773978830388,2.38646117019222e-10,3.99269564759914e-08,0.973924999999999,"Up in D",7.39873379363885,"TYMP","Thymidine phosphorylase","TYPH_HUMAN",-0.973924999999999
-0.966024999999998,11.3490875,-37.2358205940869,1.6752608492818e-09,3.02962952941417e-07,12.7864495341457,"TAP1_HUMAN",24,41.11777696324,2.64715548119686e-10,4.34027612697037e-08,0.966024999999998,"Up in D",7.36248263993339,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN",-0.966024999999998
1.344165,10.6929175,37.0485670650644,1.73691861286248e-09,3.02962952941417e-07,12.748300366982,"TRFL_HUMAN",33,-40.8341089394189,2.79148332060307e-10,4.48717260045176e-08,-1.344165,"Up in BDM",7.34802722487698,"LTF","Lactotransferrin","TRFL_HUMAN",1.344165
0.824725000000001,11.3900875,32.1057803305491,4.84485303477037e-09,5.51640349708992e-07,11.6549974673719,"CBPD_HUMAN",54,-40.7099803640889,2.85741813793068e-10,4.50482959514533e-08,-0.824725000000001,"Up in BDM",7.34632163249574,"CPD","Carboxypeptidase D","CBPD_HUMAN",0.824725000000001
1.040875,11.8167625,35.356160083296,2.42841665801337e-09,3.55502852899886e-07,12.3933020847258,"TFR1_HUMAN",34,-40.5713083441897,2.93316691674182e-10,4.53700044970744e-08,-1.040875,"Up in BDM",7.34323117768672,"TFRC","Transferrin receptor protein 1","TFR1_HUMAN",1.040875
-0.634075000000001,14.7290125,-29.1503682024,9.666945745328e-09,9.66458795368279e-07,10.9087739387157,"ACOHC_HUMAN",48,40.3631237507121,3.05118284600748e-10,4.63214758732765e-08,0.634075000000001,"Up in D",7.33421761177179,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN",-0.634075000000001
-1.6831,11.298775,-38.6523403897098,1.28177811095342e-09,2.56293096429174e-07,13.0681454325326,"APOL3_HUMAN",18,39.6302826496134,3.51138489861099e-10,5.23387879978416e-08,1.6831,"Up in D",7.28117633847764,"APOL3","Apolipoprotein L3","APOL3_HUMAN",-1.6831
1.60795,11.8546,36.7451409752439,1.84239443137881e-09,3.08243868335581e-07,12.6860171121648,"K1C19_HUMAN",26,-39.0896398906993,3.90129685729858e-10,5.71121993502388e-08,-1.60795,"Up in BDM",7.24327111514111,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN",1.60795
-0.977725000000001,11.9565375,-36.022387148115,2.124330787383e-09,3.22504885091961e-07,12.5352885816009,"TAP2_HUMAN",22,38.6924712799929,4.21895484744284e-10,6.01628581705902e-08,0.977725000000001,"Up in D",7.22067153979956,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN",-0.977725000000001
1.070525,10.9627875,36.2044053335933,2.04896010028926e-09,3.19142937668724e-07,12.5735672886259,"ANGL3_HUMAN",22,-38.6478187395621,4.25645983641648e-10,6.01628581705902e-08,-1.070525,"Up in BDM",7.22067153979956,"ANGPTL3","Angiopoietin-related protein 3","ANGL3_HUMAN",1.070525
-0.852149999999998,11.527125,-32.2019927823424,4.74218518864603e-09,5.47555410936904e-07,11.6780174549676,"PARP9_HUMAN",37,38.4923843088166,4.38998096885694e-10,6.09984135299817e-08,0.852149999999998,"Up in D",7.21468146013898,"PARP9","Protein mono-ADP-ribosyltransferase PARP9","PARP9_HUMAN",-0.852149999999998
3.570315,9.3767675,37.8263502139378,1.49653571877557e-09,2.85316274942374e-07,12.9053457087871,"AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",12,-38.3536682810891,4.51314534929105e-10,6.16646092891467e-08,-3.570315,"Up in BDM",7.20996401587248,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",3.570315
0.483049999999999,12.530025,23.0627133409465,5.1409483242189e-08,3.14518614641392e-06,9.07874673264494,"MPRI_HUMAN",111,-38.0363032291572,4.80988538806494e-10,6.30135520392625e-08,-0.483049999999999,"Non-significant",7.20056603875384,"IGF2R","Cation-independent mannose-6-phosphate receptor","MPRI_HUMAN",0.483049999999999
1.619375,14.8866625,34.4528392039698,2.92318263558624e-09,3.99404187442266e-07,12.1959262851641,"FINC_HUMAN",120,-38.0146061791602,4.8309635709308e-10,6.30135520392625e-08,-1.619375,"Up in BDM",7.20056603875384,"FN1","Fibronectin","FINC_HUMAN",1.619375
-1.47334,10.850005,-34.9436541163825,2.64145494952084e-09,3.79906099581962e-07,12.3038768226808,"PCKGC_HUMAN",35,37.9661235238835,4.87844137533166e-10,6.30135520392625e-08,1.47334,"Up in D",7.20056603875384,"PCK1","Phosphoenolpyruvate carboxykinase, cytosolic [GTP]","PCKGC_HUMAN",-1.47334
-1.1855525,10.41874875,-33.6486271640029,3.46202689193601e-09,4.43464007188929e-07,12.0152934345744,"PAR10_HUMAN",43,37.9247938865642,4.9193307276321e-10,6.30135520392625e-08,1.1855525,"Up in D",7.20056603875384,"PARP10","Protein mono-ADP-ribosyltransferase PARP10","PAR10_HUMAN",-1.1855525
-0.643699999999999,11.70085,-30.0671668313143,7.74694051581714e-09,8.14223312162422e-07,11.1487213670717,"UAP1_HUMAN",31,37.6769915953429,5.17276332258868e-10,6.52404826439723e-08,0.643699999999999,"Up in D",7.18548283474337,"UAP1","UDP-N-acetylhexosamine pyrophosphorylase","UAP1_HUMAN",-0.643699999999999
1.54608,9.721335,33.9779227712307,3.22877300249209e-09,4.2918909048246e-07,12.0898296293803,"PTPRF_HUMAN",57,-37.2216501637688,5.67785145158369e-10,7.05257972728532e-08,-1.54608,"Up in BDM",7.1516519955768,"PTPRF","Receptor-type tyrosine-protein phosphatase F","PTPRF_HUMAN",1.54608
-0.940475000000003,17.8911375,-33.8771027824404,3.29823282512746e-09,4.2918909048246e-07,12.0670943713568,"LDHA_HUMAN",24,37.0801444372624,5.84598938594321e-10,7.12635806170656e-08,0.940475000000003,"Up in D",7.14713236044183,"LDHA","L-lactate dehydrogenase A chain","LDHA_HUMAN",-0.940475000000003
0.413650000000001,14.309425,20.9882315647624,1.00465306684662e-07,4.60119879441821e-06,8.33757017150161,"LPPRC_HUMAN",87,-37.0265732583779,5.91110451568731e-10,7.12635806170656e-08,-0.413650000000001,"Non-significant",7.14713236044183,"LRPPRC","Leucine-rich PPR motif-containing protein, mitochondrial","LPPRC_HUMAN",0.413650000000001
-0.796415,10.3320675,-28.591801473765,1.11006004308276e-08,1.08336574204672e-06,10.7585706982688,"SYNE2_HUMAN",160,36.9121473311185,6.05294938905506e-10,7.19160566543092e-08,0.796415,"Up in D",7.14317413412557,"SYNE2","Nesprin-2","SYNE2_HUMAN",-0.796415
0.756650000000002,12.92875,33.4682773092896,3.59787317471945e-09,4.53774835174616e-07,11.9741278547758,"MFGM_HUMAN",22,-36.5942972501537,6.46755937586292e-10,7.57443596618917e-08,-0.756650000000002,"Up in BDM",7.12064970155725,"MFGE8","Lactadherin","MFGM_HUMAN",0.756650000000002
0.40415,12.57205,19.8666067685551,1.48323422132755e-07,6.26781141569239e-06,7.90509811852394,"LRP1_HUMAN",189,-36.4127202911602,6.71875651791322e-10,7.75779801885247e-08,-0.40415,"Non-significant",7.11026153183054,"LRP1","Prolow-density lipoprotein receptor-related protein 1","LRP1_HUMAN",0.40415
-1.217475,14.5578875,-32.4162988852919,4.52227602471003e-09,5.37266136069396e-07,11.7290226658214,"CP2C8_HUMAN",33,35.5669327312287,8.04384845087651e-10,9.15881522226189e-08,1.217475,"Up in D",7.03816070272002,"CYP2C8","Cytochrome P450 2C8","CP2C8_HUMAN",-1.217475
-3.7164775,9.86871125,-39.291006124262,1.13963448050172e-09,2.39557012080849e-07,13.1913157414162,"NUA4L_HUMAN",5,35.3665088691192,8.39959324170866e-10,9.43285827335994e-08,3.7164775,"Up in D",7.02535669069221,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN",-3.7164775
-1.231925,15.9682875,-32.3514839604963,4.58753714623783e-09,5.37266136069396e-07,11.7136357457551,"ALDOC_HUMAN",31,35.2768059036392,8.56454181882215e-10,9.48812349063567e-08,1.231925,"Up in D",7.02281967147637,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN",-1.231925
-0.376449999999998,14.9606,-19.0720839581502,1.98040682564676e-07,7.80546882531353e-06,7.58357885009177,"GDE_HUMAN",104,34.6707045946413,9.7798818838893e-10,1.06900628912166e-07,0.376449999999998,"Non-significant",6.97101973976522,"AGL","Glycogen debranching enzyme","GDE_HUMAN",-0.376449999999998
0.999342499999997,10.34312875,31.630667847773,5.39042821591891e-09,5.97172033974368e-07,11.5402022491529,"GLSK_HUMAN",24,-34.1549694167573,1.09688392294761e-09,1.18319136846375e-07,-0.999342499999997,"Up in BDM",6.92694500723483,"GLS","Glutaminase kidney isoform, mitochondrial","GLSK_HUMAN",0.999342499999997
-0.617900000000001,14.971175,-27.6919216020078,1.39500016647104e-08,1.27069015163662e-06,10.5098554593829,"CBS_HUMAN",31,34.0719387867607,1.1175114855165e-09,1.18677741082394e-07,0.617900000000001,"Up in D",6.92563072865776,"CBS","Cystathionine beta-synthase","CBS_HUMAN",-0.617900000000001
0.855074999999999,15.8947875,30.0893000255722,7.70627781593244e-09,8.14223312162422e-07,11.1544161114672,"APOE_HUMAN",29,-34.0258069653508,1.12916123498741e-09,1.18677741082394e-07,-0.855074999999999,"Up in BDM",6.92563072865776,"APOE","Apolipoprotein E","APOE_HUMAN",0.855074999999999
-1.303245,9.9808275,-30.4797387722976,7.02743293105717e-09,7.68145268917423e-07,11.2541348685673,"TDRD7_HUMAN",52,33.5752674280813,1.25044098811327e-09,1.29662315835665e-07,1.303245,"Up in D",6.88718622594098,"TDRD7","Tudor domain-containing protein 7","TDRD7_HUMAN",-1.303245
-0.743950000000002,12.12155,-27.6115408480129,1.42426713762507e-08,1.28216178398965e-06,10.4872212043756,"PML_HUMAN",44,33.5234583903527,1.265306814693e-09,1.29662315835665e-07,0.743950000000002,"Up in D",6.88718622594098,"PML","Protein PML","PML_HUMAN",-0.743950000000002
-0.560249999999998,11.42605,-24.7002591800693,3.15400343493157e-08,2.19123052199737e-06,9.61682859307163,"KPBB_HUMAN",49,33.2803671377066,1.33777677141652e-09,1.35396221877439e-07,0.560249999999998,"Up in D",6.86839345411965,"PHKB","Phosphorylase b kinase regulatory subunit beta","KPBB_HUMAN",-0.560249999999998
1.298925,11.1799125,32.5729244438822,4.36888782855921e-09,5.26707976743065e-07,11.76606612504,"FSTL1_HUMAN",17,-33.0309658955118,1.41703744516492e-09,1.41669182627585e-07,-1.298925,"Up in BDM",6.84872461178765,"FSTL1","Follistatin-related protein 1","FSTL1_HUMAN",1.298925
0.561425,12.0340875,25.0188098368131,2.8786628540983e-08,2.12606108809891e-06,9.71718120305318,"FPRP_HUMAN",40,-32.6445035958093,1.55055538109273e-09,1.53150036315641e-07,-0.561425,"Up in BDM",6.81488289587549,"PTGFRN","Prostaglandin F2 receptor negative regulator","FPRP_HUMAN",0.561425
-0.496725000000001,15.8636125,-22.0524530060811,7.06989051566441e-08,3.76498318058869e-06,8.72672381010553,"AOXA_HUMAN",91,32.4802661916332,1.61155438485349e-09,1.56540833903378e-07,0.496725000000001,"Non-significant",6.80537235699454,"AOX1","Aldehyde oxidase","AOXA_HUMAN",-0.496725000000001
-0.990650000000004,13.74175,-33.9163885141364,3.27096668832012e-09,4.2918909048246e-07,12.0759623571329,"NDRG1_HUMAN",15,32.4500351162827,1.62307524783936e-09,1.56540833903378e-07,0.990650000000004,"Up in D",6.80537235699454,"NDRG1","Protein NDRG1","NDRG1_HUMAN",-0.990650000000004
0.420150000000003,13.343725,20.7661501562954,1.08344898147723e-07,4.8536146175685e-06,8.25382986025234,"ITAV_HUMAN",58,-32.2124908941827,1.71690841738622e-09,1.6366529308991e-07,-0.420150000000003,"Non-significant",6.78604340743972,"ITGAV","Integrin alpha-V","ITAV_HUMAN",0.420150000000003
0.504925,12.4794625,23.1455514179788,5.01142315106546e-08,3.08899601446877e-06,9.10690397047146,"CSDE1_HUMAN",47,-31.8385547874386,1.87729503254956e-09,1.76897295136107e-07,-0.504925,"Up in BDM",6.75227880765808,"CSDE1","Cold shock domain-containing protein E1","CSDE1_HUMAN",0.504925
