"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CM_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","D_vs_CM"
-3.28851,11.772745,-50.931858746991,1.27560790736732e-10,8.59228226270838e-08,15.2325750078459,"OAS1_HUMAN",20,52.34552184444,1.88555522138421e-10,1.38554025949533e-07,3.28851,"Up in D",6.85838085045004,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN",-3.28851
-1.5936,11.85985,-40.7362080670846,6.52873238230035e-10,3.10422022624316e-07,13.7433525476938,"SAMH1_HUMAN",38,48.570286411318,3.20390424678515e-10,2.15809650223036e-07,1.5936,"Up in D",6.66592913914844,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN",-1.5936
-1.4485,11.6668,-42.4738813473602,4.81171249003655e-10,2.43081700356034e-07,14.0312810605192,"E2AK2_HUMAN",23,47.2861534599538,3.87322967837613e-10,2.40825503771648e-07,1.4485,"Up in D",6.61829752256046,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN",-1.4485
-1.05755,11.0204,-34.6907145706769,2.10894437487337e-09,8.28834934445321e-07,12.6023246719569,"PAR14_HUMAN",91,46.0682685177567,4.65906151023597e-10,2.68994244194552e-07,1.05755,"Up in D",6.57025701271614,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN",-1.05755
-1.01518,10.15906,-32.8714930569816,3.12343818536413e-09,1.11087070294086e-06,12.2092550234578,"TSP1_HUMAN",50,42.3845102740949,8.40332583722799e-10,4.28780265126632e-07,1.01518,"Up in D",6.36776521152387,"THBS1","Thrombospondin-1","TSP1_HUMAN",-1.01518
-1.203675,11.8069375,-35.2270297142931,1.8856763307141e-09,8.28834934445321e-07,12.7133891761597,"5NT3A_HUMAN",23,42.3248105568575,8.48754700238292e-10,4.28780265126632e-07,1.203675,"Up in D",6.36776521152387,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN",-1.203675
-2.256725,11.5145125,-49.6696620532143,1.53259852902956e-10,9.52922608472767e-08,15.0718864342283,"DDX60_HUMAN",75,40.8538818305182,1.09006679003894e-09,5.18294697875572e-07,2.256725,"Up in D",6.28542323394488,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN",-2.256725
-1.8731425,10.88010375,-34.9332932011188,2.00443766263659e-09,8.28834934445321e-07,12.652821354495,"NAT8_HUMAN",11,36.3330017179773,2.49766819251175e-09,1.1215917777818e-06,1.8731425,"Up in D",5.95016518311233,"NAT8","N-acetyltransferase 8","NAT8_HUMAN",-1.8731425
-0.893850000000004,10.5646,-27.462758966341,1.15616074042753e-08,2.74860213672816e-06,10.867203568174,"PAR10_HUMAN",43,35.5323422527965,2.92354652364873e-09,1.22015149311836e-06,0.893850000000004,"Up in D",5.91358624429181,"PARP10","Protein mono-ADP-ribosyltransferase PARP10","PAR10_HUMAN",-0.893850000000004
-1.138575,11.9242375,-32.1046220918614,3.70976722639483e-09,1.15330955734421e-06,12.0355557544787,"PML_HUMAN",44,35.3710207440392,3.01905602652076e-09,1.22015149311836e-06,1.138575,"Up in D",5.91358624429181,"PML","Protein PML","PML_HUMAN",-1.138575
-2.944445,10.1707275,-42.9178473211996,4.45966691316887e-10,2.40316584394293e-07,14.1023321885327,"CMPK2_HUMAN",26,33.4128510697652,4.51386870824237e-09,1.68779947566897e-06,2.944445,"Up in D",5.77267915236887,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN",-2.944445
-2.0221,12.569275,-34.5917409216194,2.15335068951525e-09,8.28834934445321e-07,12.5815962124658,"HLAB_HUMAN",2,33.2491449654477,4.67313132603886e-09,1.68779947566897e-06,2.0221,"Up in D",5.77267915236887,"HLA-B","HLA class I histocompatibility antigen, B alpha chain","HLAB_HUMAN",-2.0221
0.800274999999999,11.2186875,25.0126417972165,2.27936684487787e-08,4.38669576360662e-06,10.1548051067169,"CGNL1_HUMAN",84,-32.8425959867185,5.09712341515789e-09,1.68779947566897e-06,-0.800274999999999,"Up in CM",5.77267915236887,"CGNL1","Cingulin-like protein 1","CGNL1_HUMAN",0.800274999999999
-1.362675,11.1507625,-48.711694307587,1.76719067426218e-10,1.0203001585758e-07,14.9459395995381,"TAP1_HUMAN",24,32.7853553766238,5.16027226510412e-09,1.68779947566897e-06,1.362675,"Up in D",5.77267915236887,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN",-1.362675
-0.805824999999999,13.0925375,-25.2253879107932,2.14347311751691e-08,4.3314233022223e-06,10.2197121946372,"HOIL1_HUMAN",29,32.7317561172756,5.22021364489968e-09,1.68779947566897e-06,0.805824999999999,"Up in D",5.77267915236887,"RBCK1","RanBP-type and C3HC4-type zinc finger-containing protein 1","HOIL1_HUMAN",-0.805824999999999
-2.4755175,9.71146625,-31.3364706121456,4.42560881374641e-09,1.32489614968564e-06,11.8564961529914,"IRF9_HUMAN",16,32.04813459442,6.05872506862566e-09,1.88356441268082e-06,2.4755175,"Up in D",5.72501952353955,"IRF9","Interferon regulatory factor 9","IRF9_HUMAN",-2.4755175
-2.2677825,11.06265875,-30.5583855110383,5.31500438300956e-09,1.48142001475401e-06,11.6697086121592,"PLS1_HUMAN",7,31.0651208041502,7.5480807389534e-09,2.1863510400206e-06,2.2677825,"Up in D",5.66028010656556,"PLSCR1","Phospholipid scramblase 1","PLS1_HUMAN",-2.2677825
-1.8957975,9.37312625,-65.5816181662788,2.00538916958185e-11,2.02619508221626e-08,16.7399589337791,"HLAF_HUMAN",14,30.8865715129646,7.86129422584728e-09,2.1863510400206e-06,1.8957975,"Up in D",5.66028010656556,"HLA-F","HLA class I histocompatibility antigen, alpha chain F","HLAF_HUMAN",-1.8957975
-3.275775,14.3392625,-30.8534630303796,4.95575873751356e-09,1.43062135269008e-06,11.7412022717508,"OAS3_HUMAN",45,30.879580173702,7.8738566285462e-09,2.1863510400206e-06,3.275775,"Up in D",5.66028010656556,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN",-3.275775
-1.58229,10.25938,-29.0494970066428,7.68403314757266e-09,1.88212242217666e-06,11.290972450307,"GBP4_HUMAN",27,30.7208045273984,8.16540772033356e-09,2.1863510400206e-06,1.58229,"Up in D",5.66028010656556,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN",-1.58229
-1.932775,11.9201375,-29.3584966070044,7.11457815466239e-09,1.85506887819794e-06,11.3703796467884,"BST2_HUMAN",7,30.5796855025538,8.43490159949865e-09,2.1863510400206e-06,1.932775,"Up in D",5.66028010656556,"BST2","Bone marrow stromal antigen 2","BST2_HUMAN",-1.932775
-0.961199999999998,11.276975,-26.1090035645844,1.66936032397232e-08,3.56945598237539e-06,10.4828924881091,"T23O_HUMAN",17,30.4678920244593,8.65560228636141e-09,2.1863510400206e-06,0.961199999999998,"Up in D",5.66028010656556,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN",-0.961199999999998
-0.480225000000001,12.8137125,-18.4758931440114,2.03632254706044e-07,2.28605488165132e-05,7.8019859115291,"SQSTM_HUMAN",20,30.1801969030177,9.25448264108453e-09,2.21602947841518e-06,0.480225000000001,"Non-significant",5.65442446676495,"SQSTM1","Sequestosome-1","SQSTM_HUMAN",-0.480225000000001
-4.2866575,11.99179625,-30.3559973434068,5.57850378080995e-09,1.50303486867623e-06,11.6201989762776,"OAS2_HUMAN",31,30.1493673157446,9.32141559645132e-09,2.21602947841518e-06,4.2866575,"Up in D",5.65442446676495,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN",-4.2866575
0.997050000000005,11.963975,25.1100195942969,2.21598798344413e-08,4.368739236629e-06,10.1845903398312,"HRG_HUMAN",21,-29.6209216506417,1.05590389614989e-08,2.43853462645131e-06,-0.997050000000005,"Up in CM",5.61287107317885,"HRG","Histidine-rich glycoprotein","HRG_HUMAN",0.997050000000005
-2.1547175,10.16921625,-32.5236623352116,3.37524439277403e-09,1.11087070294086e-06,12.1310825336569,"HELZ2_HUMAN",117,27.9955571985848,1.57154080884575e-08,3.4028698853111e-06,2.1547175,"Up in D",5.46815465659674,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN",-2.1547175
-0.783600000000003,11.68495,-23.2563905617727,3.86441626138648e-08,6.79045144364932e-06,9.59445171297734,"FLNC_HUMAN",102,27.9939249590005,1.57218630755e-08,3.4028698853111e-06,0.783600000000003,"Up in D",5.46815465659674,"FLNC","Filamin-C","FLNC_HUMAN",-0.783600000000003
-0.872374999999998,11.9951875,-25.539735321629,1.95917659274497e-08,4.06051907670708e-06,10.3145067521968,"NUB1_HUMAN",27,27.9248912291956,1.59976562714118e-08,3.4028698853111e-06,0.872374999999998,"Up in D",5.46815465659674,"NUB1","NEDD8 ultimate buster 1","NUB1_HUMAN",-0.872374999999998
-0.607150000000001,11.747275,-19.6691086841188,1.29737129354791e-07,1.69139551060448e-05,8.29185162343733,"ITA6_HUMAN",48,27.0118074071161,2.0216869728166e-08,4.19007584648116e-06,0.607150000000001,"Up in D",5.37777811559931,"ITGA6","Integrin alpha-6","ITA6_HUMAN",-0.607150000000001
-0.681625000000002,12.5490375,-20.7338835835331,8.86784017926608e-08,1.21489410455945e-05,8.70335864054498,"LIMC1_HUMAN",62,26.6346731189137,2.23198491974504e-08,4.42962993216204e-06,0.681625000000002,"Up in D",5.35363255484539,"LIMCH1","LIM and calponin homology domains-containing protein 1","LIMC1_HUMAN",-0.681625000000002
-4.6137425,8.76342875,-26.9594921311563,1.32252656328147e-08,2.9902418341425e-06,10.7268975779229,"OASL_HUMAN",28,26.6095213468806,2.24687402225218e-08,4.42962993216204e-06,4.6137425,"Up in D",5.35363255484539,"OASL","2'-5'-oligoadenylate synthase-like protein","OASL_HUMAN",-4.6137425
-3.136375,10.8049875,-26.9336078149883,1.33179148866918e-08,2.9902418341425e-06,10.719600778318,"ISG20_HUMAN",11,25.9669953001871,2.66848806024301e-08,5.13556880736768e-06,3.136375,"Up in D",5.28941144764212,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN",-3.136375
-0.942224999999999,11.3437875,-22.9741574275471,4.22180923052664e-08,7.10935083548893e-06,9.50007874082455,"5NTD_HUMAN",22,25.6610835137135,2.90044010693072e-08,5.45215288007466e-06,0.942224999999999,"Up in D",5.26343197491331,"NT5E","5'-nucleotidase","5NTD_HUMAN",-0.942224999999999
-1.807925,12.3357125,-24.8717224057622,2.37476171757846e-08,4.46399975888063e-06,10.1114723177954,"IFM3_HUMAN",3,25.5165656450968,3.01795144339008e-08,5.4542020093872e-06,1.807925,"Up in D",5.26326878096398,"IFITM3","Interferon-induced transmembrane protein 3","IFM3_HUMAN",-1.807925
-1.28425,16.2966,-32.4443708299735,3.43582426989008e-09,1.11087070294086e-06,12.1131209279624,"HLAA_HUMAN",17,25.4943587349644,3.03648509739483e-08,5.4542020093872e-06,1.28425,"Up in D",5.26326878096398,"HLA-A","HLA class I histocompatibility antigen, A alpha chain","HLAA_HUMAN",-1.28425
-1.7509725,8.83655375,-26.0902796965591,1.67808149610621e-08,3.56945598237539e-06,10.4774199872468,"SAMD9_HUMAN",42,25.2173879040277,3.27888319915788e-08,5.76156802147677e-06,1.7509725,"Up in D",5.23945930643772,"SAMD9","Sterile alpha motif domain-containing protein 9","SAMD9_HUMAN",-1.7509725
1.205725,12.0085875,32.6634004221982,3.27141095629995e-09,1.11087070294086e-06,12.1626085817772,"APOA5_HUMAN",23,-24.996869829964,3.48770804190754e-08,5.99811576654013e-06,-1.205725,"Up in CM",5.2219851564017,"APOA5","Apolipoprotein A-V","APOA5_HUMAN",1.205725
-0.978905000000001,10.4446725,-22.1264535484303,5.54254727548352e-08,8.29637215328394e-06,9.20886280934381,"TRFM_HUMAN",39,24.9122294369153,3.57185397161817e-08,6.01485326095619e-06,0.978905000000001,"Up in D",5.22077496329244,"MELTF","Melanotransferrin","TRFM_HUMAN",-0.978905000000001
-0.906192499999998,9.15775875,-22.8426393410067,4.40105751255497e-08,7.11474957479637e-06,9.45566935119961,"PHAR4_HUMAN",29,24.5491465876586,3.96006321671435e-08,6.53248795524533e-06,0.906192499999998,"Up in D",5.18492138236226,"PHACTR4","Phosphatase and actin regulator 4","PHAR4_HUMAN",-0.906192499999998
0.54035,16.352325,19.4009433910851,1.43234026629229e-07,1.79468094185469e-05,8.18451259438943,"FAS_HUMAN",149,-24.4215228512647,4.10777465323665e-08,6.64062850442238e-06,-0.54035,"Up in CM",5.17779081474568,"FASN","Fatty acid synthase","FAS_HUMAN",0.54035
-1.280985,9.4937575,-22.7553720247758,4.52476018673357e-08,7.17130129203283e-06,9.42604824157374,"TREX1_HUMAN",15,23.9464114042505,4.71562170440466e-08,7.47379808562801e-06,1.280985,"Up in D",5.12645863935795,"TREX1","Three-prime repair exonuclease 1","TREX1_HUMAN",-1.280985
0.603525000000001,15.0193375,18.9657548968253,1.68668963937111e-07,1.99407205689258e-05,8.00697342244868,"CO3_HUMAN",111,-23.5482544035035,5.30477279505153e-08,8.24586125046183e-06,-0.603525000000001,"Up in CM",5.08376397715845,"C3","Complement C3","CO3_HUMAN",0.603525000000001
0.531250000000002,13.6483,17.8989065242444,2.55817045357179e-07,2.61742933876212e-05,7.55320406901001,"BUP1_HUMAN",23,-23.4602343873733,5.44607449908587e-08,8.30577739171908e-06,-0.531250000000002,"Up in CM",5.08061971286539,"UPB1","Beta-ureidopropionase","BUP1_HUMAN",0.531250000000002
-0.6281,12.414025,-18.9346065007434,1.70677501755113e-07,1.99407205689258e-05,7.99410367701235,"PSB10_HUMAN",11,23.3254055803694,5.67091603821324e-08,8.48852117349585e-06,0.6281,"Up in D",5.07116796371737,"PSMB10","Proteasome subunit beta type-10","PSB10_HUMAN",-0.6281
-0.806334999999997,10.3581575,-21.6187199078521,6.55605485068016e-08,9.46296274250853e-06,9.02860769203671,"ITA2_HUMAN",32,23.2024956592473,5.8851342726948e-08,8.64900733203492e-06,0.806334999999997,"Up in D",5.06303373472691,"ITGA2","Integrin alpha-2","ITA2_HUMAN",-0.806334999999997
-0.632599999999998,10.508075,-18.1942892085685,2.27419402761917e-07,2.43456352458436e-05,7.68158212141744,"ANXA3_HUMAN",21,23.0505331223152,6.16284838665896e-08,8.89541134095792e-06,0.632599999999998,"Up in D",5.05083396450218,"ANXA3","Annexin A3","ANXA3_HUMAN",-0.632599999999998
-1.699625,11.5177125,-22.5011306507436,4.90824779341856e-08,7.62949363734658e-06,9.33904296043803,"STAT2_HUMAN",35,22.7504618039396,6.75624367284305e-08,9.46841030431951e-06,1.699625,"Up in D",5.02372293060767,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN",-1.699625
0.5969,11.73835,18.1447661163808,2.31920563396011e-07,2.43456352458436e-05,7.66020903571268,"BODG_HUMAN",18,-22.732342359879,6.79410859396921e-08,9.46841030431951e-06,-0.5969,"Up in CM",5.02372293060767,"BBOX1","Gamma-butyrobetaine dioxygenase","BODG_HUMAN",0.5969
0.527900000000001,15.378,18.8666160160607,1.75156644858806e-07,1.99407205689258e-05,7.96593501243579,"PBLD_HUMAN",23,-22.5969053600183,7.08491900386889e-08,9.70633903530038e-06,-0.527900000000001,"Up in CM",5.01294454316821,"PBLD","Phenazine biosynthesis-like domain-containing protein","PBLD_HUMAN",0.527900000000001
-1.09135,10.883175,-21.8545514639599,6.06124249101236e-08,8.90782237360962e-06,9.11289261592711,"RN213_HUMAN",232,22.5298515410115,7.2341280617567e-08,9.74557618719656e-06,1.09135,"Up in D",5.01119247901711,"RNF213","E3 ubiquitin-protein ligase RNF213","RN213_HUMAN",-1.09135
-1.217975,15.1973125,-21.421961823223,7.00413717137651e-08,9.93235802740989e-06,8.95752892703342,"HLAC_HUMAN",7,22.3548488813229,7.64070423992749e-08,1.01245594051367e-05,1.217975,"Up in D",4.99462386708429,"HLA-C","HLA class I histocompatibility antigen, C alpha chain","HLAC_HUMAN",-1.217975
-0.633424999999999,15.1023875,-18.9406927729223,1.70282918960005e-07,1.99407205689258e-05,7.99662010501746,"GBP1_HUMAN",22,22.2641471744024,7.86163159761408e-08,1.02492851941153e-05,0.633424999999999,"Up in D",4.98930642212787,"GBP1","Guanylate-binding protein 1","GBP1_HUMAN",-0.633424999999999
-0.818574999999999,14.4435375,-19.1537140953304,1.57102809423424e-07,1.92403334631748e-05,8.08416926583457,"TPSN_HUMAN",9,21.5823716154154,9.77615769377933e-08,1.25429654982251e-05,0.818574999999999,"Up in D",4.90159977233656,"TAPBP","Tapasin","TPSN_HUMAN",-0.818574999999999
0.443850000000001,18.242,15.0145986534634,8.99892226706483e-07,6.38055163900746e-05,6.17294794264472,"ADH1B_HUMAN",14,-20.8155664069185,1.25941902123242e-07,1.59060686697214e-05,-0.443850000000001,"Non-significant",4.79843714694194,"ADH1B","All-trans-retinol dehydrogenase [NAD(+)] ADH1B","ADH1B_HUMAN",0.443850000000001
-0.690624999999997,14.8568375,-22.8637060226527,4.37177313606721e-08,7.11474957479637e-06,9.46280157137401,"APOL2_HUMAN",21,20.7127889879004,1.30380490815391e-07,1.62133154963201e-05,0.690624999999997,"Up in D",4.79012816624203,"APOL2","Apolipoprotein L2","APOL2_HUMAN",-0.690624999999997
0.440649999999998,11.77815,15.3216374400803,7.78936374851293e-07,5.99632639802191e-05,6.33199400619995,"DDC_HUMAN",22,-20.607861279696,1.35096670099588e-07,1.65452482487117e-05,-0.440649999999998,"Non-significant",4.78132671220091,"DDC","Aromatic-L-amino-acid decarboxylase","DDC_HUMAN",0.440649999999998
0.748324999999999,10.6851875,19.7979734928321,1.23768684132993e-07,1.64003651450325e-05,8.34288775234286,"TTC36_HUMAN",9,-19.8896540157374,1.73127640030876e-07,2.08864285726802e-05,-0.748324999999999,"Up in CM",4.6801358148679,"TTC36","Tetratricopeptide repeat protein 36","TTC36_HUMAN",0.748324999999999
-1.3401025,9.34404375,-22.3033625718045,5.23214286308092e-08,7.97951146458171e-06,9.2706237873215,"MLKL_HUMAN",19,19.6564474714886,1.87999377040198e-07,2.23470435972929e-05,1.3401025,"Up in D",4.65077992373152,"MLKL","Mixed lineage kinase domain-like protein","MLKL_HUMAN",-1.3401025
-0.416500000000003,15.4017,-13.977125369835,1.49738369682488e-06,8.57561752815897e-05,5.61078948314196,"SQOR_HUMAN",36,19.5561566165813,1.94838386198108e-07,2.28177719875657e-05,0.416500000000003,"Non-significant",4.641726763982,"SQOR","Sulfide:quinone oxidoreductase, mitochondrial","SQOR_HUMAN",-0.416500000000003
-1.426275,13.4301375,-23.0629923564318,4.10542256907317e-08,7.06045332464222e-06,9.52991905201448,"HLAH_HUMAN",2,19.5167135728248,1.97605349391265e-07,2.28177719875657e-05,1.426275,"Up in D",4.641726763982,"HLA-H","Putative HLA class I histocompatibility antigen, alpha chain H","HLAH_HUMAN",-1.426275
0.516,11.996525,15.8631570005756,6.07830238120508e-07,5.00794242093929e-05,6.60493118609647,"PIN4_HUMAN",6,-19.3290575930688,2.11397719233334e-07,2.40665882332822e-05,-0.516,"Up in CM",4.61858547252017,"PIN4","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4","PIN4_HUMAN",0.516
-0.467975000000003,13.7105125,-14.8218841349498,9.86639444372294e-07,6.75848019395021e-05,6.07147032305257,"EHD4_HUMAN",31,19.157285776085,2.24990292092654e-07,2.42547146631058e-05,0.467975000000003,"Non-significant",4.61520383012749,"EHD4","EH domain-containing protein 4","EHD4_HUMAN",-0.467975000000003
-0.436325,11.7675125,-14.6399852608684,1.07729641990196e-06,6.90750570183151e-05,5.97448771868859,"GNA13_HUMAN",21,19.1278052144629,2.27421830381646e-07,2.42547146631058e-05,0.436325,"Non-significant",4.61520383012749,"GNA13","Guanine nucleotide-binding protein subunit alpha-13","GNA13_HUMAN",-0.436325
-0.875419999999998,10.36594,-19.5843379716571,1.33841230091822e-07,1.71720422671778e-05,8.25808693885951,"CCN1_HUMAN",22,19.1090924718592,2.28980764088386e-07,2.42547146631058e-05,0.875419999999998,"Up in D",4.61520383012749,"CCN1","CCN family member 1","CCN1_HUMAN",-0.875419999999998
0.395749999999994,15.243925,13.3690295951702,2.05215892334367e-06,0.000106287035192877,5.26207244281696,"ACOHC_HUMAN",48,-19.1073068844652,2.2913015372938e-07,2.42547146631058e-05,-0.395749999999994,"Non-significant",4.61520383012749,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN",0.395749999999994
-0.434650000000001,11.762275,-16.6466136995508,4.30490259574189e-07,3.86628085348686e-05,6.98372531085047,"CD276_HUMAN",9,19.0896904550752,2.30609979677924e-07,2.42547146631058e-05,0.434650000000001,"Non-significant",4.61520383012749,"CD276","CD276 antigen","CD276_HUMAN",-0.434650000000001
-0.970400000000001,12.367525,-17.9769468733696,2.47941942404392e-07,2.5693778467368e-05,7.58733241138393,"SP100_HUMAN",21,19.0607331594746,2.33066172347239e-07,2.42547146631058e-05,0.970400000000001,"Up in D",4.61520383012749,"SP100","Nuclear autoantigen Sp-100","SP100_HUMAN",-0.970400000000001
-0.698500000000003,12.107975,-16.6177943863264,4.35867281991824e-07,3.87155520916474e-05,6.97011259448371,"AMPE_HUMAN",38,19.0491716069785,2.34055145827323e-07,2.42547146631058e-05,0.698500000000003,"Up in D",4.61520383012749,"ENPEP","Glutamyl aminopeptidase","AMPE_HUMAN",-0.698500000000003
0.464224999999997,14.4128875,14.678075086012,1.05755785430598e-06,6.90750570183151e-05,5.99489375345566,"PGDH_HUMAN",12,-18.9480416369761,2.42912445446663e-07,2.48539404625997e-05,-0.464224999999997,"Non-significant",4.60460474634733,"HPGD","15-hydroxyprostaglandin dehydrogenase [NAD(+)]","PGDH_HUMAN",0.464224999999997
0.410350000000001,11.829525,13.4308899477218,1.98620671168049e-06,0.000104250057470866,5.29823931809566,"ANGL8_HUMAN",8,-18.8779568732997,2.49274617810977e-07,2.494261494969e-05,-0.410350000000001,"Non-significant",4.6030580176302,"ANGPTL8","Angiopoietin-like protein 8","ANGL8_HUMAN",0.410350000000001
-0.640049999999999,12.12305,-17.3027247210229,3.26274648004915e-07,3.17744334918521e-05,7.28733626420573,"HKDC1_HUMAN",55,18.8706287468335,2.49950737464418e-07,2.494261494969e-05,0.640049999999999,"Up in D",4.6030580176302,"HKDC1","Hexokinase HKDC1","HKDC1_HUMAN",-0.640049999999999
0.481925,11.4678375,14.7016044057331,1.04556941855482e-06,6.90750570183151e-05,6.00747322029216,"VP13C_HUMAN",153,-18.8155368302943,2.55101090628518e-07,2.51461233603696e-05,-0.481925,"Non-significant",4.59952895824102,"VPS13C","Intermembrane lipid transfer protein VPS13C","VP13C_HUMAN",0.481925
-0.998625000000004,12.6779125,-17.5259861188245,2.97587401913703e-07,2.93341337764447e-05,7.38798256037657,"LG3BP_HUMAN",20,18.6308780017491,2.73266306498952e-07,2.66121874148317e-05,0.998625000000004,"Up in D",4.57491942672078,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN",-0.998625000000004
0.550999999999995,17.1634,16.1609771617964,5.32130236828992e-07,4.6249555960094e-05,6.7510961182615,"AL1L1_HUMAN",79,-18.4803242593973,2.8917082612593e-07,2.73250856672356e-05,-0.550999999999995,"Up in CM",4.56343846781378,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN",0.550999999999995
-1.01623,10.54491,-18.3864990516278,2.10863433615739e-07,2.33480703276167e-05,7.76397081570656,"PAR12_HUMAN",33,18.4774554479927,2.89483955937608e-07,2.73250856672356e-05,1.01623,"Up in D",4.56343846781378,"PARP12","Protein mono-ADP-ribosyltransferase PARP12","PAR12_HUMAN",-1.01623
0.470125000000001,12.0145375,14.5971616619113,1.09998790325532e-06,6.90750570183151e-05,5.951483235201,"PLMN_HUMAN",50,-18.4660893233923,2.90728364144781e-07,2.73250856672356e-05,-0.470125000000001,"Non-significant",4.56343846781378,"PLG","Plasminogen","PLMN_HUMAN",0.470125000000001
-1.45345,11.718675,-18.1707722928739,2.29544391320898e-07,2.43456352458436e-05,7.67144022241436,"TAP2_HUMAN",22,18.3665956675611,3.01885134285533e-07,2.80475579359766e-05,1.45345,"Up in D",4.55210494621174,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN",-1.45345
