"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BM1_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","D_vs_BM1"
-1.689675,11.0310125,-53.2256716678823,1.1917758075289e-10,5.07006518539795e-08,15.441936343801,"SLFN5_HUMAN",37,60.8840043225612,8.46649441352649e-11,4.84264139181498e-08,1.689675,"Up in D",7.31491769021885,"SLFN5","Schlafen family member 5","SLFN5_HUMAN",-1.689675
-2.9255875,10.91038125,-68.3638480967492,1.95573750098441e-11,1.437111474587e-08,17.0571658123468,"ISG20_HUMAN",11,60.3666842959872,8.98671543699428e-11,4.84264139181498e-08,2.9255875,"Up in D",7.31491769021885,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN",-2.9255875
-3.2164,14.36895,-54.5037902093115,1.00419392195944e-10,5.00237466068598e-08,15.6021085733042,"OAS3_HUMAN",45,55.8639649814193,1.54463399591663e-10,7.55503054580301e-08,3.2164,"Up in D",7.12176377542199,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN",-3.2164
-3.707475,13.0152625,-85.3532725305476,3.93414293772223e-12,5.29994622760147e-09,18.3274900847392,"IFIT3_HUMAN",30,55.6381858713854,1.58895854606769e-10,7.55503054580301e-08,3.707475,"Up in D",7.12176377542199,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN",-3.707475
-0.89655,11.1009,-37.345631695388,1.53312701027676e-09,3.4605748730241e-07,12.9167355141248,"PAR14_HUMAN",91,53.045580433091,2.21755096728452e-10,9.95803581586709e-08,0.89655,"Up in D",7.00182631603952,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN",-0.89655
-1.779175,11.4779375,-48.8137915179599,2.22502592232021e-10,8.17494751368828e-08,14.847090101702,"STAT2_HUMAN",35,52.633836132746,2.3415865687355e-10,9.96160222899423e-08,1.779175,"Up in D",7.00167080382044,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN",-1.779175
-1.62345,11.844925,-45.3350061170515,3.79236507295068e-10,1.27723695352751e-07,14.3265380675187,"SAMH1_HUMAN",38,51.9729508711503,2.55762341530061e-10,1.03366350329374e-07,1.62345,"Up in D",6.98562081757377,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN",-1.62345
-1.70985,12.7254,-54.4936868958513,1.00553846664503e-10,5.00237466068598e-08,15.6008624148887,"HLAB_HUMAN",2,50.359916389484,3.18754208406153e-10,1.1884279700795e-07,1.70985,"Up in D",6.92502713547134,"HLA-B","HLA class I histocompatibility antigen, B alpha chain","HLAB_HUMAN",-1.70985
-1.334525,11.0903125,-42.9315690032075,5.61643210033606e-10,1.74606233334678e-07,13.9365130490813,"T23O_HUMAN",17,50.2542953285088,3.23461775847445e-10,1.1884279700795e-07,1.334525,"Up in D",6.92502713547134,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN",-1.334525
-1.024375,11.9813375,-39.8686469567963,9.574164373473e-10,2.57959902102607e-07,13.3986200826196,"PML_HUMAN",44,46.3674123168294,5.67404797353163e-10,1.9940578160894e-07,1.024375,"Up in D",6.70026225382548,"PML","Protein PML","PML_HUMAN",-1.024375
-2.213575,11.5360875,-53.4162458768284,1.16142852017401e-10,5.07006518539795e-08,15.4661461794669,"DDX60_HUMAN",75,44.2503453495094,7.86206799864965e-10,2.64787898471188e-07,2.213575,"Up in D",6.57710186722056,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN",-2.213575
-2.9960425,10.14492875,-65.0085718459732,2.81299990671813e-11,1.89478985383355e-08,16.7465517112297,"CMPK2_HUMAN",26,43.7696700943738,8.48465599388383e-10,2.74325897594252e-07,2.9960425,"Up in D",6.5617331911145,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN",-2.9960425
1.86,14.867275,40.2994319306906,8.86084814309486e-10,2.46973226002192e-07,13.4772510945548,"FIBA_HUMAN",43,-43.292009074745,9.15975416853361e-10,2.8476266517022e-07,-1.86,"Up in BM1",6.54551695103738,"FGA","Fibrinogen alpha chain","FIBA_HUMAN",1.86
-1.335,11.7779,-38.3787014246563,1.25963583293383e-09,3.08534437503157e-07,13.1185957468962,"TAP2_HUMAN",22,42.3033213288047,1.07616531769153e-09,3.21892851767836e-07,1.335,"Up in D",6.49228866752766,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN",-1.335
0.747075000000002,11.8389875,29.5194642095645,8.31731306583209e-09,1.56346143049118e-06,11.1412576792218,"HRG_HUMAN",21,-41.9407091533604,1.14276897092213e-09,3.21892851767836e-07,-0.747075000000002,"Up in BM1",6.49228866752766,"HRG","Histidine-rich glycoprotein","HRG_HUMAN",0.747075000000002
-1.568895,10.2660775,-38.6460325353578,1.19821247493821e-09,3.02660982341423e-07,13.1697842291452,"GBP4_HUMAN",27,41.8469695291044,1.16074471393474e-09,3.21892851767836e-07,1.568895,"Up in D",6.49228866752766,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN",-1.568895
-1.427325,11.6773875,-39.2407957014176,1.07339558653487e-09,2.79879242772947e-07,13.2821710950328,"E2AK2_HUMAN",23,41.6743265052913,1.19470314895894e-09,3.21892851767836e-07,1.427325,"Up in D",6.49228866752766,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN",-1.427325
1.605425,14.8796875,42.4278465381459,6.11512809353008e-10,1.83068816222236e-07,13.8513318529649,"FINC_HUMAN",120,-39.9494402910853,1.60430450384876e-09,4.07894377341557e-07,-1.605425,"Up in BM1",6.38945228121481,"FN1","Fibronectin","FINC_HUMAN",1.605425
-2.11009,10.19153,-52.4951896246989,1.31675747067354e-10,5.3216753177271e-08,15.3480503918029,"HELZ2_HUMAN",117,39.9120140392691,1.61482371334032e-09,4.07894377341557e-07,2.11009,"Up in D",6.38945228121481,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN",-2.11009
1.797275,15.1987875,43.2633933679972,5.31321765111863e-10,1.71786953095968e-07,13.9919552759947,"FIBG_HUMAN",29,-39.6543790049273,1.68941165451606e-09,4.13803466771312e-07,-1.797275,"Up in BM1",6.38320587521368,"FGG","Fibrinogen gamma chain","FIBG_HUMAN",1.797275
-2.2892525,9.80459875,-37.3181715158111,1.54126803697721e-09,3.4605748730241e-07,12.9112801411303,"IRF9_HUMAN",16,38.4052418428788,2.11175819770391e-09,5.02039456236492e-07,2.2892525,"Up in D",6.29926214948365,"IRF9","Interferon regulatory factor 9","IRF9_HUMAN",-2.2892525
1.728875,13.5689625,47.8702364941301,2.56142768462641e-10,9.00174781514576e-08,14.7107037795727,"FGL1_HUMAN",17,-37.9472762424402,2.29592912827711e-09,5.30228432681825e-07,-1.728875,"Up in BM1",6.27553698760681,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN",1.728875
-1.242375,11.2109125,-54.1530705308467,1.05208919004901e-10,5.00237466068598e-08,15.5586660212439,"TAP1_HUMAN",24,34.8377395362194,4.16537861392292e-09,9.35243203787194e-07,1.242375,"Up in D",6.02907543904362,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN",-1.242375
-0.710449999999998,15.063875,-26.165838440556,1.97547844479567e-08,3.0707292825545e-06,10.2117216910379,"GBP1_HUMAN",22,31.5405488110209,8.32177088048308e-09,1.8179695682958e-06,0.710449999999998,"Up in D",5.74041339087853,"GBP1","Guanylate-binding protein 1","GBP1_HUMAN",-0.710449999999998
2.52057,10.339965,32.2240857840819,4.43052023166269e-09,8.73460854451939e-07,11.8097665594764,"TSP4_HUMAN",21,-30.0193020454932,1.17358745349791e-08,2.49634404911147e-06,-2.52057,"Up in BM1",5.6026955598816,"THBS4","Thrombospondin-4","TSP4_HUMAN",2.52057
0.788974999999997,11.3794125,26.2202547202971,1.94628682683511e-08,3.0707292825545e-06,10.2278163775936,"CO5_HUMAN",67,-29.7041194645382,1.2629338761796e-08,2.61751141568197e-06,-0.788974999999997,"Up in BM1",5.58211141556817,"C5","Complement C5","CO5_HUMAN",0.788974999999997
-0.924599999999998,11.969075,-27.3869550120222,1.42451237464843e-08,2.53299712789531e-06,10.5644709150211,"NUB1_HUMAN",27,29.107926698125,1.45404675916056e-08,2.93826498857369e-06,0.924599999999998,"Up in D",5.53190903976232,"NUB1","NEDD8 ultimate buster 1","NUB1_HUMAN",-0.924599999999998
0.576000000000001,15.75525,22.3866998217951,6.03020155415223e-08,8.12368652703541e-06,8.99704173446199,"APOE_HUMAN",29,-28.5757730105542,1.65293268660128e-08,3.10693516069342e-06,-0.576000000000001,"Up in BM1",5.50766781003659,"APOE","Apolipoprotein E","APOE_HUMAN",0.576000000000001
-2.1580825,11.11750875,-28.388611963853,1.10091274101939e-08,2.02242674674085e-06,10.8413022946129,"PLS1_HUMAN",7,28.5644962740985,1.65747131306799e-08,3.10693516069342e-06,2.1580825,"Up in D",5.50766781003659,"PLSCR1","Phospholipid scramblase 1","PLS1_HUMAN",-2.1580825
-1.03903,10.49201,-25.9722421805674,2.08344400183477e-08,3.17744865411895e-06,10.1541684593625,"PAR10_HUMAN",43,28.5112480249534,1.67909564877613e-08,3.10693516069342e-06,1.03903,"Up in D",5.50766781003659,"PARP10","Protein mono-ADP-ribosyltransferase PARP10","PAR10_HUMAN",-1.03903
-1.0495,10.9041,-27.2869123276599,1.46239291581827e-08,2.53299712789531e-06,10.536217763705,"RN213_HUMAN",232,28.4604538768311,1.70002403498157e-08,3.10693516069342e-06,1.0495,"Up in D",5.50766781003659,"RNF213","E3 ubiquitin-protein ligase RNF213","RN213_HUMAN",-1.0495
-0.46415,13.712425,-19.6392220361078,1.53355726481416e-07,1.67510045560714e-05,7.97076126541181,"EHD4_HUMAN",31,28.3896273746216,1.72970533503902e-08,3.10693516069342e-06,0.46415,"Non-significant",5.50766781003659,"EHD4","EH domain-containing protein 4","EHD4_HUMAN",-0.46415
-1.0517,16.412875,-41.2090992189513,7.54442675004491e-10,2.17791433645046e-07,13.6400049569331,"HLAA_HUMAN",17,28.0986480876133,1.85801739060317e-08,3.264859688749e-06,1.0517,"Up in D",5.48613547831278,"HLA-A","HLA class I histocompatibility antigen, A alpha chain","HLAA_HUMAN",-1.0517
-1.57715,11.0281,-27.0845090062661,1.54258816644899e-08,2.5521866215707e-06,10.4787113765873,"NAT8_HUMAN",11,27.5647669346077,2.12277060375404e-08,3.63970718247677e-06,1.57715,"Up in D",5.4389335543042,"NAT8","N-acetyltransferase 8","NAT8_HUMAN",-1.57715
-1.536945,9.3657775,-26.7056815485378,1.70650288284917e-08,2.75873256041397e-06,10.3698175276908,"TREX1_HUMAN",15,27.4932627996284,2.16139978669906e-08,3.63970718247677e-06,1.536945,"Up in D",5.4389335543042,"TREX1","Three-prime repair exonuclease 1","TREX1_HUMAN",-1.536945
-4.5203875,8.81010625,-27.2598006623575,1.47285494260893e-08,2.53299712789531e-06,10.5285417549403,"OASL_HUMAN",28,26.8807531869424,2.52730488164359e-08,4.16902150169901e-06,4.5203875,"Up in D",5.3799658649972,"OASL","2'-5'-oligoadenylate synthase-like protein","OASL_HUMAN",-4.5203875
-1.550525,12.1112625,-25.8485643323942,2.15592607401183e-08,3.2271019363403e-06,10.1171590532925,"BST2_HUMAN",7,26.6649088923464,2.6727367914532e-08,4.32074629706324e-06,1.550525,"Up in D",5.36444123357773,"BST2","Bone marrow stromal antigen 2","BST2_HUMAN",-1.550525
-1.8205125,8.80178375,-27.0733266330342,1.54716249482821e-08,2.5521866215707e-06,10.4755206894962,"SAMD9_HUMAN",42,26.255417672036,2.97570786837383e-08,4.71620523530699e-06,1.8205125,"Up in D",5.32640730395398,"SAMD9","Sterile alpha motif domain-containing protein 9","SAMD9_HUMAN",-1.8205125
0.629575000000001,13.6236375,21.2333919195307,8.79552155743017e-08,1.06110747386131e-05,8.58299533218017,"GNMT_HUMAN",15,-26.107280489422,3.09482980792698e-08,4.81067487259112e-06,-0.629575000000001,"Up in BM1",5.3177939937129,"GNMT","Glycine N-methyltransferase","GNMT_HUMAN",0.629575000000001
0.362100000000005,17.8554,16.2010721926522,6.00065876301319e-07,4.35422805001142e-05,6.4585787047576,"BHMT1_HUMAN",31,-25.9543442770496,3.22355747434412e-08,4.91622925757048e-06,-0.362100000000005,"Non-significant",5.30836787294257,"BHMT","Betaine--homocysteine S-methyltransferase 1","BHMT1_HUMAN",0.362100000000005
-1.1963,13.545125,-38.2000445385832,1.3026815864792e-09,3.09693390103276e-07,13.0841498193949,"HLAH_HUMAN",2,25.8665896994385,3.300176466753e-08,4.93987525569713e-06,1.1963,"Up in D",5.30628401796834,"HLA-H","Putative HLA class I histocompatibility antigen, alpha chain H","HLAH_HUMAN",-1.1963
1.64762500000001,14.6130625,25.4622083745798,2.40150241542767e-08,3.52933527707307e-06,10.0003104377117,"FIBB_HUMAN",38,-25.6913087701006,3.45952295062958e-08,5.08424072907981e-06,-1.64762500000001,"Up in BM1",5.29377389461766,"FGB","Fibrinogen beta chain","FIBB_HUMAN",1.64762500000001
-0.595750000000002,12.15935,-20.3806776063242,1.17795791063146e-07,1.36020482737629e-05,8.26162220032085,"AMPE_HUMAN",38,25.4770499535282,3.66637031027638e-08,5.29201271749357e-06,0.595750000000002,"Up in D",5.27637912080906,"ENPEP","Glutamyl aminopeptidase","AMPE_HUMAN",-0.595750000000002
0.57,15.002575,20.6262539659025,1.08161364938752e-07,1.267055525797e-05,8.35557350159437,"CO3_HUMAN",111,-25.3501971603159,3.79547599143577e-08,5.3822513050483e-06,-0.57,"Up in BM1",5.26903602826536,"C3","Complement C3","CO3_HUMAN",0.57
0.496700000000001,11.475225,18.8519773576796,2.05124688923145e-07,1.97383673876879e-05,7.64942942435729,"VP13C_HUMAN",153,-24.9673087833691,4.21777610295543e-08,5.79169818953433e-06,-0.496700000000001,"Non-significant",5.23719407768711,"VPS13C","Intermembrane lipid transfer protein VPS13C","VP13C_HUMAN",0.496700000000001
-0.70975,10.997225,-22.7840736628883,5.31802044382332e-08,7.41130331852136e-06,9.13457596085822,"OXDD_HUMAN",15,24.9590002741505,4.22751692666739e-08,5.79169818953433e-06,0.70975,"Up in D",5.23719407768711,"DDO","D-aspartate oxidase","OXDD_HUMAN",-0.70975
0.400675,14.3532625,17.3292128011663,3.7280086439407e-07,3.13761487818218e-05,6.98751933885852,"VNN1_HUMAN",18,-24.4356665905597,4.89616837924088e-08,6.59595483490068e-06,-0.400675,"Non-significant",5.18072232680262,"VNN1","Pantetheinase","VNN1_HUMAN",0.400675
-1.109545,10.5159525,-36.2291655109524,1.9075258829858e-09,4.16717073302006e-07,12.6910511197961,"IFIT5_HUMAN",24,24.2426994843783,5.1725960675864e-08,6.8541137728362e-06,1.109545,"Up in D",5.1640486909034,"IFIT5","Interferon-induced protein with tetratricopeptide repeats 5","IFIT5_HUMAN",-1.109545
-0.596999999999998,16.218475,-20.1392651361081,1.28228171354343e-07,1.45981451979881e-05,8.16812510536866,"AMPL_HUMAN",38,23.9886651222092,5.5640905073637e-08,7.25395864048723e-06,0.596999999999998,"Up in D",5.13942492494243,"LAP3","Cytosol aminopeptidase","AMPL_HUMAN",-0.596999999999998
1.1138025,9.50519625,22.9315578110635,5.07841360340485e-08,7.20154686953008e-06,9.18498385754611,"PTPRF_HUMAN",57,-23.6185952077256,6.19648560979046e-08,7.88425178347159e-06,-1.1138025,"Up in BM1",5.10323951498286,"PTPRF","Receptor-type tyrosine-protein phosphatase F","PTPRF_HUMAN",1.1138025
0.328775,11.7222125,15.2092184109729,9.36705838961866e-07,6.30287085009786e-05,5.9626602317622,"DDC_HUMAN",22,-23.5932940625766,6.24263409801042e-08,7.88425178347159e-06,-0.328775,"Non-significant",5.10323951498286,"DDC","Aromatic-L-amino-acid decarboxylase","DDC_HUMAN",0.328775
0.333200000000001,13.01845,15.070249352864,9.99196907960618e-07,6.56626716019974e-05,5.89066659000664,"AK1D1_HUMAN",23,-23.3238843500007,6.75914652390426e-08,8.40525866964895e-06,-0.333200000000001,"Non-significant",5.07544891671915,"AKR1D1","Aldo-keto reductase family 1 member D1","AK1D1_HUMAN",0.333200000000001
-1.5743425,9.53385375,-33.8369188563085,3.11844926672686e-09,6.46318600588543e-07,12.1790039501204,"HLAF_HUMAN",14,22.8970559827792,7.68058964485376e-08,9.31787503076024e-06,1.5743425,"Up in D",5.03068311850844,"HLA-F","HLA class I histocompatibility antigen, alpha chain F","HLAF_HUMAN",-1.5743425
0.420824999999999,12.4374125,16.5327770789693,5.20026442221136e-07,4.00321307854614e-05,6.61779361405894,"CSDE1_HUMAN",47,-22.8785856867539,7.72358811160381e-08,9.31787503076024e-06,-0.420824999999999,"Non-significant",5.03068311850844,"CSDE1","Cold shock domain-containing protein E1","CSDE1_HUMAN",0.420824999999999
0.48265,16.877725,19.4603765015025,1.63667226107007e-07,1.74068709029333e-05,7.89892508414243,"GSTM1_HUMAN",24,-22.3379285504001,9.11275090430655e-08,1.08321125822809e-05,-0.48265,"Non-significant",4.96528683484715,"GSTM1","Glutathione S-transferase Mu 1","GSTM1_HUMAN",0.48265
-0.6954525,9.78962375,-19.3358327013782,1.71313350580075e-07,1.76853033057502e-05,7.84850216167487,"ECE1_HUMAN",28,22.0650121034468,9.92099611091389e-08,1.16219437050025e-05,0.6954525,"Up in D",4.93472123255118,"ECE1","Endothelin-converting enzyme 1","ECE1_HUMAN",-0.6954525
-0.593675000000001,10.9751125,-18.6204470516796,2.23943293196558e-07,2.10480655686951e-05,7.55233344013092,"ABCD1_HUMAN",33,22.0123337351274,1.00862575707221e-07,1.16467457063067e-05,0.593675000000001,"Up in D",4.93379540676053,"ABCD1","ATP-binding cassette sub-family D member 1","ABCD1_HUMAN",-0.593675000000001
-1.47155,12.5039,-21.4287861821091,8.23925759919099e-08,1.0245833719117e-05,8.65476073986026,"IFM3_HUMAN",3,21.790226763667,1.08184767322263e-07,1.23163024544487e-05,1.47155,"Up in D",4.90951965456218,"IFITM3","Interferon-induced transmembrane protein 3","IFM3_HUMAN",-1.47155
0.430750000000002,12.579525,16.3152410419256,5.71036320250719e-07,4.19607870598779e-05,6.51373853147169,"PROS_HUMAN",30,-21.3250303288653,1.25575523953829e-07,1.40975966683167e-05,-0.430750000000002,"Non-significant",4.85085491873836,"PROS1","Vitamin K-dependent protein S","PROS_HUMAN",0.430750000000002
0.435625,11.0363625,16.1602867927306,6.10839574509412e-07,4.36939493872529e-05,6.43878068035907,"CGNL1_HUMAN",84,-21.1566548550502,1.32640518912356e-07,1.46867577310764e-05,-0.435625,"Non-significant",4.83307406907822,"CGNL1","Cingulin-like protein 1","CGNL1_HUMAN",0.435625
-0.959350000000001,12.37305,-19.8611296604273,1.41572052924713e-07,1.56757110108281e-05,8.05897281617349,"SP100_HUMAN",21,20.8857708664178,1.44980109654404e-07,1.57122549375875e-05,0.959350000000001,"Up in D",4.8037614828992,"SP100","Nuclear autoantigen Sp-100","SP100_HUMAN",-0.959350000000001
0.486725000000002,11.2210875,16.8870705414891,4.47629832474149e-07,3.54724699596916e-05,6.78440073340862,"CBPD_HUMAN",54,-20.8689233454021,1.45789820650633e-07,1.57122549375875e-05,-0.486725000000002,"Non-significant",4.8037614828992,"CPD","Carboxypeptidase D","CBPD_HUMAN",0.486725000000002
-0.82785,11.62705,-19.2437930055047,1.77224986733362e-07,1.76853033057502e-05,7.81102632414844,"DSRAD_HUMAN",59,20.8193206983631,1.48203898288179e-07,1.57622646034651e-05,0.82785,"Up in D",4.80238138620345,"ADAR","Double-stranded RNA-specific adenosine deaminase","DSRAD_HUMAN",-0.82785
-0.424325,11.2873875,-17.1587088357988,3.99834204546992e-07,3.26450492459933e-05,6.90980770008743,"ZCCHV_HUMAN",51,20.7526978349385,1.5151842236251e-07,1.59054988046256e-05,0.424325,"Non-significant",4.79845270664466,"ZC3HAV1","Zinc finger CCCH-type antiviral protein 1","ZCCHV_HUMAN",-0.424325
-0.829850000000002,12.31315,-19.2758894468661,1.75137533244376e-07,1.76853033057502e-05,7.82411567958462,"PSB10_HUMAN",11,20.632053373222,1.57738130991315e-07,1.63461193949076e-05,0.829850000000002,"Up in D",4.78658533324298,"PSMB10","Proteasome subunit beta type-10","PSB10_HUMAN",-0.829850000000002
-0.451775000000003,13.7689625,-16.7752696966038,4.69161072360659e-07,3.68177567756428e-05,6.7322030609467,"GBP2_HUMAN",24,20.4937833170102,1.65227699439116e-07,1.69055125894478e-05,0.451775000000003,"Non-significant",4.77197165652236,"GBP2","Guanylate-binding protein 2","GBP2_HUMAN",-0.451775000000003
0.400200000000002,10.785175,15.8733338471998,6.93156166786022e-07,4.87198373576645e-05,6.29808331912037,"LDLR_HUMAN",30,-20.3783776819012,1.71790418673696e-07,1.73572744267435e-05,-0.400200000000002,"Non-significant",4.76051847007873,"LDLR","Low-density lipoprotein receptor","LDLR_HUMAN",0.400200000000002
-1.0301,15.29125,-19.4705047241079,1.63062664235769e-07,1.74068709029333e-05,7.90301116598525,"HLAC_HUMAN",7,20.120425250484,1.87563380980396e-07,1.87169729440067e-05,1.0301,"Up in D",4.72776438743632,"HLA-C","HLA class I histocompatibility antigen, C alpha chain","HLAC_HUMAN",-1.0301
-0.567525000000003,10.7548625,-17.9400193852714,2.91653700031258e-07,2.6193742859474e-05,7.25977935142761,"P2RX4_HUMAN",11,19.8159519767588,2.08349436930104e-07,2.05376646183662e-05,0.567525000000003,"Up in D",4.68744894248267,"P2RX4","P2X purinoceptor 4","P2RX4_HUMAN",-0.567525000000003
0.43205,17.029825,19.0661247940214,1.89303931631157e-07,1.86602887728615e-05,7.73816769157034,"SBP1_HUMAN",39,-19.4432791725805,2.37462185547247e-07,2.31253836840771e-05,-0.43205,"Non-significant",4.6359110529459,"SELENBP1","Methanethiol oxidase","SBP1_HUMAN",0.43205
0.439275000000002,11.6595375,15.5735068847711,7.92894135871252e-07,5.43132483071808e-05,6.14838272314969,"BODG_HUMAN",18,-19.3588680256976,2.44684573669428e-07,2.35450643924998e-05,-0.439275000000002,"Non-significant",4.6281001174842,"BBOX1","Gamma-butyrobetaine dioxygenase","BODG_HUMAN",0.439275000000002
-0.497499999999999,13.565425,-16.3273623597221,5.68048967532463e-07,4.19607870598779e-05,6.51957250086677,"TRI25_HUMAN",37,19.2763089144057,2.51991812553593e-07,2.3962939069067e-05,0.497499999999999,"Non-significant",4.62045991653324,"TRIM25","E3 ubiquitin/ISG15 ligase TRIM25","TRI25_HUMAN",-0.497499999999999
-0.709000000000003,13.14095,-17.4775664332214,3.50958558170954e-07,3.05032045773744e-05,7.05451790690496,"HOIL1_HUMAN",29,19.0706297216341,2.71304152749761e-07,2.528603738408e-05,0.709000000000003,"Up in D",4.59711922431581,"RBCK1","RanBP-type and C3HC4-type zinc finger-containing protein 1","HOIL1_HUMAN",-0.709000000000003
-0.8598,10.623125,-18.9549738446175,1.97335417621832e-07,1.92176166341839e-05,7.69223575088131,"PAR12_HUMAN",33,19.061884293705,2.72161976050348e-07,2.528603738408e-05,0.8598,"Up in D",4.59711922431581,"PARP12","Protein mono-ADP-ribosyltransferase PARP12","PAR12_HUMAN",-0.8598
