logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,sca.adj.pval,BM1_vs_B1,Diff_Abund,negLog10_sca_adjPval,Genes,ProtDesc,Protein.Names,Protein.Ids
-0.0,,,,,,PD1L1_HUMAN,0,,,,0.0,Non-significant,,CD274,Programmed cell death 1 ligand 1,PD1L1_HUMAN,Q9NZQ7
-0.0,,,,,,STML1_HUMAN,0,,,,0.0,Non-significant,,STOML1,Stomatin-like protein 1,STML1_HUMAN,Q9UBI4
-0.0,,,,,,UBP18_HUMAN,0,,,,0.0,Non-significant,,USP18,Ubl carboxyl-terminal hydrolase 18,UBP18_HUMAN,Q9UMW8
-0.0,,,,,,LAMP3_HUMAN,0,,,,0.0,Non-significant,,LAMP3,Lysosome-associated membrane glycoprotein 3,LAMP3_HUMAN,Q9UQV4
-3.86280393600464,10.533698558807362,,4.395349083997393e-07,0.0026035053141745,,Q6VBP1_HBV,8,,4.395349083997393e-07,0.0026035053141745,3.86280393600464,Down,2.5844415315222573,S,Large envelope protein,Q6VBP1_HBV,Q6VBP1
-4.74927878379822,10.311967015266417,,6.369431961283219e-07,0.0026035053141745,,Q15194_HBV,8,,6.369431961283219e-07,0.0026035053141745,4.74927878379822,Down,2.5844415315222573,PreC-C,Capsid protein,Q15194_HBV,Q15194
0.365303039550781,13.216019630432136,,9.169500448892713e-06,0.0249868887232326,,CHCH2_HUMAN,8,,9.169500448892713e-06,0.0249868887232326,-0.365303039550781,Up,1.602287817280999,CHCHD2,Coiled-coil-helix-coiled-coil-helix domain-containing protein 2,CHCH2_HUMAN,Q9Y6H1
1.53293681144714,10.067241787910486,,1.7131154317092473e-05,0.0350117966355577,,NUA4L_HUMAN,8,,1.7131154317092473e-05,0.0350117966355577,-1.53293681144714,Up,1.4557856027771392,NDUFA4L2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2,NUA4L_HUMAN,Q9NRX3
0.354708671569824,16.351974487304688,,2.4438349804484e-05,0.0399567019303313,,ALDOC_HUMAN,8,,2.4438349804484e-05,0.0399567019303313,-0.354708671569824,Up,1.3984103661059548,ALDOC,Fructose-bisphosphate aldolase C,ALDOC_HUMAN,P09972
-0.24992299079895,11.838597416877723,,4.2274407271480194e-05,0.0575988799073917,,HS74L_HUMAN,8,,4.2274407271480194e-05,0.0575988799073917,0.24992299079895,Non-significant,1.2395859619720797,HSPA4L,Heat shock 70 kDa protein 4L,HS74L_HUMAN,O95757
-0.321125268936157,16.12440526485444,,0.0001374760614042,0.1425856298000699,,STOM_HUMAN,8,,0.0001374760614042,0.1425856298000699,0.321125268936157,Non-significant,0.8459242417563201,STOM,Stomatin,STOM_HUMAN,P27105
0.741007089614868,10.760563492774963,,0.0001395333380306,0.1425856298000699,,RCN2_HUMAN,8,,0.0001395333380306,0.1425856298000699,-0.741007089614868,Non-significant,0.8459242417563201,RCN2,Reticulocalbin-2,RCN2_HUMAN,Q14257
0.140675067901611,16.2004668712616,,0.0001916412724175,0.1723606190029145,,AOXA_HUMAN,8,,0.0001916412724175,0.1723606190029145,-0.140675067901611,Non-significant,0.7635619548884544,AOX1,Aldehyde oxidase,AOXA_HUMAN,Q06278
-0.13835072517395,13.76830947399139,,0.0002400167061564,0.1723606190029145,,IF5_HUMAN,8,,0.0002400167061564,0.1723606190029145,0.13835072517395,Non-significant,0.7635619548884544,EIF5,Eukaryotic translation initiation factor 5,IF5_HUMAN,P55010
0.15355110168457,9.941451311111448,,0.0002660812714962,0.1723606190029145,,NOTC2_HUMAN,8,,0.0002660812714962,0.1723606190029145,-0.15355110168457,Non-significant,0.7635619548884544,NOTCH2,Neurogenic locus notch homolog protein 2,NOTC2_HUMAN,Q04721
0.152772188186646,12.07363665103911,,0.0002718675051185,0.1723606190029145,,A0AAG2UXZ5_HUMAN;COIA1_HUMAN,8,,0.0002718675051185,0.1723606190029145,-0.152772188186646,Non-significant,0.7635619548884544,COL18A1,Collagen type XVIII alpha 1 chain;Collagen alpha-1(XVIII) chain,A0AAG2UXZ5_HUMAN;COIA1_HUMAN,A0AAG2UXZ5;P39060
0.229957103729248,12.19744372367859,,0.0002885973242924,0.1723606190029145,,TENS1_HUMAN,8,,0.0002885973242924,0.1723606190029145,-0.229957103729248,Non-significant,0.7635619548884544,TNS1,Tensin-1,TENS1_HUMAN,Q9HBL0
0.270659208297729,11.696607232093816,,0.0002951741487511,0.1723606190029145,,DPYD_HUMAN,8,,0.0002951741487511,0.1723606190029145,-0.270659208297729,Non-significant,0.7635619548884544,DPYD,Dihydropyrimidine dehydrogenase [NADP(+)],DPYD_HUMAN,Q12882
0.159602403640747,12.95583784580231,,0.0004310458842517,0.2091845511384908,,KFA_HUMAN,8,,0.0004310458842517,0.2091845511384908,-0.159602403640747,Non-significant,0.6794703924770927,AFMID,Kynurenine formamidase,KFA_HUMAN,Q63HM1
0.0948483943939209,13.593408465385444,,0.0004483822196545,0.2091845511384908,,ABLM3_HUMAN,8,,0.0004483822196545,0.2091845511384908,-0.0948483943939209,Non-significant,0.6794703924770927,ABLIM3,Actin-binding LIM protein 3,ABLM3_HUMAN,O94929
0.274003028869629,10.168596506118764,,0.000465252083521,0.2091845511384908,,EST3_HUMAN,8,,0.000465252083521,0.2091845511384908,-0.274003028869629,Non-significant,0.6794703924770927,CES3,Carboxylesterase 3,EST3_HUMAN,Q6UWW8
-0.25543487071991,6.782101333141327,,0.0004652779725419,0.2091845511384908,,NDE1_HUMAN,8,,0.0004652779725419,0.2091845511384908,0.25543487071991,Non-significant,0.6794703924770927,NDE1,Nuclear distribution protein nudE homolog 1,NDE1_HUMAN,Q9NXR1
-0.570239305496216,11.54963791370391,,0.0004864965305136,0.2091845511384908,,DDB2_HUMAN,8,,0.0004864965305136,0.2091845511384908,0.570239305496216,Non-significant,0.6794703924770927,DDB2,DNA damage-binding protein 2,DDB2_HUMAN,Q92466
0.146764039993286,11.9952131509781,,0.0005419905092337,0.2091845511384908,,EGFR_HUMAN,8,,0.0005419905092337,0.2091845511384908,-0.146764039993286,Non-significant,0.6794703924770927,EGFR,Epidermal growth factor receptor,EGFR_HUMAN,P00533
-0.449670791625977,8.456699371337892,,0.0005547072431623,0.2091845511384908,,NINJ1_HUMAN,8,,0.0005547072431623,0.2091845511384908,0.449670791625977,Non-significant,0.6794703924770927,NINJ1,Ninjurin-1,NINJ1_HUMAN,Q92982
1.07016968727112,7.149718523025513,,0.0005629431345622,0.2091845511384908,,TBA3C_HUMAN;TBA3D_HUMAN,8,,0.0005629431345622,0.2091845511384908,-1.07016968727112,Non-significant,0.6794703924770927,TUBA3C;TUBA3D,Tubulin alpha-3C chain;Tubulin alpha-3D chain,TBA3C_HUMAN;TBA3D_HUMAN,P0DPH7;P0DPH8
0.176220417022705,8.216582775115967,,0.0006368648854514,0.2174560446431832,,UPP_HUMAN,8,,0.0006368648854514,0.2174560446431832,-0.176220417022705,Non-significant,0.662628515712173,UPRT,Uracil phosphoribosyltransferase homolog,UPP_HUMAN,Q96BW1
-0.0767500400543213,11.97417938709259,,0.0006821162329373,0.2174560446431832,,EI2BG_HUMAN,8,,0.0006821162329373,0.2174560446431832,0.0767500400543213,Non-significant,0.662628515712173,EIF2B3,Translation initiation factor eIF2B subunit gamma,EI2BG_HUMAN,Q9NR50
-0.212098121643066,10.682029247283936,,0.0007015226853908,0.2174560446431832,,FBX22_HUMAN,8,,0.0007015226853908,0.2174560446431832,0.212098121643066,Non-significant,0.662628515712173,FBXO22,F-box only protein 22,FBX22_HUMAN,Q8NEZ5
0.16649341583252,10.443721294403066,,0.0007500085157479,0.2174560446431832,,A2MG_HUMAN,8,,0.0007500085157479,0.2174560446431832,-0.16649341583252,Non-significant,0.662628515712173,A2M,Alpha-2-macroglobulin,A2MG_HUMAN,P01023
0.0654964447021484,12.749051332473766,,0.0007731716177023,0.2174560446431832,,MTX2_HUMAN,8,,0.0007731716177023,0.2174560446431832,-0.0654964447021484,Non-significant,0.662628515712173,MTX2,Metaxin-2,MTX2_HUMAN,O75431
0.184260368347168,9.46713614463806,,0.0008195814560498,0.2174560446431832,,KPCI_HUMAN,8,,0.0008195814560498,0.2174560446431832,-0.184260368347168,Non-significant,0.662628515712173,PRKCI,Protein kinase C iota type,KPCI_HUMAN,P41743
0.177148818969727,10.864577054977424,,0.0008570761011888,0.2174560446431832,,IFIT2_HUMAN,8,,0.0008570761011888,0.2174560446431832,-0.177148818969727,Non-significant,0.662628515712173,IFIT2,Interferon-induced protein with tetratricopeptide repeats 2,IFIT2_HUMAN,P09913
-0.168889045715332,17.736648082733147,,0.0008813904773725,0.2174560446431832,,ST2A1_HUMAN,8,,0.0008813904773725,0.2174560446431832,0.168889045715332,Non-significant,0.662628515712173,SULT2A1,Sulfotransferase 2A1,ST2A1_HUMAN,Q06520
-0.0888571739196777,13.146521329879764,,0.0008959142648306,0.2174560446431832,,CAPR1_HUMAN,8,,0.0008959142648306,0.2174560446431832,0.0888571739196777,Non-significant,0.662628515712173,CAPRIN1,Caprin-1,CAPR1_HUMAN,Q14444
0.469339728355408,6.937115371227264,,0.0009273328960725,0.2174560446431832,,AFAM_HUMAN,8,,0.0009273328960725,0.2174560446431832,-0.469339728355408,Non-significant,0.662628515712173,AFM,Afamin,AFAM_HUMAN,P43652
0.151432275772095,9.318122029304504,,0.0009436999839288,0.2174560446431832,,ARH37_HUMAN,8,,0.0009436999839288,0.2174560446431832,-0.151432275772095,Non-significant,0.662628515712173,ARHGEF37,Rho guanine nucleotide exchange factor 37,ARH37_HUMAN,A1IGU5
-0.146520137786865,14.547150135040276,,0.0009457738347305,0.2174560446431832,,PA2G4_HUMAN,8,,0.0009457738347305,0.2174560446431832,0.146520137786865,Non-significant,0.662628515712173,PA2G4,Proliferation-associated protein 2G4,PA2G4_HUMAN,Q9UQ80
0.138136625289917,13.611420512199407,,0.0009596060754452,0.2174560446431832,,BUP1_HUMAN,8,,0.0009596060754452,0.2174560446431832,-0.138136625289917,Non-significant,0.662628515712173,UPB1,Beta-ureidopropionase,BUP1_HUMAN,Q9UBR1
0.076420783996582,13.64014911651613,,0.0009659432891411,0.2174560446431832,,HEM6_HUMAN,8,,0.0009659432891411,0.2174560446431832,-0.076420783996582,Non-significant,0.662628515712173,CPOX,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",HEM6_HUMAN,P36551
-0.110505104064941,12.75791215896606,,0.0010563116794908,0.2174560446431832,,ATAD1_HUMAN,8,,0.0010563116794908,0.2174560446431832,0.110505104064941,Non-significant,0.662628515712173,ATAD1,Outer mitochondrial transmembrane helix translocase,ATAD1_HUMAN,Q8NBU5
0.263595104217529,11.738683223724376,,0.0010727520066221,0.2174560446431832,,HLAB_HUMAN,8,,0.0010727520066221,0.2174560446431832,-0.263595104217529,Non-significant,0.662628515712173,HLA-B,"HLA class I histocompatibility antigen, B alpha chain",HLAB_HUMAN,P01889
-0.104832649230957,15.442033529281623,,0.0010823957639938,0.2174560446431832,,RAP1B_HUMAN,8,,0.0010823957639938,0.2174560446431832,0.104832649230957,Non-significant,0.662628515712173,RAP1B,Ras-related protein Rap-1b,RAP1B_HUMAN,P61224
0.200172662734985,9.595614552497864,,0.0010892727023672,0.2174560446431832,,SORL_HUMAN,8,,0.0010892727023672,0.2174560446431832,-0.200172662734985,Non-significant,0.662628515712173,SORL1,Sortilin-related receptor,SORL_HUMAN,Q92673
-0.132430553436279,10.655424118041983,,0.0010934276599063,0.2174560446431832,,COXM2_HUMAN,8,,0.0010934276599063,0.2174560446431832,0.132430553436279,Non-significant,0.662628515712173,CMC2,COX assembly mitochondrial protein 2 homolog,COXM2_HUMAN,Q9NRP2
-0.461704015731812,6.83080732822418,,0.001126071426534,0.2174560446431832,,LRWD1_HUMAN,8,,0.001126071426534,0.2174560446431832,0.461704015731812,Non-significant,0.662628515712173,LRWD1,Leucine-rich repeat and WD repeat-containing protein 1,LRWD1_HUMAN,Q9UFC0
0.178443193435669,14.443923115730277,,0.0011438054947592,0.2174560446431832,,APOL2_HUMAN,8,,0.0011438054947592,0.2174560446431832,-0.178443193435669,Non-significant,0.662628515712173,APOL2,Apolipoprotein L2,APOL2_HUMAN,Q9BQE5
-0.267695903778076,10.337437868118275,,0.0012996748320499,0.2414736761820083,,RM11_HUMAN,8,,0.0012996748320499,0.2414736761820083,0.267695903778076,Non-significant,0.6171302061630237,MRPL11,Large ribosomal subunit protein uL11m,RM11_HUMAN,Q9Y3B7
0.145897626876831,14.331694006919854,,0.0013346725764626,0.2415504134736955,,PGDH_HUMAN,8,,0.0013346725764626,0.2415504134736955,-0.145897626876831,Non-significant,0.6169922147736497,HPGD,15-hydroxyprostaglandin dehydrogenase [NAD(+)],PGDH_HUMAN,P15428
0.167618274688721,12.109660148620616,,0.0013951507348649,0.2415504134736955,,CERU_HUMAN,8,,0.0013951507348649,0.2415504134736955,-0.167618274688721,Non-significant,0.6169922147736497,CP,Ceruloplasmin,CERU_HUMAN,P00450
-0.107040643692017,10.1653527021408,,0.0014005362221753,0.2415504134736955,,ADDA_HUMAN,8,,0.0014005362221753,0.2415504134736955,0.107040643692017,Non-significant,0.6169922147736497,ADD1,Alpha-adducin,ADDA_HUMAN,P35611
0.325815916061401,10.137509226799018,,0.0014368683787367,0.2415504134736955,,TPPP_HUMAN,8,,0.0014368683787367,0.2415504134736955,-0.325815916061401,Non-significant,0.6169922147736497,TPPP,Tubulin polymerization-promoting protein,TPPP_HUMAN,O94811
-0.250428915023804,9.68246328830719,,0.0014478251082827,0.2415504134736955,,NFYC_HUMAN,8,,0.0014478251082827,0.2415504134736955,0.250428915023804,Non-significant,0.6169922147736497,NFYC,Nuclear transcription factor Y subunit gamma,NFYC_HUMAN,Q13952
0.316217184066772,10.563633322715765,,0.0015072862136426,0.2426678107842122,,DEMA_HUMAN,8,,0.0015072862136426,0.2426678107842122,-0.316217184066772,Non-significant,0.614987827812812,DMTN,Dematin,DEMA_HUMAN,Q08495
0.393074512481689,10.59643125534059,,0.0015235319599012,0.2426678107842122,,AKA12_HUMAN,8,,0.0015235319599012,0.2426678107842122,-0.393074512481689,Non-significant,0.614987827812812,AKAP12,A-kinase anchor protein 12,AKA12_HUMAN,Q02952
-0.181441307067871,14.6103892326355,,0.0015697887875294,0.2426678107842122,,RL22_HUMAN,8,,0.0015697887875294,0.2426678107842122,0.181441307067871,Non-significant,0.614987827812812,RPL22,Large ribosomal subunit protein eL22,RL22_HUMAN,P35268
0.236348032951355,7.683053553104401,,0.0015781134904976,0.2426678107842122,,KAP1_HUMAN,8,,0.0015781134904976,0.2426678107842122,-0.236348032951355,Non-significant,0.614987827812812,PRKAR1B,cAMP-dependent protein kinase type I-beta regulatory subunit,KAP1_HUMAN,P31321
0.0893003940582275,12.61052501201631,,0.0016509966307508,0.2426678107842122,,SNX9_HUMAN,8,,0.0016509966307508,0.2426678107842122,-0.0893003940582275,Non-significant,0.614987827812812,SNX9,Sorting nexin-9,SNX9_HUMAN,Q9Y5X1
-0.369664430618286,12.395797371864337,,0.0016903043608071,0.2426678107842122,,RIR2B_HUMAN,8,,0.0016903043608071,0.2426678107842122,0.369664430618286,Non-significant,0.614987827812812,RRM2B,Ribonucleoside-diphosphate reductase subunit M2 B,RIR2B_HUMAN,Q7LG56
-0.373315095901489,9.114651560783384,,0.0017401779043349,0.2426678107842122,,TREA_HUMAN,8,,0.0017401779043349,0.2426678107842122,0.373315095901489,Non-significant,0.614987827812812,TREH,Trehalase,TREA_HUMAN,O43280
0.128714323043823,12.859712004661564,,0.0017547044063956,0.2426678107842122,,GSTM2_HUMAN,8,,0.0017547044063956,0.2426678107842122,-0.128714323043823,Non-significant,0.614987827812812,GSTM2,Glutathione S-transferase Mu 2,GSTM2_HUMAN,P28161
0.122294902801514,10.47631740570067,,0.0017674843208509,0.2426678107842122,,TOM34_HUMAN,8,,0.0017674843208509,0.2426678107842122,-0.122294902801514,Non-significant,0.614987827812812,TOMM34,Mitochondrial import receptor subunit TOM34,TOM34_HUMAN,Q15785
0.197027206420898,12.53430008888242,,0.0018312157863934,0.2426678107842122,,PURA1_HUMAN,8,,0.0018312157863934,0.2426678107842122,-0.197027206420898,Non-significant,0.614987827812812,ADSS1,Adenylosuccinate synthetase isozyme 1,PURA1_HUMAN,Q8N142
-0.261383056640625,12.848719596862814,,0.0018851042598465,0.2426678107842122,,BAX_HUMAN,8,,0.0018851042598465,0.2426678107842122,0.261383056640625,Non-significant,0.614987827812812,BAX,Apoptosis regulator BAX,BAX_HUMAN,Q07812
0.204624891281128,15.60024058818816,,0.0018893300337905,0.2426678107842122,,BAAT_HUMAN,8,,0.0018893300337905,0.2426678107842122,-0.204624891281128,Non-significant,0.614987827812812,BAAT,Bile acid-CoA:amino acid N-acyltransferase,BAAT_HUMAN,Q14032
-0.121580839157104,15.34486496448516,,0.0019116339765514,0.2426678107842122,,DHRS7_HUMAN,8,,0.0019116339765514,0.2426678107842122,0.121580839157104,Non-significant,0.614987827812812,DHRS7,Dehydrogenase/reductase SDR family member 7,DHRS7_HUMAN,Q9Y394
-0.908051133155823,7.503517210483552,,0.0019558349499227,0.2426678107842122,,MIEAP_HUMAN,8,,0.0019558349499227,0.2426678107842122,0.908051133155823,Non-significant,0.614987827812812,SPATA18,Mitochondria-eating protein,MIEAP_HUMAN,Q8TC71
0.193564414978027,9.384846448898315,,0.002007420385549,0.2426678107842122,,GBP4_HUMAN,8,,0.002007420385549,0.2426678107842122,-0.193564414978027,Non-significant,0.614987827812812,GBP4,Guanylate-binding protein 4,GBP4_HUMAN,Q96PP9
1.3303644657135,8.433783650398254,,0.0020367629564977,0.2426678107842122,,HBB_HUMAN,8,,0.0020367629564977,0.2426678107842122,-1.3303644657135,Non-significant,0.614987827812812,HBB,Hemoglobin subunit beta,HBB_HUMAN,P68871
-0.130659341812134,14.487223982810985,,0.0020527758478242,0.2426678107842122,,SYSC_HUMAN,8,,0.0020527758478242,0.2426678107842122,0.130659341812134,Non-significant,0.614987827812812,SARS1,"Serine--tRNA ligase, cytoplasmic",SYSC_HUMAN,P49591
0.602536797523499,8.45415085554123,,0.0020744565062238,0.2426678107842122,,NSE1_HUMAN,8,,0.0020744565062238,0.2426678107842122,-0.602536797523499,Non-significant,0.614987827812812,NSMCE1,Non-structural maintenance of chromosomes element 1 homolog,NSE1_HUMAN,Q8WV22
-0.63333797454834,7.112062692642212,,0.0020746549428832,0.2426678107842122,,CWC25_HUMAN,6,,0.0020746549428832,0.2426678107842122,0.63333797454834,Non-significant,0.614987827812812,CWC25,Pre-mRNA-splicing factor CWC25 homolog,CWC25_HUMAN,Q9NXE8
-0.0538413524627686,14.86763870716094,,0.0020991879501862,0.2426678107842122,,VAPA_HUMAN,8,,0.0020991879501862,0.2426678107842122,0.0538413524627686,Non-significant,0.614987827812812,VAPA,Vesicle-associated membrane protein-associated protein A,VAPA_HUMAN,Q9P0L0
0.297181606292725,14.074890375137317,,0.0021313236775437,0.2426678107842122,,PLOD2_HUMAN,8,,0.0021313236775437,0.2426678107842122,-0.297181606292725,Non-significant,0.614987827812812,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",PLOD2_HUMAN,O00469
0.0999460220336914,14.40375304222106,,0.0021479691871781,0.2426678107842122,,DESP_HUMAN,8,,0.0021479691871781,0.2426678107842122,-0.0999460220336914,Non-significant,0.614987827812812,DSP,Desmoplakin,DESP_HUMAN,P15924
0.434950590133667,10.011268734931932,,0.0021530755868204,0.2426678107842122,,LX15B_HUMAN,8,,0.0021530755868204,0.2426678107842122,-0.434950590133667,Non-significant,0.614987827812812,ALOX15B,Polyunsaturated fatty acid lipoxygenase ALOX15B,LX15B_HUMAN,O15296
0.290858030319214,14.20393431186676,,0.0021669419189293,0.2426678107842122,,NDRG1_HUMAN,8,,0.0021669419189293,0.2426678107842122,-0.290858030319214,Non-significant,0.614987827812812,NDRG1,Protein NDRG1,NDRG1_HUMAN,Q92597
0.219209432601929,11.932752490043637,,0.0022318647581166,0.2465607351027526,,ANGL8_HUMAN,8,,0.0022318647581166,0.2465607351027526,-0.219209432601929,Non-significant,0.6080760838065726,ANGPTL8,Angiopoietin-like protein 8,ANGL8_HUMAN,Q6UXH0
-0.163533687591553,9.027076482772827,,0.00239755008767,0.2569209315725591,,EDC3_HUMAN,8,,0.00239755008767,0.2569209315725591,0.163533687591553,Non-significant,0.5902005119417278,EDC3,Enhancer of mRNA-decapping protein 3,EDC3_HUMAN,Q96F86
-0.357558012008667,11.280080437660224,,0.0024365768150136,0.2569209315725591,,TIGAR_HUMAN,8,,0.0024365768150136,0.2569209315725591,0.357558012008667,Non-significant,0.5902005119417278,TIGAR,"Fructose-2,6-bisphosphatase TIGAR",TIGAR_HUMAN,Q9NQ88
0.158961534500122,11.488024353981016,,0.0024758166729923,0.2569209315725591,,ACO12_HUMAN,8,,0.0024758166729923,0.2569209315725591,-0.158961534500122,Non-significant,0.5902005119417278,ACOT12,Acetyl-coenzyme A thioesterase,ACO12_HUMAN,Q8WYK0
-0.293413639068604,10.219116926193225,,0.0024784565681432,0.2569209315725591,,TRIP4_HUMAN,8,,0.0024784565681432,0.2569209315725591,0.293413639068604,Non-significant,0.5902005119417278,TRIP4,Activating signal cointegrator 1,TRIP4_HUMAN,Q15650
0.133646249771118,12.165646195411686,,0.0024827833142791,0.2569209315725591,,PLOD1_HUMAN,8,,0.0024827833142791,0.2569209315725591,-0.133646249771118,Non-significant,0.5902005119417278,PLOD1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",PLOD1_HUMAN,Q02809
-0.172234773635864,9.951600432395937,,0.0025455813872253,0.2592033826601032,,KCC2B_HUMAN,8,,0.0025455813872253,0.2592033826601032,0.172234773635864,Non-significant,0.5863593351277132,CAMK2B,Calcium/calmodulin-dependent protein kinase type II subunit beta,KCC2B_HUMAN,Q13554
0.793946782747905,6.919145206610364,,0.0025895727720337,0.2592033826601032,,B2CL2_HUMAN,7,,0.0025895727720337,0.2592033826601032,-0.793946782747905,Non-significant,0.5863593351277132,BCL2L2,Bcl-2-like protein 2,B2CL2_HUMAN,Q92843
-0.08353590965271,10.987910151481625,,0.0025999605355508,0.2592033826601032,,VP33B_HUMAN,8,,0.0025999605355508,0.2592033826601032,0.08353590965271,Non-significant,0.5863593351277132,VPS33B,Vacuolar protein sorting-associated protein 33B,VP33B_HUMAN,Q9H267
-0.391650915145874,13.45902168750764,,0.0026401158794537,0.2600355098136668,,ADRO_HUMAN,8,,0.0026401158794537,0.2600355098136668,0.391650915145874,Non-significant,0.5849673417864704,FDXR,"NADPH:adrenodoxin oxidoreductase, mitochondrial",ADRO_HUMAN,P22570
0.207539081573486,12.16310262680052,,0.0026829386960151,0.2611074266657565,,ACMSD_HUMAN,8,,0.0026829386960151,0.2611074266657565,-0.207539081573486,Non-significant,0.583180775384688,ACMSD,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase,ACMSD_HUMAN,Q8TDX5
0.252903461456299,12.1435921192169,,0.0027913458256107,0.2684617896984487,,RPE_HUMAN,8,,0.0027913458256107,0.2684617896984487,-0.252903461456299,Non-significant,0.571117518917919,RPE,Ribulose-phosphate 3-epimerase,RPE_HUMAN,Q96AT9
-0.0630950927734375,13.59459209442139,,0.0029167639816433,0.2709702916743403,,ACOT9_HUMAN,8,,0.0029167639816433,0.2709702916743403,0.0630950927734375,Non-significant,0.5670783211888816,ACOT9,"Acyl-coenzyme A thioesterase 9, mitochondrial",ACOT9_HUMAN,Q9Y305
-0.0996890068054199,11.73750233650207,,0.0029382249013798,0.2709702916743403,,LC7L2_HUMAN,8,,0.0029382249013798,0.2709702916743403,0.0996890068054199,Non-significant,0.5670783211888816,LUC7L2,Putative RNA-binding protein Luc7-like 2,LC7L2_HUMAN,Q9Y383
0.16271185874939,10.0694056749344,,0.0029619529786475,0.2709702916743403,,CHIO_HUMAN,8,,0.0029619529786475,0.2709702916743403,-0.16271185874939,Non-significant,0.5670783211888816,CHN2,Beta-chimaerin,CHIO_HUMAN,P52757
0.386101484298706,9.65345537662506,,0.0029808718004117,0.2709702916743403,,MOT4_HUMAN,8,,0.0029808718004117,0.2709702916743403,-0.386101484298706,Non-significant,0.5670783211888816,SLC16A3,Monocarboxylate transporter 4,MOT4_HUMAN,O15427
-0.17659068107605,9.738028645515442,,0.0030340452699411,0.2709702916743403,,BUD31_HUMAN,8,,0.0030340452699411,0.2709702916743403,0.17659068107605,Non-significant,0.5670783211888816,BUD31,Protein BUD31 homolog,BUD31_HUMAN,P41223
