logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,sca.adj.pval,C_vs_D,Diff_Abund,negLog10_sca_adjPval,Genes,ProtDesc,Protein.Names,Protein.Ids
1.08703398704529,6.592339158058169,,0.11096683012853972,0.2279726714205374,,ALS_HUMAN,5,,0.11096683012853972,0.2279726714205374,-1.08703398704529,Non-significant,0.6421172116075154,IGFALS,Insulin-like growth factor-binding protein complex acid labile subunit,ALS_HUMAN,P35858
-2.67435240745544,14.577671647071865,,6.859713713350579e-12,1.815406045438223e-08,,STAT1_HUMAN,8,,6.859713713350579e-12,1.815406045438223e-08,2.67435240745544,Down,7.741026222655025,STAT1,Signal transducer and activator of transcription 1-alpha/beta,STAT1_HUMAN,P42224
-1.65453386306763,11.540238618850715,,9.689947516457234e-08,1.3622729663653841e-05,,STAT2_HUMAN,8,,9.689947516457234e-08,1.3622729663653841e-05,1.65453386306763,Down,4.865735861653489,STAT2,Signal transducer and activator of transcription 2,STAT2_HUMAN,P52630
-1.37108373641968,5.876169443130495,,0.009196133294147646,0.03754818694112919,,NR1H2_HUMAN,4,,0.009196133294147646,0.03754818694112919,1.37108373641968,Down,1.4254110285791992,NR1H2,Oxysterols receptor LXR-beta,NR1H2_HUMAN,P55055
-1.05065155029297,15.451826333999636,,1.733837428841947e-05,0.0005137913271750979,,B2MG_HUMAN,8,,1.733837428841947e-05,0.0005137913271750979,1.05065155029297,Down,3.2892132309217303,B2M,Beta-2-microglobulin,B2MG_HUMAN,P61769
2.09364958604177,7.387776394685108,,0.0010825271782144072,0.008430684442368936,,HBB_HUMAN,7,,0.0010825271782144072,0.008430684442368936,-2.09364958604177,Up,2.0741371658879943,HBB,Hemoglobin subunit beta,HBB_HUMAN,P68871
-2.48116159439087,9.708643436431874,,3.9787437991638213e-10,2.806160769500991e-07,,IRF9_HUMAN,8,,3.9787437991638213e-10,2.806160769500991e-07,2.48116159439087,Down,6.551887451159757,IRF9,Interferon regulatory factor 9,IRF9_HUMAN,Q00978
-1.81352400779724,12.332923531532284,,1.3131994102078713e-07,1.647358152436151e-05,,IFM3_HUMAN,8,,1.3131994102078713e-07,1.647358152436151e-05,1.81352400779724,Down,4.783211970522358,IFITM3,Interferon-induced transmembrane protein 3,IFM3_HUMAN,Q01628
-1.69994127750397,8.638968884944914,,0.00039751372482625577,0.004343828991557159,,IFM2_HUMAN,8,,0.00039751372482625577,0.004343828991557159,1.69994127750397,Down,2.3621272804461344,IFITM2,Interferon-induced transmembrane protein 2,IFM2_HUMAN,Q01629
-1.41803073883057,11.123086929321289,,4.26369420332599e-09,1.7383081266960063e-06,,TAP1_HUMAN,8,,4.26369420332599e-09,1.7383081266960063e-06,1.41803073883057,Down,5.759873239473624,TAP1,Antigen peptide transporter 1,TAP1_HUMAN,Q03518
-1.50428819656372,11.69325423240662,,3.510164688272914e-08,6.9982857133238255e-06,,TAP2_HUMAN,8,,3.510164688272914e-08,6.9982857133238255e-06,1.50428819656372,Down,5.155008330903273,TAP2,Antigen peptide transporter 2,TAP2_HUMAN,Q03519
-1.1101610660553,12.622129082679773,,3.287289484867033e-08,6.9982857133238255e-06,,LG3BP_HUMAN,8,,3.287289484867033e-08,6.9982857133238255e-06,1.1101610660553,Down,5.155008330903273,LGALS3BP,Galectin-3-binding protein,LG3BP_HUMAN,Q08380
-1.79403734207153,10.97881054878236,,4.0488888109671085e-09,1.7376125981382003e-06,,SLFN5_HUMAN,8,,4.0488888109671085e-09,1.7376125981382003e-06,1.79403734207153,Down,5.7600470433331505,SLFN5,Schlafen family member 5,SLFN5_HUMAN,Q08AF3
-1.0435631275177,9.017112851142883,,2.1389376885100373e-05,0.0006034912772356694,,TMM62_HUMAN,8,,2.1389376885100373e-05,0.0006034912772356694,1.0435631275177,Down,3.2193290027427595,TMEM62,Transmembrane protein 62,TMM62_HUMAN,Q0P6H9
-1.90722990036011,11.93292903900145,,3.604709344611242e-08,6.9982857133238255e-06,,BST2_HUMAN,8,,3.604709344611242e-08,6.9982857133238255e-06,1.90722990036011,Down,5.155008330903273,BST2,Bone marrow stromal antigen 2,BST2_HUMAN,Q10589
1.02986121177673,11.52692902088165,,2.0600906032983633e-05,0.00058734191535996,,SPP24_HUMAN,8,,2.0600906032983633e-05,0.00058734191535996,-1.02986121177673,Up,3.2311090048441256,SPP2,Secreted phosphoprotein 24,SPP24_HUMAN,Q13103
-1.07844638824463,10.531502723693833,,6.069210684049145e-07,4.932835574410329e-05,,IFIT5_HUMAN,8,,6.069210684049145e-07,4.932835574410329e-05,1.07844638824463,Down,4.306903360580105,IFIT5,Interferon-induced protein with tetratricopeptide repeats 5,IFIT5_HUMAN,Q13325
2.3607679605484,8.253724992275238,,0.14006420001466247,0.2696136654673177,,CDSN_HUMAN,6,,0.14006420001466247,0.2696136654673177,-2.3607679605484,Non-significant,0.5692580992040714,CDSN,Corneodesmosin,CDSN_HUMAN,Q15517
-4.1321634054184,9.004222452640542,,2.918516315347704e-07,2.9339298278438104e-05,,OASL_HUMAN,8,,2.918516315347704e-07,2.9339298278438104e-05,4.1321634054184,Down,4.532550277590439,OASL,2'-5'-oligoadenylate synthase-like protein,OASL_HUMAN,Q15646
-1.58330583572388,11.099600076675404,,0.00036587138494299727,0.00409463446273623,,MA7D1_HUMAN,8,,0.00036587138494299727,0.00409463446273623,1.58330583572388,Down,2.3877848626220968,MAP7D1,MAP7 domain-containing protein 1,MA7D1_HUMAN,Q3KQU3
-1.01490688323975,11.0417046546936,,2.159493152576793e-08,5.0310020474603346e-06,,PAR14_HUMAN,8,,2.159493152576793e-08,5.0310020474603346e-06,1.01490688323975,Down,5.298345505929958,PARP14,Protein mono-ADP-ribosyltransferase PARP14,PAR14_HUMAN,Q460N5
-3.06177163124084,10.112062573432915,,6.110629353648801e-11,5.536230194405814e-08,,CMPK2_HUMAN,8,,6.110629353648801e-11,5.536230194405814e-08,3.06177163124084,Down,7.256785860371787,CMPK2,"UMP-CMP kinase 2, mitochondrial",CMPK2_HUMAN,Q5EBM0
-1.88673424720764,8.76867401599884,,3.7260991311726905e-05,0.0008439614532106144,,SAMD9_HUMAN,8,,3.7260991311726905e-05,0.0008439614532106144,1.88673424720764,Down,3.0736773887300592,SAMD9,Sterile alpha motif domain-containing protein 9,SAMD9_HUMAN,Q5K651
-1.10233902931213,10.87766516208649,,7.654692045373357e-08,1.155858498851377e-05,,RN213_HUMAN,8,,7.654692045373357e-08,1.155858498851377e-05,1.10233902931213,Down,4.93709532934927,RNF213,E3 ubiquitin-protein ligase RNF213,RN213_HUMAN,Q63HN8
-2.68632841110229,8.13208532333374,,1.4717494443497192e-06,8.393593829271456e-05,,XAF1_HUMAN,8,,1.4717494443497192e-06,8.393593829271456e-05,2.68632841110229,Down,4.076052050370423,XAF1,XIAP-associated factor 1,XAF1_HUMAN,Q6GPH4
1.08636093139648,11.948894977569575,,3.599903136966034e-08,6.9982857133238255e-06,,APOA5_HUMAN,8,,3.599903136966034e-08,6.9982857133238255e-06,-1.08636093139648,Up,5.155008330903273,APOA5,Apolipoprotein A-V,APOA5_HUMAN,Q6Q788
-1.39134939511617,6.006675283114115,,0.0060486087022890355,0.027552742339014877,,SRCAP_HUMAN,5,,0.0060486087022890355,0.027552742339014877,1.39134939511617,Down,1.5598351691014836,SRCAP,Helicase SRCAP,SRCAP_HUMAN,Q6ZRS2
-1.13932538032532,7.266893029212952,,0.0028045597998025006,0.016127207762757115,,PXK_HUMAN,6,,0.0028045597998025006,0.016127207762757115,1.13932538032532,Down,1.7924408191081895,PXK,PX domain-containing protein kinase-like protein,PXK_HUMAN,Q7Z7A4
-2.28754544258118,11.499112486839286,,5.452299384896983e-11,5.536230194405814e-08,,DDX60_HUMAN,8,,5.452299384896983e-11,5.536230194405814e-08,2.28754544258118,Down,7.256785860371787,DDX60,Probable ATP-dependent RNA helicase DDX60,DDX60_HUMAN,Q8IY21
-1.2242751121521,8.078148126602173,,0.00021719391028316608,0.0028518504741528766,,AGRG2_HUMAN,8,,0.00021719391028316608,0.0028518504741528766,1.2242751121521,Down,2.544873248789552,ADGRG2,Adhesion G-protein coupled receptor G2,AGRG2_HUMAN,Q8IZP9
-1.13414120674133,10.303135037422182,,6.106580423718851e-08,9.913432772934939e-06,,CMTR1_HUMAN,8,,6.106580423718851e-08,9.913432772934939e-06,1.13414120674133,Down,5.003775934193412,CMTR1,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1,CMTR1_HUMAN,Q8N1G2
-1.33213877677917,9.348032116889948,,6.938325559055216e-07,5.2384357970866876e-05,,MLKL_HUMAN,8,,6.938325559055216e-07,5.2384357970866876e-05,1.33213877677917,Down,4.280798374487132,MLKL,Mixed lineage kinase domain-like protein,MLKL_HUMAN,Q8NB16
-1.46185557047526,9.54089577992757,,0.004200961362943968,0.021276173263009387,,BBS1_HUMAN,6,,0.004200961362943968,0.021276173263009387,1.46185557047526,Down,1.672106481649892,BBS1,BBSome complex member BBS1,BBS1_HUMAN,Q8NFJ9
-1.24132442474365,10.011780261993406,,4.479968750598863e-08,8.184633742541304e-06,,TDRD7_HUMAN,8,,4.479968750598863e-08,8.184633742541304e-06,1.24132442474365,Down,5.087000750235206,TDRD7,Tudor domain-containing protein 7,TDRD7_HUMAN,Q8NHU6
-1.00451946258545,7.37701654434204,,0.10681626832990913,0.22167977906899444,,RN138_HUMAN,4,,0.10681626832990913,0.22167977906899444,1.00451946258545,Non-significant,0.6542739200531632,RNF138,E3 ubiquitin-protein ligase RNF138,RN138_HUMAN,Q8WVD3
-3.24916648864746,10.748580694198598,,2.7559869422338903e-09,1.3219010309985378e-06,,ISG20_HUMAN,8,,2.7559869422338903e-09,1.3219010309985378e-06,3.24916648864746,Down,5.878801058693167,ISG20,Interferon-stimulated gene 20 kDa protein,ISG20_HUMAN,Q96AZ6
-1.45290144284566,7.459814031918846,,0.00012871381579773787,0.0019654165805519748,,DHX58_HUMAN,7,,0.00012871381579773787,0.0019654165805519748,1.45290144284566,Down,2.706545384494509,DHX58,ATP-dependent RNA helicase DHX58,DHX58_HUMAN,Q96C10
-3.01401126384735,6.982297718524933,,0.00014314301568120417,0.0021144712859864833,,RTP4_HUMAN,8,,0.00014314301568120417,0.0021144712859864833,3.01401126384735,Down,2.674798208092061,RTP4,Receptor-transporting protein 4,RTP4_HUMAN,Q96DX8
-1.58658766746521,10.25724470615387,,3.6734360639829407e-07,3.38646124291173e-05,,GBP4_HUMAN,8,,3.6734360639829407e-07,3.38646124291173e-05,1.58658766746521,Down,4.470253890406325,GBP4,Guanylate-binding protein 4,GBP4_HUMAN,Q96PP9
-1.0139491558075,10.391750216484052,,0.0009169907137043359,0.00755266896923753,,PLIN4_HUMAN,8,,0.0009169907137043359,0.00755266896923753,1.0139491558075,Down,2.1218995498565216,PLIN4,Perilipin-4,PLIN4_HUMAN,Q96Q06
-1.05961851278941,6.691333870093027,,0.0010029401822999188,0.007986302975071814,,GTPB2_HUMAN,7,,0.0010029401822999188,0.007986302975071814,1.05961851278941,Down,2.097654218070314,GTPBP2,GTP-binding protein 2,GTPB2_HUMAN,Q9BX10
-2.13959360122681,10.176773786544798,,1.787470425969547e-08,4.522048299213166e-06,,HELZ2_HUMAN,8,,1.787470425969547e-08,4.522048299213166e-06,2.13959360122681,Down,5.34466480334189,HELZ2,3'-5' exoribonuclease HELZ2,HELZ2_HUMAN,Q9BYK8
-2.55091452598572,10.255291104316711,,6.553485095641333e-10,4.110547497681495e-07,,IFIH1_HUMAN,8,,6.553485095641333e-10,4.110547497681495e-07,2.55091452598572,Down,6.38610032912486,IFIH1,Interferon-induced helicase C domain-containing protein 1,IFIH1_HUMAN,Q9BYX4
-1.0432755947113,10.531353831291195,,1.8307559982799746e-07,2.1025330154894244e-05,,PAR12_HUMAN,8,,1.8307559982799746e-07,2.1025330154894244e-05,1.0432755947113,Down,4.677257175871407,PARP12,Protein mono-ADP-ribosyltransferase PARP12,PAR12_HUMAN,Q9H0J9
-1.22435522079468,11.796575307846075,,8.009588291456604e-09,2.418895664019894e-06,,5NT3A_HUMAN,8,,8.009588291456604e-09,2.418895664019894e-06,1.22435522079468,Down,5.616382863972829,NT5C3A,Cytosolic 5'-nucleotidase 3A,5NT3A_HUMAN,Q9H0P0
-1.10814893245697,8.048062145709991,,2.4019414736604456e-05,0.0006546282217377692,,UN93B_HUMAN,8,,2.4019414736604456e-05,0.0006546282217377692,1.10814893245697,Down,3.1840052757148727,UNC93B1,Protein unc-93 homolog B1,UN93B_HUMAN,Q9H1C4
-1.32802538077037,7.414343933264413,,0.00027133537645764846,0.0033120788317899186,,PKHA4_HUMAN,7,,0.00027133537645764846,0.0033120788317899186,1.32802538077037,Down,2.4798993349898377,PLEKHA4,Pleckstrin homology domain-containing family A member 4,PKHA4_HUMAN,Q9H4M7
-1.20730340480804,7.035922706127168,,0.0037988685675756184,0.019984499548394576,,CCD86_HUMAN,6,,0.0037988685675756184,0.019984499548394576,1.20730340480804,Down,1.6993067228650736,CCDC86,Coiled-coil domain-containing protein 86,CCD86_HUMAN,Q9H6F5
-1.10438680648804,5.776201248168947,,0.07501392448413852,0.1707126821779697,,WDR54_HUMAN,4,,0.07501392448413852,0.1707126821779697,1.10438680648804,Non-significant,0.7677342141206528,WDR54,WD repeat-containing protein 54,WDR54_HUMAN,Q9H977
-1.58094763755798,9.599721312522885,,2.8359877778039854e-07,2.8905805425267122e-05,,CDHR5_HUMAN,8,,2.8359877778039854e-07,2.8905805425267122e-05,1.58094763755798,Down,4.539014925030406,CDHR5,Cadherin-related family member 5,CDHR5_HUMAN,Q9HBB8
-1.3575587272644,7.3911988735198975,,0.01870044517407635,0.062493208995663345,,ABC3G_HUMAN,6,,0.01870044517407635,0.062493208995663345,1.3575587272644,Non-significant,1.2041671739511415,APOBEC3G,DNA dC->dU-editing enzyme APOBEC-3G,ABC3G_HUMAN,Q9HC16
-1.09287214279175,6.811310529708864,,0.013948291126236788,0.05077427046577445,,UBN1_HUMAN,6,,0.013948291126236788,0.05077427046577445,1.09287214279175,Non-significant,1.294356307902765,UBN1,Ubinuclein-1,UBN1_HUMAN,Q9NPG3
-1.20923924446106,9.52964603900909,,7.3565246352286396e-09,2.307119302909782e-06,,TREX1_HUMAN,8,,7.3565246352286396e-09,2.307119302909782e-06,1.20923924446106,Down,5.63692994719727,TREX1,Three-prime repair exonuclease 1,TREX1_HUMAN,Q9NSU2
2.26037466526031,9.611233651638035,,0.10887056117087736,0.2247419128575529,,CALL5_HUMAN,8,,0.10887056117087736,0.2247419128575529,-2.26037466526031,Non-significant,0.6483159270231214,CALML5,Calmodulin-like protein 5,CALL5_HUMAN,Q9NZT1
-1.29135465621948,9.24940800666809,,0.0001208470542712118,0.0019261293891499713,,ZNFX1_HUMAN,8,,0.0001208470542712118,0.0019261293891499713,1.29135465621948,Down,2.715314542182198,ZNFX1,NFX1-type zinc finger-containing protein 1,ZNFX1_HUMAN,Q9P2E3
-1.04221558570862,9.502781748771664,,0.0002889843907067199,0.003470366306071567,,CRCT1_HUMAN,8,,0.0002889843907067199,0.003470366306071567,1.04221558570862,Down,2.4596246818923038,CRCT1,Cysteine-rich C-terminal protein 1,CRCT1_HUMAN,Q9UGL9
-2.06645250320435,10.783462047576904,,3.320882294061916e-08,6.9982857133238255e-06,,NAT8_HUMAN,8,,3.320882294061916e-08,6.9982857133238255e-06,2.06645250320435,Down,5.155008330903273,NAT8,N-acetyltransferase 8,NAT8_HUMAN,Q9UHE5
-3.03382563591003,6.785382151603701,,3.489818044634953e-05,0.0008155887646835804,,HERC5_HUMAN,6,,3.489818044634953e-05,0.0008155887646835804,3.03382563591003,Down,3.0885287655686553,HERC5,E3 ISG15--protein ligase HERC5,HERC5_HUMAN,Q9UII4
