"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BDM_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","C_vs_BDM"
1.046625,10.5513875,39.7990625271444,9.65234555872488e-10,4.22603293153657e-07,13.3591729251967,"ITA2_HUMAN",32,-48.3468891991139,7.63927999290682e-11,4.528443780945e-08,-1.046625,"Up in BDM",7.34405101950274,"ITGA2","Integrin alpha-2","ITA2_HUMAN",1.046625
1.096775,13.6994625,36.1224306332634,1.94018036586477e-09,5.18537743569577e-07,12.6894757901973,"APOB_HUMAN",239,-47.9478421086483,8.14115520051892e-11,4.528443780945e-08,-1.096775,"Up in BDM",7.34405101950274,"APOB","Apolipoprotein B-100","APOB_HUMAN",1.096775
-1.047325,16.9436125,-38.4894017867154,1.22837623577151e-09,4.72262271679427e-07,13.1302215143117,"SBP1_HUMAN",39,47.8380042018561,8.28575954064102e-11,4.528443780945e-08,1.047325,"Up in C",7.34405101950274,"SELENBP1","Methanethiol oxidase","SBP1_HUMAN",-1.047325
-0.980700000000002,14.432025,-39.4367055956177,1.03099120066762e-09,4.22603293153657e-07,13.2968333034848,"SERA_HUMAN",27,46.78945566961,9.82239436062458e-11,5.03274931052502e-08,0.980700000000002,"Up in C",7.29819470198259,"PHGDH","D-3-phosphoglycerate dehydrogenase","SERA_HUMAN",-0.980700000000002
1.899275,14.7467125,39.8305024332192,9.59757827926187e-10,4.22603293153657e-07,13.3645462886505,"FINC_HUMAN",120,-44.5589951968764,1.42894366507031e-10,6.86064072432595e-08,-1.899275,"Up in BDM",7.16363532306218,"FN1","Fibronectin","FINC_HUMAN",1.899275
-1.109825,15.6281125,-36.5621707293782,1.77830358992776e-09,5.18537743569577e-07,12.7741276500809,"TKFC_HUMAN",40,43.6856801301713,1.66330762431516e-10,6.86064072432595e-08,1.109825,"Up in C",7.16363532306218,"TKFC","Triokinase/FMN cyclase","TKFC_HUMAN",-1.109825
-1.175275,12.2527625,-38.3228566498156,1.26735422992771e-09,4.72262271679427e-07,13.1003724375083,"PURA1_HUMAN",29,43.6766989686891,1.66593350740829e-10,6.86064072432595e-08,1.175275,"Up in C",7.16363532306218,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN",-1.175275
1.24765,14.60755,42.5605690371939,5.95167054623626e-10,4.06598292817041e-07,13.8105241592253,"VNN1_HUMAN",18,-43.6501091849778,1.67373523403902e-10,6.86064072432595e-08,-1.24765,"Up in BDM",7.16363532306218,"VNN1","Pantetheinase","VNN1_HUMAN",1.24765
0.910525,11.8819375,34.9822829788573,2.44403785960471e-09,5.64102232314233e-07,12.4637433515105,"TFR1_HUMAN",34,-43.2291905366541,1.80290155479968e-10,7.03818426011798e-08,-0.910525,"Up in BDM",7.15253936749444,"TFRC","Transferrin receptor protein 1","TFR1_HUMAN",0.910525
-1.087525,16.8765875,-34.394099095071,2.7612473374403e-09,5.95702780850937e-07,12.3436279113608,"AL1L1_HUMAN",79,42.8239515531576,1.93798672841976e-10,7.06351706716382e-08,1.087525,"Up in C",7.15097900113993,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN",-1.087525
-0.74395,16.2325,-28.6728505697044,1.02104793482963e-08,1.26827713186915e-06,11.0254136529641,"FAS_HUMAN",149,42.6995728305973,1.98171374170246e-10,7.06351706716382e-08,0.74395,"Up in C",7.15097900113993,"FASN","Fatty acid synthase","FAS_HUMAN",-0.74395
1.803425,12.7649375,39.7064307991437,9.81578534554526e-10,4.22603293153657e-07,13.3433084824911,"ANXA1_HUMAN",23,-41.9763870332033,2.25914441511163e-10,7.26565026926919e-08,-1.803425,"Up in BDM",7.1387255106547,"ANXA1","Annexin A1","ANXA1_HUMAN",1.803425
-0.584225,15.0644875,-25.1422914609178,2.61975079038945e-08,2.08426078700788e-06,10.0460001502266,"GDE_HUMAN",104,41.8306567009391,2.32021547686557e-10,7.26565026926919e-08,0.584225,"Up in C",7.1387255106547,"AGL","Glycogen debranching enzyme","GDE_HUMAN",-0.584225
1.1594,11.3216,39.7277699668579,9.7778571364692e-10,4.22603293153657e-07,13.3469674598514,"PRS23_HUMAN",19,-41.442216964639,2.49231355424284e-10,7.26565026926919e-08,-1.1594,"Up in BDM",7.1387255106547,"PRSS23","Serine protease 23","PRS23_HUMAN",1.1594
1.01368,10.146735,33.1433484053075,3.60451562552443e-09,6.87205095303471e-07,12.0794617112886,"AGRIN_HUMAN",63,-41.26593689576,2.57513587242103e-10,7.26565026926919e-08,-1.01368,"Up in BDM",7.1387255106547,"AGRN","Agrin","AGRIN_HUMAN",1.01368
-0.946724999999999,15.1365125,-36.7627765251151,1.70960113242201e-09,5.18537743569577e-07,12.8123130538008,"PBLD_HUMAN",23,41.0999671970758,2.65596483331325e-10,7.26565026926919e-08,0.946724999999999,"Up in C",7.1387255106547,"PBLD","Phenazine biosynthesis-like domain-containing protein","PBLD_HUMAN",-0.946724999999999
1.97766,8.6361025,37.231312095377,1.56058568573339e-09,5.11747258065692e-07,12.9004642275963,"PGBM_HUMAN",106,-40.901666722512,2.75632096630881e-10,7.26565026926919e-08,-1.97766,"Up in BDM",7.1387255106547,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN",1.97766
-1.00729,10.437505,-31.8119462990723,4.84054616800136e-09,8.44314840112238e-07,11.7843971802123,"SYNE2_HUMAN",160,40.7687740495622,2.82597126990307e-10,7.26565026926919e-08,1.00729,"Up in C",7.1387255106547,"SYNE2","Nesprin-2","SYNE2_HUMAN",-1.00729
-1.025925,17.6544125,-34.9169337483733,2.47715056883537e-09,5.64102232314233e-07,12.4505238968307,"BHMT1_HUMAN",31,40.661810567449,2.88347733036331e-10,7.26565026926919e-08,1.025925,"Up in C",7.1387255106547,"BHMT","Betaine--homocysteine S-methyltransferase 1","BHMT1_HUMAN",-1.025925
1.829475,15.2072875,37.8333269433552,1.39032278179415e-09,4.95559398484715e-07,13.0116463414935,"FIBG_HUMAN",29,-40.5301138312623,2.9561041777674e-10,7.26565026926919e-08,-1.829475,"Up in BDM",7.1387255106547,"FGG","Fibrinogen gamma chain","FIBG_HUMAN",1.829475
-1.479925,11.2520375,-35.8776378599963,2.03752391486807e-09,5.21988157940264e-07,12.6417798516162,"DPYD_HUMAN",55,40.4735378886814,2.98793675439252e-10,7.26565026926919e-08,1.479925,"Up in C",7.1387255106547,"DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","DPYD_HUMAN",-1.479925
-1.5106,13.404875,-41.1304981689193,7.61447118537247e-10,4.22603293153657e-07,13.5818899056442,"GNMT_HUMAN",15,40.4289070571194,3.01332165351491e-10,7.26565026926919e-08,1.5106,"Up in C",7.1387255106547,"GNMT","Glycine N-methyltransferase","GNMT_HUMAN",-1.5106
-0.765500000000001,15.044975,-31.8793967925745,4.76739452560030e-09,8.44314840112238e-07,11.7997059720366,"CBS_HUMAN",31,39.9482512121239,3.30271288713307e-10,7.73589721391912e-08,0.765500000000001,"Up in C",7.11148930931341,"CBS","Cystathionine beta-synthase","CBS_HUMAN",-0.765500000000001
-0.75315,11.23535,-28.3597952640307,1.10476668529436e-08,1.26848362421129e-06,10.9443527150041,"CGNL1_HUMAN",84,39.4889441532816,3.60889008153256e-10,8.14093179079367e-08,0.75315,"Up in C",7.0893258840002,"CGNL1","Cingulin-like protein 1","CGNL1_HUMAN",-0.75315
-1.08965,13.353125,-36.0694185693271,1.96080386077786e-09,5.18537743569577e-07,12.6791818252395,"BUP1_HUMAN",23,39.396604001561,3.67424342838943e-10,8.14093179079367e-08,1.08965,"Up in C",7.0893258840002,"UPB1","Beta-ureidopropionase","BUP1_HUMAN",-1.08965
-0.697224999999998,15.5033875,-28.2723233915024,1.12953530821449e-08,1.26848362421129e-06,10.9215158663085,"TRFE_HUMAN",51,39.0830582814543,3.90633567971998e-10,8.42740523745905e-08,0.697224999999998,"Up in C",7.07430612223387,"TF","Serotransferrin","TRFE_HUMAN",-0.697224999999998
2.139175,14.8095125,36.3208485660992,1.86514945798795e-09,5.18537743569577e-07,12.7278343756557,"FIBA_HUMAN",43,-38.8726126196366,4.07139208984828e-10,8.55827496219902e-08,-2.139175,"Up in BDM",7.06761376451632,"FGA","Fibrinogen alpha chain","FIBA_HUMAN",2.139175
1.352425,10.8422625,33.9470090805671,3.03384135529118e-09,6.21785785766928e-07,12.2505917921142,"LAMC1_HUMAN",52,-38.4701691805498,4.40944774371997e-10,9.03716315075407e-08,-1.352425,"Up in BDM",7.04396787719342,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN",1.352425
-0.651600000000006,15.824325,-26.6988900967288,1.70334319120178e-08,1.51782690016002e-06,10.4961312754589,"C1TC_HUMAN",59,38.2278731868973,4.62821979026203e-10,9.25418191233369e-08,0.651600000000006,"Up in C",7.03366196769043,"MTHFD1","C-1-tetrahydrofolate synthase, cytoplasmic","C1TC_HUMAN",-0.651600000000006
-0.783500000000002,10.5768,-30.5333148352004,6.50052233905884e-09,9.51630038135793e-07,11.4865385713196,"IFIT1_HUMAN",34,37.9704517931007,4.87418146226151e-10,9.51393800657615e-08,0.783500000000002,"Up in C",7.0216396827973,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN",-0.783500000000002
0.953524999999999,11.5236375,34.2560498963496,2.84232608334712e-09,5.97471518750761e-07,12.3150628306349,"4F2_HUMAN",23,-37.8252095990633,5.0194534962093e-10,9.56964645626136e-08,-0.953524999999999,"Up in BDM",7.01910410662556,"SLC3A2","Amino acid transporter heavy chain SLC3A2","4F2_HUMAN",0.953524999999999
1.1217875,10.32438125,33.3699447147569,3.43211109293526e-09,6.86254798533739e-07,12.1282289417578,"CDHR2_HUMAN",30,-37.509526186502,5.35237984639257e-10,9.97245681380144e-08,-1.1217875,"Up in BDM",7.00119783574696,"CDHR2","Cadherin-related family member 2","CDHR2_HUMAN",1.1217875
1.3306925,10.05347875,35.1189136284737,2.37642034968938e-09,5.64102232314233e-07,12.4912819967413,"DREB_HUMAN",21,-37.0602932499224,5.87002333949888e-10,1.05354557124212e-07,-1.3306925,"Up in BDM",6.97734667418883,"DBN1","Drebrin","DREB_HUMAN",1.3306925
0.715999999999999,11.78535,27.6644793754143,1.32018379196961e-08,1.3361563859959e-06,10.7605118749744,"MDR1_HUMAN",52,-37.0261881710999,5.91157554002652e-10,1.05354557124212e-07,-0.715999999999999,"Up in BDM",6.97734667418883,"ABCB1","ATP-dependent translocase ABCB1","MDR1_HUMAN",0.715999999999999
1.187375,13.4322875,32.5953288500784,4.06374220302047e-09,7.47825767862174e-07,11.9598002839398,"K2C7_HUMAN",37,-36.8358860529248,6.14961843279631e-10,1.07265046621413e-07,-1.187375,"Up in BDM",6.96954177414273,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN",1.187375
1.0263,12.5802,34.6713463198654,2.6062350503673e-09,5.77457160619219e-07,12.4005644549714,"LG3BP_HUMAN",20,-36.6763930314024,6.3574810938287e-10,1.08580479181683e-07,-1.0263,"Up in BDM",6.96424824607045,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN",1.0263
-1.2159,13.854375,-37.3289941689387,1.53141322563245e-09,5.11747258065692e-07,12.9186621217826,"NDRG1_HUMAN",15,36.2419284458052,6.96512888921528e-10,1.16530870681198e-07,1.2159,"Up in C",6.93355900862515,"NDRG1","Protein NDRG1","NDRG1_HUMAN",-1.2159
-0.852074999999996,15.9799375,-30.8156771567062,6.08443947818177e-09,9.06913360766075e-07,11.5535931024862,"CP2E1_HUMAN",29,36.0472917437795,7.25842126744513e-10,1.1900907510103e-07,0.852074999999996,"Up in C",6.92441991998541,"CYP2E1","Cytochrome P450 2E1","CP2E1_HUMAN",-0.852074999999996
-0.792124999999995,14.9932625,-28.5556394579304,1.05151831070692e-08,1.26827713186915e-06,10.9951855962889,"KPYR_HUMAN",45,35.9439046257639,7.41986769283985e-10,1.19270735972355e-07,0.792124999999995,"Up in C",6.92346610087911,"PKLR","Pyruvate kinase PKLR","KPYR_HUMAN",-0.792124999999995
-1.067775,18.4205875,-31.4595509528883,5.24411390693173e-09,8.71750219634183e-07,11.7037702124623,"ADH1G_HUMAN",33,35.6879210123956,7.83734687449046e-10,1.23558787840525e-07,1.067775,"Up in C",6.90812636094645,"ADH1C","Alcohol dehydrogenase 1C","ADH1G_HUMAN",-1.067775
0.626375000000003,12.5536125,26.8744219299269,1.62515470476585e-08,1.51782690016002e-06,10.5450039656492,"BAG3_HUMAN",35,-35.4481892363222,8.25251161285765e-10,1.27649226796617e-07,-0.626375000000003,"Up in BDM",6.89398181148237,"BAG3","BAG family molecular chaperone regulator 3","BAG3_HUMAN",0.626375000000003
-0.939850000000002,12.460225,-29.5349072006648,8.25411832305525e-09,1.12778770020678e-06,11.2433579702086,"XDH_HUMAN",47,35.3124680060772,8.49853112947317e-10,1.28517077505597e-07,0.939850000000002,"Up in C",6.89103915891902,"XDH","Xanthine dehydrogenase/oxidase","XDH_HUMAN",-0.939850000000002
0.489199999999999,14.408575,21.2723104747886,8.65332155427756e-08,4.48986899379541e-06,8.77679580575295,"IQGA1_HUMAN",91,-35.2459354791213,8.62215084509369e-10,1.28517077505597e-07,-0.489199999999999,"Non-significant",6.89103915891902,"IQGAP1","Ras GTPase-activating-like protein IQGAP1","IQGA1_HUMAN",0.489199999999999
-0.741175,11.5165125,-27.2531237694778,1.46997168339527e-08,1.40125905354354e-06,10.6492046752882,"KPBB_HUMAN",49,35.0722063923135,8.95463121848245e-10,1.31089404873427e-07,0.741175,"Up in C",6.88243240816462,"PHKB","Phosphorylase b kinase regulatory subunit beta","KPBB_HUMAN",-0.741175
-0.940375000000003,15.9386125,-29.9410759496327,7.48279264121954e-09,1.05735787931831e-06,11.3434525296322,"FTCD_HUMAN",36,34.9554945288205,9.18611982613978e-10,1.32118965499463e-07,0.940375000000003,"Up in C",6.87903483552281,"FTCD","Formimidoyltransferase-cyclodeaminase","FTCD_HUMAN",-0.940375000000003
0.603200000000001,13.39845,23.2376297319704,4.60356383654402e-08,2.89076015348304e-06,9.45051049035415,"FAT1_HUMAN",153,-34.6453268164401,9.83486175013924e-10,1.39010683840761e-07,-0.603200000000001,"Up in BDM",6.85695182021512,"FAT1","Protocadherin Fat 1","FAT1_HUMAN",0.603200000000001
0.822800000000003,11.8812,27.9266804478952,1.23378211554943e-08,1.32953064415492e-06,10.8304630549712,"ITA6_HUMAN",48,-34.4677075016381,1.02295824680276e-09,1.42139181479476e-07,-0.822800000000003,"Up in BDM",6.84728618980798,"ITGA6","Integrin alpha-6","ITA6_HUMAN",0.822800000000003
-1.00379999999999,16.7772,-31.3993258884441,5.3168469116503e-09,8.71750219634183e-07,11.6898813548169,"GSTM1_HUMAN",24,34.3595670763603,1.04786498417386e-09,1.43173285670955e-07,1.00379999999999,"Up in C",6.84413800834106,"GSTM1","Glutathione S-transferase Mu 1","GSTM1_HUMAN",-1.00379999999999
-1.197025,11.2133625,-31.1770535650973,5.59539163462654e-09,8.8213501193593e-07,11.6383415370028,"ACO12_HUMAN",27,33.9468784561889,1.14941261429977e-09,1.51956766549403e-07,1.197025,"Up in C",6.81827995626428,"ACOT12","Acetyl-coenzyme A thioesterase","ACO12_HUMAN",-1.197025
0.999699999999997,11.408875,31.5142880057442,5.17898899235045e-09,8.71750219634183e-07,11.7163655446472,"5NTD_HUMAN",22,-33.9218415393459,1.15592199079902e-09,1.51956766549403e-07,-0.999699999999997,"Up in BDM",6.81827995626428,"NT5E","5'-nucleotidase","5NTD_HUMAN",0.999699999999997
1.295825,13.9965875,35.088778050261,2.39114935779799e-09,5.64102232314233e-07,12.4852196347886,"IL18_HUMAN",14,-33.8137339790996,1.18451101971299e-09,1.51956766549403e-07,-1.295825,"Up in BDM",6.81827995626428,"IL18","Interleukin-18","IL18_HUMAN",1.295825
0.876825000000002,12.8686625,31.0417455935237,5.77307007649193e-09,8.92974122397752e-07,11.606748978208,"MFGM_HUMAN",22,-33.8070919332491,1.18629337145179e-09,1.51956766549403e-07,-0.876825000000002,"Up in BDM",6.81827995626428,"MFGE8","Lactadherin","MFGM_HUMAN",0.876825000000002
-0.997774999999997,14.0703875,-30.9543609471891,5.89122723206489e-09,8.94375571267925e-07,11.5862574969857,"CGL_HUMAN",22,33.2727058145063,1.34013575039934e-09,1.69022044334981e-07,0.997774999999997,"Up in C",6.77205664977274,"CTH","Cystathionine gamma-lyase","CGL_HUMAN",-0.997774999999997
1.221925,10.8870875,31.3084458486797,5.42878406163056e-09,8.72650426220536e-07,11.6688618332493,"ANGL3_HUMAN",22,-33.2042953285017,1.36140933208598e-09,1.69103540976377e-07,-1.221925,"Up in BDM",6.77184729831355,"ANGPTL3","Angiopoietin-related protein 3","ANGL3_HUMAN",1.221925
-1.6193925,10.20727875,-40.2615190802508,8.88131311579301e-10,4.22603293153657e-07,13.437646249387,"TTC36_HUMAN",9,33.0269145855807,1.4183680148977e-09,1.73548969942259e-07,1.6193925,"Up in C",6.76057795963429,"TTC36","Tetratricopeptide repeat protein 36","TTC36_HUMAN",-1.6193925
0.628875000000004,13.2393625,24.1689363918543,3.47553486729679e-08,2.55637026922592e-06,9.74822047302104,"ITAV_HUMAN",58,-32.7478592249567,1.51350611494312e-09,1.82154638755323e-07,-0.628875000000004,"Up in BDM",6.73955976452534,"ITGAV","Integrin alpha-V","ITAV_HUMAN",0.628875000000004
0.94735,11.190075,30.0764463994212,7.24419079427263e-09,1.0418925637096e-06,11.3764543977116,"SCMC1_HUMAN",23,-32.6927396016581,1.53313857942392e-09,1.82154638755323e-07,-0.94735,"Up in BDM",6.73955976452534,"SLC25A24","Mitochondrial adenyl nucleotide antiporter SLC25A24","SCMC1_HUMAN",0.94735
-0.587174999999998,15.1136625,-24.122533308518,3.52366236182641e-08,2.55637026922592e-06,9.73369068375036,"HYES_HUMAN",43,32.5373945016372,1.59003435789559e-09,1.85895689198286e-07,0.587174999999998,"Up in C",6.73073068112161,"EPHX2","Bifunctional epoxide hydrolase 2","HYES_HUMAN",-0.587174999999998
-0.896074999999996,17.4145125,-27.7802851136185,1.2812017673608e-08,1.32953064415492e-06,10.7915016219331,"SCP2_HUMAN",39,32.478176612856,1.6123477324451e-09,1.85895689198286e-07,0.896074999999996,"Up in C",6.73073068112161,"SCP2","Sterol carrier protein 2","SCP2_HUMAN",-0.896074999999996
0.707175000000003,11.6332625,26.7272863875999,1.69040928053932e-08,1.51782690016002e-06,10.5040625306024,"S12A7_HUMAN",32,-32.3916633773676,1.64558442188506e-09,1.85895689198286e-07,-0.707175000000003,"Up in BDM",6.73073068112161,"SLC12A7","Solute carrier family 12 member 7","S12A7_HUMAN",0.707175000000003
0.683999999999999,12.74515,26.7567915571248,1.67708844914966e-08,1.51782690016002e-06,10.5122932608657,"GALT2_HUMAN",30,-32.3666728831285,1.65532877671076e-09,1.85895689198286e-07,-0.683999999999999,"Up in BDM",6.73073068112161,"GALNT2","Polypeptide N-acetylgalactosaminyltransferase 2","GALT2_HUMAN",0.683999999999999
-3.3520025,9.68647375,-36.7853005457238,1.70207753342001e-09,5.18537743569577e-07,12.8165837975851,"NUA4L_HUMAN",5,32.1294899684255,1.75112702909953e-09,1.93996478169702e-07,3.3520025,"Up in C",6.71220615422105,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN",-3.3520025
0.655815,9.9934925,24.1359260467004,3.50969459880657e-08,2.55637026922592e-06,9.73788743051933,"FA5_HUMAN",56,-31.625405636681,1.97625221603969e-09,2.12563614318539e-07,-0.655815,"Up in BDM",6.67251107402282,"F5","Coagulation factor V","FA5_HUMAN",0.655815
0.996110000000002,9.47657,28.6464144278219,1.02783163534732e-08,1.26827713186915e-06,11.0186086013712,"FLRT3_HUMAN",27,-31.5885543882776,1.99395126141257e-09,2.12563614318539e-07,-0.996110000000002,"Up in BDM",6.67251107402282,"FLRT3","Leucine-rich repeat transmembrane protein FLRT3","FLRT3_HUMAN",0.996110000000002
-0.964124999999999,17.9029625,-28.9796669718011,9.4592964834743e-09,1.2507631059923e-06,11.1038575856679,"LDHA_HUMAN",24,31.5607945390425,2.00740206159988e-09,2.12563614318539e-07,0.964124999999999,"Up in C",6.67251107402282,"LDHA","L-lactate dehydrogenase A chain","LDHA_HUMAN",-0.964124999999999
-0.70425,15.164525,-27.4455004843442,1.39763994192175e-08,1.36403002903268e-06,10.7014995236807,"HEM2_HUMAN",25,31.5300069969512,2.02243985323811e-09,2.12563614318539e-07,0.70425,"Up in C",6.67251107402282,"ALAD","Delta-aminolevulinic acid dehydratase","HEM2_HUMAN",-0.70425
-0.984725000000001,12.8030375,-29.122028966411,9.13224106983137e-09,1.22731331623734e-06,11.139924077969,"AK1D1_HUMAN",23,31.4270349662176,2.07366701789229e-09,2.15188888768114e-07,0.984725000000001,"Up in C",6.66718015712868,"AKR1D1","Aldo-keto reductase family 1 member D1","AK1D1_HUMAN",-0.984725000000001
1.4774125,9.75566875,28.6693648574669,1.02193947262937e-08,1.26827713186915e-06,11.024516800857,"PTPRF_HUMAN",57,-31.2878152476486,2.14527241403615e-09,2.19836790628355e-07,-1.4774125,"Up in BDM",6.65789962478871,"PTPRF","Receptor-type tyrosine-protein phosphatase F","PTPRF_HUMAN",1.4774125
-0.716149999999999,15.973325,-24.0764398386357,3.57222010336302e-08,2.56886494801491e-06,9.71922696835181,"AOXA_HUMAN",91,31.1944311889257,2.19486670924545e-09,2.22142188671534e-07,0.716149999999999,"Up in C",6.65336895353044,"AOX1","Aldehyde oxidase","AOXA_HUMAN",-0.716149999999999
0.847300000000001,12.19985,28.286064172033,1.12560297842338e-08,1.26848362421129e-06,10.9251087236499,"PEG10_HUMAN",23,-30.9273016760312,2.34403280353731e-09,2.34346108821938e-07,-0.847300000000001,"Up in BDM",6.63014225328604,"PEG10","Retrotransposon-derived protein PEG10","PEG10_HUMAN",0.847300000000001
0.961775000000001,12.2489875,25.9912782326006,2.065037060847e-08,1.72189540024025e-06,10.295312819331,"FLNC_HUMAN",102,-30.7947413434484,2.42228067824779e-09,2.37919182545625e-07,-0.961775000000001,"Up in BDM",6.6235705409898,"FLNC","Filamin-C","FLNC_HUMAN",0.961775000000001
0.797174999999999,13.4788375,26.467072656665,1.81324405826208e-08,1.59838438598199e-06,10.4310192247535,"BGH3_HUMAN",32,-30.7689989781888,2.43781548351213e-09,2.37919182545625e-07,-0.797174999999999,"Up in BDM",6.6235705409898,"TGFBI","Transforming growth factor-beta-induced protein ig-h3","BGH3_HUMAN",0.797174999999999
2.2582375,10.12098125,32.549660953941,4.10492309756012e-09,7.47825767862174e-07,11.9497171086165,"SYUG_HUMAN",9,-30.7113124947577,2.47303781295598e-09,2.38517223418978e-07,-2.2582375,"Up in BDM",6.62248025492262,"SNCG","Gamma-synuclein","SYUG_HUMAN",2.2582375
-0.767749999999999,16.358625,-26.2950582262732,1.9000133130209e-08,1.63961148843635e-06,10.3822809871054,"GLYC_HUMAN",30,30.5013268607808,2.60619089556536e-09,2.48436662347033e-07,0.767749999999999,"Up in C",6.60478431397005,"SHMT1","Serine hydroxymethyltransferase, cytosolic","GLYC_HUMAN",-0.767749999999999
-0.8157,11.48325,-27.7005223911234,1.3079084124245e-08,1.3361563859959e-06,10.7701731445411,"PHKG2_HUMAN",21,29.6868441607065,3.20503455376119e-09,3.0201003760614e-07,0.8157,"Up in C",6.51997862259081,"PHKG2","Phosphorylase b kinase gamma catalytic chain, liver/testis isoform","PHKG2_HUMAN",-0.8157
1.30025,10.9668,27.8262416116495,1.26609613517584e-08,1.32953064415492e-06,10.8037580712327,"EPHA2_HUMAN",25,-29.582813092955,3.29215538423504e-09,3.06694202726805e-07,-1.30025,"Up in BDM",6.51329443317159,"EPHA2","Ephrin type-A receptor 2","EPHA2_HUMAN",1.30025
