"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B_vs_BM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
0.0920310020446529,20.3266050815582,4.20015126611848,0.00359151679069979,0.179600780623814,-1.49513856575451,"A2RTX5;P26639;B7ZLP8",37,5.68481063416904,0.000340089854875055,0.0742117286350082,-0.0920310020446529,"Non-significant",1.12952745214775,"TARS1","Threonine--tRNA ligase 1, cytoplasmic","A2RTX5;P26639;B7ZLP8"
0.2361612319946,20.0053539276123,5.82877320606874,0.000531549192683439,0.10936244961467,0.32265725884636,"A6NKH3;P61513;M0R2L6;E9PEL3;Q6P4E4;G5E9R3;C9J4Z3;M0R0A1",8,5.53969179448619,0.000407429728127674,0.074340160580388,-0.2361612319946,"Non-significant",1.12877650513024,"RPL37A","60S ribosomal protein L37a","A6NKH3;P61513;M0R2L6;E9PEL3;Q6P4E4;G5E9R3;C9J4Z3;M0R0A1"
-0.507074832916267,27.3391664028168,-5.10703807889353,0.00118412749062353,0.141680380937232,-0.428247172705333,"ALBU_BOVIN",88,-5.60914678388581,0.00037354780149596,0.074340160580388,0.507074832916278,"Non-significant",1.12877650513024,"ALDOA_RABIT","ALDOA_RABIT","ALBU_BOVIN"
-0.471701622009274,20.0749411582947,-5.7142620931046,0.000600844361955538,0.111487749777323,0.209086959458946,"P02452",5,-5.63823733047291,0.00036027830669453,0.074340160580388,0.471701622009274,"Non-significant",1.12877650513024,"COL1A1","Collagen alpha-1(I) chain","P02452"
0.214643478393555,18.4559588432312,5.77574714164385,0.000562467910833315,0.111487749777323,0.27032115427743,"P40123;A0A087WZ15;A0A087X0J3;B7Z385;E9PDI2",9,5.56666662436986,0.000393889370260145,0.074340160580388,-0.214643478393551,"Non-significant",1.12877650513024,"CAP2","Adenylyl cyclase-associated protein 2","P40123;A0A087WZ15;A0A087X0J3;B7Z385;E9PDI2"
-0.256639480590795,18.2203736305237,-6.12110405396662,0.000391636082412112,0.0969962168080341,0.603449441997083,"Q16651",7,-5.63236862948496,0.000362913414637072,0.074340160580388,0.256639480590803,"Non-significant",1.12877650513024,"PRSS8","Prostasin","Q16651"
0.145724773406997,18.9698703289032,5.36686990201995,0.000880447237247997,0.13266962257937,-0.148178031392164,"Q86UY8",14,5.58922590036929,0.000382940916646926,0.074340160580388,-0.145724773407,"Non-significant",1.12877650513024,"NT5DC3","5'-nucleotidase domain-containing protein 3","Q86UY8"
-0.130040168762221,19.9956245422363,-4.85406078225331,0.00159446194979677,0.148532547048027,-0.711775345565989,"Q8NF37;A0A0G2JQ62",20,-5.52898537263122,0.000412943538843983,0.074340160580388,0.130040168762225,"Non-significant",1.12877650513024,"LPCAT1","Lysophosphatidylcholine acyltransferase 1","Q8NF37;A0A0G2JQ62"
0.112252712249745,21.045131444931,4.3496416194424,0.00296643489871235,0.179600780623814,-1.30962617392125,"Q15067;K7ENF1;K7ESC7",37,5.4794640474272,0.000439524065191076,0.0753574474628795,-0.112252712249749,"Non-significant",1.12287382055967,"ACOX1","Peroxisomal acyl-coenzyme A oxidase 1","Q15067;K7ENF1;K7ESC7"
-0.122972011566198,18.9268915653229,-4.8512763030491,0.00159977301320748,0.148532547048027,-0.714956354700254,"Q15303;P00533;P04626;J3QLU9;E9PFD7;H3BLT0;A0A0A0MSE1;Q504U8;J3KTI5;B4DTR1",19,-5.49061204481699,0.000433382163281083,0.0753574474628795,0.122972011566201,"Non-significant",1.12287382055967,"ERBB2","Receptor tyrosine-protein kinase erbB-2","Q15303;P00533;P04626;J3QLU9;E9PFD7;H3BLT0;A0A0A0MSE1;Q504U8;J3KTI5;B4DTR1"
0.139510154724096,19.0821561813354,4.38975400179337,0.00281967013139682,0.178109163299899,-1.26049324711459,"Q14571",86,5.38215929249218,0.000497330831094382,0.0802540299827556,-0.1395101547241,"Non-significant",1.09553315013395,"ITPR2","Inositol 1,4,5-trisphosphate receptor type 2","Q14571"
0.145896434783957,19.6760938167572,4.8393562837713,0.00162273011924242,0.148532547048027,-0.728588773082362,"Q92665",18,5.35840637392575,0.000512662877267984,0.0802540299827556,-0.145896434783953,"Non-significant",1.09553315013395,"MRPS31","28S ribosomal protein S31, mitochondrial","Q92665"
0.230174541473424,18.5722887516022,6.65901709266834,0.000229177161100508,0.0916835965047089,1.08730889316165,"Q9H477",6,5.35900753945905,0.000512268568622631,0.0802540299827556,-0.230174541473424,"Non-significant",1.09553315013395,"RBKS","Ribokinase","Q9H477"
0.128291606903105,19.2867295742035,5.07191602423032,0.00123340094179646,0.141680380937232,-0.466966194621899,"Q9Y2R9;J3QKW2;J3QLS3",15,5.37120140211158,0.000504341174857346,0.0802540299827556,-0.128291606903101,"Non-significant",1.09553315013395,"MRPS7","28S ribosomal protein S7, mitochondrial","Q9Y2R9;J3QKW2;J3QLS3"
-0.392282009124749,21.0756771564484,-4.87129361683014,0.00156202093711096,0.148532547048027,-0.692117745335562,"P08697;C9JPV4;C9JMH6",11,-5.20881493060349,0.000621826238922876,0.0844862404996911,0.392282009124749,"Non-significant",1.07321401485662,"SERPINF2","Alpha-2-antiplasmin","P08697;C9JPV4;C9JMH6"
0.233694076538097,19.9490909576416,4.70769000519205,0.00190190360814353,0.160791199486926,-0.880780347578416,"P21397",26,5.2450569558237,0.000593241686976688,0.0844862404996911,-0.233694076538097,"Non-significant",1.07321401485662,"MAOA","Amine oxidase [flavin-containing] A","P21397"
0.146305084228494,19.1730179786682,4.62769597124934,0.00209704616505505,0.165948902040292,-0.974690145828298,"P32754;A0A0B4J1R4",21,5.23386358246866,0.000601914960294682,0.0844862404996911,-0.146305084228498,"Non-significant",1.07321401485662,"HPD","4-hydroxyphenylpyruvate dioxygenase","P32754;A0A0B4J1R4"
0.186493396758976,17.7889716625214,5.88485642755068,0.000500886898408635,0.106084898689429,0.3775369509231,"P50452",8,5.21848549328945,0.00061405570822821,0.0844862404996911,-0.186493396758976,"Non-significant",1.07321401485662,"SERPINB8","Serpin B8","P50452"
-0.441743850708026,21.0637273788452,-4.83587358681582,0.00162950579319458,0.148532547048027,-0.732576347281343,"Q92522",13,-5.22036624036179,0.000612556742778633,0.0844862404996911,0.441743850708026,"Non-significant",1.07321401485662,"H1-10","Histone H1.10","Q92522"
0.262822628021183,18.0618999004364,5.3276649533716,0.000920165394589575,0.13266962257937,-0.189722615126359,"Q96EM0",8,5.26827997124917,0.000575676241448301,0.0844862404996911,-0.262822628021176,"Non-significant",1.07321401485662,"L3HYPDH","Trans-3-hydroxy-L-proline dehydratase","Q96EM0"
-0.293248176574679,18.2664580345154,-4.97028243910034,0.00138919372285001,0.14440973099273,-0.580176317664586,"Q9NXX6",11,-5.24550619449869,0.000592896430923541,0.0844862404996911,0.293248176574675,"Non-significant",1.07321401485662,"NSMCE4A","Non-structural maintenance of chromosomes element 4 homolog A","Q9NXX6"
-0.264818668365479,21.1129190921784,-4.79333652533814,0.0017148229866221,0.152782064176411,-0.781446505035388,"P05162",14,-5.15188358525906,0.000669787339402776,0.0861274755542749,0.264818668365471,"Non-significant",1.06485828201773,"LGALS2","Galectin-2","P05162"
-0.480297088622997,18.8333377838135,-5.01088635405307,0.00132449064259987,0.141680380937232,-0.534738739445076,"P05543",6,-5.17313470447572,0.000651431382840033,0.0861274755542749,0.480297088623001,"Non-significant",1.06485828201773,"SERPINA7","Thyroxine-binding globulin","P05543"
0.196649551391602,17.9760837554931,5.1974419715707,0.00106700327204098,0.141680380937232,-0.329532893037297,"Q9HD23;H7BZ29;A0A0A0MQX2",10,5.16558962132155,0.000657885389818376,0.0861274755542749,-0.196649551391602,"Non-significant",1.06485828201773,"MRS2","Magnesium transporter MRS2 homolog, mitochondrial","Q9HD23;H7BZ29;A0A0A0MQX2"
0.884899377822901,15.1521495580673,5.27519230168772,0.000976460213401832,0.13266962257937,-0.245721648471435,"P52747;C9JTC5;C9JRS3;E9PJF2;E9PLN4;E9PPB0;E9PS81;E9PMY8",2,5.10614198955838,0.000711226533209898,0.0875661922935684,-0.884899377822901,"Non-significant",1.05766353463451,"ZNF143","Zinc finger protein 143","P52747;C9JTC5;C9JRS3;E9PJF2;E9PLN4;E9PPB0;E9PS81;E9PMY8"
-0.1531710624695,19.5536105632782,-4.36268728313207,0.00291780673734196,0.179600780623814,-1.29361672548595,"Q68CZ2;E9PCX8;C9JHU5",33,-5.07423010415622,0.000741777215651669,0.0875661922935684,0.1531710624695,"Non-significant",1.05766353463451,"TNS3","Tensin-3","Q68CZ2;E9PCX8;C9JHU5"
0.712255716323874,15.7356396913528,5.68638115989614,0.000619196986864492,0.111487749777323,0.181124260253703,"Q7Z3B0",2,5.1032735496203,0.000713916108258469,0.0875661922935684,-0.712255716323874,"Non-significant",1.05766353463451,"SMIM15","Small integral membrane protein 15","Q7Z3B0"
0.118498325347897,20.8683841228485,5.10094853339433,0.00119251263974777,0.141680380937232,-0.434945559783616,"Q9BQA1;H0Y711",13,5.07870601214962,0.000737407881828679,0.0875661922935684,-0.1184983253479,"Non-significant",1.05766353463451,"WDR77","Methylosome protein 50","Q9BQA1;H0Y711"
-0.126492023467996,20.0029804706573,-4.4126171529774,0.00273958308810299,0.178109163299899,-1.2326112271939,"Q9NTZ6",22,-5.07480017764192,0.000741219162146249,0.0875661922935684,0.126492023468,"Non-significant",1.05766353463451,"RBM12","RNA-binding protein 12","Q9NTZ6"
-0.204254627227769,17.5895044803619,-5.02719683318624,0.00129944101466021,0.141680380937232,-0.516564846381012,"A6ND36",9,-4.93160405350167,0.00089678005966714,0.0884618247899051,0.204254627227776,"Non-significant",1.05324410625047,"FAM83G","Protein FAM83G","A6ND36"
0.123484134674072,21.3057472705841,4.13085025054983,0.00392886501060924,0.180071144679681,-1.58241634838798,"O60488;D6RF95",38,4.99869198673585,0.000819903078826852,0.0884618247899051,-0.123484134674076,"Non-significant",1.05324410625047,"ACSL4","Long-chain-fatty-acid--CoA ligase 4","O60488;D6RF95"
-0.254791736602826,18.074805021286,-5.0022900885568,0.0013379066662591,0.141680380937232,-0.544335133913678,"P08236",8,-4.97296309626662,0.000848509435056952,0.0884618247899051,0.254791736602822,"Non-significant",1.05324410625047,"GUSB","Beta-glucuronidase","P08236"
0.337066173553477,20.4361050128937,4.69977448082139,0.00192029484181025,0.160791199486926,-0.890024089910645,"P10646",12,5.03228991491852,0.000784107175583615,0.0884618247899051,-0.337066173553474,"Non-significant",1.05324410625047,"TFPI","Tissue factor pathway inhibitor","P10646"
-0.330619335174593,19.4544422626495,-4.62326600892543,0.00210847758173687,0.165948902040292,-0.979922724005916,"P36955;I3L107;I3L4N7;I3L4F9",16,-5.01806991980788,0.000799046789958142,0.0884618247899051,0.330619335174596,"Non-significant",1.05324410625047,"SERPINF1","Pigment epithelium-derived factor","P36955;I3L107;I3L4N7;I3L4F9"
0.139617443084703,18.6799256801605,4.42927735757396,0.00268279185788706,0.178109163299899,-1.21234995966904,"Q14409;P32189;H7C2A0",19,4.93865040613293,0.000888350764058719,0.0884618247899051,-0.139617443084699,"Non-significant",1.05324410625047,"GK","Glycerol kinase","Q14409;P32189;H7C2A0"
0.158243179321271,18.6139612197876,4.39475801555901,0.00280192523821023,0.178109163299899,-1.25438314619995,"Q3SY69;A0A494C1M4",28,5.04230811444577,0.00077376352756803,0.0884618247899051,-0.158243179321275,"Non-significant",1.05324410625047,"ALDH1L2","Mitochondrial 10-formyltetrahydrofolate dehydrogenase","Q3SY69;A0A494C1M4"
0.331040382385247,16.7598133087158,5.10371578523534,0.00118869410875489,0.141680380937232,-0.43190086461196,"Q6NXE6;F5H7V0;F5H4P3;F5GWV0;F5GZP0;F5H2K4;F5H3X1;F5H2X2;F5H052",6,4.99154519818674,0.000827743067632357,0.0884618247899051,-0.331040382385247,"Non-significant",1.05324410625047,"ARMC6","Armadillo repeat-containing protein 6","Q6NXE6;F5H7V0;F5H4P3;F5GWV0;F5GZP0;F5H2K4;F5H3X1;F5H2X2;F5H052"
-0.138842582702651,19.8555841445923,-4.18125037950491,0.00368027890258432,0.180071144679681,-1.51886252026942,"Q8IY81",36,-4.93258469594948,0.000895601793526343,0.0884618247899051,0.138842582702647,"Non-significant",1.05324410625047,"FTSJ3","pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3","Q8IY81"
-0.177398681640593,20.3270497322082,-4.8986229058306,0.00151205285843867,0.148532547048027,-0.66104647310101,"Q8WTV0;F5H4X0;B7ZKQ9",11,-4.94653788622817,0.000879016692754461,0.0884618247899051,0.1773986816406,"Non-significant",1.05324410625047,"SCARB1","Scavenger receptor class B member 1","Q8WTV0;F5H4X0;B7ZKQ9"
-0.102430820465077,20.2746903896332,-4.70892643763936,0.00189904834424465,0.160791199486926,-0.879337409588487,"Q99961;Q99962;M0QYE0;M0R0I3",15,-4.94405392637504,0.00088194473495538,0.0884618247899051,0.102430820465077,"Non-significant",1.05324410625047,"SH3GL1","Endophilin-A2","Q99961;Q99962;M0QYE0;M0R0I3"
-0.122746944427497,17.8225495815277,-4.44413065536907,0.00263324486044639,0.178109163299899,-1.19432609782405,"Q9UKJ3",19,-4.99609484330558,0.000822742804172195,0.0884618247899051,0.122746944427501,"Non-significant",1.05324410625047,"GPATCH8","G patch domain-containing protein 8","Q9UKJ3"
0.137112140655518,18.9473612308502,5.39471748984753,0.000853387901247488,0.13266962257937,-0.118821287428055,"O75208;H3BVA5;H3BPW3;H3BSJ5;H3BPC6;H3BRC0;H3BNT2",10,4.89897569334858,0.000936954682730833,0.0911758198695233,-0.137112140655525,"Non-significant",1.0401203227418,"COQ9","Ubiquinone biosynthesis protein COQ9, mitochondrial","O75208;H3BVA5;H3BPW3;H3BSJ5;H3BPC6;H3BRC0;H3BNT2"
-0.887314558029175,15.0866047143936,-4.89888650053217,0.00151157956061036,0.148532547048027,-0.660747403635118,"A0A0J9YW50;A0A0J9YYJ7;A0A0J9YY01;A0A2R8YFM0",2,-4.81286257708952,0.00105262048353886,0.0947490012745415,0.887314558029175,"Non-significant",1.02342535912497,"MYO15B","Unconventional myosin-XVB","A0A0J9YW50;A0A0J9YYJ7;A0A0J9YY01;A0A2R8YFM0"
-0.562914371490475,21.9133517742157,-5.99294462260421,0.000447182326924402,0.100629998005707,0.481944823568067,"P20742;F5GXY0",2,-4.81657442489102,0.00104732893676537,0.0947490012745415,0.562914371490475,"Non-significant",1.02342535912497,"PZP","Pregnancy zone protein","P20742;F5GXY0"
-0.0892353057861257,20.3145689964294,-3.83661059261526,0.00579796520828228,0.190808427142523,-1.96180530104589,"P49756;H0YE46",29,-4.84049403137899,0.00101391052469808,0.0947490012745415,0.0892353057861222,"Non-significant",1.02342535912497,"RBM25","RNA-binding protein 25","P49756;H0YE46"
-0.131928443908695,19.2091956138611,-4.27805699579313,0.00324952499123774,0.179600780623814,-1.39798833022744,"Q14451",20,-4.81429862693185,0.00105056986221505,0.0947490012745415,0.131928443908702,"Non-significant",1.02342535912497,"GRB7","Growth factor receptor-bound protein 7","Q14451"
-0.150143623352022,20.4126558303833,-4.27944262364679,0.00324377335752045,0.179600780623814,-1.39626970100013,"Q99856;K7EJ04",23,-4.84634191856358,0.00100591662552751,0.0947490012745415,0.150143623352026,"Non-significant",1.02342535912497,"ARID3A","AT-rich interactive domain-containing protein 3A","Q99856;K7EJ04"
0.180645942688031,17.3111162185669,5.09553807768166,0.0012000176969877,0.141680380937232,-0.440902169459916,"Q9NZD8;H0YMB7;H0YML6;H0YKB0;H0YLW1;H0YLT5;H0YKM6;H0YLD7",9,4.86027977938278,0.000987136927450973,0.0947490012745415,-0.180645942688024,"Non-significant",1.02342535912497,"SPG21","Maspardin","Q9NZD8;H0YMB7;H0YML6;H0YKB0;H0YLW1;H0YLT5;H0YKM6;H0YLD7"
-0.492355346679652,20.0325436592102,-4.39992117160813,0.00278374391361578,0.178109163299899,-1.2480831996819,"ANT3_HUMAN;P01008",12,-4.75071769038215,0.00114563251030776,0.0965759029362437,0.492355346679648,"Non-significant",1.01513122272862,"SERPINC1","Antithrombin-III","ANT3_HUMAN;P01008"
0.10432243347168,20.5486850738525,4.01184187619571,0.004591446363232,0.180071144679681,-1.73416105600335,"P51398;V9GYL9;V9GZ03",23,4.71501690530395,0.00120304374015359,0.0965759029362437,-0.104322433471676,"Non-significant",1.01513122272862,"DAP3","28S ribosomal protein S29, mitochondrial","P51398;V9GYL9;V9GZ03"
0.227411746978753,20.0709116458893,4.36155564923278,0.00292199024531709,0.179600780623814,-1.29500430318461,"Q00266",16,4.73122519659526,0.00117660352503996,0.0965759029362437,-0.227411746978753,"Non-significant",1.01513122272862,"MAT1A","S-adenosylmethionine synthase isoform type-1","Q00266"
0.0892682075499991,19.853324174881,3.85526673212819,0.00565449383671835,0.189873393654183,-1.9373346416036,"Q7L0Y3",26,4.766648873318,0.00112097246990863,0.0965759029362437,-0.0892682075499991,"Non-significant",1.01513122272862,"TRMT10C","tRNA methyltransferase 10 homolog C","Q7L0Y3"
