"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CTRL.myr_vs_CTRL","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
0.309362368722745,19.9587501501325,6.92263820355971,0.000120817086838463,0.0347598905076514,1.67273483693158,"Q9ULD0",29,8.10431006597664,9.88107866721726e-06,0.00583948594421639,-0.309362368722745,"Non-significant",2.2336253825822,"OGDHL","2-oxoglutarate dehydrogenase-like, mitochondrial","Q9ULD0"
0.284646295931619,19.7872783279846,7.36666006655669,7.80395837564785e-05,0.0339746840062535,2.07062286684162,"Q9Y2E5",14,7.87992802917231,1.26620753923316e-05,0.00583948594421639,-0.284646295931616,"Non-significant",2.2336253825822,"MAN2B2","Epididymis-specific alpha-mannosidase","Q9Y2E5"
0.533231630789647,20.0547387720248,7.48302354399981,6.98268008879524e-05,0.0339746840062535,2.17072898267688,"Q9Y646",12,8.18357391034567,9.06352001375e-06,0.00583948594421639,-0.533231630789643,"Up in CTRL.myr",2.2336253825822,"CPQ","Carboxypeptidase Q","Q9Y646"
0.486699495888693,24.5302887744718,6.65365065881713,0.000159070548203619,0.0347598905076514,1.41891659467436,"P05089",31,7.59698603786565,1.74428648751576e-05,0.00650073770316031,-0.48669949588869,"Non-significant",2.1870373568598,"ARG1","Arginase-1","P05089"
0.328329588480408,22.1578817041066,6.5483138259804,0.000177555380878995,0.0347598905076514,1.316786506002,"P09972",31,7.62536481235719,1.68847524877544e-05,0.00650073770316031,-0.328329588480397,"Non-significant",2.1870373568598,"ALDOC","Fructose-bisphosphate aldolase C","P09972"
-0.557569898030668,18.4854888214108,-7.11620672476965,9.96045202358624e-05,0.0347598905076514,1.84934781478497,"P35052",7,-7.39430806830311,2.20604015892953e-05,0.00773801027511577,0.557569898030671,"Up in CTRL",2.1113706979253,"GPC1","Glypican-1","P35052"
0.380852643623836,21.5257739222395,6.60036645061428,0.000168140374476679,0.0347598905076514,1.3674497403543,"P10619",15,7.29497083685045,2.47935837281704e-05,0.00821356332061557,-0.38085264362384,"Non-significant",2.08546839041447,"CTSA","Lysosomal protective protein","P10619"
-0.5438078339252,18.4837566398301,-6.26576909813957,0.0002399775474073,0.0353369954590378,1.03500896121443,"P02786",22,-7.06974078643053,3.2448075074611e-05,0.00872898951967108,0.543807833925193,"Up in CTRL",2.05903602793597,"TFRC","Transferrin receptor protein 1","P02786"
0.36084606723859,21.2000465932613,6.19572797924892,0.000258967160066168,0.0359121203598735,0.963356082486169,"P10253",23,7.05039845471676,3.32157904280703e-05,0.00872898951967108,-0.36084606723859,"Non-significant",2.05903602793597,"GAA","Lysosomal alpha-glucosidase","P10253"
0.446037074908695,22.2233710066006,6.31784496903318,0.000226854206244848,0.0347598905076514,1.08781446731324,"P15428",18,7.08757388557711,3.17572435724854e-05,0.00872898951967108,-0.446037074908688,"Non-significant",2.05903602793597,"HPGD","15-hydroxyprostaglandin dehydrogenase [NAD(+)]","P15428"
0.347285071318524,19.9820418739156,6.68621060155848,0.000153795263923562,0.0347598905076514,1.45017054170401,"P52943",12,7.15245635961741,2.93748954765858e-05,0.00872898951967108,-0.347285071318517,"Non-significant",2.05903602793597,"CRIP2","Cysteine-rich protein 2","P52943"
0.339228361004515,20.7428048568006,7.31605572402227,8.19408425172595e-05,0.0339746840062535,2.02655941044854,"P61916",8,7.03921170614316,3.36687504532005e-05,0.00872898951967108,-0.339228361004523,"Non-significant",2.05903602793597,"NPC2","NPC intracellular cholesterol transporter 2","P61916"
0.425244198089274,22.9067978079829,6.03856749785415,0.000307899220714352,0.0382500636066601,0.799915990394151,"Q3LXA3",45,6.95469894130412,3.73144523889144e-05,0.00873972403106437,-0.425244198089281,"Non-significant",2.05850228060108,"TKFC","Triokinase/FMN cyclase","Q3LXA3"
0.334103853950303,23.6247519748264,6.1197413526967,0.000281462571285761,0.0362202246300332,0.884796111098052,"Q9BWD1",21,6.93750583576368,3.81071314451909e-05,0.00873972403106437,-0.334103853950317,"Non-significant",2.05850228060108,"ACAT2","Acetyl-CoA acetyltransferase, cytosolic","Q9BWD1"
0.443326013877506,18.8252391142459,6.47940511215506,0.000190926885986086,0.0347598905076514,1.24912560982289,"Q9HAT2",10,6.94054318082941,3.79657831116677e-05,0.00873972403106437,-0.443326013877503,"Non-significant",2.05850228060108,"SIAE","Sialate O-acetylesterase","Q9HAT2"
-0.310441824556751,21.3528329265189,-7.24414971474165,8.78613992953208e-05,0.0339746840062535,1.96338914724322,"P20340",8,-6.81721274416901,4.41891509873579e-05,0.00941071097634341,0.310441824556751,"Non-significant",2.02637756451764,"RAB6A","Ras-related protein Rab-6A","P20340"
0.359554859788922,19.6204534590343,6.2321488909271,0.000248893813395872,0.0353369954590378,1.00070568093972,"Q14894",14,6.84274712287521,4.28154670150453e-05,0.00941071097634341,-0.359554859788918,"Non-significant",2.02637756451764,"CRYM","Ketimine reductase mu-crystallin","Q14894"
0.350373547516689,22.7371083596479,5.69763061180713,0.000453025697388996,0.0389052682703117,0.432399337169704,"CAH2_HUMAN",16,6.34002213933255,8.09375507918704e-05,0.00971335297341388,-0.350373547516686,"Non-significant",2.01263082915563,"CA2","Carbonic anhydrase 2","CAH2_HUMAN"
0.22591264172852,25.055428240665,5.40917841006708,0.000635610214454713,0.0389052682703117,0.107208034905233,"CATD_HUMAN",28,6.35412891765853,7.94691759305235e-05,0.00971335297341388,-0.225912641728531,"Non-significant",2.01263082915563,"CTSD","Cathepsin D","CATD_HUMAN"
0.488113502523269,18.7833858004127,6.53758903212931,0.000179566739109962,0.0347598905076514,1.30630032950093,"O00584",6,6.56957087010269,6.02769268288986e-05,0.00971335297341388,-0.488113502523277,"Non-significant",2.01263082915563,"RNASET2","Ribonuclease T2","O00584"
0.274298524789661,24.5889068993519,5.37747544747586,0.000660165230118451,0.0389052682703117,0.0706536474609001,"O75874",37,6.30322316079986,8.49073074749405e-05,0.00971335297341388,-0.274298524789661,"Non-significant",2.01263082915563,"IDH1","Isocitrate dehydrogenase [NADP] cytoplasmic","O75874"
-0.26473353524295,19.4119207403662,-5.82702157394011,0.000390578319246616,0.0389052682703117,0.573995709550668,"O95817",19,-6.56824272697975,6.03786308196024e-05,0.00971335297341388,0.26473353524295,"Non-significant",2.01263082915563,"BAG3","BAG family molecular chaperone regulator 3","O95817"
0.332495655127616,24.2716320367344,5.25226316688222,0.000767815395229338,0.0389052682703117,-0.0753130172104077,"P00505",45,6.08701391599082,0.000112899191233011,0.00971335297341388,-0.332495655127616,"Non-significant",2.01263082915563,"GOT2","Aspartate aminotransferase, mitochondrial","P00505"
0.576503249733179,23.0248258469983,5.98310817067169,0.000327530255048515,0.0389052682703117,0.74135096729086,"P02656",5,6.10614103942061,0.000110061310799205,0.00971335297341388,-0.576503249733182,"Up in CTRL.myr",2.01263082915563,"APOC3","Apolipoprotein C-III","P02656"
0.374136268100827,27.3926073631677,5.59737644470539,0.000508966386177503,0.0389052682703117,0.320878840108296,"P07148",14,6.18024184107087,9.97705215202396e-05,0.00971335297341388,-0.374136268100834,"Non-significant",2.01263082915563,"FABP1","Fatty acid-binding protein, liver","P07148"
-0.254298129152836,18.8732175520888,-5.45148318856068,0.000604389584713476,0.0389052682703117,0.155733932394017,"P08183",17,-6.07077337950706,0.000115370602727445,0.00971335297341388,0.254298129152829,"Non-significant",2.01263082915563,"ABCB1","ATP-dependent translocase ABCB1","P08183"
-0.476330848947274,20.7645011509261,-5.57314816693768,0.000523596123431821,0.0389052682703117,0.293688833885981,"P08670",34,-6.34365810148975,8.05563081325195e-05,0.00971335297341388,0.476330848947278,"Non-significant",2.01263082915563,"VIM","Vimentin","P08670"
0.341818481523838,23.0609947638953,5.69555835437795,0.00045411119117806,0.0389052682703117,0.430110264702178,"P09467",28,6.53289781271351,6.31543727795731e-05,0.00971335297341388,-0.341818481523841,"Non-significant",2.01263082915563,"FBP1","Fructose-1,6-bisphosphatase 1","P09467"
0.353212497434718,22.9916535097025,5.43854746812994,0.000613753820466858,0.0389052682703117,0.140926564165306,"P14324",13,5.96159357201735,0.000133572856585601,0.00971335297341388,-0.353212497434708,"Non-significant",2.01263082915563,"FDPS","Farnesyl pyrophosphate synthase","P14324"
-0.284809942515416,22.5418337851772,-5.41262736047537,0.000632999841214929,0.0389052682703117,0.111174975344646,"P15144",54,-6.39348374053577,7.55223715348686e-05,0.00971335297341388,0.284809942515409,"Non-significant",2.01263082915563,"ANPEP","Aminopeptidase N","P15144"
0.269548610118889,21.2946374620637,5.6473102391007,0.000480209984027804,0.0389052682703117,0.376622733956215,"P16278",22,6.4464512157516,7.0540381876153e-05,0.00971335297341388,-0.269548610118886,"Non-significant",2.01263082915563,"GLB1","Beta-galactosidase","P16278"
0.475277710618073,19.4844893006944,5.92537416483305,0.000349441364444455,0.0389052682703117,0.679885458899324,"P17050",6,6.03505516636795,0.000121013138750262,0.00971335297341388,-0.475277710618073,"Non-significant",2.01263082915563,"NAGA","Alpha-N-acetylgalactosaminidase","P17050"
0.191352230801336,22.7534898360842,4.92958021251529,0.00114479060300272,0.0428922135390827,-0.463316842447579,"P21399",60,6.12383129976908,0.000107504841377522,0.00971335297341388,-0.191352230801343,"Non-significant",2.01263082915563,"ACO1","Cytoplasmic aconitate hydratase","P21399"
0.370860232371484,21.4867127591031,5.78056578782967,0.000411837851731362,0.0389052682703117,0.52345867670103,"P24298",30,6.62748482462763,5.60169511383702e-05,0.00971335297341388,-0.370860232371488,"Non-significant",2.01263082915563,"GPT","Alanine aminotransferase 1","P24298"
-0.256015287761066,20.2548961839816,-5.78207438390841,0.000411127818483764,0.0389052682703117,0.525105086624433,"P26196",18,-6.47855833194021,6.76937864375538e-05,0.00971335297341388,0.256015287761066,"Non-significant",2.01263082915563,"DDX6","Probable ATP-dependent RNA helicase DDX6","P26196"
0.263635822886794,22.4591141328253,5.28934858799635,0.000734053870728565,0.0389052682703117,-0.031814754282383,"P30039",24,6.06749091452337,0.000115877146477667,0.00971335297341388,-0.263635822886791,"Non-significant",2.01263082915563,"PBLD","Phenazine biosynthesis-like domain-containing protein","P30039"
0.294891143495782,24.9865508089604,5.24310814175377,0.000776409009586969,0.0389052682703117,-0.0860856675884909,"P30041",28,6.03223892595476,0.000121470483326874,0.00971335297341388,-0.294891143495789,"Non-significant",2.01263082915563,"PRDX6","Peroxiredoxin-6","P30041"
0.435407203980329,25.4643201450498,5.45850491467716,0.000599372196983477,0.0389052682703117,0.163760343702512,"P30086",23,6.17228642514523,0.000100824021021836,0.00971335297341388,-0.435407203980336,"Non-significant",2.01263082915563,"PEBP1","Phosphatidylethanolamine-binding protein 1","P30086"
-0.526084342202122,21.1271103715512,-6.3292398142822,0.000224089478026611,0.0347598905076514,1.09931596663144,"P31431",6,-6.48600219166877,6.70516624129004e-05,0.00971335297341388,0.526084342202129,"Up in CTRL",2.01263082915563,"SDC4","Syndecan-4","P31431"
0.413809150596713,18.0644652340082,6.10875013175984,0.000284891147292286,0.0362202246300332,0.873361137500115,"P34059",7,6.19903074394944,9.73291319611134e-05,0.00971335297341388,-0.413809150596716,"Non-significant",2.01263082915563,"GALNS","N-acetylgalactosamine-6-sulfatase","P34059"
0.271805555587083,24.0577327473832,5.73966863627745,0.00043160950168119,0.0389052682703117,0.478690006430853,"P40925",21,6.52762924839385,6.35797834397409e-05,0.00971335297341388,-0.271805555587076,"Non-significant",2.01263082915563,"MDH1","Malate dehydrogenase, cytoplasmic","P40925"
0.238707038023687,25.5843991388464,5.49846025025806,0.000571677424624195,0.0389052682703117,0.209281790842714,"P42765",41,6.59362682378196,5.84664477619708e-05,0.00971335297341388,-0.238707038023698,"Non-significant",2.01263082915563,"ACAA2","3-ketoacyl-CoA thiolase, mitochondrial","P42765"
0.275397051661329,22.0509108018634,5.41471993867401,0.000631421780532876,0.0389052682703117,0.113580897211517,"P50053",22,6.16854810939173,0.000101323198193228,0.00971335297341388,-0.275397051661336,"Non-significant",2.01263082915563,"KHK","Ketohexokinase","P50053"
0.249595209158347,18.8278386559211,6.31585359229899,0.000227341225859199,0.0347598905076514,1.0858025024201,"P50897",9,6.03204926496015,0.000121501350125815,0.00971335297341388,-0.249595209158343,"Non-significant",2.01263082915563,"PPT1","Palmitoyl-protein thioesterase 1","P50897"
-0.355964130910159,17.7330940399684,-6.42641067213209,0.000201967458023855,0.0347598905076514,1.19662870074073,"P52292",6,-5.98956329242343,0.000128633039654564,0.00971335297341388,0.355964130910152,"Non-significant",2.01263082915563,"KPNA2","Importin subunit alpha-1","P52292"
0.338404195508669,18.948240926714,7.44492171421197,7.24053477045524e-05,0.0339746840062535,2.13813593634302,"Q01459",5,5.99383899231399,0.000127895359866907,0.00971335297341388,-0.338404195508673,"Non-significant",2.01263082915563,"CTBS","Di-N-acetylchitobiase","Q01459"
-0.740526991358955,18.965750802188,-6.71449998299525,0.000149368630062767,0.0347598905076514,1.47720548025926,"Q01629",3,-6.42354394166933,7.2650096543886e-05,0.00971335297341388,0.740526991358958,"Up in CTRL",2.01263082915563,"IFITM3","Interferon-induced transmembrane protein 3","Q01629"
0.369575016131073,20.0950804327846,5.92961073861685,0.000347779824731975,0.0389052682703117,0.684413212833307,"Q02083",9,6.19846776729468,9.74013420751752e-05,0.00971335297341388,-0.369575016131076,"Non-significant",2.01263082915563,"NAAA","N-acylethanolamine-hydrolyzing acid amidase","Q02083"
-0.394418907562763,19.5600855588121,-5.25438794647029,0.00076583582965218,0.0389052682703117,-0.0728147611720917,"Q03169",25,-5.96182480841958,0.000133531191264434,0.00971335297341388,0.394418907562766,"Non-significant",2.01263082915563,"TNFAIP2","Tumor necrosis factor alpha-induced protein 2","Q03169"
0.429234215912654,24.3026071015215,5.34995140575554,0.000682327827111795,0.0389052682703117,0.0387857693256404,"Q06520",25,6.06220367483852,0.000116698099126838,0.00971335297341388,-0.429234215912654,"Non-significant",2.01263082915563,"SULT2A1","Sulfotransferase 2A1","Q06520"
0.246666308478417,19.6396816638254,5.57476361927109,0.000522606437907999,0.0389052682703117,0.295504669442033,"Q53EL6",19,6.28525889803921,8.69209752520683e-05,0.00971335297341388,-0.246666308478428,"Non-significant",2.01263082915563,"PDCD4","Programmed cell death protein 4","Q53EL6"
0.288547925718788,21.1954583610502,5.49831621327475,0.000571774706339984,0.0389052682703117,0.20911814838662,"Q5R3I4",23,6.27664962078729,8.79041927737493e-05,0.00971335297341388,-0.288547925718785,"Non-significant",2.01263082915563,"TTC38","Tetratricopeptide repeat protein 38","Q5R3I4"
0.183397461124095,20.537789956071,5.16006430192036,0.00085934827031345,0.0403712678902128,-0.184428892397147,"Q6NUN0",25,6.08355774854512,0.000113420325530358,0.00971335297341388,-0.183397461124091,"Non-significant",2.01263082915563,"ACSM5","Acyl-coenzyme A synthetase ACSM5, mitochondrial","Q6NUN0"
0.384204569943112,20.049475283809,6.12609048574902,0.00027950277304127,0.0362202246300332,0.891393319009545,"Q6Q788",14,6.74896313067326,4.80999744615648e-05,0.00971335297341388,-0.384204569943105,"Non-significant",2.01263082915563,"APOA5","Apolipoprotein A-V","Q6Q788"
0.224336455276788,23.4259712517412,5.06081167201516,0.000971413953216327,0.0403712678902128,-0.303451831342337,"Q86TX2",39,6.03690852958143,0.000120713171364851,0.00971335297341388,-0.224336455276788,"Non-significant",2.01263082915563,"ACOT1","Acyl-coenzyme A thioesterase 1","Q86TX2"
-0.660716760975745,17.4482023580143,-6.10685932573671,0.000285485587390837,0.0362202246300332,0.871392164161109,"Q86UX7",4,-6.13680188958662,0.000105671041914669,0.00971335297341388,0.660716760975742,"Up in CTRL",2.01263082915563,"FERMT3","Fermitin family homolog 3","Q86UX7"
-0.259238991721787,21.3306917045724,-5.39954580799612,0.000642963442780258,0.0389052682703117,0.0961185602101473,"Q86V48",16,-5.97454650772915,0.000131260315416886,0.00971335297341388,0.259238991721784,"Non-significant",2.01263082915563,"LUZP1","Leucine zipper protein 1","Q86V48"
0.31730496835246,22.321679711108,5.33039990867084,0.000698565626899816,0.0389052682703117,0.0160740448654098,"Q86YB7",19,5.99845813896002,0.000127103532410506,0.00971335297341388,-0.317304968352452,"Non-significant",2.01263082915563,"ECHDC2","Enoyl-CoA hydratase domain-containing protein 2, mitochondrial","Q86YB7"
0.610887154261157,19.869744756113,5.57838124819823,0.000520397584157177,0.0389052682703117,0.299569527767671,"Q8TDX5",11,6.1718465830106,0.000100882615510579,0.00971335297341388,-0.610887154261167,"Up in CTRL.myr",2.01263082915563,"ACMSD","2-amino-3-carboxymuconate-6-semialdehyde decarboxylase","Q8TDX5"
-0.292302138689127,20.3464142707779,-6.46464219058584,0.000193933996656106,0.0347598905076514,1.23454181482706,"Q92542",10,-6.55571063941365,6.13474543124244e-05,0.00971335297341388,0.292302138689127,"Non-significant",2.01263082915563,"NCSTN","Nicastrin","Q92542"
0.24768721575262,21.083899019433,5.50122736544989,0.000569812051687806,0.0389052682703117,0.212424904050224,"Q92820",18,6.16429204265609,0.000101894750385662,0.00971335297341388,-0.247687215752624,"Non-significant",2.01263082915563,"GGH","Gamma-glutamyl hydrolase","Q92820"
0.287351903482453,21.4632951904488,5.45815612695076,0.000599620343134269,0.0389052682703117,0.16336183779093,"Q96G03",39,6.39213630205754,7.56539538786872e-05,0.00971335297341388,-0.287351903482445,"Non-significant",2.01263082915563,"PGM2","Phosphoglucomutase-2","Q96G03"
0.430046825645622,22.18474717353,5.48024611839094,0.000584124383518536,0.0389052682703117,0.188562066614287,"Q9H0W9",14,6.07838382084335,0.000114205311954368,0.00971335297341388,-0.430046825645615,"Non-significant",2.01263082915563,"C11orf54","Ester hydrolase C11orf54","Q9H0W9"
0.248670081304002,22.010056151707,5.17940747292071,0.000839198283372579,0.0403559626108927,-0.161421171635692,"Q9H4A4",39,6.12047248178865,0.000107985276546168,0.00971335297341388,-0.248670081304009,"Non-significant",2.01263082915563,"RNPEP","Aminopeptidase B","Q9H4A4"
0.457395862643995,21.5305779428358,5.24490313259949,0.000774715832565124,0.0389052682703117,-0.083972436515932,"Q9NR19",36,5.97144836925646,0.000131809496550737,0.00971335297341388,-0.457395862644002,"Non-significant",2.01263082915563,"ACSS2","Acetyl-coenzyme A synthetase, cytoplasmic","Q9NR19"
0.225002221886449,21.8807466321879,6.4124407749466,0.000204993991890722,0.0347598905076514,1.182722627547,"Q9UBM7",11,6.33899615793482,8.10454796369518e-05,0.00971335297341388,-0.225002221886456,"Non-significant",2.01263082915563,"DHCR7","7-dehydrocholesterol reductase","Q9UBM7"
0.456847037245975,20.8101654643419,5.79956134048921,0.000402994923963201,0.0389052682703117,0.54416362620946,"Q9UBR1",27,6.58646212471708,5.89994578786062e-05,0.00971335297341388,-0.456847037245979,"Non-significant",2.01263082915563,"UPB1","Beta-ureidopropionase","Q9UBR1"
0.336008296924142,21.3579021290205,6.80132154116542,0.000136639343701004,0.0347598905076514,1.55948676209494,"Q9UBR2",8,6.64999064367778,5.44501412604921e-05,0.00971335297341388,-0.336008296924142,"Non-significant",2.01263082915563,"CTSZ","Cathepsin Z","Q9UBR2"
-0.329894629187191,18.7303907112768,-5.36000659346334,0.000674138200103201,0.0389052682703117,0.0504420937155103,"Q9UHN6",18,-6.01152329964929,0.000124892260632198,0.00971335297341388,0.329894629187198,"Non-significant",2.01263082915563,"CEMIP2","Cell surface hyaluronidase","Q9UHN6"
0.347139983918169,22.3858261556794,5.45582103643971,0.00060128455509596,0.0389052682703117,0.160693386222211,"Q9UI17",52,6.33521768120627,8.14442981288194e-05,0.00971335297341388,-0.347139983918176,"Non-significant",2.01263082915563,"DMGDH","Dimethylglycine dehydrogenase, mitochondrial","Q9UI17"
0.268901160612366,20.6514479743067,5.40995024958565,0.000635025016812418,0.0389052682703117,0.108095962036862,"Q9Y2B0",17,6.03034873508309,0.00012177848371346,0.00971335297341388,-0.268901160612362,"Non-significant",2.01263082915563,"CNPY2","Protein canopy homolog 2","Q9Y2B0"
0.275321753785743,20.4273811152659,5.30344467219222,0.00072165029446273,0.0389052682703117,-0.0153399364207329,"A6ND91",17,5.91515146604909,0.000142231076133936,0.00977913413392232,-0.275321753785743,"Non-significant",2.00969959690022,"ASPDH","Putative L-aspartate dehydrogenase","A6ND91"
0.328839825678898,19.5053349491898,6.50732281231573,0.000185379987347382,0.0347598905076514,1.27661932538802,"O00115",6,5.88353231189494,0.000148469792110852,0.00977913413392232,-0.328839825678902,"Non-significant",2.00969959690022,"DNASE2","Deoxyribonuclease-2-alpha","O00115"
0.637911763686837,20.5633901298215,5.27952694161355,0.000742834138900073,0.0389052682703117,-0.0433129425974412,"P02647",23,5.94586145447906,0.000136440620873005,0.00977913413392232,-0.637911763686834,"Up in CTRL.myr",2.00969959690022,"APOA1","Apolipoprotein A-I","P02647"
0.24996079428281,24.9202119559507,5.15359550110047,0.00086620444459209,0.0403712678902128,-0.192136898839913,"Q14914",22,5.87974196930484,0.00014923716353965,0.00977913413392232,-0.249960794282803,"Non-significant",2.00969959690022,"PTGR1","Prostaglandin reductase 1","Q14914"
-0.259392725645505,19.0506763571435,-5.51870459546166,0.000558183416647823,0.0389052682703117,0.232248618208364,"Q92508",13,-5.92484982080149,0.000140374407771791,0.00977913413392232,0.259392725645505,"Non-significant",2.00969959690022,"PIEZO1","Piezo-type mechanosensitive ion channel component 1","Q92508"
0.383733895233025,22.5406476664942,5.20980937297753,0.000808564699914076,0.0399146627865042,-0.125383580832426,"Q96DG6",21,5.88019702273228,0.000149144811392867,0.00977913413392232,-0.383733895233025,"Non-significant",2.00969959690022,"CMBL","Carboxymethylenebutenolidase homolog","Q96DG6"
0.408457535805496,20.1635463284418,6.38207993639749,0.000211745705189884,0.0347598905076514,1.15240320224734,"Q96PE7",5,5.8967961532808,0.000145817656600951,0.00977913413392232,-0.408457535805493,"Non-significant",2.00969959690022,"MCEE","Methylmalonyl-CoA epimerase, mitochondrial","Q96PE7"
-0.461807725940112,17.5028155015538,-5.64370622070436,0.00048222462521001,0.0389052682703117,0.372612590219162,"Q9BRK5",7,-5.89954644432818,0.000145274125464677,0.00977913413392232,0.461807725940112,"Non-significant",2.00969959690022,"SDF4","45 kDa calcium-binding protein","Q9BRK5"
0.325224629756459,20.81788884775,5.26746560302063,0.000753774246985134,0.0389052682703117,-0.0574546411974231,"Q9BSH5",17,5.8863480286328,0.000147902481697864,0.00977913413392232,-0.325224629756459,"Non-significant",2.00969959690022,"HDHD3","Haloacid dehalogenase-like hydrolase domain-containing protein 3","Q9BSH5"
0.378276734989264,19.4474534663914,5.55583995321771,0.000534329827056035,0.0389052682703117,0.274207592934632,"P17900",9,5.87140678968116,0.000150939681337519,0.00978318825886552,-0.37827673498926,"Non-significant",2.00951958922202,"GM2A","Ganglioside GM2 activator","P17900"
0.401000080135997,23.4795924862754,5.14458352929767,0.000875855967415741,0.0403712678902128,-0.202886713016644,"P09488",29,5.85371823918234,0.000154622186055599,0.00980863931329295,-0.401000080136004,"Non-significant",2.00839123520059,"GSTM1","Glutathione S-transferase Mu 1","P09488"
0.219554687271522,23.771848873308,4.86893882533233,0.00123607883784692,0.0436138349708947,-0.538151651451001,"P36871",52,5.8596562923606,0.000153375323496528,0.00980863931329295,-0.219554687271529,"Non-significant",2.00839123520059,"PGM1","Phosphoglucomutase-1","P36871"
0.311310773297294,21.0773609790696,5.27612170060722,0.00074590511247824,0.0389052682703117,-0.0473031229233341,"Q96C23",15,5.83530481881349,0.000158558304081594,0.00995245439198466,-0.31131077329729,"Non-significant",2.00206980393274,"GALM","Galactose mutarotase","Q96C23"
0.462657943255994,24.0974157860343,5.10164446910841,0.000923485293219188,0.0403712678902128,-0.254289275736738,"Q13228",50,5.82033640691312,0.000161837279661131,0.0100524551939513,-0.462657943255987,"Non-significant",1.99772785396871,"SELENBP1","Methanethiol oxidase","Q13228"
0.347774225419599,24.7434648472245,5.12315581079035,0.000899279737248367,0.0403712678902128,-0.228500056025035,"A6NHG4",20,5.77568357099714,0.000172058866449512,0.0105602679000483,-0.347774225419609,"Non-significant",1.97632506418508,"DDT","D-dopachrome decarboxylase","A6NHG4"
-0.197923463982839,20.013130665121,-4.70812230100617,0.00151890121099801,0.0464472201086212,-0.739557262099686,"Q07954",113,-5.75753892886643,0.000176408496356945,0.0105602679000483,0.197923463982846,"Non-significant",1.97632506418508,"LRP1","Prolow-density lipoprotein receptor-related protein 1","Q07954"
