"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_CM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-3.00409650802612,13.2294652462006,-96.9567995891345,4.46403971793449e-13,4.78985073659391e-10,20.4152324558575,"UB2L6_HUMAN",12,-80.2974014458478,3.61300058172663e-13,2.66508061092089e-10,-0.158022165298474,"Non-significant",9.57428965029645,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
-2.32926678657535,11.6340750455856,-68.442738991695,6.35469094852852e-12,3.96630479664311e-09,18.2360510168959,"TAP1_HUMAN",24,-75.2637725860934,6.13950316478003e-13,4.15132738991876e-10,-0.234421968460101,"Non-significant",9.38181301510897,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN"
-2.63586735725405,9.7431641817093,-70.8944475167347,4.8593849264143e-12,3.28575410774381e-09,18.4741544693707,"HLAF_HUMAN",14,-66.4079692249299,1.71108791176831e-12,1.06798210123754e-09,-0.0204722881317139,"Non-significant",8.97143602577086,"HLA-F","HLA class I histocompatibility antigen, alpha chain F","HLAF_HUMAN"
-2.2245078086853,12.1752836704254,-55.6573313726544,3.07175719942966e-11,1.38467988423179e-08,16.7711938447614,"SAMH1_HUMAN",38,-64.1907176727475,2.25941597890861e-12,1.30949294663318e-09,-0.198574304580651,"Non-significant",8.88289683648773,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
-2.62722682952882,10.7818491458893,-55.9024655169242,2.97063709361274e-11,1.38467988423179e-08,16.8033803240372,"GBP4_HUMAN",27,-60.5593456870985,3.63905722844036e-12,1.76628861396339e-09,0.0531876087188721,"Non-significant",8.75293833065058,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN"
-1.94931745529175,12.1797649860382,-55.7806095239854,3.02042545987697e-11,1.38467988423179e-08,16.7874033211093,"5NT3A_HUMAN",23,-60.5041501099954,3.66631369878377e-12,1.76628861396339e-09,-0.500640153884875,"Up in BD",8.75293833065058,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN"
0.991597175598123,16.1266984939575,35.124049055753,1.01849602294326e-09,1.44983802283537e-07,13.2175263161311,"FAS_HUMAN",149,60.4353103385082,3.7006293366253e-12,1.76628861396339e-09,-0.249760150909418,"Non-significant",8.75293833065058,"FASN","Fatty acid synthase","FAS_HUMAN"
-1.91153168678282,12.3107236623764,-50.1803045444718,6.76039906196707e-11,2.38495121690438e-08,16.0010811462527,"PML_HUMAN",44,-59.5789800351632,4.15903433338775e-12,1.87480025450601e-09,0.9516463279724,"Up in CM",8.72704499619591,"PML","Protein PML","PML_HUMAN"
-1.19661784172055,11.9809948205948,-42.6818859565097,2.31641364776665e-10,5.52805304058195e-08,14.7597522256339,"UBA7_HUMAN",43,-58.7110890649129,4.68964822986075e-12,2.00272661774158e-09,-0.0689059495925903,"Non-significant",8.69837833004213,"UBA7","Ubiquitin-like modifier-activating enzyme 7","UBA7_HUMAN"
-3.57550883293151,11.9162360429764,-55.8568562480139,2.98916282121185e-11,1.38467988423179e-08,16.7974056018005,"OAS1_HUMAN",20,-58.055520136661,5.14093309610519e-12,2.08567655708988e-09,0.0787584781646746,"Non-significant",8.68075304028264,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
-3.7616581916809,10.5793344974518,-54.4939793819229,3.60793151620090e-11,1.54077664855022e-08,16.6159123919719,"CMPK2_HUMAN",26,-57.5127714206609,5.55159372736725e-12,2.14503007161228e-09,0.565190553665124,"Up in CM",8.66856661497402,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
-2.21743154525758,11.4948592185974,-47.7592842787899,9.8500755081435e-11,3.21750490123708e-08,15.6263472438265,"DDX60_HUMAN",75,-55.519119654918,7.40910036430661e-12,2.56911256309509e-09,0.109879970550551,"Non-significant",8.59021686713883,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
-1.44192981719972,12.2151176929474,-47.719064596686,9.91343634840117e-11,3.21750490123708e-08,15.6199260365626,"RO52_HUMAN",27,-55.4609949677219,7.47285989937868e-12,2.56911256309509e-09,0.145314693450928,"Non-significant",8.59021686713883,"TRIM21","E3 ubiquitin-protein ligase TRIM21","RO52_HUMAN"
1.44420552253722,16.2763890028,46.2751400242513,1.25248625957885e-10,3.90872058085492e-08,15.3849372157933,"ALDOC_HUMAN",31,55.347578647594,7.59905120954919e-12,2.56911256309509e-09,0.232744216918924,"Non-significant",8.59021686713883,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
-2.69469141960145,10.3413497209549,-66.7038833574924,7.73181072503087e-12,4.48113658735004e-09,18.0597262941367,"SYUG_HUMAN",9,-52.9625248696455,1.08950717265068e-11,3.53610447955505e-09,0.849574804306035,"Up in CM",8.45147491158207,"SNCG","Gamma-synuclein","SYUG_HUMAN"
-1.62359380722048,9.51645922660829,-44.9893772223751,1.55197408905774e-10,4.20845456746579e-08,15.1681035128661,"PHAR4_HUMAN",29,-51.0816706808099,1.46436201852e-11,4.56993593010434e-09,0.159388184547425,"Non-significant",8.34008988863851,"PHACTR4","Phosphatase and actin regulator 4","PHAR4_HUMAN"
-2.79315996170044,11.3401079177857,-53.9602267936713,3.88878629338063e-11,1.57768059922452e-08,16.5432373082512,"NAT8_HUMAN",11,-49.7389873568554,1.82067331084504e-11,5.47146046081358e-09,-1.16936826705932,"Up in BD",8.26189673483401,"NAT8","N-acetyltransferase 8","NAT8_HUMAN"
-1.61420822143553,12.366108417511,-44.1116815647186,1.802916038961e-10,4.71898733552567e-08,15.0157764056401,"NUB1_HUMAN",27,-49.2892463600116,1.96101900309546e-11,5.68275292539876e-09,-0.15431547164917,"Non-significant",8.24544122579032,"NUB1","NEDD8 ultimate buster 1","NUB1_HUMAN"
-1.78813242912295,11.8366311788559,-45.180615359961,1.50269008110324e-10,4.20845456746579e-08,15.2008224450983,"E2AK2_HUMAN",23,-48.500196385514,2.23756553482278e-11,6.26055405156968e-09,0.124537229537975,"Non-significant",8.20338723054489,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN"
1.2174162864685,14.8330640792847,37.5808212461106,6.09511184977899e-10,1.03032786560639e-07,13.7574083940312,"ACOHC_HUMAN",48,48.2354290513798,2.33996102986004e-11,6.32881459876146e-09,-1.94931745529175,"Up in BD",8.1986776267009,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN"
-1.060174703598,11.0217496156693,-33.2698549650675,1.53713061161154e-09,1.74777945191079e-07,12.7812856125693,"PAR14_HUMAN",91,-46.8643068293906,2.96189829371328e-11,7.75252992102888e-09,0.24376916885376,"Non-significant",8.11055654892002,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN"
1.30047392845152,14.078555226326,40.6645210357973,3.34736813056951e-10,7.34068784093001e-08,14.3808289625742,"AL8A1_HUMAN",26,46.1468471681731,3.35988393021974e-11,8.51940569056342e-09,0.104465246200574,"Non-significant",8.06959070034026,"ALDH8A1","2-aminomuconic semialdehyde dehydrogenase","AL8A1_HUMAN"
-1.68879532814028,11.7170501947403,-42.7779918379113,2.27712860159737e-10,5.52805304058195e-08,14.7772771755155,"5NTD_HUMAN",22,-45.5389117632139,3.74442952537772e-11,8.63060349473707e-09,-1.68879532814027,"Up in BD",8.06395883519204,"NT5E","5'-nucleotidase","5NTD_HUMAN"
1.27852344512943,10.979544878006,35.3859974469348,9.62635108562502e-10,1.39478951265645e-07,13.2770823864884,"CGNL1_HUMAN",84,45.4798319537673,3.78435918064438e-11,8.63060349473707e-09,0.313843965530401,"Non-significant",8.06395883519204,"CGNL1","Cingulin-like protein 1","CGNL1_HUMAN"
-1.87136411666873,15.3519809246063,-41.4322681359692,2.90366537201929e-10,6.54453911904569e-08,14.5275736209024,"FIBG_HUMAN",29,-45.4279863617789,3.81979322803721e-11,8.63060349473707e-09,0.0400304794311737,"Non-significant",8.06395883519204,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
-1.9587395191193,16.6338423490524,-44.9740690594343,1.5559974984468e-10,4.20845456746579e-08,15.1654772401487,"HLAA_HUMAN",17,-45.4143055092017,3.82920539574235e-11,8.63060349473707e-09,-0.0764907598495475,"Non-significant",8.06395883519204,"HLA-A","HLA class I histocompatibility antigen, A alpha chain","HLAA_HUMAN"
1.25644040107725,10.5026026964187,34.2365207477038,1.23687551147716e-09,1.53923465422258e-07,13.0119913736952,"SYNE2_HUMAN",160,45.076658093062,4.06994881115704e-11,8.6970919080199e-09,-0.451323509216305,"Non-significant",8.06062594041919,"SYNE2","Nesprin-2","SYNE2_HUMAN"
1.43456673622132,11.1088253259659,40.1160706922189,3.7113559460492e-10,7.72152362724184e-08,14.2740145842651,"ACO12_HUMAN",27,44.9971128477881,4.12910577477135e-11,8.6970919080199e-09,0.865686178207401,"Up in CM",8.06062594041919,"ACOT12","Acetyl-coenzyme A thioesterase","ACO12_HUMAN"
1.09644508361818,16.8906836509705,33.2307663959657,1.5509011651168e-09,1.74777945191079e-07,12.7718012544788,"AL1L1_HUMAN",79,44.9293474460356,4.18026354957821e-11,8.6970919080199e-09,-0.237873554229724,"Non-significant",8.06062594041919,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN"
-1.58699369430544,10.7487215995789,-38.7498427089378,4.82950100406543e-10,9.2186544367559e-08,14.0004307448033,"TRFM_HUMAN",39,-44.5565449031096,4.47473202493860e-11,8.98711249248491e-09,-0.151251554489125,"Non-significant",8.04637982217275,"MELTF","Melanotransferrin","TRFM_HUMAN"
-1.74817585945127,12.7660952806473,-41.6019042156917,2.8148442754014e-10,6.52561327160198e-08,14.5595697922861,"ANXA1_HUMAN",23,-44.4762192096584,4.54118329050877e-11,8.98711249248491e-09,0.358945369720475,"Non-significant",8.04637982217275,"ANXA1","Annexin A1","ANXA1_HUMAN"
3.90646064281464,9.88489419221878,53.3229783850924,4.25701228120419e-11,1.64482845950908e-08,16.4552591842436,"NUA4L_HUMAN",5,44.1517334133129,4.82112135185837e-11,9.31394729737591e-09,0.480761289596526,"Non-significant",8.0308662238355,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN"
-2.06835913658145,14.8700305223465,-38.3948322053245,5.17934939284338e-10,9.2186544367559e-08,13.9275242279408,"FINC_HUMAN",120,-43.6677509346378,5.27534624248685e-11,9.95445567710193e-09,0.00737762451175072,"Non-significant",8.00198248278817,"FN1","Fibronectin","FINC_HUMAN"
-2.1566734313965,15.0173878669739,-39.2907393605284,4.34662213925003e-10,8.81712300946868e-08,14.1100521177902,"FIBA_HUMAN",43,-43.2331086833525,5.72447616372158e-11,1.05564544528266e-08,0.875484943389898,"Up in CM",7.97648192177649,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
-1.3228425979614,14.6670210361481,-35.7054084577957,8.99149031281179e-10,1.39478951265645e-07,13.3490384819926,"VIME_HUMAN",46,-42.9937726384892,5.99000083099629e-11,1.08006370539342e-08,0.87214350700375,"Up in CM",7.9665506277678,"VIM","Vimentin","VIME_HUMAN"
-2.20674180984496,9.06443858146667,-38.8322419900155,4.75217052213105e-10,9.2186544367559e-08,14.0172432658507,"SAMD9_HUMAN",42,-42.5048821426237,6.57642743580714e-11,1.16002461335085e-08,-0.40375232696535,"Non-significant",7.93553279583424,"SAMD9","Sterile alpha motif domain-containing protein 9","SAMD9_HUMAN"
1.17526841163632,13.3263043165207,38.2108551678745,5.37186413388903e-10,9.27389480476076e-08,13.889437973767,"BUP1_HUMAN",23,42.0330713566485,7.20405929161201e-11,1.24369653387532e-08,0.39961314201355,"Non-significant",7.90528557602875,"UPB1","Beta-ureidopropionase","BUP1_HUMAN"
-1.73805284500122,9.32287836074829,-45.8447176119258,1.34478752149582e-10,4.04133553682116e-08,15.3131657961743,"TMM62_HUMAN",13,-41.8901799770513,7.40719097417535e-11,1.25212390759289e-08,0.300035715103174,"Non-significant",7.90235269211505,"TMEM62","Transmembrane protein 62","TMM62_HUMAN"
-2.1391289234161,13.6573489904404,-40.30216963198,3.58305543528627e-10,7.65076626366125e-08,14.3104473073136,"FGL1_HUMAN",17,-41.0384121912334,8.7598767731897e-11,1.45056408444207e-08,-0.203787803649908,"Non-significant",7.83846307975013,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-1.40810346603397,10.8217372894287,-34.9614248889036,1.0550162902631e-09,1.47593141020599e-07,13.1803020219623,"PAR10_HUMAN",43,-40.7540389527192,9.27154555467909e-11,1.50458641261332e-08,-0.091523170471195,"Non-significant",7.82258286445868,"PARP10","Protein mono-ADP-ribosyltransferase PARP10","PAR10_HUMAN"
-1.4778687953949,12.4976571798325,-35.4303063982921,9.53532783651989e-10,1.39478951265645e-07,13.2871075817152,"AMPE_HUMAN",38,-40.4696526293861,9.81699393545265e-11,1.5618644861228e-08,0.0871105194092241,"Non-significant",7.80635665002477,"ENPEP","Glutamyl aminopeptidase","AMPE_HUMAN"
-4.34846806526182,11.4110344648361,-38.5094214140646,5.06338808073518e-10,9.2186544367559e-08,13.9511407990357,"ISG20_HUMAN",11,-38.8485480416382,1.37051992385315e-10,2.13853820425855e-08,0.0103766918182373,"Non-significant",7.66988298681448,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
-3.78793168067932,14.5953496694565,-36.5369456626036,7.54931877481567e-10,1.22510345077709e-07,13.5330235627751,"OAS3_HUMAN",45,-38.5015274922418,1.47462711182059e-10,2.25757063873817e-08,-0.595458030700627,"Up in BD",7.646358651852,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
-2.29223799705503,10.2379797697067,-34.3621266954317,1.20297244009414e-09,1.52514349670685e-07,13.0414375058553,"HELZ2_HUMAN",117,-37.7532078880564,1.73071724231399e-10,2.60056290817327e-08,-0.505334854125973,"Up in BD",7.58493263608562,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
-2.0269958972931,14.7163766622543,-34.5912366456309,1.14380208029837e-09,1.51552081898288e-07,13.0948412862892,"FIBB_HUMAN",38,-37.572778675282,1.79969180918526e-10,2.65503624358713e-08,0.17994952201845,"Non-significant",7.57592954603921,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
-1.04055309295655,15.0317940711975,-34.8222143857191,1.08745733389283e-09,1.49553030630617e-07,13.1482831467347,"APOL2_HUMAN",21,-37.2284070242827,1.940065570643e-10,2.81101643574952e-08,-0.200267553329471,"Non-significant",7.55113661510602,"APOL2","Apolipoprotein L2","APOL2_HUMAN"
-4.96076297760011,12.3288555145264,-35.4217600283661,9.55280853259825e-10,1.39478951265645e-07,13.2851750019882,"OAS2_HUMAN",31,-36.9417083887168,2.0663340308233e-10,2.90188016857274e-08,-0.0238218307494904,"Non-significant",7.53732052546208,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
-0.614920377731298,13.2967926263809,-22.4090885804206,3.05228542367485e-08,1.43157479350854e-06,9.54569545494433,"CO4B_HUMAN",83,-36.9242749364014,2.07430428613778e-10,2.90188016857274e-08,-0.0532593727111728,"Non-significant",7.53732052546208,"C4B_2","Complement C4-B","CO4B_HUMAN"
-1.65377283096312,10.2069594860077,-33.929353577473,1.32443031931133e-09,1.60394441953614e-07,12.939472978342,"ECE1_HUMAN",28,-36.7695950404941,2.14655077712907e-10,2.95205305180089e-08,0.496684551238999,"Non-significant",7.52987584200572,"ECE1","Endothelin-converting enzyme 1","ECE1_HUMAN"
1.25271916389462,11.4921094179153,30.887676889122,2.70011745687931e-09,2.52239820379221e-07,12.1797491388111,"DPYD_HUMAN",55,36.6898398909892,2.18490154704676e-10,2.9547151921229e-08,0.423570156097425,"Non-significant",7.52948437483368,"DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","DPYD_HUMAN"
-0.942331790924069,11.9148750305176,-28.5856226704367,4.85491668003756e-09,4.03040554615202e-07,11.548525266302,"ITA6_HUMAN",48,-36.3585777572267,2.35262709844489e-10,3.12937971750522e-08,0.129574775695801,"Non-significant",7.50454173656241,"ITGA6","Integrin alpha-6","ITA6_HUMAN"
1.00136256217958,13.6023508310318,31.6767347105323,2.23016166707583e-09,2.26194147083166e-07,12.384459432712,"HDAC6_HUMAN",26,36.0314770912152,2.53253837869532e-10,3.31435748463449e-08,0.0602264404297248,"Non-significant",7.47960065064479,"HDAC6","Histone deacetylase 6","HDAC6_HUMAN"
-2.0776038169861,13.2173979282379,-34.551128614378,1.1539185733447e-09,1.51552081898288e-07,13.0855208890301,"LG3BP_HUMAN",20,-35.9246667554235,2.59458801599671e-10,3.32118554839425e-08,-0.0819089412688996,"Non-significant",7.47870686050739,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
-2.21868252754211,9.3632253408432,-34.1816382372746,1.25202720210365e-09,1.53923465422258e-07,12.9990874147384,"ITA3_HUMAN",23,-35.8823874999626,2.61961886982045e-10,3.32118554839425e-08,0.28391790390015,"Non-significant",7.47870686050739,"ITGA3","Integrin alpha-3","ITA3_HUMAN"
-1.45070171356203,12.6076753139496,-33.7596732892447,1.37578756162464e-09,1.63660822031449e-07,12.8991006640086,"SP100_HUMAN",21,-35.5102333750234,2.85201598968054e-10,3.56019349850275e-08,0.300695657730103,"Non-significant",7.44852639723828,"SP100","Nuclear autoantigen Sp-100","SP100_HUMAN"
1.00008749961855,15.1418968439102,31.9688284449181,2.08022701599943e-09,2.16396948818197e-07,12.4588322598243,"PBLD_HUMAN",23,35.0927701165293,3.14063727246692e-10,3.86108042860555e-08,-0.1361026763916,"Non-significant",7.41329115166894,"PBLD","Phenazine biosynthesis-like domain-containing protein","PBLD_HUMAN"
-2.8719937801361,11.3647593259811,-38.6782472883614,4.89784857870106e-10,9.2186544367559e-08,13.9857893145451,"PLS1_HUMAN",7,-34.6286729945151,3.50059526072528e-10,4.2393776038097e-08,0.0862216949463246,"Non-significant",7.37269789884879,"PLSCR1","Phospholipid scramblase 1","PLS1_HUMAN"
1.4851837158203,11.7199192047119,32.7315171572964,1.73962323515129e-09,1.86910030639648e-07,12.6495716486123,"HRG_HUMAN",21,34.3756909744186,3.71614743399309e-10,4.43423827638528e-08,0.356178760528548,"Non-significant",7.35318097352669,"HRG","Histidine-rich glycoprotein","HRG_HUMAN"
-2.19099640846252,9.76948964595794,-32.8554015642061,1.69048142679758e-09,1.85359004013994e-07,12.6800924685716,"MLKL_HUMAN",19,-34.0067673616244,4.05767622349986e-10,4.77159201122868e-08,0.230138301849376,"Non-significant",7.32133669719929,"MLKL","Mixed lineage kinase domain-like protein","MLKL_HUMAN"
1.0377781391144,15.7479809522629,28.5050749524433,4.95973673949226e-09,4.03040554615202e-07,11.5254597024268,"TKFC_HUMAN",40,33.943779380667,4.11943492752667e-10,4.77501357170734e-08,-0.215147018432617,"Non-significant",7.32102538971181,"TKFC","Triokinase/FMN cyclase","TKFC_HUMAN"
-5.33449804782867,9.12380760908127,-32.2138590759534,1.96320026782755e-09,2.06875415235749e-07,12.520650759985,"OASL_HUMAN",28,-33.511828402383,4.57248379307887e-10,5.22551176014675e-08,0.0269207954406987,"Non-significant",7.28187117053285,"OASL","2'-5'-oligoadenylate synthase-like protein","OASL_HUMAN"
-2.10143208503723,9.90398323535919,-33.1531856859489,1.5786471490954e-09,1.75467711887124e-07,12.7529407399466,"TREX1_HUMAN",15,-33.4243895389403,4.67084250144444e-10,5.2637800078778e-08,-0.367982029914858,"Non-significant",7.27870226972868,"TREX1","Three-prime repair exonuclease 1","TREX1_HUMAN"
0.93554854393005,11.53069460392,30.1205015536618,3.26705055931402e-09,2.85041378906172e-07,11.9751951670186,"DDC_HUMAN",22,32.6210016498064,5.69448605169955e-10,6.32946024979317e-08,0.0820612907410005,"Non-significant",7.19863332324188,"DDC","Aromatic-L-amino-acid decarboxylase","DDC_HUMAN"
-0.934577226638801,10.9647911787033,-25.9481599538757,1.00964646584266e-08,6.29472698392226e-07,10.7548906644688,"CEIP2_HUMAN",61,-32.5370988799244,5.81517140460589e-10,6.376256861753e-08,0.120954036712645,"Non-significant",7.1954341960983,"CEMIP2","Cell surface hyaluronidase CEMIP2","CEIP2_HUMAN"
1.36601352691652,11.5063381195068,31.4004846974766,2.38328796081489e-09,2.35829250171366e-07,12.3134284043156,"KNG1_HUMAN",19,32.4419694714131,5.95548675858528e-10,6.44304260788812e-08,-2.14141190052032,"Up in BD",7.19090899665156,"KNG1","Kininogen-1","KNG1_HUMAN"
1.06906437873843,10.8820160627365,27.0547422389004,7.36302724389361e-09,4.9786335880794e-07,11.0978312906053,"ACD10_HUMAN",51,32.207185175092,6.31832535260746e-10,6.67120540423718e-08,-0.350309610366821,"Non-significant",7.17579568735619,"ACAD10","Acyl-CoA dehydrogenase family member 10","ACD10_HUMAN"
-0.808485507965125,10.5126891136169,-28.4674996439068,5.00950795092528e-09,4.03040554615202e-07,11.5146758286516,"CACO2_HUMAN",24,-32.1993707268069,6.33082100229558e-10,6.67120540423718e-08,1.4082715511322,"Up in CM",7.17579568735619,"CALCOCO2","Calcium-binding and coiled-coil domain-containing protein 2","CACO2_HUMAN"
1.6022298336029,12.7161453962326,30.8809659711479,2.70456795328965e-09,2.52239820379221e-07,12.1779837689366,"ZA2G_HUMAN",19,31.9351249360486,6.77012167073921e-10,7.0426624662023e-08,-0.354128599166871,"Non-significant",7.15226312554754,"AZGP1","Zinc-alpha-2-glycoprotein","ZA2G_HUMAN"
-2.79938554763792,9.87340116500854,-31.0346196597038,2.60471353070978e-09,2.48642889272695e-07,12.2182996858538,"IRF9_HUMAN",16,-31.8549072841728,6.91016656716321e-10,7.06541769346183e-08,1.25679254531862,"Up in CM",7.15086215842923,"IRF9","Interferon regulatory factor 9","IRF9_HUMAN"
-0.977350711822517,10.5031521320343,-27.322103477903,6.83524854123603e-09,4.80167302880154e-07,11.1784666656031,"ADA10_HUMAN",33,-31.7917956938201,7.02263173036772e-10,7.06541769346183e-08,0.848789215087892,"Up in CM",7.15086215842923,"ADAM10","Disintegrin and metalloproteinase domain-containing protein 10","ADA10_HUMAN"
-1.42928814888003,11.0521684885025,-27.4787289565437,6.54598429262707e-09,4.74233183485501e-07,11.2253167772207,"RN213_HUMAN",232,-31.7597197806024,7.08057659531994e-10,7.06541769346183e-08,0.0436952114105491,"Non-significant",7.15086215842923,"RNF213","E3 ubiquitin-protein ligase RNF213","RN213_HUMAN"
-2.99198818206787,13.0542163848877,-52.8127475625448,4.58039106820273e-11,1.68933150579077e-08,16.3838478125355,"HLAB_HUMAN",2,-31.709170327036,7.17298491348236e-10,7.06541769346183e-08,0.1658229827881,"Non-significant",7.15086215842923,"HLA-B","HLA class I histocompatibility antigen, B alpha chain","HLAB_HUMAN"
-2.41067123413085,12.1973071098328,-30.3683773875359,3.07034154656025e-09,2.7376649789879e-07,12.0418981634897,"TAP2_HUMAN",22,-31.6797547819889,7.22738068224466e-10,7.06541769346183e-08,-0.114779233932525,"Non-significant",7.15086215842923,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN"
-1.70703482627869,10.5707439184189,-32.7041444227943,1.75069784676032e-09,1.86910030639648e-07,12.6428108160228,"MTAP2_HUMAN",13,-31.5916491665585,7.39309407245816e-10,7.14137682189589e-08,0.642203092575059,"Up in CM",7.14621805033759,"MAP2","Microtubule-associated protein 2","MTAP2_HUMAN"
1.13371229171753,18.6085484027863,27.6511931932041,6.24335118491157e-09,4.62025104939342e-07,11.2765777581754,"ALDOB_HUMAN",33,31.2186315802082,8.14349357187437e-10,7.77368315790454e-08,0.456464648246765,"Non-significant",7.10937316444798,"ALDOB","Fructose-bisphosphate aldolase B","ALDOB_HUMAN"
0.770430088043202,14.7813799381256,24.7068527827624,1.46206271064004e-08,8.1254635850228e-07,10.3514244246166,"PH4H_HUMAN",38,30.9646697218801,8.70319679194413e-10,8.21136497323659e-08,-1.05873131752018,"Up in BD",7.0855846442117,"PAH","Phenylalanine-4-hydroxylase","PH4H_HUMAN"
