"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_BM1","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-3.47511887550355,11.9664310216904,-69.379002693621,8.3661012317524e-12,3.77125252191327e-09,18.0462963728919,"OAS1_HUMAN",20,-72.3545444811767,1.12090291416864e-12,5.05278124753574e-10,0.854700088500975,"Up in BM1",9.29646950347256,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
-2.25434398651123,12.1603655815124,-62.4126399934739,1.84739189787197e-11,6.81351720878778e-09,17.2966453467263,"SAMH1_HUMAN",38,-71.2242225545051,1.27314613843623e-12,5.21364808051568e-10,-0.182181954383847,"Non-significant",9.2828582869092,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
-3.72856068611148,14.6250351667404,-65.7312231635706,1.25353948783795e-11,5.35327337069324e-09,17.666888502754,"OAS3_HUMAN",45,-71.1419807705712,1.28509935432972e-12,5.21364808051568e-10,0.202255725860594,"Non-significant",9.2828582869092,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
-2.29224276542665,12.2565213441849,-64.5260260528949,1.43979933377702e-11,5.84126589713335e-09,17.5353225747624,"TAP2_HUMAN",22,-68.8007435912557,1.68452433317354e-12,6.30734570963574e-10,0.453324794769248,"Non-significant",9.20015336439713,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN"
-1.3553898334503,12.2583876848221,-57.194911943511,3.55066208422437e-11,1.20041967297486e-08,16.6599463104607,"RO52_HUMAN",27,-68.6724232530996,1.71015042657119e-12,6.30734570963574e-10,-0.049024105072025,"Non-significant",9.20015336439713,"TRIM21","E3 ubiquitin-protein ligase TRIM21","RO52_HUMAN"
-2.24761223793027,10.2602926492691,-53.9590009465465,5.48966701319021e-11,1.59082707660805e-08,16.2271232634087,"HELZ2_HUMAN",117,-62.4355454519318,3.69320278724118e-12,1.26223520592655e-09,0.0869442224502572,"Non-significant",8.89885971076685,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
-1.55652618408205,12.8619201183319,-56.6420650674228,3.81832177037169e-11,1.23927451379183e-08,16.5881891309611,"ANXA1_HUMAN",23,-62.3517894038775,3.73350319721927e-12,1.26223520592655e-09,0.2005422115326,"Non-significant",8.89885971076685,"ANXA1","Annexin A1","ANXA1_HUMAN"
-2.32508111000062,11.7508946657181,-54.7053301167671,4.95355343953524e-11,1.48863454105144e-08,16.3297526753796,"STAT2_HUMAN",35,-60.4203227511535,4.81499836669336e-12,1.562755869894e-09,0.319400668144233,"Non-significant",8.80610886116118,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN"
-1.37513732910157,12.5490229129791,-48.4181000926794,1.23442094359836e-10,3.33869717878571e-08,15.4068616799985,"AMPE_HUMAN",38,-59.1322191938442,5.73123764697805e-12,1.73278021416153e-09,0.190642714500433,"Non-significant",8.76125651970394,"ENPEP","Glutamyl aminopeptidase","AMPE_HUMAN"
-2.17428016662598,11.5164349079132,-51.6808006151488,7.58018079413809e-11,2.12088230909091e-08,15.9027632312261,"DDX60_HUMAN",75,-59.0880384237328,5.76596817628315e-12,1.73278021416153e-09,-0.750476598739626,"Up in BD",8.76125651970394,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
-1.7262058258057,16.7501091957092,-55.5432812722891,4.42105136223678e-11,1.37970810589189e-08,16.4429408410391,"HLAA_HUMAN",17,-55.3470529861211,9.78229514282659e-12,2.83476938531768e-09,-0.0222046375274605,"Non-significant",8.54748226613889,"HLA-A","HLA class I histocompatibility antigen, A alpha chain","HLAA_HUMAN"
-0.899208307266251,11.1022328138351,-36.131450558921,1.09881078493457e-09,1.56793023211138e-07,13.115465274442,"PAR14_HUMAN",91,-54.1281409010363,1.17108570059603e-11,3.27661702573661e-09,0.197996854782126,"Non-significant",8.48457431642323,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN"
-1.66644835472105,12.3399883508682,-46.9451523952199,1.5551295267293e-10,4.07042612254243e-08,15.1697752551563,"NUB1_HUMAN",27,-51.7705995254579,1.67816649733635e-11,4.53888098646239e-09,-1.9478707313538,"Up in BD",8.34305120469938,"NUB1","NEDD8 ultimate buster 1","NUB1_HUMAN"
-1.59195065498351,10.2378705739975,-46.2619555200061,1.73522978447408e-10,4.39989202225708e-08,15.0568157587166,"ECE1_HUMAN",28,-51.4998902916966,1.75076367281529e-11,4.58248272297526e-09,0.158637285232546,"Non-significant",8.33889916375378,"ECE1","Endothelin-converting enzyme 1","ECE1_HUMAN"
-0.894000291824321,14.8814421892166,-36.2159627313298,1.07982666476355e-09,1.56793023211138e-07,13.1340913605197,"VIME_HUMAN",46,-49.2556694419558,2.509074119295e-11,6.36207106373738e-09,0.160056829452548,"Non-significant",8.19640148417291,"VIM","Vimentin","VIME_HUMAN"
0.959207534790051,10.3539862632752,34.5774768648271,1.52513815175612e-09,1.87499560050744e-07,12.7641929754783,"SYNE2_HUMAN",160,48.4921071003145,2.8464659552868e-11,6.98337530468996e-09,-1.1930589675903,"Up in BD",8.15593461722062,"SYNE2","Nesprin-2","SYNE2_HUMAN"
0.835122108459448,15.267030954361,34.313773819075,1.61472377398161e-09,1.89882155102707e-07,12.7028728091044,"TRFE_HUMAN",51,48.1639151031026,3.00691197892838e-11,6.98337530468996e-09,0.202049255371099,"Non-significant",8.15593461722062,"TF","Serotransferrin","TRFE_HUMAN"
0.652264595031724,15.9570322036743,27.995057524564,7.34839082068314e-09,5.42044028354755e-07,11.0596561442559,"FAS_HUMAN",149,48.153234759464,3.01230140083989e-11,6.98337530468996e-09,0.037311315536499,"Non-significant",8.15593461722062,"FASN","Fatty acid synthase","FAS_HUMAN"
1.0884001255035,13.972518324852,41.5312078178342,3.8851270274143e-10,8.08305658985631e-08,14.2174009858569,"AL8A1_HUMAN",26,47.8721889843412,3.15809448050367e-11,7.11799405966855e-09,0.0441159009933454,"Non-significant",8.14764237877306,"ALDH8A1","2-aminomuconic semialdehyde dehydrogenase","AL8A1_HUMAN"
1.52783703804017,12.6789489984512,46.0196304618613,1.80469973021162e-10,4.43737382149609e-08,15.0162795406053,"ZA2G_HUMAN",19,47.5869484937662,3.31421733753242e-11,7.26798904776704e-09,-0.273925781249998,"Non-significant",8.13858573580786,"AZGP1","Zinc-alpha-2-glycoprotein","ZA2G_HUMAN"
-2.24795675277711,10.5647170543671,-59.1374126340429,2.76546471715706e-11,9.75607857174453e-09,16.9053200282361,"SYUG_HUMAN",9,-47.2617551830002,3.50287686296594e-11,7.47956391213306e-09,0.922957897186276,"Up in BM1",8.12612372246645,"SNCG","Gamma-synuclein","SYUG_HUMAN"
-1.21580219268793,11.9714026451111,-39.0612498463045,6.14101470994783e-10,1.051636792307e-07,13.7345509385685,"UBA7_HUMAN",43,-46.9158981200233,3.71687202910856e-11,7.73299990876587e-09,-0.312522649764999,"Non-significant",8.11165199494577,"UBA7","Ubiquitin-like modifier-activating enzyme 7","UBA7_HUMAN"
1.17596316337585,10.9795235395432,40.6841556771875,4.53148534275566e-10,8.75439811217129e-08,14.0555513735643,"ACO12_HUMAN",27,46.3722312705622,4.08359910493086e-11,8.28358078435225e-09,-0.0863263607024756,"Non-significant",8.08178188800763,"ACOT12","Acetyl-coenzyme A thioesterase","ACO12_HUMAN"
-1.76695466041567,11.8472200632095,-43.2070002270005,2.89117464125504e-10,6.51638639976205e-08,14.5268055852554,"E2AK2_HUMAN",23,-46.0504290143688,4.31973020813327e-11,8.49932424970361e-09,0.144824266433725,"Non-significant",8.07061560208466,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN"
0.645533084869374,14.0366289615631,28.0003774990203,7.33801758273797e-09,5.42044028354755e-07,11.0612000279123,"LPPRC_HUMAN",87,45.9462211065069,4.39945302548129e-11,8.49932424970361e-09,0.2021605968475,"Non-significant",8.07061560208466,"LRPPRC","Leucine-rich PPR motif-containing protein, mitochondrial","LPPRC_HUMAN"
-1.65284657478332,9.64614331722259,-42.786285356894,3.11043931574927e-10,6.69318812955976e-08,14.4504346956404,"ITA3_HUMAN",23,-45.744446181211,4.5585598750782e-11,8.60189647125221e-09,-0.0084958076476731,"Non-significant",8.06540578873315,"ITGA3","Integrin alpha-3","ITA3_HUMAN"
-2.3144156932831,9.90389001369478,-45.2403110878044,2.05041792318133e-10,4.89326206726273e-08,14.8842059979691,"HLAF_HUMAN",14,-44.8016604841314,5.39294902669829e-11,9.91512949895759e-09,0.304080724716185,"Non-significant",8.00370160921305,"HLA-F","HLA class I histocompatibility antigen, alpha chain F","HLAF_HUMAN"
0.967576742172248,14.7081443071365,34.9644536745884,1.40368077922122e-09,1.83701061977435e-07,12.8532610743095,"ACOHC_HUMAN",48,44.6937866035645,5.49890100385866e-11,9.91512949895759e-09,0.801693677902225,"Up in BM1",8.00370160921305,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN"
-3.99745786190032,8.64960342645644,-42.7419989239852,3.13459636336296e-10,6.69318812955976e-08,14.4423454908776,"ESIP1_HUMAN",18,-44.3124175857185,5.89265587627529e-11,1.03941325608908e-08,-0.333463430404676,"Non-significant",7.98321174873153,"EPSTI1","Epithelial-stromal interaction protein 1","ESIP1_HUMAN"
-0.946531057357827,13.4285346269608,-34.3183980964982,1.613102336164e-09,1.89882155102707e-07,12.7039525322539,"TSP1_HUMAN",50,-44.1859670525178,6.03012775264221e-11,1.04103099116891e-08,0.301661014556881,"Non-significant",7.98253634148533,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-2.27628099918365,9.02966898679733,-40.3431442468053,4.82545327791731e-10,9.10551811558629e-08,13.9893127478489,"SAMD9_HUMAN",42,-43.6044020847929,6.71055322919363e-11,1.11220500743884e-08,0.305516242980975,"Non-significant",7.95381515394698,"SAMD9","Sterile alpha motif domain-containing protein 9","SAMD9_HUMAN"
-1.4396617412567,12.6131953001022,-41.2308132309166,4.10158156160753e-10,8.32005819772088e-08,14.1604352985511,"SP100_HUMAN",21,-43.5995794886199,6.71654490565727e-11,1.11220500743884e-08,0.155447244644174,"Non-significant",7.95381515394698,"SP100","Nuclear autoantigen Sp-100","SP100_HUMAN"
-1.47140908241274,9.59255158901215,-39.286912276075,5.88252501116764e-10,1.051636792307e-07,13.7800738876453,"PHAR4_HUMAN",29,-43.4176480831177,6.94702884432944e-11,1.12736384085778e-08,-0.131893873214722,"Non-significant",7.94793589888231,"PHACTR4","Phosphatase and actin regulator 4","PHAR4_HUMAN"
0.975042581558222,16.0418075323105,36.119812477173,1.10145456285862e-09,1.56793023211138e-07,13.1128965396309,"ALDOC_HUMAN",31,43.2445930072522,7.17453919497417e-11,1.14145511819648e-08,0.0177164077759251,"Non-significant",7.94254116021651,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
0.966187000274651,11.3488433361054,33.5158967887536,1.92426561555056e-09,2.07191686816953e-07,12.5141689074242,"DPYD_HUMAN",55,42.6563234409755,8.01283481776202e-11,1.23453239334548e-08,0.0383903980255145,"Non-significant",7.90849750997132,"DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","DPYD_HUMAN"
0.570377826690649,15.9856154918671,25.119872182161,1.64336974685968e-08,9.18857990526183e-07,10.1770529215654,"AOXA_HUMAN",91,42.5255939561079,8.213731529784e-11,1.23453239334548e-08,-0.449267148971526,"Non-significant",7.90849750997132,"AOX1","Aldehyde oxidase","AOXA_HUMAN"
-2.49716544151308,11.4881051778793,-44.6650958808949,2.25617474083499e-10,5.23045767061003e-08,14.785013180485,"NAT8_HUMAN",11,-42.4488907066475,8.33423392670146e-11,1.23453239334548e-08,-0.470964193344123,"Non-significant",7.90849750997132,"NAT8","N-acetyltransferase 8","NAT8_HUMAN"
0.637907981872548,13.1422474384308,26.2688222324344,1.17914419250112e-08,7.6540607823633e-07,10.5417690941411,"FAT1_HUMAN",153,42.427517853305,8.36816386911527e-11,1.23453239334548e-08,0.0481829643250009,"Non-significant",7.90849750997132,"FAT1","Protocadherin Fat 1","FAT1_HUMAN"
-1.42729949951174,10.6748268604279,-39.1573088463134,6.02944069459684e-10,1.051636792307e-07,13.7539648818508,"IFIT5_HUMAN",24,-42.308229729808,8.56040931686001e-11,1.24034216423218e-08,-0.268332242965698,"Non-significant",7.90645849262853,"IFIT5","Interferon-induced protein with tetratricopeptide repeats 5","IFIT5_HUMAN"
-1.9630880355835,8.4494240283966,-38.9275232027706,6.30025613375728e-10,1.051636792307e-07,13.707434996076,"MCM5_HUMAN",27,-41.6287090949891,9.75479255928676e-11,1.37546608683898e-08,-0.0777018070220858,"Non-significant",7.86155011300259,"MCM5","DNA replication licensing factor MCM5","MCM5_HUMAN"
-1.64250063896182,10.1645413637161,-38.1210450322029,7.36583967551619e-10,1.19532846254277e-07,13.5416657034694,"KPCD2_HUMAN",30,-41.5853889305185,9.83705941019434e-11,1.37546608683898e-08,0.00873684883120163,"Non-significant",7.86155011300259,"PRKD2","Serine/threonine-protein kinase D2","KPCD2_HUMAN"
0.775806427001953,17.6485428810119,32.8705357083901,2.22430724519826e-09,2.22815172685663e-07,12.3579379387436,"BHMT1_HUMAN",31,41.4999833777433,1.00015404391792e-10,1.37546608683898e-08,0.365048170089725,"Non-significant",7.86155011300259,"BHMT","Betaine--homocysteine S-methyltransferase 1","BHMT1_HUMAN"
-1.31274700164792,11.0794122219086,-40.7262464728676,4.49662852158685e-10,8.75439811217129e-08,14.063683632352,"T23O_HUMAN",17,-40.6983272030665,1.17054959413562e-10,1.58297323446941e-08,0.407897710800199,"Non-significant",7.80052642829653,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN"
-1.68239426612853,10.5385698080063,-36.0055994809247,1.12778576412777e-09,1.57773339485047e-07,13.0876392421815,"CMTR1_HUMAN",42,-39.6625512879434,1.4410155591203e-10,1.91448572579139e-08,0.145771503448486,"Non-significant",7.7179478673592,"CMTR1","Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1","CMTR1_HUMAN"
-1.38748645782473,11.0730693340302,-33.8351557910257,1.79297852148445e-09,2.02058718379511e-07,12.5902557458579,"RN213_HUMAN",232,-39.5885385564715,1.4628803919037e-10,1.91448572579139e-08,0.0555584430695006,"Non-significant",7.7179478673592,"RNF213","E3 ubiquitin-protein ligase RNF213","RN213_HUMAN"
1.23519325256347,11.5949239730835,37.0634838494448,9.08663389108993e-10,1.44566563514321e-07,13.3182722460352,"HRG_HUMAN",21,39.2602032088725,1.56447655373565e-10,2.01494646936684e-08,-0.0551865100861004,"Non-significant",7.69573648717419,"HRG","Histidine-rich glycoprotein","HRG_HUMAN"
-1.02658843994142,11.1915590763092,-33.4286507788861,1.96201410951301e-09,2.07191686816953e-07,12.4932393740662,"ABCD1_HUMAN",33,-38.9904540971777,1.65389316515184e-10,2.09682642844407e-08,0.161349296569801,"Non-significant",7.67843751817024,"ABCD1","ATP-binding cassette sub-family D member 1","ABCD1_HUMAN"
0.724376201629646,16.8836400508881,29.3643985739085,5.15164438762655e-09,4.22226692537392e-07,11.4471847273081,"SBP1_HUMAN",39,38.5478031717242,1.81333731279446e-10,2.26360291630988e-08,0.326061010360718,"Non-significant",7.64519975521362,"SELENBP1","Methanethiol oxidase","SBP1_HUMAN"
0.823670625686653,11.4747556447983,34.7144177827176,1.48084595371071e-09,1.8485513951398e-07,12.7958356935674,"DDC_HUMAN",22,38.279812367736,1.91822485321982e-10,2.34610206789049e-08,-0.148661851882899,"Non-significant",7.62965309769476,"DDC","Aromatic-L-amino-acid decarboxylase","DDC_HUMAN"
-1.25483202934268,12.2276583909988,-36.1482933636955,1.09499738867379e-09,1.56793023211138e-07,13.1191811734898,"TSP4_HUMAN",21,-38.2329562476546,1.93725460375478e-10,2.34610206789049e-08,0.12337040901185,"Non-significant",7.62965309769476,"THBS4","Thrombospondin-4","TSP4_HUMAN"
-0.8904480934143,15.1538517475128,-34.814123036717,1.44951334435609e-09,1.83771113689146e-07,12.8187888426819,"GBP1_HUMAN",22,-38.0580015682062,2.01020620813944e-10,2.39864899600638e-08,0.3215909004211,"Non-significant",7.62003329944798,"GBP1","Guanylate-binding protein 1","GBP1_HUMAN"
1.27211999893192,13.3023746013641,39.893979904042,5.24619559941829e-10,9.6744616122e-08,13.9010957738908,"GNMT_HUMAN",15,37.9792171849689,2.04406060304018e-10,2.4036967729084e-08,0.153480529785153,"Non-significant",7.61912031959719,"GNMT","Glycine N-methyltransferase","GNMT_HUMAN"
-0.939950704574601,16.3899413347244,-31.5395884569492,3.02637528954548e-09,2.79045557947409e-07,12.0250234519945,"AMPL_HUMAN",38,-37.8628552500588,2.09523979349355e-10,2.42868224062952e-08,-0.177791357040407,"Non-significant",7.61462930288468,"LAP3","Cytosol aminopeptidase","AMPL_HUMAN"
-1.55328369140626,10.7491471767426,-33.9086635536519,1.76420653287133e-09,2.02058718379511e-07,12.6076640000227,"PAR10_HUMAN",43,-37.4839552329253,2.27213020123227e-10,2.59662879616882e-08,-0.0268182754516246,"Non-significant",7.58559013096295,"PARP10","Protein mono-ADP-ribosyltransferase PARP10","PAR10_HUMAN"
-2.35739302635192,9.77600276470184,-36.7044456803597,9.77114504835159e-10,1.52467444081394e-07,13.2408206148739,"TREX1_HUMAN",15,-37.2778754585837,2.37534110422191e-10,2.64056429528583e-08,-0.467261552810671,"Non-significant",7.57830325337984,"TREX1","Three-prime repair exonuclease 1","TREX1_HUMAN"
-1.1930589675903,11.9649183750153,-34.8615197742363,1.43488262063752e-09,1.83771113689146e-07,12.8296748871646,"5NTD_HUMAN",22,-37.2467038551142,2.39140642951454e-10,2.64056429528583e-08,0.149553298950226,"Non-significant",7.57830325337984,"NT5E","5'-nucleotidase","5NTD_HUMAN"
0.913885116577152,10.7972257137298,29.3837656149131,5.12643520072928e-09,4.22226692537392e-07,11.4525279231929,"CGNL1_HUMAN",84,37.21435990659,2.40820505116036e-10,2.64056429528583e-08,-0.0180444717407227,"Non-significant",7.57830325337984,"CGNL1","Cingulin-like protein 1","CGNL1_HUMAN"
-1.13377904891965,12.18852186203,-35.0423331688293,1.38058389803718e-09,1.83701061977435e-07,12.8710559376449,"CASP1_HUMAN",20,-36.719249938291,2.68261886460255e-10,2.90223592898468e-08,-1.86128890514374,"Up in BD",7.5372672857331,"CASP1","Caspase-1","CASP1_HUMAN"
0.857148170471174,16.771035194397,28.5251836114228,6.3916754197854e-09,4.98673599578257e-07,11.2120053793611,"AL1L1_HUMAN",79,36.6275369745232,2.73721438850932e-10,2.92233651952166e-08,-0.204291820526121,"Non-significant",7.53426977465902,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN"
1.01573514938355,10.8553514480591,30.4672108128734,3.91548556367942e-09,3.49123624875767e-07,11.7456384846883,"ACD10_HUMAN",51,36.341367492135,2.91575264110135e-10,3.07252167920732e-08,1.14965403079987,"Up in BM1",7.51250504412031,"ACAD10","Acyl-CoA dehydrogenase family member 10","ACD10_HUMAN"
-0.860908031463627,12.861670255661,-30.7001254076934,3.69967139904866e-09,3.33545930354232e-07,11.8072024192149,"ITA5_HUMAN",29,-35.8095442518339,3.28338362558366e-10,3.41556086384434e-08,-0.181003093719481,"Non-significant",7.46653797131696,"ITGA5","Integrin alpha-5","ITA5_HUMAN"
-0.817907094955425,13.8893188238144,-29.9565799487969,4.44040325028231e-09,3.91624260573812e-07,11.6088973455081,"EHD4_HUMAN",31,-35.734681604212,3.33919517632806e-10,3.42964932414252e-08,0.972485065460218,"Up in BM1",7.46475028356528,"EHD4","EH domain-containing protein 4","EHD4_HUMAN"
-0.842430591583256,15.6655538082123,-28.5808309433639,6.29970513864267e-09,4.98100299164017e-07,11.2278244424726,"AMPN_HUMAN",49,-35.5540535798485,3.47829552758368e-10,3.52786123885174e-08,0.653363704681395,"Up in BM1",7.45248850528232,"ANPEP","Aminopeptidase N","AMPN_HUMAN"
-2.61312317848203,9.96653234958648,-34.4639266241527,1.56300486204074e-09,1.89286887322367e-07,12.7378512745713,"IRF9_HUMAN",16,-35.4078239945532,3.59567992507823e-10,3.6018946805043e-08,0.0671510696411257,"Non-significant",7.44346899011297,"IRF9","Interferon regulatory factor 9","IRF9_HUMAN"
-1.25207829475402,13.6301606893539,-33.5812497706104,1.89652808396603e-09,2.07191686816953e-07,12.5298078548664,"LG3BP_HUMAN",20,-35.1172809475655,3.8423477555204e-10,3.80204996198689e-08,0.0977828502655012,"Non-significant",7.41998218045515,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
0.815483570098875,15.0495948791504,31.5545999454513,3.015668928471e-09,2.79045557947409e-07,12.0288619167082,"PBLD_HUMAN",23,35.0148974592816,3.93375301910355e-10,3.84559903578388e-08,-0.283800363540701,"Non-significant",7.41503599977108,"PBLD","Phenazine biosynthesis-like domain-containing protein","PBLD_HUMAN"
-0.639249086380001,11.1124552488327,-25.0623218394022,1.67157339492694e-08,9.22663029009333e-07,10.1583331959469,"CEIP2_HUMAN",61,-34.9037398748545,4.0357660545907e-10,3.86075460992962e-08,0.337979555130005,"Non-significant",7.41332780131308,"CEMIP2","Cell surface hyaluronidase CEMIP2","CEIP2_HUMAN"
-1.75012326240537,10.2957638502121,-32.0114757802052,2.70946013425275e-09,2.61720946777701e-07,12.1447581963866,"TDRD7_HUMAN",52,-34.8848296798541,4.05341451119917e-10,3.86075460992962e-08,0.590974688529965,"Up in BM1",7.41332780131308,"TDRD7","Tudor domain-containing protein 7","TDRD7_HUMAN"
0.838544368743886,18.4609644412994,29.2855692454044,5.2557115630385e-09,4.26448436224944e-07,11.4253978685596,"ALDOB_HUMAN",33,34.8438054225587,4.09200020278466e-10,3.86075460992962e-08,-1.02658843994142,"Up in BD",7.41332780131308,"ALDOB","Fructose-bisphosphate aldolase B","ALDOB_HUMAN"
