"Protein.Ids"	"First.Protein.Description"	"Protein.Names"	"Genes"	"Peptides"	"B1_1"	"B1_2"	"B1_3"	"B1_4"	"B2_1"	"B2_2"	"B2_3"	"B2_4"	"BD_2"	"BD_3"	"BD_4"	"BD_1"	"BDM_1"	"BDM_2"	"BDM_3"	"BDM_4"	"BM1_1"	"BM1_2"	"BM1_3"	"BM1_4"	"BM2_1"	"BM2_2"	"BM2_3"	"BM2_4"	"BT_1"	"BT_2"	"BT_3"	"BT_4"	"C_1"	"C_2"	"C_3"	"C_4"	"CM_1"	"CM_2"	"CM_3"	"CM_4"	"D_1"	"D_2"	"D_3"	"D_4"	"DM_1"	"DM_2"	"DM_3"	"DM_4"	"T_1"	"T_2"	"T_3"	"T_4"
"14"	"P06493"	"Cyclin-dependent kinase 1"	"CDK1_HUMAN"	"CDK1"	7	NA	8.04256629943848	NA	7.19079113006592	NA	NA	6.77660703659058	NA	8.17391586303711	7.74503564834595	7.5410590171814	NA	7.76538467407227	7.56198167800903	7.21545839309692	7.87996292114258	NA	NA	NA	6.8446946144104	NA	NA	NA	NA	NA	5.8488621711731	6.31597518920898	NA	NA	NA	NA	7.22121000289917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.75196933746338	NA	6.31385564804077	NA	NA
"15"	"Q96FZ5"	"CKLF-like MARVEL transmembrane domain-containing protein 7"	"CKLF7_HUMAN"	"CMTM7"	1	NA	6.85730648040771	NA	7.65245485305786	7.26596307754517	6.86229848861694	NA	NA	7.40256357192993	7.82072687149048	7.77934598922729	7.74302625656128	NA	NA	NA	7.44329261779785	NA	NA	NA	NA	6.21291542053223	NA	6.80686092376709	NA	NA	NA	NA	NA	NA	7.53957891464233	NA	NA	6.15025758743286	NA	NA	NA	NA	NA	6.75465869903564	7.40842199325562	NA	7.23761463165283	7.20443534851074	7.46409225463867	NA	NA	NA	NA
"16"	"O43405"	"Cochlin"	"COCH_HUMAN"	"COCH"	5	5.60793781280518	5.92743444442749	NA	NA	NA	5.50559568405151	4.93288469314575	4.8894681930542	5.88370227813721	5.849524974823	6.30580711364746	5.73191785812378	6.22240161895752	6.2554931640625	5.93141412734985	5.25062799453735	NA	NA	NA	NA	5.12486839294434	NA	5.93044376373291	NA	NA	7.26632785797119	NA	4.67546367645264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	"O94985"	"Calsyntenin-1"	"CSTN1_HUMAN"	"CLSTN1"	4	7.24095964431763	NA	NA	NA	6.72679281234741	NA	NA	NA	7.03201627731323	7.99068737030029	6.93191766738892	7.28771018981934	7.00560426712036	7.50184631347656	NA	7.28422689437866	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.20457744598389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	"P02778"	"C-X-C motif chemokine 10"	"CXL10_HUMAN"	"CXCL10"	5	NA	NA	NA	NA	NA	NA	NA	NA	14.0497035980225	13.9090023040771	13.9205236434937	13.9799575805664	5.81507444381714	NA	NA	NA	6.21195220947266	6.4459056854248	NA	NA	NA	NA	NA	NA	NA	5.32622671127319	NA	NA	NA	NA	NA	NA	5.2118124961853	NA	6.29734420776367	NA	11.4553337097168	11.2697792053223	11.2778482437134	11.1510334014893	NA	NA	NA	NA	NA	NA	5.60438203811646	NA
"19"	"O14625"	"C-X-C motif chemokine 11"	"CXL11_HUMAN"	"CXCL11"	2	NA	NA	NA	NA	NA	NA	NA	NA	10.0939769744873	9.71613502502441	9.95553398132324	9.75191497802734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.68861818313599	7.3406023979187	7.5214581489563	7.41245317459106	NA	NA	NA	NA	NA	NA	NA	NA
"20"	"Q9UHF1"	"Epidermal growth factor-like protein 7"	"EGFL7_HUMAN"	"EGFL7"	5	7.20338010787964	7.15032482147217	NA	NA	6.69373559951782	NA	6.21747779846191	NA	7.65061378479004	7.43214178085327	8.10785865783691	7.54723644256592	6.78492021560669	7.24319648742676	NA	6.91010189056396	6.35667037963867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.48839282989502	NA	NA	NA	NA	6.60976696014404	7.56127452850342	6.78332805633545	NA	NA	NA	NA	NA	NA	NA	NA
"21"	"Q6ZVH7"	"Espin-like protein"	"ESPNL_HUMAN"	"ESPNL"	5	NA	NA	NA	NA	NA	NA	NA	NA	6.19353294372559	5.95984792709351	6.38662338256836	6.19872570037842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.08171653747559	NA	NA	NA	NA	5.27180957794189	5.70909023284912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"22"	"P07332"	"Tyrosine-protein kinase Fes/Fps"	"FES_HUMAN"	"FES"	4	NA	6.44659233093262	NA	NA	6.26702928543091	NA	6.22910594940186	5.81824541091919	NA	6.28255414962769	NA	5.73447895050049	NA	NA	NA	NA	4.79621315002441	5.96980428695679	NA	5.74674510955811	6.29241323471069	NA	NA	NA	NA	NA	NA	NA	6.21118211746216	6.30950212478638	NA	NA	6.41342306137085	6.52601909637451	5.86076068878174	6.38596677780151	NA	NA	NA	NA	NA	NA	NA	NA	5.62911510467529	4.77236938476563	NA	NA
"23"	"P15408"	"Fos-related antigen 2"	"FOSL2_HUMAN"	"FOSL2"	2	NA	6.31965351104736	NA	NA	5.74542093276978	NA	5.73542833328247	NA	NA	4.97256946563721	4.75778102874756	NA	4.85412788391113	5.6176438331604	6.2329363822937	6.32840156555176	6.51771926879883	5.13079643249512	NA	4.43463659286499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.20273733139038	6.30773591995239	NA	5.60913181304932	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.09469175338745	5.38201475143433	NA	NA
"24"	"Q96IV6"	"Fatty acid hydroxylase domain-containing protein 2"	"FXDC2_HUMAN"	"FAXDC2"	2	6.36954021453857	NA	NA	NA	6.30813932418823	NA	5.88953399658203	NA	NA	7.14081430435181	7.25268697738647	NA	6.70709562301636	7.28372287750244	7.1115026473999	7.36154079437256	6.68420267105103	6.71774005889893	5.80992794036865	NA	NA	NA	NA	NA	7.21354722976685	6.58628559112549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.2566614151001	NA	NA	NA	NA	NA	NA	NA	6.41840267181396	NA	NA
"25"	"Q9NXK8"	"F-box/LRR-repeat protein 12"	"FXL12_HUMAN"	"FBXL12"	4	NA	6.46087408065796	NA	NA	5.89058113098145	NA	NA	NA	5.60179710388184	6.9302191734314	5.74256944656372	6.8976845741272	NA	6.24761581420898	NA	6.62500905990601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.05501556396484	NA	5.17761850357056	NA	5.87514591217041	NA	NA	NA	NA	NA	NA	NA	NA	6.83151817321777	NA	NA	NA	NA	NA
"26"	"P14672"	"Solute carrier family 2, facilitated glucose transporter member 4"	"GLUT4_HUMAN"	"SLC2A4"	2	NA	5.76353359222412	NA	NA	4.94169521331787	6.48685550689697	4.99866199493408	5.11656951904297	6.09561395645142	5.28778600692749	NA	NA	6.37893295288086	NA	NA	NA	NA	NA	5.6632022857666	NA	5.71245813369751	NA	NA	NA	NA	6.00203466415405	NA	NA	5.91451215744019	NA	NA	NA	NA	NA	6.73342418670654	5.08013963699341	NA	5.51679658889771	NA	NA	6.24093246459961	5.07243728637695	NA	5.20031356811523	NA	NA	NA	NA
"27"	"Q96QA5"	"Gasdermin-A"	"GSDMA_HUMAN"	"GSDMA"	8	NA	NA	NA	NA	NA	NA	6.09858798980713	NA	NA	7.3055591583252	6.70104694366455	NA	NA	NA	NA	NA	NA	6.98652935028076	NA	NA	NA	NA	NA	NA	6.75165748596191	6.59985208511353	6.95696210861206	7.23058128356934	NA	NA	NA	9.75296592712402	6.76640892028809	NA	NA	NA	7.11894178390503	NA	7.39915084838867	NA	6.63906717300415	NA	NA	NA	NA	7.29860162734985	NA	NA
"28"	"Q8TAX9"	"Gasdermin-B"	"GSDMB_HUMAN"	"GSDMB"	17	NA	NA	NA	NA	7.17656755447388	NA	NA	NA	10.4028263092041	10.3485479354858	10.3679332733154	10.3343410491943	7.16004323959351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.38882541656494	NA	NA	NA	NA	8.70036029815674	8.44691562652588	8.51887989044189	8.15274620056152	NA	NA	NA	NA	NA	NA	NA	NA
"29"	"P11169;Q8TDB8"	"Solute carrier family 2, facilitated glucose transporter member 3;Solute carrier family 2, facilitated glucose transporter member 14"	"GTR3_HUMAN"	"SLC2A3;SLC2A14"	4	6.21728897094727	NA	NA	6.74390411376953	6.42344808578491	5.87942504882813	NA	5.36910009384155	6.46029901504517	4.97663593292236	6.76041698455811	NA	7.2506251335144	6.61156558990479	7.13551378250122	5.94461727142334	NA	6.76098823547363	5.98637723922729	6.14974021911621	5.97268581390381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30"	"Q9UII4"	"E3 ISG15--protein ligase HERC5"	"HERC5_HUMAN"	"HERC5"	34	NA	6.38025569915771	NA	NA	NA	NA	NA	NA	9.1534538269043	9.09790897369385	9.14463043212891	9.12000179290771	NA	NA	NA	5.07509803771973	5.52883911132813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.4578423500061	5.0628776550293	NA	5.47406101226807	NA	NA	NA	NA	NA	8.33909893035889	8.20576095581055	8.2264404296875	8.43787956237793	NA	NA	NA	NA	NA	NA	5.29660654067993	NA
"31"	"Q8IVU3"	"Probable E3 ubiquitin-protein ligase HERC6"	"HERC6_HUMAN"	"HERC6"	41	5.45660543441772	NA	NA	NA	6.87345933914185	NA	NA	NA	10.6055221557617	10.6428756713867	10.7899894714355	10.7565793991089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.87370872497559	9.96567344665527	9.93793106079102	9.89656639099121	NA	NA	NA	NA	NA	NA	NA	NA
"32"	"P17693"	"HLA class I histocompatibility antigen, alpha chain G"	"HLAG_HUMAN"	"HLA-G"	2	NA	5.4958233833313	NA	5.84589385986328	4.53528213500977	5.80264902114868	5.51207780838013	NA	5.8465518951416	6.72700071334839	6.39986133575439	6.32153844833374	5.98376274108887	6.25354385375977	5.84164810180664	4.37793397903442	NA	NA	NA	3.84400582313538	NA	NA	NA	NA	NA	4.73112821578979	6.1944751739502	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.98405289649963	NA	NA	NA	NA	NA	NA	NA	4.67778730392456	NA	NA	NA
"33"	"P83110"	"Serine protease HTRA3"	"HTRA3_HUMAN"	"HTRA3"	5	NA	NA	NA	NA	NA	NA	NA	NA	7.3204984664917	7.81875610351563	7.49474096298218	7.80197477340698	7.46473169326782	7.59058427810669	7.91293811798096	7.87001466751099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.94667530059814	5.80151081085205	6.26162958145142	5.86039638519287	NA	5.89778900146484	NA	NA	NA	NA	NA
"34"	"P41134"	"DNA-binding protein inhibitor ID-1"	"ID1_HUMAN"	"ID1"	2	NA	7.66162300109863	8.30513095855713	8.0054759979248	NA	7.64977025985718	NA	NA	NA	NA	NA	NA	7.49817705154419	7.35982036590576	8.00870800018311	7.92395782470703	7.38865900039673	7.44447040557861	NA	NA	7.76114130020142	7.50432205200195	7.54579305648804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.68835926055908	NA	NA	NA	7.57903146743774	7.42249822616577	NA	NA
"35"	"Q53G44"	"Interferon-induced protein 44-like"	"IF44L_HUMAN"	"IFI44L"	23	NA	3.80914831161499	NA	NA	NA	NA	NA	NA	12.2056150436401	12.0998821258545	12.2680053710938	12.2647409439087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.1674966812134	11.1121625900269	11.1402359008789	11.1102905273438	NA	NA	NA	NA	NA	NA	NA	NA
"36"	"P40305"	"Interferon alpha-inducible protein 27, mitochondrial"	"IFI27_HUMAN"	"IFI27"	2	NA	NA	NA	NA	NA	NA	NA	NA	8.30333805084229	8.12827014923096	8.4255485534668	8.74896430969238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.42214632034302	6.69492816925049	NA	6.17880582809448	NA	NA	NA	NA	NA	NA	NA	NA
"37"	"P09912"	"Interferon alpha-inducible protein 6"	"IFI6_HUMAN"	"IFI6"	2	NA	NA	NA	NA	NA	NA	NA	NA	10.5840253829956	10.7862510681152	10.5315523147583	10.8158311843872	4.86647367477417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.99784183502197	9.84750652313232	9.90085792541504	9.94146060943604	5.11148118972778	NA	NA	NA	NA	NA	NA	NA
"38"	"P17181"	"Interferon alpha/beta receptor 1"	"INAR1_HUMAN"	"IFNAR1"	6	NA	6.41509389877319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.43338203430176	6.77610683441162	7.52499580383301	6.79415845870972	NA	NA	NA	7.06095933914185	NA	7.06286096572876	6.82953548431396	NA	7.07670021057129	NA	6.58687591552734	6.81115007400513	7.4555196762085	NA	NA	NA	NA	7.20283174514771	NA	NA	NA	7.36931228637695	NA	NA	NA	NA	NA	7.01840019226074	NA	6.73022317886353	NA	NA
"39"	"P16144"	"Integrin beta-4"	"ITB4_HUMAN"	"ITGB4"	6	6.2700514793396	NA	5.98547172546387	NA	NA	5.99114990234375	NA	NA	6.41595029830933	6.2885479927063	6.2036919593811	6.43055295944214	NA	NA	6.28152990341187	6.40397644042969	5.45700025558472	5.93510055541992	5.85847806930542	NA	NA	5.2572283744812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.45272397994995	NA	NA	NA	5.95636796951294	NA	NA	6.06375122070313	NA	NA	5.20167016983032	5.00241279602051	NA	NA	NA	NA
"40"	"Q9HCP0"	"Casein kinase I isoform gamma-1"	"KC1G1_HUMAN"	"CSNK1G1"	1	6.27615547180176	NA	NA	NA	5.92845153808594	NA	NA	6.67724370956421	5.91758871078491	6.69778299331665	6.07381677627563	7.25040912628174	NA	NA	NA	NA	NA	NA	NA	5.89760112762451	5.91253280639648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.30230140686035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"41"	"P24043"	"Laminin subunit alpha-2"	"LAMA2_HUMAN"	"LAMA2"	8	NA	6.22625160217285	NA	NA	NA	NA	NA	6.62258577346802	7.57158088684082	6.99316883087158	6.25725793838501	6.8642315864563	6.74686002731323	7.13722610473633	7.07660913467407	7.22979879379272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.41109609603882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"42"	"Q9UQV4"	"Lysosome-associated membrane glycoprotein 3"	"LAMP3_HUMAN"	"LAMP3"	3	NA	NA	NA	NA	NA	NA	NA	NA	10.9513473510742	11.2158994674683	10.9478874206543	10.8895969390869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.37660884857178	9.51930904388428	9.20122337341309	9.29039859771729	NA	NA	NA	NA	NA	NA	NA	NA
"43"	"P61968"	"LIM domain transcription factor LMO4"	"LMO4_HUMAN"	"LMO4"	1	NA	7.52937841415405	7.07778310775757	NA	6.95081901550293	7.02828454971313	6.32683324813843	6.84406661987305	NA	NA	7.36277484893799	NA	7.75958681106567	6.88848924636841	NA	NA	NA	NA	7.32907581329346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.99888324737549	NA	NA	NA	NA	6.85267639160156	NA	NA	7.18566560745239	NA	NA	NA	7.40102386474609	NA	NA	NA	NA	NA	NA
"44"	"Q6ZN17"	"Protein lin-28 homolog B"	"LN28B_HUMAN"	"LIN28B"	7	NA	NA	NA	NA	NA	NA	NA	NA	7.62545347213745	7.67069959640503	7.38149070739746	7.44426918029785	7.12015676498413	7.50445461273193	7.49819946289063	7.50488328933716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.59614992141724	NA	NA	5.03228187561035	NA	NA	6.45208930969238	NA	NA	NA	NA	NA
"45"	"Q9H1A3"	"Protein-L-histidine N-pros-methyltransferase"	"METL9_HUMAN"	"METTL9"	4	6.03074502944946	6.87433195114136	NA	NA	7.03812456130981	NA	NA	6.72740888595581	6.95031356811523	7.31489944458008	6.74727058410645	7.0995020866394	NA	NA	NA	6.85247707366943	6.95701694488525	7.45195960998535	NA	6.64011669158936	NA	6.73062038421631	6.73335313796997	NA	6.6150279045105	6.71444272994995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.9000768661499	NA	NA	6.52721929550171
"46"	"P55001"	"Microfibrillar-associated protein 2"	"MFAP2_HUMAN"	"MFAP2"	1	7.48549509048462	7.32444667816162	NA	NA	NA	NA	NA	NA	8.70935535430908	9.2609395980835	9.09115028381348	8.80064392089844	8.89727306365967	8.35375118255615	8.21876430511475	8.22417449951172	6.93848323822021	NA	NA	6.9537525177002	NA	NA	NA	NA	NA	NA	NA	7.23715019226074	NA	NA	NA	5.86189889907837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.09788417816162	NA	NA	6.34433889389038	NA	NA
"47"	"Q09328"	"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A"	"MGT5A_HUMAN"	"MGAT5"	5	NA	NA	6.82079410552979	NA	NA	4.11708068847656	NA	NA	NA	6.85462617874146	NA	NA	NA	NA	6.08704710006714	5.67256832122803	NA	NA	6.15685415267944	NA	NA	5.68659973144531	NA	NA	6.18999910354614	5.77506637573242	6.1894998550415	5.47031497955322	NA	NA	4.64395332336426	NA	NA	NA	NA	NA	NA	NA	NA	5.71384954452515	NA	NA	NA	5.70736694335938	5.81763458251953	6.41021823883057	NA	NA
"48"	"Q8N339"	"Metallothionein-1M"	"MT1M_HUMAN"	"MT1M"	1	NA	NA	5.97824287414551	NA	NA	5.55401706695557	5.53376150131226	5.22411727905273	5.99065399169922	NA	5.78692960739136	4.55958461761475	NA	NA	NA	NA	5.92033576965332	5.49026155471802	4.95145463943481	5.44400930404663	NA	5.09887027740479	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.14953947067261	NA	NA	NA	NA	6.4348201751709	6.41534996032715	NA	6.40826368331909	NA	NA	5.88842821121216	5.28819561004639	5.15566205978394	NA	NA	NA
"49"	"P20592"	"Interferon-induced GTP-binding protein Mx2"	"MX2_HUMAN"	"MX2"	21	NA	NA	NA	NA	NA	NA	4.65632820129395	NA	8.80181694030762	8.79462432861328	8.75825595855713	8.73139572143555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.33793830871582	6.83249092102051	6.35693168640137	6.53070020675659	NA	NA	NA	NA	NA	NA	NA	NA	NA
