"Protein.Group"	"peptides"	"Protein.Ids"	"Protein.Names"	"Genes"	"First.Protein.Description"	"B_1"	"B_2"	"B_3"	"B_4"	"BD_1"	"BD_2"	"BD_3"	"BD_4"	"BDM_1"	"BDM_2"	"BDM_3"	"BDM_4"	"BM_1"	"BM_2"	"BM_3"	"BM_4"	"C_1"	"C_2"	"C_3"	"C_4"	"CM_1"	"CM_2"	"CM_3"	"CM_4"	"D_1"	"D_2"	"D_3"	"D_4"	"DM_1"	"DM_2"	"DM_3"	"DM_4"	"I_1"	"I_2"	"I_3"	"I_4"
"29"	"Q96EG1"	1	"Q96EG1;J9JIG6"	"ARSG_HUMAN"	"ARSG"	"Arylsulfatase G"	15.5539682106487	NA	15.305349282599	NA	NA	14.8267172949785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.5887322007559	NA	NA	NA	NA	15.0965381005687	14.578349102302	NA	NA	15.3666500622283	NA	NA	15.3849388557509	NA	14.9237453013077	NA	NA	15.1656607514987	15.3943823044597	15.2069799916828
"30"	"Q969V6"	1	"Q969V6;E7ER32;B0QY83;A0A087X287;A0A494BZX7;A0A499FIJ6;W0Z7M9;A0A087WU73"	"MRTFA_HUMAN"	"MRTFA"	"Myocardin-related transcription factor A"	16.3944526460865	NA	16.5873351017019	NA	NA	NA	16.7104028788736	NA	NA	NA	NA	NA	16.6453206833633	NA	16.4463418589302	NA	NA	16.7498956084717	NA	NA	16.197032350621	NA	NA	16.4354163346807	NA	NA	NA	16.6053464006162	NA	NA	NA	NA	16.5970428421469	NA	16.6942762598911	16.5440860189692
"31"	"Q93045"	1	"Q93045;E5RGX5"	"STMN2_HUMAN"	"STMN2"	"Stathmin-2"	19.4845161127666	19.4901947505945	NA	19.4538031372893	19.4655185777578	NA	NA	NA	NA	19.565884888083	NA	NA	19.4195631681877	NA	NA	NA	NA	NA	19.4892462678979	NA	NA	NA	19.5433415143957	NA	19.5613103229959	NA	NA	19.6363414004087	NA	NA	NA	NA	NA	NA	NA	NA
"32"	"Q92830"	1	"Q92830"	"KAT2A_HUMAN"	"KAT2A"	"Histone acetyltransferase KAT2A"	NA	NA	NA	NA	NA	16.7117476228665	NA	NA	16.8170086142917	NA	NA	NA	NA	16.8829534475679	16.6195322275721	NA	NA	NA	NA	NA	NA	NA	17.0479546202506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	"Q92823"	1	"Q92823;C9JYY6;C9JH43;F8W775;A0A087X2B3"	"NRCAM_HUMAN"	"NRCAM"	"Neuronal cell adhesion molecule"	13.6586801039709	14.2049760812558	NA	NA	NA	NA	12.6893952671061	NA	NA	NA	13.5708637188471	NA	13.1599848310498	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"34"	"Q8TF66"	6	"Q8TF66"	"LRC15_HUMAN"	"LRRC15"	"Leucine-rich repeat-containing protein 15"	NA	NA	NA	NA	17.8783862505224	NA	15.4959705427708	NA	14.1400468739649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	"Q8TE04"	1	"Q8TE04;Q9H999"	"PANK1_HUMAN"	"PANK1"	"Pantothenate kinase 1"	NA	NA	17.0974663625455	NA	NA	NA	NA	NA	17.4075665241627	NA	NA	NA	NA	NA	17.3071474329916	NA	17.3428819983959	NA	NA	17.3390496751801	17.2516303414115	17.335966005801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.4784062460863
"36"	"Q8NG31"	1	"Q8NG31;H0YCZ2;E9PPJ1"	"KNL1_HUMAN"	"KNL1"	"Kinetochore scaffold 1"	NA	NA	NA	NA	NA	14.7755691308561	NA	15.5655543375936	NA	NA	NA	NA	NA	NA	15.2709011895633	NA	NA	NA	NA	15.3371131340776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"37"	"Q8IW41"	1	"Q8IW41;F8VRP2;R4GN33"	"MAPK5_HUMAN"	"MAPKAPK5"	"MAP kinase-activated protein kinase 5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.1367858962176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"38"	"Q8IVF4"	1	"Q8IVF4;A0A669KB38;A0A1C7CYW8;A0A0J9YY17"	"DYH10_HUMAN"	"DNAH10"	"Dynein heavy chain 10, axonemal"	NA	NA	NA	NA	NA	18.8101291340481	18.8032860750476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.7782247496963	18.9285125922524	NA	NA	NA	NA	18.6488104598601	NA	NA	NA	NA	NA	NA	NA	NA
"39"	"Q86UW6"	1	"Q86UW6;H0YA93"	"N4BP2_HUMAN"	"N4BP2"	"NEDD4-binding protein 2"	14.9076981285046	NA	NA	13.8910336865311	14.3195168930595	NA	NA	NA	NA	13.7336509168387	NA	NA	14.7730361533934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8240259363109	15.1669672331727	NA	NA	14.3079692068057	14.42730629594	13.5104056744758	14.2434715383963	14.2955537192279	NA	12.7973494485123	13.0508349611215
"40"	"Q86UQ4"	1	"Q86UQ4;A0A0A0MT16"	"ABCAD_HUMAN"	"ABCA13"	"ATP-binding cassette sub-family A member 13"	NA	NA	NA	16.6618754986631	NA	NA	NA	NA	NA	NA	NA	16.6474022106215	NA	16.9014915324444	NA	NA	NA	NA	17.089543584578	NA	NA	NA	NA	16.748939691288	NA	NA	NA	NA	NA	16.9713863792837	16.9562853960253	17.1287193540971	NA	NA	NA	NA
"41"	"Q7Z3K6"	1	"Q8N344;Q7Z3K6;A0A087WZA4"	"MIER2_HUMAN;MIER3_HUMAN"	"MIER2;MIER3"	"Mesoderm induction early response protein 3"	NA	NA	NA	16.3645433652653	16.4249273354335	NA	NA	NA	NA	NA	NA	NA	16.2699466573779	NA	NA	16.4055370594973	NA	NA	NA	NA	NA	NA	16.5812829789297	NA	NA	16.3623445428174	NA	NA	16.0118540170859	16.0574523876206	NA	NA	NA	16.4303365694811	16.5816448814686	16.6998570820395
"42"	"Q7L8J4"	1	"Q7L8J4"	"3BP5L_HUMAN"	"SH3BP5L"	"SH3 domain-binding protein 5-like"	14.4270574425052	NA	NA	NA	NA	NA	NA	13.5909495493294	14.213164989004	NA	14.2062741693773	NA	NA	NA	NA	13.9564306112437	NA	NA	NA	NA	NA	NA	13.9482303296844	13.9005272215904	NA	NA	NA	NA	13.8563574386606	15.0347130034483	NA	14.4769486732459	14.3332112676394	14.6013413509761	NA	NA
"43"	"Q7L590"	1	"Q7L590;C9J600;Q5T670"	"MCM10_HUMAN"	"MCM10"	"Protein MCM10 homolog"	NA	17.9441057785031	NA	17.8531877010144	17.6180771643717	NA	NA	NA	NA	17.8920565555887	17.7558655607483	17.8758093344999	NA	17.8320926633298	17.9047933601885	NA	18.0190857227772	17.7389894416477	NA	17.8927740296535	NA	NA	NA	18.0258478855862	NA	17.8649840887846	17.8471552455275	NA	NA	NA	NA	NA	NA	17.8963442307817	NA	NA
"44"	"Q76EJ3"	1	"Q76EJ3;Q5VZJ2"	"S35D2_HUMAN"	"SLC35D2"	"UDP-N-acetylglucosamine/UDP-glucose/GDP-mannose transporter"	NA	NA	NA	NA	13.399892047501	NA	12.8547437389955	12.0525578622439	NA	13.094570929132	12.5192062302598	NA	NA	NA	NA	NA	NA	NA	14.1850147719026	NA	12.8457938473954	NA	NA	NA	14.5836528203599	NA	NA	14.5736294376912	NA	NA	NA	13.6945537739731	NA	14.2180485448174	14.455686821684	NA
"45"	"Q6ZMW3"	1	"Q6ZMW3;A0A669KBD4"	"EMAL6_HUMAN"	"EML6"	"Echinoderm microtubule-associated protein-like 6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.8026299547088	NA	NA	16.4479371837526	NA	NA	NA	NA	15.848762293815	NA	16.6249810344434	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.6485261113062	NA
"46"	"Q6UY14"	1	"Q6UY14;A0A669KBE7"	"ATL4_HUMAN"	"ADAMTSL4"	"ADAMTS-like protein 4"	NA	NA	NA	NA	17.6134225870652	NA	NA	NA	NA	17.476706655836	NA	NA	NA	NA	NA	NA	NA	17.4887815973961	17.8259277009403	17.4281229539319	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.8744314938755	NA	17.5127867497612	NA	17.5620262303808	NA	NA
"47"	"Q6PIY7"	1	"Q6PIY7;D6RAF2"	"GLD2_HUMAN"	"TENT2"	"Poly(A) RNA polymerase GLD2"	14.089185620634	13.7061398330399	NA	NA	NA	NA	NA	13.7597321740256	NA	13.8220429677089	NA	NA	12.9751995407738	NA	NA	13.6396685566348	NA	13.2360769944217	NA	NA	NA	NA	NA	NA	NA	NA	13.4952429505893	NA	13.6297322730022	NA	13.0657880368121	13.1434087256129	12.8666935881387	NA	NA	NA
"48"	"Q6NYC8"	1	"Q6NYC8;A0A0G2JHC2"	"PPR18_HUMAN"	"PPP1R18"	"Phostensin"	NA	13.2344671908483	13.7265162060311	11.634389068216	NA	NA	NA	13.8350832358831	NA	12.8007846576252	NA	NA	13.4356442192748	NA	13.8436168601751	NA	NA	13.6511862646636	NA	NA	13.479679231427	NA	NA	NA	NA	NA	13.5432735384498	NA	NA	13.8554135753355	NA	NA	NA	NA	NA	NA
"49"	"Q5VWN6"	1	"Q5VWN6;A0A2R8YH03"	"TASO2_HUMAN"	"TASOR2"	"Protein TASOR 2"	NA	NA	NA	NA	NA	14.4636393142958	NA	NA	NA	NA	15.0191563255842	NA	NA	14.1199948152504	NA	NA	NA	NA	NA	14.7734792304781	NA	NA	14.7380130697071	15.009146289373	NA	NA	NA	NA	13.9089648563712	NA	NA	14.8193458607749	NA	NA	NA	NA
"50"	"Q5EBM0"	3	"Q5EBM0"	"CMPK2_HUMAN"	"CMPK2"	"UMP-CMP kinase 2, mitochondrial"	NA	NA	NA	NA	16.8327540630169	16.2931447062954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.9093001184949	NA	NA	NA	NA	NA	17.3206242901868	17.1040048791327	17.2579126247976	17.4736898971343	NA	NA	NA	NA	NA	NA	NA	NA
"51"	"Q5BKT4"	1	"Q5BKT4"	"AG10A_HUMAN"	"ALG10"	"Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase"	NA	NA	NA	NA	NA	17.5962844066022	17.431660825365	NA	NA	17.7220937434469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.7887438181748	NA	NA	17.9509203520301	NA
"52"	"Q3KRA6"	1	"Q3KRA6"	"CB076_HUMAN"	"C2orf76"	"UPF0538 protein C2orf76"	15.0889041530832	NA	NA	NA	NA	NA	15.39220672067	13.8389281377123	NA	NA	NA	NA	15.1834648034031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.3581910143696	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.1865553395772	14.3334279268199
"53"	"Q29980"	1	"Q29980;A0A140T9H4;A0A140T9M6;A0A140T979;A0A0G2JH58;A0A0G2JHB5;F5H7Q8;A0A140T9D8;A0A0G2JH91"	"MICB_HUMAN"	"MICB"	"MHC class I polypeptide-related sequence B"	NA	NA	NA	15.5683064899025	NA	NA	14.6812713596744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.4166359145469	14.735444961734	NA	NA	NA	NA	NA	NA	14.6583007556729	NA	NA	NA
"54"	"Q15323"	9	"K1H1_HUMAN;K1H4_HUMAN;K1HA_HUMAN;K1HB_HUMAN;Q15323;Q14525;O76009;O76011;A0A140TA69;A0A140TA62"	"K1H1_HUMAN"	"KRT31"	"Keratin, type I cuticular Ha1"	NA	16.8188941884515	15.1951414807918	NA	18.3280042927027	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.4632130286689	15.2197244016397	NA	NA	17.4370286581808	NA	15.3812962173389	NA	NA	17.4129005808662	NA	NA	NA	18.1238789031853	17.6346692689283	17.6644681181406	NA	NA	16.9466436018471	17.2094343265591	NA	NA
"55"	"Q14525"	2	"K1HB_HUMAN;Q14525"	"KT33B_HUMAN"	"KRT33B"	"Keratin, type I cuticular Ha3-II"	NA	NA	NA	NA	17.237639448212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"56"	"Q14410"	1	"Q14410"	"GLPK2_HUMAN"	"GK2"	"Glycerol kinase 2"	15.5391285122549	NA	NA	NA	NA	NA	NA	14.7763919060022	NA	NA	NA	NA	15.1078749998398	NA	NA	NA	NA	15.1225813246251	NA	15.0541379271891	NA	NA	NA	NA	15.0685809685586	14.9915838466177	13.3142291826137	NA	15.084202155835	NA	NA	NA	15.0604510715122	15.0888379174429	NA	NA
"57"	"Q05084"	1	"Q05084;E7ENI6;A0A3B3IST8;E9PDL4;B9ZVM7"	"ICA69_HUMAN"	"ICA1"	"Islet cell autoantigen 1"	NA	14.1358615625443	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.5123392469506	14.2358123081335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.6251780071302	NA	14.2757680504957	NA	NA	NA	NA	NA	NA	NA	NA	14.1147590508206	14.7409928921799
"58"	"Q02241"	2	"Q02241;H7BYN4;A0A2U3TZL8;A0A2R8Y531;H0YME6"	"KIF23_HUMAN"	"KIF23"	"Kinesin-like protein KIF23"	NA	NA	17.7760088597008	NA	NA	19.8720525838419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.2419086899363	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.9257253789096	NA
