"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BT_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
1.90641975402835,11.4142956733704,65.2401550292808,1.43793000766029e-11,7.50637422008166e-09,17.3501787717733,"STAT2_HUMAN",35,78.2856943978811,5.92612134480875e-13,4.00704571598152e-10,0.0882256031036501,"Non-significant",9.39717570271698,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN"
-2.29428219795227,11.8137995004654,-64.9872577769246,1.48018224699663e-11,7.50637422008166e-09,17.3254295657267,"TSP1_HUMAN",50,-77.327946319282,6.54667003539148e-13,4.08612928208973e-10,0.0433366298675537,"Non-significant",9.38868789673197,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-1.96944880485534,15.2848650217056,-65.2772435208305,1.43184925278848e-11,7.50637422008166e-09,17.353796344968,"FIBG_HUMAN",29,-74.4114279295489,8.9349782527699e-13,4.93641781145397e-10,0.0755071640014755,"Non-significant",9.30658808934561,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
4.03984355926518,12.5758988857269,69.6520366121739,8.82694055375025e-12,6.51107233210269e-09,17.7599376203844,"IFIT2_HUMAN",29,74.2173540454211,9.12574157897579e-13,4.93641781145397e-10,0.0511903762817347,"Non-significant",9.30658808934561,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-1.96006011962893,13.6845843791962,-67.4487698402968,1.12180529871299e-11,7.50637422008166e-09,17.5603814373249,"FGL1_HUMAN",17,-64.6967729829545,2.76998953055062e-12,1.36513627608272e-09,0.196264505386376,"Non-significant",8.86482399258176,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
3.32860660552977,10.7088606357574,71.3895185441304,7.34517752556962e-12,5.95987704424719e-09,17.9105839213702,"ISG20_HUMAN",11,64.4409756457928,2.86015734451643e-12,1.36513627608272e-09,-0.00947952270507635,"Non-significant",8.86482399258176,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
3.24303221702574,10.0214322805405,58.4577358645776,3.25948084508588e-11,1.39196987247509e-08,16.6333094486954,"CMPK2_HUMAN",26,61.9648910768982,3.92619100319826e-12,1.76983965555281e-09,0.405185461044324,"Non-significant",8.75206607819356,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
1.56604933738708,11.8736182451248,50.726932853446,9.37953535932668e-11,3.60577885718608e-08,15.658465368383,"SAMH1_HUMAN",38,60.756990390624,4.60349740988608e-12,1.96593568335872e-09,-0.0721607208251944,"Non-significant",8.7064306944486,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
-1.63584089279178,14.60715675354,-49.9915793307187,1.04572801506435e-10,3.60577885718608e-08,15.5553409962896,"FIBB_HUMAN",38,-58.8421545495843,5.96362974202168e-12,2.4194445863382e-09,0.165755987167358,"Non-significant",8.61628432028945,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
1.68872857093813,10.9132152795792,60.7256857262062,2.45429468160611e-11,1.10634150258622e-08,16.8858621014352,"T23O_HUMAN",17,57.8458232528298,6.84630587869336e-12,2.64528218570085e-09,-0.2017869949341,"Non-significant",8.57752799275699,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN"
1.08895874023435,11.0046787261963,38.2083951273042,7.7299294098105e-10,2.16278093900698e-07,13.5816990145533,"PAR14_HUMAN",91,53.9880622171969,1.19586314659838e-11,4.41056071431783e-09,0.0941791534423722,"Non-significant",8.35550619519101,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN"
3.42556214332582,11.7042135000229,50.2561037250785,1.00541921098454e-10,3.60577885718608e-08,15.5926665851702,"OAS1_HUMAN",20,52.1578745524993,1.58011428195284e-11,5.57436838424581e-09,0.112722039222715,"Non-significant",8.25380433415902,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
0.752314329147351,12.0515414476395,31.0178071531916,3.63575368658075e-09,7.02392986021814e-07,11.9754578100254,"TENS1_HUMAN",76,51.0160332705387,1.88948069503642e-11,6.26702894907073e-09,-0.0941123962402486,"Non-significant",8.20293829917387,"TNS1","Tensin-1","TENS1_HUMAN"
1.12877082824708,10.864449262619,36.420486314419,1.10374911075057e-09,2.88897428536457e-07,13.2172546959208,"RN213_HUMAN",232,50.8791596288097,1.93093078292788e-11,6.26702894907073e-09,-0.593165874481198,"Up in BT",8.20293829917387,"RNF213","E3 ubiquitin-protein ligase RNF213","RN213_HUMAN"
2.39906930923463,11.4433505535126,44.0077891170741,2.70185195567977e-10,8.43185644937909e-08,14.6357971535675,"DDX60_HUMAN",75,48.8029262095808,2.70333043851816e-11,8.43647045312936e-09,-0.0606777667999303,"Non-significant",8.07383921016759,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
2.76030731201172,10.1505947113037,42.5472118566203,3.47332598608923e-10,1.006520251826e-07,14.3870700176109,"IFIH1_HUMAN",45,45.8102939868072,4.50593694551091e-11,1.3541174954028e-08,0.312824010848974,"Non-significant",7.86834365072383,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
2.2136812210083,12.8798508644104,48.0786722513721,1.39834123877014e-10,4.53845632455237e-08,15.2774902616392,"UB2L6_HUMAN",12,44.4985079450866,5.6967004991338e-11,1.65082242321327e-08,0.0337550640106308,"Non-significant",7.78229964070833,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
0.944321393966675,13.0232862234116,36.6104000342843,1.06190483587464e-09,2.87209861276227e-07,13.2569584402412,"HOIL1_HUMAN",29,43.3436661580467,7.04328418763625e-11,1.97066234132692e-08,-0.260145664215075,"Non-significant",7.70538778255004,"RBCK1","RanBP-type and C3HC4-type zinc finger-containing protein 1","HOIL1_HUMAN"
0.687725543975823,11.6971061229706,27.9665051203257,7.83239689877822e-09,1.19909563088088e-06,11.1609229548778,"DSRAD_HUMAN",59,42.3809496302402,8.442630629763e-11,2.2834501643299e-08,1.31436157226565,"Up in D",7.64140846231085,"ADAR","Double-stranded RNA-specific adenosine deaminase","DSRAD_HUMAN"
1.2555012702942,16.3109366893768,43.6089692387396,2.89125665264232e-10,8.68876165908881e-08,14.5689118759461,"HLAA_HUMAN",17,41.7700059832762,9.49178580058063e-11,2.4843983866423e-08,0.226701736450192,"Non-significant",7.60477876145538,"HLA-A","HLA class I histocompatibility antigen, A alpha chain","HLAA_HUMAN"
0.975282192230248,12.0058879852295,32.9830921704286,2.30479169421434e-09,5.4173956592956e-07,12.4539799538272,"PML_HUMAN",44,41.1951517505787,1.06143011186513e-10,2.69138872739802e-08,-0.0163912773132253,"Non-significant",7.57002357092018,"PML","Protein PML","PML_HUMAN"
-0.834237337112455,13.1276408433914,-27.8581066935817,8.06090253310758e-09,1.21122524358583e-06,11.1302062718731,"FAT1_HUMAN",153,-39.3132313461958,1.54754463449621e-10,3.8050839891825e-08,0.333033084869399,"Non-significant",7.41963575265532,"FAT1","Protocadherin Fat 1","FAT1_HUMAN"
2.1258566379547,11.1336041688919,57.1508017185544,3.85778408825151e-11,1.56510300460364e-08,16.4813839582506,"PLS1_HUMAN",7,39.1082447349017,1.61416052648388e-10,3.85214662114417e-08,-0.00687336921689941,"Non-significant",7.41429719103297,"PLSCR1","Phospholipid scramblase 1","PLS1_HUMAN"
0.989133119583126,13.8804904222488,32.3737979144767,2.64686497572764e-09,5.74137032646349e-07,12.3091555257798,"PLOD2_HUMAN",38,38.9067830766916,1.68278386862447e-10,3.90117380286255e-08,0.138647079467775,"Non-significant",7.40880470081799,"PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","PLOD2_HUMAN"
-0.533721446990976,12.6368358135224,-21.332411532133,5.78522798028295e-08,5.10231954695825e-06,8.9981726839089,"LRP1_HUMAN",189,-38.6044265595311,1.79200928441515e-10,4.03898981492904e-08,0.24087381362915,"Non-significant",7.39372724198369,"LRP1","Prolow-density lipoprotein receptor-related protein 1","LRP1_HUMAN"
0.784984111785901,11.9004244804382,28.7431266970608,6.39418669915747e-09,1.05882511993804e-06,11.377245233279,"DTX3L_HUMAN",43,37.1457685574117,2.44426988836879e-10,5.36021780384442e-08,-0.0548577308654821,"Non-significant",7.2708175630897,"DTX3L","E3 ubiquitin-protein ligase DTX3L","DTX3L_HUMAN"
4.74411153793336,8.89610195159912,35.0220095761506,1.47640095063028e-09,3.7435991604419e-07,12.9172201079914,"IFI44_HUMAN",27,36.5958263661265,2.75638066975621e-10,5.88559809326366e-08,-0.590553998947149,"Up in BT",7.23020939766238,"IFI44","Interferon-induced protein 44","IFI44_HUMAN"
1.04882049560547,10.3303911685944,31.9000678486607,2.95281913684441e-09,6.14337807086039e-07,12.1943985539515,"VLDLR_HUMAN",32,36.4723713073487,2.83244706947787e-10,5.89294244147269e-08,-0.0460543632507253,"Non-significant",7.22966780079741,"VLDLR","Very low-density lipoprotein receptor","VLDLR_HUMAN"
1.80260562896729,10.1492357254028,33.4620633796655,2.07086335192739e-09,5.09181370834509e-07,12.5657023367484,"GBP4_HUMAN",27,35.6099838257434,3.43454061387037e-10,6.96696563523604e-08,0.0626533031463268,"Non-significant",7.15695633163052,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN"
1.02693939208983,11.978423833847,31.6514147821659,3.12932650008384e-09,6.34783880542006e-07,12.1333904045361,"RO52_HUMAN",27,35.0713503326328,3.88305514167322e-10,7.51140495963254e-08,-0.152740240097051,"Non-significant",7.12427882342881,"TRIM21","E3 ubiquitin-protein ligase TRIM21","RO52_HUMAN"
-0.388246774673462,9.45641982555389,-16.5448378104262,3.72571486346632e-07,2.41843603217326e-05,6.94838747450217,"AKAP9_HUMAN",185,-35.0657155134161,3.88808242919111e-10,7.51140495963254e-08,-0.106522798538201,"Non-significant",7.12427882342881,"AKAP9","A-kinase anchor protein 9","AKAP9_HUMAN"
1.40041279792785,11.7451919317246,32.7944107226726,2.40505488694734e-09,5.42072648685854e-07,12.4094595430057,"TAP2_HUMAN",22,34.3819511824896,4.55608236056671e-10,8.59722145898565e-08,-0.00823855400087581,"Non-significant",7.06564188596656,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN"
2.63326096534727,9.63259375095366,32.921841403602,2.33681104357094e-09,5.4173956592956e-07,12.4395593958064,"IRF9_HUMAN",16,33.7500877843423,5.28974121904215e-10,9.7547636934791e-08,-0.153684139251711,"Non-significant",7.01078324680879,"IRF9","Interferon regulatory factor 9","IRF9_HUMAN"
-2.78647875785825,10.4729179143905,-32.305238990141,2.68883500623136e-09,5.74137032646349e-07,12.2926659273124,"TSP4_HUMAN",21,-33.6384702247192,5.43266920706155e-10,9.7703319394917e-08,-0.339165449142451,"Non-significant",7.01009068121053,"THBS4","Thrombospondin-4","TSP4_HUMAN"
1.19164657592771,10.4157078266144,29.5233475630821,5.24318956653048e-09,8.8954068314835e-07,11.5881822367201,"PAR10_HUMAN",43,33.55754281244,5.53900997309118e-10,9.7703319394917e-08,-0.167772531509424,"Non-significant",7.01009068121053,"PARP10","Protein mono-ADP-ribosyltransferase PARP10","PAR10_HUMAN"
1.83278107643131,10.9594386816025,31.0576138335005,3.60133316794614e-09,7.02392986021814e-07,11.9854863697635,"SLFN5_HUMAN",37,33.4463976643944,5.68888701318782e-10,9.82119770744807e-08,-0.196191310882568,"Non-significant",7.0078355462235,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
2.15055024623871,8.63676601648331,30.8498746256591,3.78512568301658e-09,7.03291729859009e-07,11.9329907767342,"SAMD9_HUMAN",42,33.0104885554328,6.32227461332657e-10,1.06872783776108e-07,-0.158182859420799,"Non-significant",6.97113287814715,"SAMD9","Sterile alpha motif domain-containing protein 9","SAMD9_HUMAN"
1.16729259490966,10.0487961769104,27.6476234720224,8.52650865526655e-09,1.23543020051487e-06,11.0701870519468,"TDRD7_HUMAN",52,31.5574447153808,9.08088144244862e-10,1.49587055941289e-07,-0.0551075935363752,"Non-significant",6.82510598519138,"TDRD7","Tudor domain-containing protein 7","TDRD7_HUMAN"
1.11827492713922,14.8599742650986,29.9815565542796,4.67753872997597e-09,8.43412205667222e-07,11.7092035897232,"GBP1_HUMAN",22,31.4987520348569,9.21783682162243e-10,1.49587055941289e-07,0.00572204589843395,"Non-significant",6.82510598519138,"GBP1","Guanylate-binding protein 1","GBP1_HUMAN"
1.31436157226565,11.7515721321106,29.7777259851747,4.92015765989765e-09,8.67873027226295e-07,11.6556236946049,"5NT3A_HUMAN",23,31.4010892429212,9.45089626882327e-10,1.50361906520063e-07,-0.0955243110656738,"Non-significant",6.82286217626832,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN"
0.766189098358149,11.5805542469025,26.6427300768105,1.12143881039753e-08,1.51655908459426e-06,10.7766114948943,"OGFR_HUMAN",31,31.2203601250363,9.89984001976946e-10,1.51762111999188e-07,-0.028444290161131,"Non-significant",6.81883663821315,"OGFR","Opioid growth factor receptor","OGFR_HUMAN"
1.3224558830261,11.4790847301483,30.8185419558854,3.81375845622337e-09,7.03291729859009e-07,11.92503863568,"APOL3_HUMAN",18,31.2152098312432,9.91297995557922e-10,1.51762111999188e-07,0.362041950225827,"Non-significant",6.81883663821315,"APOL3","Apolipoprotein L3","APOL3_HUMAN"
1.57678604125977,11.6026690006256,29.5088911288862,5.26225693753029e-09,8.8954068314835e-07,11.5843301705117,"E2AK2_HUMAN",23,30.9934256717437,1.04978327146655e-09,1.57739656753326e-07,-0.176627397537199,"Non-significant",6.80205910854802,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN"
0.646677494049078,12.5665299892426,22.5215269385453,3.87966766523878e-08,3.88637326367252e-06,9.43412663121807,"LIMC1_HUMAN",62,30.1768979738804,1.30104492222863e-09,1.91939609072057e-07,-0.0319335460662753,"Non-significant",6.7168353940692,"LIMCH1","LIM and calponin homology domains-containing protein 1","LIMC1_HUMAN"
1.3268508911133,11.1686768531799,28.3715522104309,7.04117587071731e-09,1.1426420203e-06,11.2745572598066,"TAP1_HUMAN",24,30.0291880517068,1.35336714636318e-09,1.96093232599836e-07,-0.0442242622375435,"Non-significant",6.7075373940694,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN"
1.2185342311859,9.9328886270523,27.9916579654307,7.78042887993268e-09,1.19909563088088e-06,11.1680318536883,"PLIN2_HUMAN",25,29.8628915914613,1.41511937453385e-09,2.01443484297678e-07,0.0306026935577357,"Non-significant",6.69584677533109,"PLIN2","Perilipin-2","PLIN2_HUMAN"
0.790485858917224,15.2226951122284,25.9455840023736,1.36443319624538e-08,1.72984546161484e-06,10.5658045847305,"TYPH_HUMAN",30,29.7525163325282,1.4578508409792e-09,2.024789170114e-07,0.0133094787597496,"Non-significant",6.69362019073221,"TYMP","Thymidine phosphorylase","TYPH_HUMAN"
-1.19726729393007,10.619463801384,-27.0832669067522,9.93279942169054e-09,1.38956438806202e-06,10.9067690977902,"TRFL_HUMAN",33,-29.7160092656267,1.47230171354112e-09,2.024789170114e-07,-0.0685582160949494,"Non-significant",6.69362019073221,"LTF","Lactotransferrin","TRFL_HUMAN"
-0.673917293548575,15.8042080402374,-25.26742754549,1.65954749390719e-08,2.0716259023943e-06,10.3548059164776,"APOE_HUMAN",29,-29.6354703842532,1.50475417210777e-09,2.02569105181842e-07,-0.0443539619445996,"Non-significant",6.69342679032902,"APOE","Apolipoprotein E","APOE_HUMAN"
0.636342287063604,9.64662659168244,23.3843324084434,2.94025362432379e-08,3.11380718643057e-06,9.73564839434954,"FIL1L_HUMAN",39,29.5913106857632,1.52288826917579e-09,2.02569105181842e-07,0.325347900390629,"Non-significant",6.69342679032902,"FILIP1L","Filamin A-interacting protein 1-like","FIL1L_HUMAN"
0.672403812408476,13.5926861763,24.2117365280841,2.27468170542856e-08,2.56343991081212e-06,10.0139859462448,"PFKAP_HUMAN",34,29.3618642626604,1.62114844761674e-09,2.12161266192939e-07,-0.0488529205322497,"Non-significant",6.67333390136843,"PFKP","ATP-dependent 6-phosphofructokinase, platelet type","PFKAP_HUMAN"
0.956871509552002,10.0955243110657,27.7859900326782,8.21710783459327e-09,1.21224750854345e-06,11.1096981967105,"LX15B_HUMAN",22,29.2368607174642,1.67766311640389e-09,2.1607235756351e-07,-0.0292432308197252,"Non-significant",6.66540078945876,"ALOX15B","Polyunsaturated fatty acid lipoxygenase ALOX15B","LX15B_HUMAN"
0.797465562820447,16.1182492971421,24.6546642421164,1.98962796503492e-08,2.37409431004313e-06,10.1588724416691,"AMPL_HUMAN",38,29.1143614126753,1.73519945667782e-09,2.19990756116935e-07,0.00303912162780051,"Non-significant",6.65759556759484,"LAP3","Cytosol aminopeptidase","AMPL_HUMAN"
-0.599614381790175,15.01737844944,-20.4966258269318,7.76252931516191e-08,6.3621376629519e-06,8.67641054448878,"CO3_HUMAN",111,-28.8638933129433,1.85986757878157e-09,2.32168700526671e-07,0.0734226703643817,"Non-significant",6.63419632940703,"C3","Complement C3","CO3_HUMAN"
0.811580896377574,11.5474017858505,24.5401683883479,2.05922919171084e-08,2.42153415384663e-06,10.1216864608652,"PARP9_HUMAN",37,28.6874266623851,1.95373912355972e-09,2.40191503766115e-07,0.082426786422749,"Non-significant",6.61944235885132,"PARP9","Protein mono-ADP-ribosyltransferase PARP9","PARP9_HUMAN"
-0.503472089767481,12.478724360466,-20.2377265005878,8.52276483922917e-08,6.77977587308878e-06,8.57399360207042,"CSDE1_HUMAN",47,-28.476904691982,2.07275373019958e-09,2.51019757714021e-07,0.000107288360574387,"Non-significant",6.60029209394337,"CSDE1","Cold shock domain-containing protein E1","CSDE1_HUMAN"
1.69616150856018,9.28618490695954,28.0978934409592,7.56520318355229e-09,1.19909563088088e-06,11.1979800116927,"TREX1_HUMAN",15,28.2402364704986,2.21636845473129e-09,2.64464906495437e-07,-0.297036409378075,"Non-significant",6.57763194905996,"TREX1","Three-prime repair exonuclease 1","TREX1_HUMAN"
1.2514202594757,10.4450157880783,26.5452929706443,1.15225342944159e-08,1.53268595516214e-06,10.7475085121193,"IFIT5_HUMAN",24,28.088891379565,2.31405133339546e-09,2.72119022016967e-07,-0.0156459808349467,"Non-significant",6.56524109854271,"IFIT5","Interferon-induced protein with tetratricopeptide repeats 5","IFIT5_HUMAN"
-0.564873456954977,11.5093032121658,-19.1470166950469,1.28005880923682e-07,9.52880475059409e-06,8.1272877653526,"VP13C_HUMAN",153,-27.3694506109449,2.84964204119749e-09,3.30314221746807e-07,0.089807510375973,"Non-significant",6.48107272726773,"VPS13C","Intermembrane lipid transfer protein VPS13C","VP13C_HUMAN"
0.720719575881951,10.5737785100937,22.8442791297659,3.49328682299495e-08,3.58791509895962e-06,9.54831500530998,"TRFM_HUMAN",39,27.2912744395379,2.91578410977223e-09,3.32033990892813e-07,-0.116318225860599,"Non-significant",6.47881745454431,"MELTF","Melanotransferrin","TRFM_HUMAN"
0.857816934585546,11.6897655725479,23.4514605933124,2.87871819889095e-08,3.11380718643057e-06,9.7586151187685,"UBA7_HUMAN",43,27.2284688527098,2.97017092629631e-09,3.32033990892813e-07,0.0788787603378323,"Non-significant",6.47881745454431,"UBA7","Ubiquitin-like modifier-activating enzyme 7","UBA7_HUMAN"
-0.871323108673096,11.901106595993,-26.1544601335289,1.28587496880795e-08,1.65612531696948e-06,10.6296008984723,"HRG_HUMAN",21,-27.2090210761251,2.98724196884094e-09,3.32033990892813e-07,0.0343039035797492,"Non-significant",6.47881745454431,"HRG","Histidine-rich glycoprotein","HRG_HUMAN"
-0.843816041946424,12.3341037034988,-25.0898203535811,1.74835744179357e-08,2.1494200428353e-06,10.2985421836348,"RIR2B_HUMAN",23,-26.7025423349406,3.47305844173677e-09,3.80816164814219e-07,0.00676155090332209,"Non-significant",6.41928462504435,"RRM2B","Ribonucleoside-diphosphate reductase subunit M2 B","RIR2B_HUMAN"
0.471168756484975,11.2639871835709,18.6011384786568,1.58240985030153e-07,1.16724304775878e-05,7.89390856813453,"ZCCHV_HUMAN",51,26.3630348590352,3.84825667123906e-09,4.16330061739116e-07,1.15276849269867,"Up in D",6.38056222909388,"ZC3HAV1","Zinc finger CCCH-type antiviral protein 1","ZCCHV_HUMAN"
-0.590553998947145,11.7409328222275,-22.041149613653,4.54775332493611e-08,4.24143338833697e-06,9.2609633163809,"A0AAG2UXZ5_HUMAN",30,-26.1006022545113,4.16954359555695e-09,4.45153641241435e-07,0.301879167556757,"Non-significant",6.35149006985698,"COL18A1","Collagen type XVIII alpha 1 chain;Collagen alpha-1(XVIII) chain","A0AAG2UXZ5_HUMAN"
1.80489349365235,10.9142415523529,26.3148799947002,1.22901230608311e-08,1.60842029863845e-06,10.6782255598428,"NAT8_HUMAN",11,25.522199204195,4.98962279726311e-09,5.25789602298609e-07,-0.14391827583313,"Non-significant",6.27918800649323,"NAT8","N-acetyltransferase 8","NAT8_HUMAN"
0.910027027130154,11.9763505458832,23.3277214052034,2.99330737665251e-08,3.11380718643057e-06,9.71622587429594,"NUB1_HUMAN",27,25.3378435963713,5.28793123559951e-09,5.50080436482749e-07,-0.0779393911361677,"Non-significant",6.25957380038503,"NUB1","NEDD8 ultimate buster 1","NUB1_HUMAN"
0.566706180572524,10.7545325756073,19.5220322567159,1.11024963594911e-07,8.34126439452878e-06,8.28373982362845,"KANK1_HUMAN",51,25.2228416608538,5.48413291151751e-09,5.63269043595608e-07,-0.207984924316403,"Non-significant",6.24928411626871,"KANK1","KN motif and ankyrin repeat domain-containing protein 1","KANK1_HUMAN"
-0.361290931701678,17.0126695632935,-14.0638269196557,1.21182174576817e-06,6.14545102822683e-05,5.63979375041524,"AHNK_HUMAN",315,-25.146041431994,5.61970605232984e-09,5.69978686357554e-07,-0.220811843872076,"Non-significant",6.24414138392464,"AHNAK","Neuroblast differentiation-associated protein AHNAK","AHNK_HUMAN"
2.15462589263915,12.5030026435852,49.8595163168667,1.06653552591158e-10,3.60577885718608e-08,15.5366088377122,"HLAB_HUMAN",2,24.9900542914197,5.90679939712877e-09,5.89230236241759e-07,0.0141916275024752,"Non-significant",6.22971497551572,"HLA-B","HLA class I histocompatibility antigen, B alpha chain","HLAB_HUMAN"
-0.279625415802023,14.2424266338348,-12.4705786547636,2.87820312989487e-06,0.000119762770235728,4.67686830075427,"LPPRC_HUMAN",87,-24.9648290401062,5.95475466746663e-09,5.89230236241759e-07,-0.0578835010528493,"Non-significant",6.22971497551572,"LRPPRC","Leucine-rich PPR motif-containing protein, mitochondrial","LPPRC_HUMAN"
0.625741720199574,16.3152762651443,21.3626031718642,5.72531642854975e-08,5.10231954695825e-06,9.00955091640179,"ALDOA_HUMAN",29,24.500139468794,6.92120382698727e-09,6.68734508842966e-07,0.00141811370849965,"Non-significant",6.1747462652353,"ALDOA","Fructose-bisphosphate aldolase A","ALDOA_HUMAN"
0.702080011367773,10.1354056596756,22.4163997254183,4.01579834659387e-08,3.97080492235767e-06,9.39656292105431,"TLR3_HUMAN",25,24.4851389272839,6.95520993979556e-09,6.68734508842966e-07,-0.298834323883058,"Non-significant",6.1747462652353,"TLR3","Toll-like receptor 3","TLR3_HUMAN"
-0.867628097534174,11.4187545776367,-21.0349464730159,6.41503281658505e-08,5.53740173125224e-06,8.88516899252408,"CO5_HUMAN",67,-24.4631159094192,7.00547612172198e-09,6.68734508842966e-07,-0.57509219646454,"Up in BT",6.1747462652353,"C5","Complement C5","CO5_HUMAN"
1.27364087104796,9.37728106975555,23.3279558399157,2.9930854496555e-08,3.11380718643057e-06,9.71630640822252,"MLKL_HUMAN",19,24.0292186536821,8.08389533169183e-09,7.62706124666832e-07,0.676179885864299,"Up in D",6.11764276613478,"MLKL","Mixed lineage kinase domain-like protein","MLKL_HUMAN"
-0.343319892883301,16.2538027763367,-13.6588076684636,1.49637848467531e-06,7.31422591846716e-05,5.40520098755305,"FAS_HUMAN",149,-23.8430594226379,8.60272554120081e-09,8.02327759095441e-07,0.143655538558951,"Non-significant",6.09564818173067,"FASN","Fatty acid synthase","FAS_HUMAN"
