"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-2.48116159439085,9.70864343643187,-65.9426397122297,1.23790865529864e-11,8.95153964282224e-09,17.3704793878993,"IRF9_HUMAN",16,-65.388642918165,3.32871648006581e-12,1.929228965661e-09,-0.102893590927151,"Non-significant",8.71461622615493,"IRF9","Interferon regulatory factor 9","IRF9_HUMAN"
-3.24916648864744,10.7485806941986,-55.3945752220224,4.55944315983252e-11,2.46635478659207e-08,16.265220437755,"ISG20_HUMAN",11,-52.9395143156089,1.796891093458e-11,9.71998288821211e-09,0.194225072860725,"Non-significant",8.01233449963768,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
-1.79403734207157,10.9788105487824,-45.7856063560904,1.89358521580488e-10,9.03797084767104e-08,14.9581240107837,"SLFN5_HUMAN",37,-51.7204773187724,2.16395853768752e-11,1.09739747342479e-08,-0.26176047325135,"Non-significant",7.95963604402962,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
-1.58408093452453,11.8646024465561,-41.6926110668875,3.81053133079536e-10,1.53635020020927e-07,14.2844322390506,"SAMH1_HUMAN",38,-47.5040169246449,4.26424695456984e-11,1.97696145923461e-08,-0.231641769409178,"Non-significant",7.70400179715314,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
-1.13735795021057,11.9248501062393,-37.8966498281594,7.76869277994774e-10,2.62646555068733e-07,13.5801566688852,"PML_HUMAN",44,-47.3370605795727,4.38566752110216e-11,1.97696145923461e-08,0.0841853618621489,"Non-significant",7.70400179715314,"PML","Protein PML","PML_HUMAN"
-1.41803073883058,11.1230869293213,-41.5093745525404,3.93790291179762e-10,1.53635020020927e-07,14.2523059035237,"TAP1_HUMAN",24,-45.2384098675933,6.29592272440159e-11,2.68869036767339e-08,0.0829420089721671,"Non-significant",7.57045920869284,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN"
-2.1395936012268,10.1767737865448,-39.8260789015366,5.36349288338165e-10,1.89214701111994e-07,13.9485704407883,"HELZ2_HUMAN",117,-44.2350458309858,7.52847270884777e-11,3.05430137797954e-08,-0.070568323135376,"Non-significant",7.51508811189788,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
-1.43017292022707,11.675975561142,-40.2953898721084,4.9145034689872e-10,1.81255823397101e-07,14.0348479604151,"E2AK2_HUMAN",23,-43.3814779753167,8.79328203774996e-11,3.37238506423138e-08,0.248442888259877,"Non-significant",7.47206284278895,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN"
-2.21896696090698,12.8772079944611,-45.2722931098538,2.05996291697526e-10,9.28585506018735e-08,14.8780013449754,"UB2L6_HUMAN",12,-42.9911877984095,9.44994954836207e-11,3.37238506423138e-08,0.104954719543478,"Non-significant",7.47206284278895,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
-0.880795955657973,13.0550489425659,-34.8915238656407,1.43837388175459e-09,4.02447092295059e-07,12.958321509906,"HOIL1_HUMAN",29,-42.9291158698974,9.55938581184639e-11,3.37238506423138e-08,0.235693454742435,"Non-significant",7.47206284278895,"RBCK1","RanBP-type and C3HC4-type zinc finger-containing protein 1","HOIL1_HUMAN"
-1.30972361564638,16.2838255167007,-41.455510105798,3.9762576046826e-10,1.53635020020927e-07,14.2428278766897,"HLAA_HUMAN",17,-41.3261079618415,1.29453899366041e-10,4.3766205810669e-08,0.0266785621642995,"Non-significant",7.35886110170567,"HLA-A","HLA class I histocompatibility antigen, A alpha chain","HLAA_HUMAN"
-1.2243552207947,11.7965753078461,-36.6531672988646,9.96334830596561e-10,3.10933108286942e-07,13.3303233134294,"5NT3A_HUMAN",23,-39.6801412956749,1.78940350294931e-10,5.80768800917227e-08,0.200222134590147,"Non-significant",7.23599672211758,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN"
-1.0149068832397,11.0417046546936,-30.7324978025328,3.70142706828622e-09,8.5809654948784e-07,11.9844804834466,"PAR14_HUMAN",91,-39.1065359246792,2.00939640068306e-10,6.27086245967014e-08,0.130950689315798,"Non-significant",7.20267272460519,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN"
0.793390274047876,11.2152335643768,27.0897452598293,9.45552901351236e-09,1.69697130473507e-06,10.9986201879204,"CGNL1_HUMAN",84,36.9298935182359,3.16992394491954e-10,9.52620847743598e-08,-0.4664442539215,"Non-significant",7.02107991835148,"CGNL1","Cingulin-like protein 1","CGNL1_HUMAN"
-1.24132442474364,10.0117802619934,-30.9788382056975,3.48793232404332e-09,8.57608572039015e-07,12.0463171651858,"TDRD7_HUMAN",52,-35.6475712159056,4.19919496958217e-10,1.19422120368137e-07,0.00995373725889515,"Non-significant",6.92291522208401,"TDRD7","Tudor domain-containing protein 7","TDRD7_HUMAN"
-1.5042881965637,11.6932542324066,-33.741178342106,1.84654711530214e-09,4.9942944311872e-07,12.7031208188174,"TAP2_HUMAN",22,-35.5745737760191,4.26822959166377e-10,1.19422120368137e-07,0.06953024864195,"Non-significant",6.92291522208401,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN"
-1.20923924446106,9.52964603900909,-36.7087408914293,9.85142460994021e-10,3.10933108286942e-07,13.3417071310486,"TREX1_HUMAN",15,-35.1599262327805,4.68542247449672e-10,1.26725059860221e-07,-1.2243552207947,"Up in D",6.8971374949599,"TREX1","Three-prime repair exonuclease 1","TREX1_HUMAN"
-2.06645250320434,10.7834620475769,-36.3328403446127,1.06372536961141e-09,3.19669172186185e-07,13.2642980736709,"NAT8_HUMAN",11,-34.5642785548833,5.36738770754048e-10,1.40487044706398e-07,0.109410285949707,"Non-significant",6.85236372324602,"NAT8","N-acetyltransferase 8","NAT8_HUMAN"
-1.10233902931212,10.8776651620865,-28.0477315209533,7.30420795031166e-09,1.37828705369369e-06,11.2716849597583,"RN213_HUMAN",232,-33.8965621146556,6.26792749914395e-10,1.55268162529368e-07,-0.0416352748871009,"Non-significant",6.80891758648201,"RNF213","E3 ubiquitin-protein ligase RNF213","RN213_HUMAN"
-0.7416203022003,11.922106385231,-26.3466359635746,1.1624286277665e-08,1.96498872618696e-06,10.7793393046023,"DTX3L_HUMAN",43,-33.8647943860595,6.3148254417909e-10,1.55268162529368e-07,-0.905874252319325,"Up in D",6.80891758648201,"DTX3L","E3 ubiquitin-protein ligase DTX3L","DTX3L_HUMAN"
-1.13414120674134,10.3031350374222,-29.0363517901306,5.64618775003822e-09,1.1173943269222e-06,11.5427813706648,"CMTR1_HUMAN",42,-33.149999091412,7.48184367819036e-10,1.78551998837755e-07,0.0424256324767747,"Non-significant",6.74823528364343,"CMTR1","Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1","CMTR1_HUMAN"
1.00390744209295,11.967398762703,31.0027418468646,3.46796904727125e-09,8.57608572039015e-07,12.0522874905122,"HRG_HUMAN",21,32.9203862261504,7.90677240948983e-10,1.83301575230287e-07,-0.017954349517824,"Non-significant",6.7368338028453,"HRG","Histidine-rich glycoprotein","HRG_HUMAN"
1.08636093139645,11.9488949775696,30.19926261095,4.21623253930097e-09,9.13341110778611e-07,11.8486651256859,"APOA5_HUMAN",23,32.4751934059226,8.81025288125362e-10,1.93805192820175e-07,-0.678184151649475,"Up in D",6.71263459063441,"APOA5","Apolipoprotein A-V","APOA5_HUMAN"
-1.65453386306762,11.5402386188507,-30.1484740023404,4.26935705439581e-09,9.13341110778611e-07,11.8355868584617,"STAT2_HUMAN",35,-32.4625499031441,8.83755500905406e-10,1.93805192820175e-07,-0.204785108566282,"Non-significant",6.71263459063441,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN"
-1.01052427291868,11.9866313934326,-29.0872981177725,5.57307647166475e-09,1.1173943269222e-06,11.5564698892242,"RO52_HUMAN",27,-32.3300222272717,9.1295288622219e-10,1.94406622552066e-07,0.498583793640149,"Non-significant",6.71128894471412,"TRIM21","E3 ubiquitin-protein ligase TRIM21","RO52_HUMAN"
-0.733260154724102,10.3947021961212,-26.4164387424767,1.13982285998905e-08,1.96498872618696e-06,10.8002251562705,"ITA2_HUMAN",32,-32.1866733016788,9.45761500978155e-10,1.94406622552066e-07,0.129646778106675,"Non-significant",6.71128894471412,"ITGA2","Integrin alpha-2","ITA2_HUMAN"
-1.1101610660553,12.6221290826798,-30.7420975843521,3.69283517813669e-09,8.5809654948784e-07,11.9869008417228,"LG3BP_HUMAN",20,-32.1330378933851,9.58376251180999e-10,1.94406622552066e-07,-0.132787466049177,"Non-significant",6.71128894471412,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
-0.798419952392599,11.553982257843,-26.1100731795209,1.24290157828922e-08,2.05814355229363e-06,10.708102358589,"PARP9_HUMAN",37,-31.537608929965,1.11189058908527e-09,2.2004585950824e-07,0.218472480773926,"Non-significant",6.65748679892399,"PARP9","Protein mono-ADP-ribosyltransferase PARP9","PARP9_HUMAN"
0.653470516204827,17.1405408382416,24.0506736264837,2.28556812106148e-08,3.31162495255229e-06,10.0565441549145,"SBP1_HUMAN",39,30.9318375074431,1.29703891483836e-09,2.50575565595202e-07,0.244305133819575,"Non-significant",6.60106128068643,"SELENBP1","Methanethiol oxidase","SBP1_HUMAN"
0.522341251373305,16.3433134555817,19.4693875597258,1.08884486411956e-07,1.17798496366215e-05,8.36450963048836,"FAS_HUMAN",149,30.2249563615056,1.55833149392921e-09,2.94053528877712e-07,0.0487835407257258,"Non-significant",6.53157360434927,"FASN","Fatty acid synthase","FAS_HUMAN"
-0.923025846481298,11.9698511362076,-27.026722211077,9.62049297730012e-09,1.69697130473507e-06,10.9802820011058,"NUB1_HUMAN",27,-30.1221792217729,1.60103717090877e-09,2.95245809198949e-07,0.455435991287226,"Non-significant",6.52981625816724,"NUB1","NEDD8 ultimate buster 1","NUB1_HUMAN"
-1.9072299003601,11.9329290390015,-35.4315593974594,1.28279045163461e-09,3.71734347305829e-07,13.0747069504366,"BST2_HUMAN",7,-29.3637364736982,1.96013974070086e-09,3.53434974578817e-07,0.352466583251974,"Non-significant",6.45169047657508,"BST2","Bone marrow stromal antigen 2","BST2_HUMAN"
-0.941782951354973,11.2866880893707,-28.3560124826381,6.73433141575478e-09,1.30100869303415e-06,11.3573546413613,"T23O_HUMAN",17,-28.3609070648577,2.58215562058202e-09,4.55469797943533e-07,-0.0128014087676753,"Non-significant",6.34154041566427,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN"
-4.13216340541841,9.00422245264054,-27.253398358248,9.04191546752742e-09,1.66741141144358e-06,11.0460197537425,"OASL_HUMAN",28,-28.2676922468733,2.6504449228677e-09,4.57568300088267e-07,0.186091184616089,"Non-significant",6.33954407069584,"OASL","2'-5'-oligoadenylate synthase-like protein","OASL_HUMAN"
-2.25623321533203,11.0684158802032,-31.1293720862896,3.36434768773531e-09,8.57608572039015e-07,12.0838276470895,"PLS1_HUMAN",7,-28.1471389723442,2.74179201064404e-09,4.63477091132619e-07,0.121667623519899,"Non-significant",6.33397172741069,"PLSCR1","Phospholipid scramblase 1","PLS1_HUMAN"
-1.04327559471131,10.5313538312912,-24.9477569985112,1.74232042579792e-08,2.66739394998573e-06,10.3475294913944,"PAR12_HUMAN",33,-27.6091527779967,3.19498557112017e-09,5.29063529062634e-07,-0.14499616622925,"Non-significant",6.27649217547942,"PARP12","Protein mono-ADP-ribosyltransferase PARP12","PAR12_HUMAN"
-0.905874252319325,11.3619704246521,-25.5940828382556,1.44129040709366e-08,2.24896737753038e-06,10.5502376004542,"5NTD_HUMAN",22,-27.3175715604498,3.47542810492262e-09,5.63992472866843e-07,-0.304281234741207,"Non-significant",6.24872669214114,"NT5E","5'-nucleotidase","5NTD_HUMAN"
-0.796553373336748,11.7203973531723,-22.9925428841968,3.18911818450035e-08,4.38584829644675e-06,9.69794584589185,"UBA7_HUMAN",43,-27.1364221218911,3.66355040717745e-09,5.6977883652366e-07,0.0738580226897998,"Non-significant",6.24429368593488,"UBA7","Ubiquitin-like modifier-activating enzyme 7","UBA7_HUMAN"
-0.645828723907455,15.3275444507599,-21.4212016498211,5.38218885816089e-08,6.5180717007638e-06,9.13170536865505,"AMPN_HUMAN",49,-27.0894540627895,3.71417630195697e-09,5.6977883652366e-07,-0.0271313190460187,"Non-significant",6.24429368593488,"ANPEP","Aminopeptidase N","AMPN_HUMAN"
-0.581017494201678,11.760317325592,-20.6676417908967,7.0108635483107e-08,8.26615791423393e-06,8.84446264257189,"ITA6_HUMAN",48,-27.0824896130809,3.72174985651392e-09,5.6977883652366e-07,-0.331109046936049,"Non-significant",6.24429368593488,"ITGA6","Integrin alpha-6","ITA6_HUMAN"
-0.954060316085775,10.5345009565353,-23.7560315017641,2.50406676910466e-08,3.56456101131845e-06,9.95841382693015,"PAR10_HUMAN",43,-27.0043328876071,3.80794298474188e-09,5.72178692188808e-07,-0.1122715473175,"Non-significant",6.24246831926254,"PARP10","Protein mono-ADP-ribosyltransferase PARP10","PAR10_HUMAN"
0.32708024978637,14.2872111797333,13.682839469969,1.43275801949285e-06,7.85499903389527e-05,5.52512087644892,"UTRN_HUMAN",162,26.1526731051874,4.90802318450594e-09,7.05491284400222e-07,0.0849230289459495,"Non-significant",6.15150834712618,"UTRN","Utrophin","UTRN_HUMAN"
0.306740999221777,12.5233455896378,12.9962871378473,2.07797993132283e-06,0.000104469674581059,5.11258124354685,"LRP1_HUMAN",189,26.1302151347323,4.94151725133676e-09,7.05491284400222e-07,0.323807716369629,"Non-significant",6.15150834712618,"LRP1","Prolow-density lipoprotein receptor-related protein 1","LRP1_HUMAN"
-1.58658766746521,10.2572447061539,-24.7701942119662,1.83706700727378e-08,2.76036327722582e-06,10.2908407657539,"GBP4_HUMAN",27,-26.1205557036028,4.95600236761309e-09,7.05491284400222e-07,-0.14481425285339,"Non-significant",6.15150834712618,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN"
-0.719205856323221,10.1230905056,-22.5282827776525,3.70859610599185e-08,4.93304078754391e-06,9.53501538495301,"CDHR2_HUMAN",30,-25.9352742365838,5.24329386402516e-09,7.33518731253451e-07,-0.058472871780376,"Non-significant",6.13458879146467,"CDHR2","Cadherin-related family member 2","CDHR2_HUMAN"
-0.693762779235797,15.0722303390503,-23.6143830343846,2.61745758295135e-08,3.66173290139091e-06,9.91077218312485,"GBP1_HUMAN",22,-25.5952729867685,5.82051414809057e-09,8.0046867453571e-07,0.1857225894928,"Non-significant",6.09665565905071,"GBP1","Guanylate-binding protein 1","GBP1_HUMAN"
-1.58094763755798,9.59972131252289,-25.7099581854406,1.39379358429991e-08,2.21749826333519e-06,10.585990074403,"CDHR5_HUMAN",12,-25.1366844118478,6.71554156969692e-09,9.01839101523295e-07,0.287256002426149,"Non-significant",6.04487093868164,"CDHR5","Cadherin-related family member 5","CDHR5_HUMAN"
0.642673492431655,16.9577369689941,22.4758741126358,3.77303200449317e-08,4.93780349749316e-06,9.51639928362714,"GSTM1_HUMAN",24,25.1063878917437,6.77990943960081e-09,9.01839101523295e-07,-0.0356488227844274,"Non-significant",6.04487093868164,"GSTM1","Glutathione S-transferase Mu 1","GSTM1_HUMAN"
-2.1006851196289,12.5299730300903,-46.3612092118281,1.72485878037113e-10,8.74719008995709e-08,15.0465755706659,"HLAB_HUMAN",2,-24.902828169307,7.23080605413047e-09,9.46302585858301e-07,0.0280237197876243,"Non-significant",6.02396997315789,"HLA-B","HLA class I histocompatibility antigen, B alpha chain","HLAB_HUMAN"
-0.533245563507101,10.8290009498596,-18.5579066592997,1.54942718562194e-07,1.57150652301705e-05,7.97860059107138,"CEIP2_HUMAN",61,-24.8058285085327,7.4574463448391e-09,9.60471740349595e-07,-0.0874478816985746,"Non-significant",6.01751540872085,"CEMIP2","Cell surface hyaluronidase CEMIP2","CEIP2_HUMAN"
0.851340055465672,13.7345107793808,25.7368044627755,1.3830438518087e-08,2.21749826333519e-06,10.5942481976384,"GNMT_HUMAN",15,24.6652872037228,7.80011966384473e-09,9.74021715842514e-07,0.0782618522644007,"Non-significant",6.01143136040533,"GNMT","Glycine N-methyltransferase","GNMT_HUMAN"
-2.05232024192812,9.29485595226289,-24.2773561014491,2.13211142952566e-08,3.14544584348567e-06,10.1311650706152,"HLAF_HUMAN",14,-24.664240440577,7.80273743280299e-09,9.74021715842514e-07,-0.0408270359039324,"Non-significant",6.01143136040533,"HLA-F","HLA class I histocompatibility antigen, alpha chain F","HLAF_HUMAN"
-1.07395958900451,10.129678606987,-21.7620319815247,4.78974408773451e-08,6.07249742623091e-06,9.25816599915112,"TSP1_HUMAN",50,-24.0424870277305,9.54752392920083e-09,1.17376680547781e-06,-0.000760316848774423,"Non-significant",5.93041817664359,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-0.712203025817896,12.1010921001434,-20.4241273560552,7.65143016319263e-08,8.86910062059215e-06,8.74929970028104,"AMPE_HUMAN",38,-23.7562807864799,1.04949625266032e-08,1.27098695434118e-06,-0.0162551403045494,"Non-significant",5.89585890710667,"ENPEP","Glutamyl aminopeptidase","AMPE_HUMAN"
-1.07844638824463,10.5315027236938,-21.6459350709971,4.9828400563234e-08,6.22011757184739e-06,9.21532486479017,"IFIT5_HUMAN",24,-22.9169383123238,1.39420336797487e-08,1.66361266584531e-06,0.175611019134575,"Non-significant",5.77894778181168,"IFIT5","Interferon-induced protein with tetratricopeptide repeats 5","IFIT5_HUMAN"
-1.33213877677916,9.34803211688995,-22.0512039146701,4.34453231649725e-08,5.59548178032678e-06,9.36383648212557,"MLKL_HUMAN",19,-22.7845382511063,1.459431013579e-08,1.71620626727247e-06,0.0400271415710485,"Non-significant",5.76543051639713,"MLKL","Mixed lineage kinase domain-like protein","MLKL_HUMAN"
-0.440852642059326,10.5192220211029,-16.5788135262461,3.5428581625952e-07,2.9635825908554e-05,7.06991437118035,"E41L2_HUMAN",47,-22.4538576239754,1.63784823719114e-08,1.89850008522413e-06,-0.0678768157958967,"Non-significant",5.7215893790286,"EPB41L2","Band 4.1-like protein 2","E41L2_HUMAN"
-0.842551946640025,11.6196929216385,-19.532451023393,1.06322078199614e-07,1.16580721961037e-05,8.39052085966379,"DSRAD_HUMAN",59,-22.2377061132414,1.76768298240166e-08,2.02013798862072e-06,0.0829296112060725,"Non-significant",5.69461896439012,"ADAR","Double-stranded RNA-specific adenosine deaminase","DSRAD_HUMAN"
-0.739739179611185,10.1165760755539,-19.8940338824086,9.28835022751271e-08,1.03240648967176e-05,8.53800950986284,"TLR3_HUMAN",25,-21.6383267922653,2.19248738077625e-08,2.47081147328035e-06,-0.0380440950393703,"Non-significant",5.60716039067141,"TLR3","Toll-like receptor 3","TLR3_HUMAN"
-0.510002613067645,16.2619807720185,-17.4360905905021,2.44898641353618e-07,2.13667481284221e-05,7.47625177865275,"AMPL_HUMAN",38,-21.5290290396844,2.28172630041678e-08,2.53615441117559e-06,0.0226116180419762,"Non-significant",5.59582430840859,"LAP3","Cytosol aminopeptidase","AMPL_HUMAN"
0.462270259857203,14.9487063884735,15.5055064677317,5.77631015290217e-07,4.07556352875202e-05,6.5306417757835,"CO3_HUMAN",111,21.2879284555705,2.49337462935829e-08,2.7149063724133e-06,0.0187630653381348,"Non-significant",5.56624514310843,"C3","Complement C3","CO3_HUMAN"
-2.6863284111023,8.13208532333374,-20.6602495766295,7.02939235989821e-08,8.26615791423393e-06,8.84159104044229,"XAF1_HUMAN",16,-21.2705470722901,2.50946485002462e-08,2.7149063724133e-06,-0.953734755516052,"Up in D",5.56624514310843,"XAF1","XIAP-associated factor 1","XAF1_HUMAN"
-0.726365327835049,10.5709556341171,-18.6834859997102,1.47447777149401e-07,1.53383495357723e-05,8.03290603512291,"TRFM_HUMAN",39,-21.2301037383424,2.54735717104824e-08,2.71963895866914e-06,-0.25308585166931,"Non-significant",5.5654887462103,"MELTF","Melanotransferrin","TRFM_HUMAN"
0.498583793640154,11.694947719574,17.4806113361929,2.40361739896701e-07,2.1198860407846e-05,7.49680303434312,"A0AAG2UXZ5_HUMAN",30,20.7681091256323,3.0290372994703e-08,3.19189722700026e-06,-0.0675632953643799,"Non-significant",5.49595110054976,"COL18A1","Collagen type XVIII alpha 1 chain;Collagen alpha-1(XVIII) chain","A0AAG2UXZ5_HUMAN"
0.495836973190301,15.3619586229324,18.5610502000842,1.54749923803915e-07,1.57150652301705e-05,7.97996454609218,"PBLD_HUMAN",23,20.6717782750255,3.14189412141798e-08,3.25127432120599e-06,-0.360527157783509,"Non-significant",5.48794638603758,"PBLD","Phenazine biosynthesis-like domain-containing protein","PBLD_HUMAN"
-1.81352400779722,12.3329235315323,-29.2904358502062,5.29203018158695e-09,1.10101366393324e-06,11.6107825730379,"IFM3_HUMAN",3,-20.6520999872149,3.16552466570463e-08,3.25127432120599e-06,0.427744626998901,"Non-significant",5.48794638603758,"IFITM3","Interferon-induced transmembrane protein 3","IFM3_HUMAN"
-0.852356195449831,9.18467700481415,-18.9338713916919,1.33695757914518e-07,1.40884075288103e-05,8.14007955973747,"PHAR4_HUMAN",29,-20.5379969261848,3.30654145224241e-08,3.35365966793686e-06,0.3958055973053,"Non-significant",5.47448101204491,"PHACTR4","Phosphatase and actin regulator 4","PHAR4_HUMAN"
-0.410737037658702,14.169688463211,-15.6935162925851,5.29023703341904e-07,3.86711561163622e-05,6.62771883851676,"PLOD2_HUMAN",38,-20.500799498733,3.35402684714467e-08,3.35982393058418e-06,-0.015059232711776,"Non-significant",5.47368348093732,"PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","PLOD2_HUMAN"
-0.459308624267578,8.39403080940247,-15.802955537926,5.02866235068549e-07,3.74335470765707e-05,6.68370073140378,"ZFY26_HUMAN",49,-20.3738922973736,3.52189045937713e-08,3.48495355943732e-06,0.0636756420135498,"Non-significant",5.45780300494459,"ZFYVE26","Zinc finger FYVE domain-containing protein 26","ZFY26_HUMAN"
-0.937741041183454,12.3838492631912,-19.265138174678,1.17675684159041e-07,1.25634276482429e-05,8.27966627921242,"SP100_HUMAN",21,-20.1437852948804,3.85087922879879e-08,3.76458241716547e-06,-0.145728826522825,"Non-significant",5.42428319050675,"SP100","Nuclear autoantigen Sp-100","SP100_HUMAN"
-0.420847892761227,13.7340850830078,-16.1417006091696,4.30716514357941e-07,3.42630764460817e-05,6.85458510684301,"EHD4_HUMAN",31,-20.0141379756815,4.05135666637567e-08,3.91341761797288e-06,0.554940700531008,"Up in C",5.40744380415568,"EHD4","EH domain-containing protein 4","EHD4_HUMAN"
0.466048717498797,11.4598908424377,14.6940796343507,8.54263493093869e-07,5.41522967419035e-05,6.09799133960313,"VP13C_HUMAN",153,19.5956634315604,4.7829345198158e-08,4.56573302279828e-06,0.583354115486148,"Up in C",5.34048948708919,"VPS13C","Intermembrane lipid transfer protein VPS13C","VP13C_HUMAN"
-0.529513120651249,11.6988922357559,-16.7755419067937,3.24985710719698e-07,2.77572005976803e-05,7.16498890615705,"OGFR_HUMAN",31,-19.4825122153188,5.00544569862417e-08,4.72257981379495e-06,-0.651693582534826,"Up in D",5.32582069356541,"OGFR","Opioid growth factor receptor","OGFR_HUMAN"
