"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D_vs_BM1","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-2.99604177474974,10.1449275016785,-64.5617073823502,1.44738273144123e-11,9.78671956909509e-09,17.3565590182704,"CMPK2_HUMAN",26,-69.0584718589356,1.63434756378547e-12,1.20555419386866e-09,-0.289192676544175,"Non-significant",8.91881326179496,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
-3.1881229877472,11.8229330778122,-62.7498560002322,1.79093079563819e-11,1.1128493917336e-08,17.1720423830814,"OAS1_HUMAN",20,-65.2735147250454,2.57816974534099e-12,1.74327244280807e-09,-0.0866937637329261,"Non-significant",8.75863473500016,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
-2.92557525634764,10.9103763103485,-67.6306574297595,1.02249811892401e-11,7.54231794268128e-09,17.6522177102893,"ISG20_HUMAN",11,-61.0426515863056,4.43220143352223e-12,2.66741949826123e-09,-0.0819387435913086,"Non-significant",8.57390867855335,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
-2.21359038352968,11.5360900163651,-52.7523213919562,6.55838925203095e-11,3.17163840671776e-08,15.9977238160889,"DDX60_HUMAN",75,-60.3660343196451,4.85011489186055e-12,2.66741949826123e-09,-0.064028263092025,"Non-significant",8.57390867855335,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
-2.11008405685424,10.1915285587311,-51.7363818455431,7.58466986431740e-11,3.35912757166212e-08,15.8613171718485,"HELZ2_HUMAN",117,-60.2271121767543,4.94129412903785e-12,2.66741949826123e-09,0.0868732929229772,"Non-significant",8.57390867855335,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
-1.68961691856388,11.0310207605362,-51.4850805829247,7.86583976603158e-11,3.35912757166212e-08,15.827023392774,"SLFN5_HUMAN",37,-59.7633832103237,5.25988562634702e-12,2.66741949826123e-09,-0.209317922592176,"Non-significant",8.57390867855335,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
-3.21639704704288,14.3689533472061,-54.6382718741379,5.04349722123327e-11,2.72819576353912e-08,16.2418027917128,"OAS3_HUMAN",45,-58.9479027078858,5.87770274340625e-12,2.80539294470578e-09,-0.0931568145751953,"Non-significant",8.55200629955387,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
-1.2423906326294,11.2109069824219,-50.2144244984163,9.48137542026229e-11,3.84659400800041e-08,15.6501623552686,"TAP1_HUMAN",24,-56.4590919243048,8.32961164518851e-12,3.75480382716998e-09,0.068584203720075,"Non-significant",8.42541274814134,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN"
-2.12129497528077,12.9260439872742,-62.1683579322995,1.92012465914104e-11,1.1128493917336e-08,17.1111653556815,"UB2L6_HUMAN",12,-54.5458597351548,1.10055571740624e-11,4.6999521531759e-09,-0.129449129104612,"Non-significant",8.32790656328076,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
-1.77915143966678,11.4779298305511,-47.7991989001022,1.37045462621167e-10,5.29517563670546e-08,15.2972430648179,"STAT2_HUMAN",35,-53.760880799053,1.23730946627722e-11,5.01976450468667e-09,0.0087246894836408,"Non-significant",8.29931665670241,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN"
-0.896529436111447,11.1008933782577,-34.8940633134187,1.43535144211938e-09,3.06485305298859e-07,12.9398309937671,"PAR14_HUMAN",91,-50.7041547677632,1.98542377035863e-11,7.39021011506856e-09,0.123467206954924,"Non-significant",8.13134321376788,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN"
-1.20219993591313,11.8076529502869,-45.8890302685945,1.85866001962865e-10,6.55702930402906e-08,15.0014132790433,"5NT3A_HUMAN",23,-50.3804777216743,2.09082320457674e-11,7.39021011506856e-09,-0.0295090675353968,"Non-significant",8.13134321376788,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN"
-1.62344932556153,11.8449182510376,-44.3307743542008,2.40588090624285e-10,8.13388236385604e-08,14.7482612483638,"SAMH1_HUMAN",38,-50.3685248534938,2.09483402325089e-11,7.39021011506856e-09,0.181546807289127,"Non-significant",8.13134321376788,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
0.750679254531873,13.0858618021011,30.6806534460874,3.74272566326717e-09,7.230589531369e-07,11.9366110521024,"FAT1_HUMAN",153,49.2685958326226,2.50376284451176e-11,8.14157019045948e-09,0.12376976013185,"Non-significant",8.08929182861331,"FAT1","Protocadherin Fat 1","FAT1_HUMAN"
1.60547900199893,14.879699587822,41.6453323823492,3.83645209647652e-10,1.19282030697182e-07,14.2848132567822,"FINC_HUMAN",120,49.257078273548,2.50849463595621e-11,8.14157019045948e-09,0.117615699768068,"Non-significant",8.08929182861331,"FN1","Fibronectin","FINC_HUMAN"
-1.0243709087372,11.981343626976,-37.6314715995404,8.17319900862493e-10,1.96966654163715e-07,13.519578983038,"PML_HUMAN",44,-47.772994374224,3.21143089317944e-11,1.00221347181761e-08,0.165792465209965,"Non-significant",7.99903976374009,"PML","Protein PML","PML_HUMAN"
1.72885298728945,13.5689808130264,46.8335102314649,1.59623373561545e-10,5.88720024126536e-08,15.1496138348999,"FGL1_HUMAN",17,46.9974401084191,3.66512667675473e-11,1.10143843908103e-08,-0.230055809020975,"Non-significant",7.95803977115465,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
1.79728770256042,15.1987844705582,42.724027859793,3.16963927193656e-10,1.02873812209973e-07,14.4752953140153,"FIBG_HUMAN",29,46.493302853568,3.99854091905468e-11,1.15872003632892e-08,0.105165958404539,"Non-significant",7.93602148324681,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
1.8599994182587,14.8672770261765,40.0210595490185,5.1629548199638e-10,1.49615055032808e-07,13.9863167722464,"FIBA_HUMAN",43,44.1340210885478,6.08764202227117e-11,1.70328025409339e-08,0.15332770347595,"Non-significant",7.76871388827195,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
-0.764267921447775,11.5710582733154,-32.392711120319,2.49823213915352e-09,4.94406233587601e-07,12.3620739065333,"PARP9_HUMAN",37,-42.8670728251251,7.70047971556026e-11,2.08272308040186e-08,-1.20219993591313,"Up in D",7.68136847016184,"PARP9","Protein mono-ADP-ribosyltransferase PARP9","PARP9_HUMAN"
-1.56890988349914,10.2660835981369,-38.1154199182642,7.43010553231226e-10,1.94477020287683e-07,13.6169094938045,"GBP4_HUMAN",27,-41.2681213952396,1.04638717103528e-10,2.70949268199235e-08,0.015001058578493,"Non-significant",7.56711201762617,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN"
-1.33454084396362,11.0903091430664,-41.4559960733329,3.96920733155521e-10,1.19282030697182e-07,14.2507546482147,"T23O_HUMAN",17,-41.1609234371758,1.06856995099526e-10,2.70949268199235e-08,0.0292398929595983,"Non-significant",7.56711201762617,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN"
-1.42731928825379,11.6774023771286,-38.4124647574081,7.01201474206796e-10,1.89651625390465e-07,13.6759264172733,"E2AK2_HUMAN",23,-41.0009297793831,1.10266696428306e-10,2.71122416611902e-08,-0.44651865959165,"Non-significant",7.56683457313004,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN"
-1.33499836921693,11.77789914608,-37.4364247100319,8.49621998487803e-10,1.96966654163715e-07,13.4799316236253,"TAP2_HUMAN",22,-39.7231775051991,1.42337857948031e-10,3.39685111585388e-08,-0.0239169597625768,"Non-significant",7.46892348786065,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN"
-3.46583235263824,8.38379067182541,-37.876009402016,7.78769144357559e-10,1.96966654163715e-07,13.5689441548623,"ESIP1_HUMAN",18,-39.2363221775914,1.57216963900089e-10,3.64473841452948e-08,-0.0420928001404004,"Non-significant",7.43833363585165,"EPSTI1","Epithelial-stromal interaction protein 1","ESIP1_HUMAN"
-2.28925347328184,9.80459749698638,-37.4541964738322,8.46619660843463e-10,1.96966654163715e-07,13.4835542073567,"IRF9_HUMAN",16,-38.1902736475579,1.95477400805279e-10,4.40584341703899e-08,-0.0543041229248074,"Non-significant",7.35597094166649,"IRF9","Interferon regulatory factor 9","IRF9_HUMAN"
-1.10954880714414,10.5159515142441,-34.9313675213499,1.42396565421192e-09,3.06485305298859e-07,12.9480838212492,"IFIT5_HUMAN",24,-38.0271779927436,2.02337584572733e-10,4.43720854384638e-08,-0.115203380584713,"Non-significant",7.35289015944812,"IFIT5","Interferon-induced protein with tetratricopeptide repeats 5","IFIT5_HUMAN"
-1.05168104171755,16.4128468036652,-38.8555296639425,6.43698312338705e-10,1.80102348493664e-07,13.7629514624293,"HLAA_HUMAN",17,-37.8948072494029,2.0810445604799e-10,4.44357777992998e-08,0.704366922378524,"Up in BM1",7.35226721358308,"HLA-A","HLA class I histocompatibility antigen, A alpha chain","HLAA_HUMAN"
2.52056384086607,10.3399604558945,32.5173135960868,2.42781628539815e-09,4.92482533493014e-07,12.3920432902536,"TSP4_HUMAN",21,33.8858652990327,5.12153538081646e-10,1.06554200204986e-07,0.124460935592676,"Non-significant",6.97242942638248,"THBS4","Thrombospondin-4","TSP4_HUMAN"
-0.911200761795001,12.0362931489944,-29.6995282766804,4.76650780474504e-09,8.99428937853517e-07,11.6806322691265,"RO52_HUMAN",27,-33.3032571441133,5.88866067286557e-10,1.19451481749078e-07,-0.0971717834472265,"Non-significant",6.9228084586269,"TRIM21","E3 ubiquitin-protein ligase TRIM21","RO52_HUMAN"
-1.57433390617372,9.53384912014009,-33.615035084056,1.89588728592742e-09,3.94441780461926e-07,12.6505523445438,"HLAF_HUMAN",14,-32.9559099150499,6.407013123412e-10,1.26796352398451e-07,0.210157632827777,"Non-significant",6.89689323979822,"HLA-F","HLA class I histocompatibility antigen, alpha chain F","HLAF_HUMAN"
-1.04950857162475,10.9040803909302,-26.8090378880422,1.02018892407924e-08,1.68276322319293e-06,10.8685935149515,"RN213_HUMAN",232,-31.8288458960567,8.47658195497853e-10,1.6375949043499e-07,0.165714979171751,"Non-significant",6.78579352172328,"RNF213","E3 ubiquitin-protein ligase RNF213","RN213_HUMAN"
0.788977146148675,11.379429101944,25.2404218338627,1.59586190788595e-08,2.31228991439046e-06,10.3870695174982,"CO5_HUMAN",67,31.4572427505228,9.31609572100844e-10,1.75792559721541e-07,0.0882930755615767,"Non-significant",6.75499951003732,"C5","Complement C5","CO5_HUMAN"
0.704366922378529,11.7978392839432,25.7842686467665,1.36243880533991e-08,2.08581669179774e-06,10.5575731301533,"A0AAG2UXZ5_HUMAN",30,30.3532995438169,1.24151111117917e-09,2.28945935366086e-07,0.162483692169188,"Non-significant",6.64026706239507,"COL18A1","Collagen type XVIII alpha 1 chain;Collagen alpha-1(XVIII) chain","A0AAG2UXZ5_HUMAN"
0.747075557708754,11.8389828205109,27.8055839654235,7.77939581032049e-09,1.40271150233201e-06,11.1589433736789,"HRG_HUMAN",21,29.4946107441815,1.56346098083872e-09,2.81909386633897e-07,0.291565656662,"Non-significant",6.54989046334288,"HRG","Histidine-rich glycoprotein","HRG_HUMAN"
-0.924599885940548,11.969064116478,-26.651400245554,1.06585243915135e-08,1.69575033162236e-06,10.8215935359492,"NUB1_HUMAN",27,-29.3670324916417,1.61885830087006e-09,2.85552527244776e-07,0.0904004573822235,"Non-significant",6.54431399181648,"NUB1","NEDD8 ultimate buster 1","NUB1_HUMAN"
-1.82051265239715,8.80178481340408,-27.2352258216705,9.07428015940736e-09,1.56656828113684e-06,10.9941781585673,"SAMD9_HUMAN",42,-29.0941863049249,1.74488625252224e-09,3.01234192616287e-07,0.159950256347654,"Non-significant",6.5210957335943,"SAMD9","Sterile alpha motif domain-containing protein 9","SAMD9_HUMAN"
0.417076826095574,12.5785135030747,17.3311311364093,2.55712446700417e-07,2.23102235755611e-05,7.35338354039353,"LRP1_HUMAN",189,28.8770662157258,1.85306589926654e-09,3.07569066761089e-07,0.212448596954349,"Non-significant",6.51205734510761,"LRP1","Prolow-density lipoprotein receptor-related protein 1","LRP1_HUMAN"
-4.5203905105591,8.8101089000702,-27.6935252001527,8.0163397604411e-09,1.41401262643955e-06,11.1268642112968,"OASL_HUMAN",28,-28.8686801995369,1.85739268810616e-09,3.07569066761089e-07,0.109595537185674,"Non-significant",6.51205734510761,"OASL","2'-5'-oligoadenylate synthase-like protein","OASL_HUMAN"
-1.03902578353879,10.4920182228088,-25.5863520486041,1.44259594082328e-08,2.12822244797093e-06,10.495973369108,"PAR10_HUMAN",43,-28.7794985352046,1.90411450626708e-09,3.08999702077022e-07,-0.0722961425781214,"Non-significant",6.51004193930128,"PARP10","Protein mono-ADP-ribosyltransferase PARP10","PAR10_HUMAN"
1.64765548706055,14.6130640506744,25.5916883564381,1.44036588414033e-08,2.12822244797093e-06,10.4976409419569,"FIBB_HUMAN",38,27.335076032684,2.87851546451952e-09,4.57966166257086e-07,0.0560190677643,"Non-significant",6.33916660573109,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
-1.53695940971375,9.36578595638275,-26.7502628866004,1.03695047029389e-08,1.68276322319293e-06,10.8511046793109,"TREX1_HUMAN",15,-26.985077321954,3.19196010559035e-09,4.98068544168464e-07,0.0155007839202881,"Non-significant",6.30271088554214,"TREX1","Three-prime repair exonuclease 1","TREX1_HUMAN"
-1.21174025535582,10.0265723466873,-24.3166871767657,2.10395631898342e-08,2.93120160442358e-06,10.0882734510328,"TDRD7_HUMAN",52,-26.7678947524719,3.40564935786855e-09,5.20652401134098e-07,-0.2160668373108,"Non-significant",6.28345212439788,"TDRD7","Tudor domain-containing protein 7","TDRD7_HUMAN"
-0.710484027862499,15.0638697147369,-24.8772563133316,1.77692243579419e-08,2.52946467439193e-06,10.2710096376162,"GBP1_HUMAN",22,-26.7102536350493,3.46502707188086e-09,5.20652401134098e-07,0.0859088897705007,"Non-significant",6.28345212439788,"GBP1","Guanylate-binding protein 1","GBP1_HUMAN"
0.569986104965224,15.0025643110275,19.6505502664546,1.01588298245851e-07,1.12916089310525e-05,8.37033763625026,"CO3_HUMAN",111,26.3103157364254,3.91050160766867e-09,5.76764126678637e-07,0.0106675624847998,"Non-significant",6.23900175950571,"C3","Complement C3","CO3_HUMAN"
-2.15806555747985,11.1174997091293,-28.6300513220012,6.26086388880632e-09,1.15456021804033e-06,11.3907026969352,"PLS1_HUMAN",7,-26.2520403450207,3.98062498077442e-09,5.76764126678637e-07,0.0186970233917219,"Non-significant",6.23900175950571,"PLSCR1","Phospholipid scramblase 1","PLS1_HUMAN"
-1.57716584205627,11.0281053781509,-27.1425671909842,9.30689468562176e-09,1.57325298914865e-06,10.967056731956,"NAT8_HUMAN",11,-25.9650409007923,4.34722217570377e-09,6.18830890064218e-07,-0.110506534576412,"Non-significant",6.20842801583627,"NAT8","N-acetyltransferase 8","NAT8_HUMAN"
0.325241565704349,14.2862918376923,14.2417434219499,1.07102952974128e-06,6.7893231283756e-05,5.76595621726629,"UTRN_HUMAN",162,25.7844430697357,4.5972752203744e-09,6.43142950657205e-07,0.00299644470217508,"Non-significant",6.19169248620241,"UTRN","Utrophin","UTRN_HUMAN"
0.629766225814803,12.0517834424972,21.1972064342142,5.80966368896524e-08,7.1423653291309e-06,8.9828018403828,"PCSK6_HUMAN",41,25.6710947524197,4.76244440770825e-09,6.54957185154995e-07,0.123379945755,"Non-significant",6.18378708910543,"PCSK6","Proprotein convertase subtilisin/kexin type 6","PCSK6_HUMAN"
1.11380791664125,9.50520074367524,22.8268761413406,3.3601917534222e-08,4.54409931454462e-06,9.58008511731701,"PTPRF_HUMAN",57,25.262189263882,5.41609827956993e-09,7.32437024007174e-07,0.189733028411899,"Non-significant",6.13522971063521,"PTPRF","Receptor-type tyrosine-protein phosphatase F","PTPRF_HUMAN"
0.496697187423674,11.4752150774002,17.8576175070648,2.05310369714574e-07,1.87178465153264e-05,7.59574535901352,"VP13C_HUMAN",153,25.0218075386613,5.8470487719272e-09,7.77753339924873e-07,-0.157824277877811,"Non-significant",6.10915811521402,"VPS13C","Intermembrane lipid transfer protein VPS13C","VP13C_HUMAN"
-0.75517249107355,11.7410877943039,-21.3921291599201,5.4298919348937e-08,6.88408486870742e-06,9.05670782001371,"UBA7_HUMAN",43,-24.7540927448023,6.37289852202596e-09,8.32400433611546e-07,0.0166435241699503,"Non-significant",6.07966770222897,"UBA7","Ubiquitin-like modifier-activating enzyme 7","UBA7_HUMAN"
0.57598876953125,15.7552437782288,21.1311413809993,5.94513053157463e-08,7.19981927361143e-06,8.95759345641993,"APOE_HUMAN",29,24.6854572130692,6.51612103864516e-09,8.32400433611546e-07,-0.0143811702728502,"Non-significant",6.07966770222897,"APOE","Apolipoprotein E","APOE_HUMAN"
-1.17283296585084,10.2837891578674,-22.6523361362435,3.55653673859408e-08,4.73077690113973e-06,9.51827670050571,"CMTR1_HUMAN",42,-24.6621180963081,6.56564305535358e-09,8.32400433611546e-07,-0.0202503204345739,"Non-significant",6.07966770222897,"CMTR1","Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1","CMTR1_HUMAN"
2.2655291557312,8.72437691688538,24.2742155633148,2.13138889155769e-08,2.93120160442358e-06,10.0742464724996,"AMY1B_HUMAN",12,24.5809096492777,6.7412746787497e-09,8.41518503744232e-07,-0.0238633155822772,"Non-significant",6.07493633009141,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN"
-0.699081897735599,11.9433755874634,-20.6195112498509,7.124090114761e-08,8.37751698422765e-06,8.75957503747144,"DTX3L_HUMAN",43,-24.1035447534541,7.88662982869567e-09,9.61930466054513e-07,0.0666604042053258,"Non-significant",6.01685632016619,"DTX3L","E3 ubiquitin-protein ligase DTX3L","DTX3L_HUMAN"
-0.626286983490001,15.304794549942,-20.9318731939687,6.3758807371772e-08,7.60792592668467e-06,8.88106326774612,"TYPH_HUMAN",30,-24.0821019796903,7.94298018556228e-09,9.61930466054513e-07,0.0372979640960747,"Non-significant",6.01685632016619,"TYMP","Thymidine phosphorylase","TYPH_HUMAN"
-0.595739364624031,12.1593239307404,-19.5516281986871,1.05435931750222e-07,1.15364443208607e-05,8.32950204164837,"AMPE_HUMAN",38,-23.241574900273,1.05523715490229e-08,1.2591462168937e-06,0.109603404998776,"Non-significant",5.89992383502085,"ENPEP","Glutamyl aminopeptidase","AMPE_HUMAN"
0.432022571563721,17.029816865921,17.6429653267084,2.24363759119845e-07,2.02276393499824e-05,7.49780573875479,"SBP1_HUMAN",39,23.1502349258325,1.08897308931793e-08,1.28056922416314e-06,-0.0487637519836497,"Non-significant",5.89259693975747,"SELENBP1","Methanethiol oxidase","SBP1_HUMAN"
-0.597016096115153,16.2184740304947,-19.3459021853472,1.13977477872225e-07,1.1856580198144e-05,8.24389967784979,"AMPL_HUMAN",38,-22.9087446661937,1.18414621283317e-08,1.37259462441833e-06,-0.0805034637451172,"Non-significant",5.86245770629776,"LAP3","Cytosol aminopeptidase","AMPL_HUMAN"
0.934193849563574,11.8728114366531,21.2611683785392,5.68182787261929e-08,7.09266943975891e-06,9.00713053028796,"APOA5_HUMAN",23,22.520885914947,1.35717755657072e-08,1.55100544986124e-06,0.0207419395446991,"Non-significant",5.80938667617704,"APOA5","Apolipoprotein A-V","APOA5_HUMAN"
-1.55056977272032,12.1112591028213,-25.925764007829,1.3082215871155e-08,2.04132883804908e-06,10.6013019249509,"BST2_HUMAN",7,-22.3564953496347,1.43893464506479e-08,1.6215994041744e-06,-0.106501817703248,"Non-significant",5.7900564238882,"BST2","Bone marrow stromal antigen 2","BST2_HUMAN"
-0.464143753051751,13.7124371528626,-18.2958428254124,1.71825009246114e-07,1.65298232359589e-05,7.79208412637744,"EHD4_HUMAN",31,-22.2458676301914,1.49706091618335e-08,1.66399346217969e-06,0.113367557525626,"Non-significant",5.77884838438235,"EHD4","EH domain-containing protein 4","EHD4_HUMAN"
-1.70983481407162,12.725398182869,-52.6597902528327,6.64503979716564e-11,3.17163840671776e-08,15.9854461000208,"HLAB_HUMAN",2,-21.6005216562409,1.89343964282274e-08,2.07613098133294e-06,0.00846910476684748,"Non-significant",5.68274525069078,"HLA-B","HLA class I histocompatibility antigen, B alpha chain","HLAB_HUMAN"
-0.82784724235535,11.6270452737808,-19.0478747473784,1.27775803300031e-07,1.27996650367463e-05,8.11823671759518,"DSRAD_HUMAN",59,-21.4820829692711,1.97830835363101e-08,2.1402658641816e-06,-0.843403697013855,"Up in D",5.66953227516704,"ADAR","Double-stranded RNA-specific adenosine deaminase","DSRAD_HUMAN"
-0.424337625503551,11.2874027490616,-16.1077944122444,4.36944839417742e-07,3.36753787930761e-05,6.76075262214333,"ZCCHV_HUMAN",51,-21.3190474251634,2.10219903487915e-08,2.24437407486966e-06,-0.0607504844665492,"Non-significant",5.64890475654587,"ZC3HAV1","Zinc finger CCCH-type antiviral protein 1","ZCCHV_HUMAN"
-0.881498575210571,9.09466660022736,-19.1373258729837,1.2344525713083e-07,1.26789217260703e-05,8.15616196191271,"RRP12_HUMAN",42,-21.1058589865615,2.27753444379865e-08,2.39998889311457e-06,0.0523130893707275,"Non-significant",5.61979076815098,"RRP12","RRP12-like protein","RRP12_HUMAN"
-0.709739685058626,10.9972321987152,-22.0071498289303,4.40382381320507e-08,5.76332684199128e-06,9.28540314315911,"OXDD_HUMAN",15,-20.9115986097485,2.45168450793377e-08,2.55038052530444e-06,0.000522494316102851,"Non-significant",5.59339501654226,"DDO","D-aspartate oxidase","OXDD_HUMAN"
1.54714357852936,8.6585938334465,19.5216420062258,1.06634622142538e-07,1.15364443208607e-05,8.31708201561508,"PGBM_HUMAN",106,20.8529257690425,2.50718310383521e-08,2.57509920310366e-06,0.187761306762701,"Non-significant",5.58920603554294,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
-0.695453405380263,9.78962194919587,-18.9089388831888,1.34847079861199e-07,1.3343282999924e-05,8.05897187896574,"ECE1_HUMAN",28,-20.7954468748546,2.56292196024926e-08,2.59944359818281e-06,0.199387311935425,"Non-significant",5.5851196012978,"ECE1","Endothelin-converting enzyme 1","ECE1_HUMAN"
-0.959355354309054,12.3730421066284,-19.7687942749263,9.71958932417461e-08,1.09534371911601e-05,8.41887550775697,"SP100_HUMAN",21,-20.6773062408826,2.68190394955866e-08,2.68653933910111e-06,0.0485646724700999,"Non-significant",5.57080679565756,"SP100","Nuclear autoantigen Sp-100","SP100_HUMAN"
-0.593677043914823,10.9751033782959,-18.0186710104128,1.92213354425097e-07,1.81351064861074e-05,7.66845864729646,"ABCD1_HUMAN",33,-20.6080557914673,2.75452053466583e-08,2.69515710445316e-06,0.0328857898712265,"Non-significant",5.56941591411047,"ABCD1","ATP-binding cassette sub-family D member 1","ABCD1_HUMAN"
0.834959745407094,10.9479404687882,20.4028981340798,7.70130499780785e-08,8.80288070516209e-06,8.67421054030301,"FSTL1_HUMAN",17,20.6057846685893,2.75693911350274e-08,2.69515710445316e-06,-0.238975048065225,"Non-significant",5.56941591411047,"FSTL1","Follistatin-related protein 1","FSTL1_HUMAN"
-0.859790325164823,10.6230964660644,-18.8091487465772,1.40199293155162e-07,1.37057477669998e-05,8.01613261452796,"PAR12_HUMAN",33,-20.5014075244936,2.87070551979399e-08,2.75606911950851e-06,0.250061273574827,"Non-significant",5.55970989494848,"PARP12","Protein mono-ADP-ribosyltransferase PARP12","PAR12_HUMAN"
0.435629844665527,11.0363533496857,15.3516247047437,6.20585254538269e-07,4.34088685803752e-05,6.37186243137246,"CGNL1_HUMAN",84,20.4866768944595,2.88718110867911e-08,2.75606911950851e-06,0.580729603767392,"Up in BM1",5.55970989494848,"CGNL1","Cingulin-like protein 1","CGNL1_HUMAN"
-0.669018745422377,14.8676540851593,-19.3788684673307,1.12557552712575e-07,1.1856580198144e-05,8.25767900205872,"APOL2_HUMAN",21,-20.3916021859617,2.99610393660483e-08,2.82678922576879e-06,-0.593677043914823,"Up in D",5.54870657265591,"APOL2","Apolipoprotein L2","APOL2_HUMAN"
