"First.Protein.Description","CTRL_2","CTRL_3","CTRL_4","CTRL.myr_1","CTRL.myr_2","CTRL.myr_3","CTRL.myr_4","HBV_1","HBV_2","HBV_3","HBV_4","HBV.myr_1","HBV.myr_2","HBV.myr_3","HBV.myr_4","Pval","adjPval","negLog10_sca_adjPval","HBV.myr_vs_HBV","Diff_Abund","Protein_Names","Genes","ProtDesc"
"Ubiquitin-conjugating enzyme E2 N",14.1462059020996,15.0525255203247,15.8477764129639,14.2894926071167,13.7241086959839,15.6458978652954,15.6286535263062,14.0305986404419,13.9972057342529,15.1173791885376,13.7877607345581,13.1623659133911,13.3410263061523,14.354772567749,15.4345598220825,0.802025451562219,0.993555423949802,0.00280790143369389,0.1600549221039,"Non-significant","UBE2N_HUMAN;UE2NL_HUMAN","UBE2N;UBE2NL","Ubiquitin-conjugating enzyme E2 N"
"Ubiquitin-associated domain-containing protein 2",21.8531761169434,21.3715801239014,21.3191566467285,21.5981884002686,21.7347297668457,21.3666095733643,21.8063812255859,21.3205127716064,21.5843753814697,21.4276218414307,21.6785182952881,21.47607421875,21.5118198394775,21.3871440887451,21.4425010681152,0.598641159979533,0.986278956908265,0.00600023281587292,0.048372268676772,"Non-significant","UBAC2_HUMAN","UBAC2","Ubiquitin-associated domain-containing protein 2"
"Ubiquitin-like modifier-activating enzyme 1",16.5844268798828,16.440113067627,16.55153465271,15.6437692642212,16.0504169464111,16.9668312072754,16.5297946929932,15.2665452957153,15.1359815597534,15.9473104476929,15.728401184082,15.5427656173706,15.257999420166,15.6570053100586,16.3262233734131,0.573559773301332,0.986278956908265,0.00600023281587292,-0.176438808441176,"Non-significant","UBA1_HUMAN","UBA1","Ubiquitin-like modifier-activating enzyme 1"
"Ubiquitin-conjugating enzyme E2 variant 1",17.5763511657715,17.4551906585693,17.7996349334717,16.3734683990479,16.8309364318848,17.7415924072266,17.1741256713867,11.9542007446289,15.8933086395264,13.3777666091919,17.1894378662109,15.925199508667,13.2450914382935,16.8298091888428,16.904764175415,0.474684957225613,0.986278956908265,0.00600023281587292,-1.12253761291505,"Non-significant","UB2V1_HUMAN","UBE2V1","Ubiquitin-conjugating enzyme E2 variant 1"
"Ubiquitin-conjugating enzyme E2 L3",15.7865552902222,16.0565776824951,16.3348655700684,15.7631549835205,15.3225650787354,16.4483242034912,16.0081272125244,14.7171087265015,12.4204931259155,15.8141193389893,15.9408178329468,14.1799716949463,15.0268478393555,15.5347890853882,15.5190000534058,0.716332522117796,0.993555423949802,0.00280790143369389,-0.342017412185676,"Non-significant","UB2L3_HUMAN","UBE2L3","Ubiquitin-conjugating enzyme E2 L3"
"Ubiquitin-conjugating enzyme E2 D3",15.9603757858276,15.636754989624,16.0162029266357,15.4785327911377,15.7884588241577,15.456582069397,15.4356966018677,12.4208898544312,13.2260570526123,14.6789245605469,15.4795370101929,11.7613000869751,12.5362348556519,13.6992473602295,15.0977563858032,0.524479215555619,0.986278956908265,0.00600023281587292,0.677717447280902,"Non-significant","UB2D2_HUMAN;UB2D3_HUMAN","UBE2D2;UBE2D3","Ubiquitin-conjugating enzyme E2 D3"
"Thymidine phosphorylase",19.4418754577637,19.2455272674561,19.1482734680176,18.3813152313232,18.6749649047852,19.4060688018799,19.1182651519775,17.8887672424316,17.5107402801514,18.5852184295654,18.7087306976318,17.3034782409668,17.9339447021484,18.2609386444092,18.8433818817139,0.844728014207255,0.993555423949802,0.00280790143369389,0.0879282951354767,"Non-significant","TYPH_HUMAN","TYMP","Thymidine phosphorylase"
"Thioredoxin-like protein 1",16.3828086853027,15.922779083252,15.8811693191528,13.4625759124756,15.475679397583,15.9706001281738,14.9683656692505,13.1680021286011,12.6116905212402,14.7972965240479,14.4044580459595,12.402961730957,13.6555643081665,14.2629833221436,15.2327508926392,0.86112949974187,0.993555423949802,0.00280790143369389,-0.143203258514399,"Non-significant","TXNL1_HUMAN","TXNL1","Thioredoxin-like protein 1"
"Thioredoxin domain-containing protein 5",14.0875844955444,12.756929397583,14.1768589019775,13.3614683151245,14.5631189346313,12.9725360870361,13.5588274002075,14.5677537918091,13.4083347320557,14.5583381652832,14.1977424621582,13.796667098999,11.8325300216675,15.3818979263306,14.1002740859985,0.633255132823804,0.986278956908265,0.00600023281587292,0.405200004577649,"Non-significant","TXND5_HUMAN","TXNDC5","Thioredoxin domain-containing protein 5"
"Thioredoxin domain-containing protein 17",17.5655326843262,17.4557609558105,17.7449264526367,16.6919345855713,16.9084873199463,17.5376129150391,17.367603302002,16.1308708190918,15.5833330154419,16.8170719146729,17.2165184020996,16.0089740753174,16.0180549621582,16.6372623443604,17.0604209899902,0.990085927145728,0.997586578108953,0.00104940264542332,0.00577044486999867,"Non-significant","TXD17_HUMAN","TXNDC17","Thioredoxin domain-containing protein 17"
"Transthyretin",21.3756580352783,21.5864906311035,21.4029846191406,22.7830486297607,22.4095497131348,22.0240802764893,21.9686069488525,22.4946556091309,22.4871120452881,22.4900226593018,22.8155784606934,22.8841285705566,22.8158569335938,22.8602466583252,23.0549430847168,0.0178424599650043,0.347005748031481,0.459663331210053,-0.331951618194548,"Non-significant","TTHY_HUMAN","TTR","Transthyretin"
"Tetratricopeptide repeat protein 38",14.8760471343994,15.0284843444824,15.4583425521851,14.6477680206299,14.7769775390625,15.896107673645,15.8694610595703,14.1165142059326,14.6361885070801,14.7970380783081,14.1413593292236,15.091402053833,15.2791204452515,14.9702186584473,15.4886808395386,0.0118875495375261,0.29124496366939,0.535741575904137,-0.7845804691315,"Non-significant","TTC38_HUMAN","TTC38","Tetratricopeptide repeat protein 38"
"Thrombospondin-4",19.3924255371094,19.7739791870117,19.5554237365723,19.673303604126,19.8462104797363,19.21555519104,19.6301307678223,19.6662902832031,19.5305194854736,19.7765083312988,19.2710189819336,19.6354274749756,19.7007007598877,19.6369457244873,19.4232959747314,0.773525016014179,0.993555423949802,0.00280790143369389,-0.0380082130432271,"Non-significant","TSP4_HUMAN","THBS4","Thrombospondin-4"
"Thrombospondin-1",19.2739067077637,19.4736766815186,19.2784290313721,19.6984901428223,19.7423515319824,19.431640625,19.7514705657959,19.6869029998779,19.8255977630615,19.6577167510986,19.5576343536377,19.4900074005127,19.4785804748535,19.6178531646729,19.7097969055176,0.216424590426338,0.900262159648071,0.0456310039945608,0.10790348052975,"Non-significant","TSP1_HUMAN","THBS1","Thrombospondin-1"
"Translin",15.1427536010742,15.2103519439697,15.3232517242432,13.5939130783081,13.948091506958,15.1254978179932,14.4064512252808,13.970287322998,14.1715021133423,13.2727041244507,13.274130821228,13.3427276611328,14.2696981430054,14.0264711380005,13.7673053741455,0.580280585641508,0.986278956908265,0.00600023281587292,-0.1793944835663,"Non-significant","TSN_HUMAN","TSN","Translin"
"Tsukushin",18.0483741760254,18.2863178253174,18.1247978210449,18.8627376556396,18.7454776763916,18.4079933166504,18.4134998321533,18.7902374267578,18.6692028045654,18.6455497741699,19.0781631469727,18.8324413299561,18.647388458252,18.6918277740479,18.9918060302734,0.97021737820236,0.995579334537958,0.00192412671719819,0.00492238998409888,"Non-significant","TSK_HUMAN","TSKU","Tsukushin"
"Thioredoxin reductase 1, cytoplasmic",16.3135604858398,16.3013439178467,16.1938514709473,15.7098245620728,16.1326351165771,16.2657699584961,16.3260803222656,15.5412120819092,13.3882427215576,15.6865663528442,13.1792230606079,15.5220232009888,15.463231086731,15.3164052963257,15.5940647125244,0.225993237470282,0.910821229804468,0.0405668552203997,-1.02512001991275,"Non-significant","TRXR1_HUMAN","TXNRD1","Thioredoxin reductase 1, cytoplasmic"
"Lactotransferrin",27.0682106018066,27.2136096954346,27.0046920776367,27.2295398712158,27.3616619110107,26.9095916748047,27.4610233306885,27.2984066009521,27.2642593383789,27.4282703399658,27.3111896514893,27.2754020690918,27.4853286743164,27.1992263793945,27.2060546875,0.673801950809621,0.993555423949802,0.00280790143369389,0.0340285301208496,"Non-significant","TRFL_HUMAN","LTF","Lactotransferrin"
"Serotransferrin",24.8464965820313,25.1122570037842,24.9050464630127,25.1837978363037,25.2328701019287,24.7543296813965,25.0595569610596,25.1142444610596,25.0860862731934,25.2746181488037,25.2057228088379,25.1457977294922,25.2290019989014,25.197286605835,25.1526336669922,0.827271530881292,0.993555423949802,0.00280790143369389,-0.0110120773315501,"Non-significant","TRFE_HUMAN","TF","Serotransferrin"
"Heat shock protein 75 kDa, mitochondrial",19.5797805786133,19.3030338287354,19.5314636230469,18.6867713928223,19.1796779632568,19.7822704315186,19.7915267944336,18.1653728485107,18.4145374298096,18.8935394287109,19.3900547027588,18.1627407073975,18.1889171600342,18.6935958862305,19.2820091247559,0.734852387108594,0.993555423949802,0.00280790143369389,0.134060382842975,"Non-significant","TRAP1_HUMAN","TRAP1","Heat shock protein 75 kDa, mitochondrial"
"Tripeptidyl-peptidase 1",15.3816404342651,15.51930809021,15.3851881027222,15.29274559021,15.2950267791748,15.4965381622314,15.5675134658813,14.9806575775146,15.0053968429565,15.2339715957642,15.5302696228027,14.3593244552612,14.80970287323,14.5016441345215,12.8605260848999,0.0893506644363446,0.68748321148956,0.162737902947109,1.05477452278135,"Non-significant","TPP1_HUMAN","TPP1","Tripeptidyl-peptidase 1"
"Tropomyosin alpha-4 chain",18.9406871795654,18.8028984069824,19.1357765197754,18.7376689910889,18.5723628997803,18.822925567627,18.7999668121338,19.07541847229,18.5899295806885,18.8686275482178,18.3762474060059,18.5947113037109,18.439172744751,18.4169788360596,18.5097484588623,0.221127147501858,0.900262159648071,0.0456310039945608,0.237402915954601,"Non-significant","TPM4_HUMAN","TPM4","Tropomyosin alpha-4 chain"
"Tropomyosin alpha-3 chain",16.7201366424561,16.1943817138672,16.9258899688721,16.2513694763184,16.1489276885986,16.6771278381348,16.7497653961182,16.0089244842529,16.0389232635498,16.6244812011719,16.0378704071045,15.4930582046509,15.6590785980225,15.6003017425537,16.2968406677246,0.12936041853759,0.74507150923758,0.127802043255849,0.41523003578185,"Non-significant","TPM3_HUMAN","TPM3","Tropomyosin alpha-3 chain"
"Triosephosphate isomerase",21.2777423858643,21.1031150817871,21.2688293457031,20.2857151031494,20.7449035644531,21.1733837127686,21.1408290863037,19.8567047119141,19.5217056274414,20.5697536468506,20.5412673950195,19.4350662231445,19.8551902770996,20.228443145752,20.6938743591309,0.858904464089654,0.993555423949802,0.00280790143369389,0.0692143440246511,"Non-significant","TPIS_HUMAN","TPI1","Triosephosphate isomerase"
"Toll-like receptor 7",16.9670581817627,17.7331619262695,17.2461185455322,17.3309955596924,17.7332401275635,17.2321681976318,17.6577587127686,17.6981010437012,17.5115604400635,17.6701507568359,17.9464321136475,17.5259494781494,17.4158897399902,17.4872512817383,17.4625110626221,0.0766324174462018,0.662692101623066,0.178688205570001,0.233660697937026,"Non-significant","TLR7_HUMAN","TLR7","Toll-like receptor 7"
"Talin-1",17.7184925079346,17.9335060119629,17.6913681030273,18.0042419433594,18.1181354522705,18.0498600006104,18.1682415008545,18.0382118225098,17.9580364227295,18.1268653869629,17.7938575744629,17.7365741729736,17.9006481170654,18.1007900238037,17.9542579650879,0.606063693773214,0.986278956908265,0.00600023281587292,0.0561752319336222,"Non-significant","TLN1_HUMAN","TLN1","Talin-1"
"Transketolase-like protein 2",18.6795654296875,18.1471252441406,18.1323890686035,17.9777545928955,17.4268131256104,18.5084609985352,18.3527927398682,16.843111038208,16.4667625427246,17.8614025115967,13.5082950592041,16.4681797027588,17.2698307037354,16.9485034942627,17.3490734100342,0.439787483383931,0.986278956908265,0.00600023281587292,-0.839004039764426,"Non-significant","TKTL2_HUMAN","TKTL2","Transketolase-like protein 2"
"Transketolase",20.0014629364014,19.7531871795654,19.9294166564941,18.7280406951904,19.1097869873047,20.0819854736328,19.6850528717041,18.0855045318604,17.8913860321045,19.1266994476318,19.2492733001709,17.7301654815674,18.2506675720215,18.7708053588867,19.2957172393799,0.880117006444109,0.993555423949802,0.00280790143369389,0.0763769149780273,"Non-significant","TKT_HUMAN","TKT","Transketolase"
"Triokinase/FMN cyclase",17.7932796478271,17.7620830535889,17.793851852417,17.0459728240967,17.5437412261963,18.1357288360596,18.1247177124023,16.8594989776611,16.5045795440674,17.3645706176758,17.5061836242676,16.2983570098877,16.7626800537109,17.5972385406494,18.3871040344238,0.712836709445541,0.993555423949802,0.00280790143369389,-0.202636718749972,"Non-significant","TKFC_HUMAN","TKFC","Triokinase/FMN cyclase"
"Titin",18.181360244751,18.1878204345703,17.9076538085938,18.0996971130371,18.2657299041748,18.1589603424072,17.947961807251,17.8449878692627,17.7901000976563,18.1015338897705,18.1798610687256,17.9128665924072,18.0649223327637,17.9282760620117,18.0257835388184,0.971873293331244,0.995579334537958,0.00192412671719819,-0.00384140014647727,"Non-significant","TITIN_HUMAN","TTN","Titin"
"Thyroglobulin",16.2809467315674,16.5658836364746,16.190034866333,16.5404205322266,16.6911029815674,16.5070686340332,16.2065277099609,16.5428829193115,16.2888374328613,16.6325550079346,16.607364654541,16.3998222351074,16.4059772491455,16.7222080230713,16.5452461242676,0.997162262417774,0.999503625463254,0.000215626242382658,-0.000403404235850502,"Non-significant","THYG_HUMAN","TG","Thyroglobulin"
"Thiosulfate sulfurtransferase",17.9057693481445,17.2935791015625,17.7159614562988,16.4191989898682,16.7152652740479,17.618034362793,17.7069072723389,15.8465337753296,15.0879554748535,16.5213375091553,16.5919361114502,14.185510635376,15.6784238815308,15.2639074325562,16.3548011779785,0.30937382644234,0.954890286085711,0.0200465246306734,0.641279935836774,"Non-significant","THTR_HUMAN","TST","Thiosulfate sulfurtransferase"
"3-mercaptopyruvate sulfurtransferase",16.5061817169189,16.3749237060547,16.6624450683594,15.9072217941284,15.5651826858521,16.5684700012207,16.4153518676758,14.9787368774414,14.7888202667236,15.8981714248657,15.8552265167236,14.1230144500732,14.1524667739868,15.3193368911743,16.1752414703369,0.481731850229708,0.986278956908265,0.00600023281587292,0.437723875045775,"Non-significant","THTM_HUMAN","MPST","3-mercaptopyruvate sulfurtransferase"
"Prothrombin",20.7016525268555,20.6197319030762,20.6385459899902,21.1629028320313,21.1315135955811,20.7810306549072,21.0685806274414,21.2797565460205,21.3867282867432,21.3380336761475,21.0685997009277,21.4268283843994,21.3683376312256,21.493236541748,21.5898494720459,0.0606716824735901,0.60090783386077,0.221192134178927,-0.201283454895002,"Non-significant","THRB_HUMAN","F2","Prothrombin"
"Thioredoxin, mitochondrial",14.8278636932373,14.6517019271851,15.0730953216553,13.2843418121338,14.4421272277832,14.2984781265259,14.8658399581909,12.0198087692261,12.8206367492676,13.0143413543701,14.1679553985596,14.2181615829468,14.104884147644,13.8764810562134,13.8953142166138,0.103346179960115,0.700192218930129,0.154782719755626,-1.01802468299865,"Non-significant","THIOM_HUMAN","TXN2","Thioredoxin, mitochondrial"
