"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1CM_vs_D8CM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8CM_vs_D1CM"
-1.66730356,18.23528981,-82.2940673434696,7.59282599932307e-12,5.66924693543188e-09,18.1826048301009,"ANXA2_HUMAN",42,101.007207769186,4.98587239695014e-13,3.8205380394448e-10,1.66730356,"Up in D8CM",9.41787547187686,"ANXA2","ANXA2_HUMAN",-1.66730356
-1.23651266,12.77360964,-70.6128420874429,2.2492457659321e-11,7.56496491946551e-09,17.1567701864565,"DSG2_HUMAN",47,96.0091920387726,7.29328939653975e-13,5.12292802695279e-10,1.23651266,"Up in D8CM",9.29048174557141,"DSG2","DSG2_HUMAN",-1.23651266
-2.29450035,13.51211071,-80.9527872286447,8.53173816106835e-12,5.66924693543188e-09,18.0751183557913,"EPIPL_HUMAN",173,94.1214105107414,8.46366292969184e-13,5.48770883341327e-10,2.29450035,"Up in D8CM",9.26060893946539,"EPPK1","EPIPL_HUMAN",-2.29450035
-1.12409639,16.84221387,-61.0515295343695,6.3111319189644e-11,1.08469973617671e-08,16.1370525630748,"FLNB_HUMAN",187,90.6269101332581,1.12381771367736e-12,6.76618536327605e-10,1.12409639,"Up in D8CM",9.16965610865486,"FLNB","FLNB_HUMAN",-1.12409639
-1.38048768,12.5297218575,-71.4134712003026,2.07638469630037e-11,7.29243608546492e-09,17.2340910821723,"A0AAG2UXZ5_HUMAN",37,87.5523135764397,1.45553436090119e-12,8.17913275202409e-10,1.38048768,"Up in D8CM",9.08729274290296,"COL18A1","A0AAG2UXZ5_HUMAN",-1.38048768
1.9872071725,12.92290079625,84.5376078056993,6.27367451812479e-12,5.28808025132738e-09,18.3570656509568,"HMOX1_HUMAN",18,-85.0597115561654,1.80723933731918e-12,8.74749407587331e-10,-1.9872071725,"Up in D1CM",9.05811634296525,"HMOX1","HMOX1_HUMAN",1.9872071725
1.1072192225,17.94779992125,61.696113685833,5.85826885673548e-11,1.08469973617671e-08,16.211927755407,"PDIA4_HUMAN",55,-84.7160922936939,1.86289482539313e-12,8.74749407587331e-10,-1.1072192225,"Up in D1CM",9.05811634296525,"PDIA4","PDIA4_HUMAN",1.1072192225
-1.0526166,13.5725893975,-58.0583352668205,9.01307570489525e-11,1.30984853649245e-08,15.7762119964566,"MYLK_HUMAN",99,84.6850724236339,1.86801392058037e-12,8.74749407587331e-10,1.0526166,"Up in D8CM",9.05811634296525,"MYLK","MYLK_HUMAN",-1.0526166
1.06381035,13.67380786,60.9600800136934,6.37856087825263e-11,1.08469973617671e-08,16.126350899661,"HS105_HUMAN",48,-83.4617095605416,2.08320522743862e-12,9.24175624320006e-10,-1.06381035,"Up in D1CM",9.03424549044069,"HSPH1","HS105_HUMAN",1.06381035
-2.928235055,12.880918025,-78.2828628929195,1.08235552981353e-11,5.73916480439451e-09,17.8537008031316,"HTRA1_HUMAN",27,82.5828523576698,2.25516851909186e-12,9.50440772371266e-10,2.928235055,"Up in D8CM",9.0220749414327,"HTRA1","HTRA1_HUMAN",-2.928235055
-0.997227430000002,15.4811521775,-60.3292009996502,6.86676761834108e-11,1.13490165205876e-08,16.051982401878,"AGM1_HUMAN",38,81.1455486217801,2.57223491307161e-12,1.03244609915622e-09,0.997227430000002,"Up in D8CM",8.98613261226242,"PGM3","AGM1_HUMAN",-0.997227430000002
-1.0250067725,16.80081105375,-54.7935743752473,1.35836709461852e-10,1.66491318846814e-08,15.3560562821807,"FAS_HUMAN",166,79.69879995047,2.94338304109237e-12,1.11427984721004e-09,1.0250067725,"Up in D8CM",8.9530057240311,"FASN","FAS_HUMAN",-1.0250067725
-1.375040295,16.0657290225,-66.6898338190014,3.3735792401626e-11,8.97077973512436e-09,16.7608457694568,"APOE_HUMAN",35,79.0263422816308,3.13629328996739e-12,1.11427984721004e-09,1.375040295,"Up in D8CM",8.9530057240311,"APOE","APOE_HUMAN",-1.375040295
-1.4329736225,15.70846474125,-72.5211619002225,1.86163392135765e-11,6.8224836187494e-09,17.339220754918,"SCRB2_HUMAN",23,78.9046848006933,3.17270332578491e-12,1.11427984721004e-09,1.4329736225,"Up in D8CM",8.9530057240311,"SCARB2","SCRB2_HUMAN",-1.4329736225
2.5262107825,13.30376839625,72.8278858930404,1.80672883228283e-11,6.8224836187494e-09,17.3679601097695,"PLIN2_HUMAN",27,-77.1668245321815,3.74878736301028e-12,1.1571629038183e-09,-2.5262107825,"Up in D1CM",8.93660549735835,"PLIN2","PLIN2_HUMAN",2.5262107825
-1.4809794425,10.86304497625,-64.152418133261,4.44173015295235e-11,9.13154718517936e-09,16.4886143135855,"LIMC1_HUMAN",55,76.942677834804,3.83137889598252e-12,1.1571629038183e-09,1.4809794425,"Up in D8CM",8.93660549735835,"LIMCH1","LIMC1_HUMAN",-1.4809794425
0.908713814999999,13.97547579,53.2111089158608,1.67188320032294e-10,1.81809852446216e-08,15.1415213051719,"PARP1_HUMAN",57,-76.7791087935536,3.89295124931836e-12,1.1571629038183e-09,-0.908713814999999,"Up in D1CM",8.93660549735835,"PARP1","PARP1_HUMAN",0.908713814999999
-1.98195361825,10.744112013375,-69.119102305676,2.61754538634669e-11,8.17158891167267e-09,17.0094270237183,"ERBB2_HUMAN",39,76.6533759081021,3.94104358865834e-12,1.1571629038183e-09,1.98195361825,"Up in D8CM",8.93660549735835,"ERBB2","ERBB2_HUMAN",-1.98195361825
-2.255158185,16.0286747225,-77.3096907532693,1.18279909304992e-11,5.73916480439451e-09,17.7704257901093,"TPM1_HUMAN",16,76.3649753416077,4.05392033653859e-12,1.1571629038183e-09,2.255158185,"Up in D8CM",8.93660549735835,"TPM1","TPM1_HUMAN",-2.255158185
-1.5314223775,14.16803228875,-66.0117893383172,3.62713347875574e-11,8.97077973512436e-09,16.6893966402109,"CAN2_HUMAN",37,76.1537157114794,4.13893105481439e-12,1.1571629038183e-09,1.5314223775,"Up in D8CM",8.93660549735835,"CAPN2","CAN2_HUMAN",-1.5314223775
-1.4849779625,11.55440890875,-64.7952266597625,4.13855822277672e-11,9.13154718517936e-09,16.5588461082839,"UBA7_HUMAN",41,75.8712022681062,4.25578953830436e-12,1.1571629038183e-09,1.4849779625,"Up in D8CM",8.93660549735835,"UBA7","UBA7_HUMAN",-1.4849779625
-2.4318294525,13.16538596125,-80.6733265756953,8.74364813864212e-12,5.66924693543188e-09,18.052413773468,"CAVN1_HUMAN",13,75.2291575971898,4.53553366788461e-12,1.16617123339675e-09,2.4318294525,"Up in D8CM",8.93323767576967,"CAVIN1","CAVN1_HUMAN",-2.4318294525
-1.86914944525,9.311288952375,-76.9233675921066,1.22558982654053e-11,5.73916480439451e-09,17.7369745265447,"SULF2_HUMAN",16,74.7387964785193,4.76325404586071e-12,1.16617123339675e-09,1.86914944525,"Up in D8CM",8.93323767576967,"SULF2","SULF2_HUMAN",-1.86914944525
-2.292675495,10.63418293,-78.2810130251575,1.08253699516826e-11,5.73916480439451e-09,17.8535438393448,"F151A_HUMAN",14,74.53610592676,4.8611453518819e-12,1.16617123339675e-09,2.292675495,"Up in D8CM",8.93323767576967,"FAM151A","F151A_HUMAN",-2.292675495
0.967631099999998,14.8317548025,55.7203089762926,1.20613746863668e-10,1.56408195740593e-08,15.4783079588726,"FKBP4_HUMAN",42,-74.3558218006242,4.95013430335445e-12,1.16617123339675e-09,-0.967631099999998,"Up in D1CM",8.93323767576967,"FKBP4","FKBP4_HUMAN",0.967631099999998
-1.5555658325,14.92353773125,-64.2760640092963,4.38149777889173e-11,9.13154718517936e-09,16.5021919296,"DPP4_HUMAN",42,74.2947809709075,4.98068150460112e-12,1.16617123339675e-09,1.5555658325,"Up in D8CM",8.93323767576967,"DPP4","DPP4_HUMAN",-1.5555658325
-2.0442566875,14.42194080375,-66.463998570373,3.45571465897698e-11,8.97077973512436e-09,16.7371509985823,"VILI_HUMAN",48,73.6762734518958,5.30255705382491e-12,1.20797982180244e-09,2.0442566875,"Up in D8CM",8.91794032014622,"VIL1","VILI_HUMAN",-2.0442566875
0.896553277499997,12.56065738125,51.1362077652134,2.21611910107397e-10,2.12268953442642e-08,14.8485656114302,"LARP1_HUMAN",63,-73.1912532122847,5.57149983841619e-12,1.23485318940482e-09,-0.896553277499997,"Up in D1CM",8.90838467221917,"LARP1","LARP1_HUMAN",0.896553277499997
-1.54594898,12.5730381025,-64.629551742837,4.21437541073511e-11,9.13154718517936e-09,16.5408287222279,"ENAH_HUMAN",32,72.7430780884523,5.83382317097603e-12,1.23485318940482e-09,1.54594898,"Up in D8CM",8.90838467221917,"ENAH","ENAH_HUMAN",-1.54594898
-1.7673718925,13.74664199375,-75.0848295994897,1.45503548265129e-11,6.13224704163386e-09,17.5746318003829,"CRYM_HUMAN",16,72.6995759461822,5.86002225367098e-12,1.23485318940482e-09,1.7673718925,"Up in D8CM",8.90838467221917,"CRYM","CRYM_HUMAN",-1.7673718925
1.2349596025,14.00378155625,72.8419830049264,1.80425013122681e-11,6.8224836187494e-09,17.3692771535084,"GPX2_HUMAN",18,-71.9316511298001,6.34517791740272e-12,1.27345703478506e-09,-1.2349596025,"Up in D1CM",8.8950157031311,"GPX2","GPX2_HUMAN",1.2349596025
-2.0523598175,11.17125070125,-70.2477496889602,2.33348069647767e-11,7.56496491946551e-09,17.1211321196119,"SMOC1_HUMAN",19,71.9313475415595,6.34537851002165e-12,1.27345703478506e-09,2.0523598175,"Up in D8CM",8.8950157031311,"SMOC1","SMOC1_HUMAN",-2.0523598175
2.2576994895,10.51568532025,67.3734176923188,3.13821381819359e-11,8.97077973512436e-09,16.831950749621,"ASNS_HUMAN",27,-71.5488695836723,6.60390125344254e-12,1.29451822477365e-09,-2.2576994895,"Up in D1CM",8.88789183100515,"ASNS","ASNS_HUMAN",2.2576994895
-1.34126568,17.8796520225,-59.5553098199686,7.52491644997278e-11,1.19674567465699e-08,15.9594436914941,"GATM_HUMAN",48,71.2499991295104,6.81423330089932e-12,1.30539028393819e-09,1.34126568,"Up in D8CM",8.88425962409579,"GATM","GATM_HUMAN",-1.34126568
1.6715285775,11.45278489375,65.9247367227671,3.66123467831616e-11,8.97077973512436e-09,16.6801561338135,"PACN3_HUMAN",23,-70.0831685708408,7.71131303360661e-12,1.44441461245045e-09,-1.6715285775,"Up in D1CM",8.84030812667383,"PACSIN3","PACN3_HUMAN",1.6715285775
-1.3445870875,14.97860634375,-63.6217717252859,4.71118275290501e-11,9.45489510100866e-09,16.4299697992588,"GSTM3_HUMAN",24,69.4245219162094,8.27641406706715e-12,1.51000972575948e-09,1.3445870875,"Up in D8CM",8.82102025546837,"GSTM3","GSTM3_HUMAN",-1.3445870875
1.4027087675,14.59221517875,61.5097406878795,5.98528255290432e-11,1.08469973617671e-08,16.1903780516393,"AK1D1_HUMAN",30,-69.2654932937747,8.4197955997978e-12,1.51000972575948e-09,-1.4027087675,"Up in D1CM",8.82102025546837,"AKR1D1","AK1D1_HUMAN",1.4027087675
-2.828308105,16.838336945,-65.4234270377545,3.86487738841961e-11,9.04918097416359e-09,16.6266411338376,"CLUS_HUMAN",30,68.8540166475663,8.80403313065148e-12,1.54602490121378e-09,2.828308105,"Up in D8CM",8.8107835153513,"CLU","CLUS_HUMAN",-2.828308105
-1.70484256625,10.691713809375,-65.9281033551557,3.65990908587037e-11,8.97077973512436e-09,16.6805137836735,"ALDR_HUMAN",20,68.2091482561872,9.44686796675987e-12,1.62505408350651e-09,1.70484256625,"Up in D8CM",8.78913218066814,"AKR1B1","ALDR_HUMAN",-1.70484256625
-1.193619725,11.8064482225,-67.9312307865237,2.95997104145054e-11,8.91056996728094e-09,16.8892953971487,"IGSF8_HUMAN",18,67.2603507455514,1.04917383941908e-11,1.74681113586395e-09,1.193619725,"Up in D8CM",8.75775404812873,"IGSF8","IGSF8_HUMAN",-1.193619725
-2.91191912,11.9293546675,-64.2395245183468,4.39919996264842e-11,9.13154718517936e-09,16.4981829170723,"APOA5_HUMAN",27,67.194358631622,1.05691503059748e-11,1.74681113586395e-09,2.91191912,"Up in D8CM",8.75775404812873,"APOA5","APOA5_HUMAN",-2.91191912
-1.13063049,11.91799283,-55.0957603085169,1.30644184041342e-10,1.64358183176787e-08,15.3961884920177,"ITB5_HUMAN",36,65.6985126391326,1.2510029919229e-11,2.02782773440733e-09,1.13063049,"Up in D8CM",8.69296894143633,"ITGB5","ITB5_HUMAN",-1.13063049
-1.2787215725,16.06405889875,-55.7982259327591,1.19425143068925e-10,1.56408195740593e-08,15.4884758656006,"CALD1_HUMAN",42,65.5036706588923,1.27913840988142e-11,2.03431276545104e-09,1.2787215725,"Up in D8CM",8.69158227566735,"CALD1","CALD1_HUMAN",-1.2787215725
-1.094597815,17.89486599,-53.306841748939,1.65072392605207e-10,1.81809852446216e-08,15.154712913145,"BHMT1_HUMAN",37,63.83541007552,1.55171798798273e-11,2.38578832242787e-09,1.094597815,"Up in D8CM",8.62236809146184,"BHMT","BHMT1_HUMAN",-1.094597815
-2.1550214275,12.13301837625,-58.9909509111341,8.05034880285982e-11,1.23375254653283e-08,15.8910296096257,"PCSK6_HUMAN",46,63.8078205039166,1.55674881639023e-11,2.38578832242787e-09,2.1550214275,"Up in D8CM",8.62236809146184,"PCSK6","PCSK6_HUMAN",-2.1550214275
-1.89692092,13.6562465425,-78.0262204374631,1.10786608418382e-11,5.73916480439451e-09,17.8318762007081,"SCD_HUMAN",11,63.5091935921686,1.612401262231e-11,2.42695182845448e-09,1.89692092,"Up in D8CM",8.61493884371093,"SCD","SCD_HUMAN",-1.89692092
-1.3565559375,12.96614289375,-55.473719487158,1.24465275144149e-10,1.58957243059095e-08,15.4460166202292,"CADH2_HUMAN",34,62.6105083279816,1.79397008251485e-11,2.57795876443421e-09,1.3565559375,"Up in D8CM",8.5887240336552,"CDH2","CADH2_HUMAN",-1.3565559375
-0.618074657500001,15.34083116125,-37.1924134773634,2.10986090738231e-09,7.83867972569642e-08,12.4445740970915,"MYH14_HUMAN",140,62.4943385474336,1.81908920425383e-11,2.57795876443421e-09,0.618074657500001,"Up in D8CM",8.5887240336552,"MYH14","MYH14_HUMAN",-0.618074657500001
-1.1910524375,14.82053876125,-53.0078078203266,1.71785182181819e-10,1.81809852446216e-08,15.1134142696973,"PLOD2_HUMAN",41,62.4455951607702,1.8297473798004e-11,2.57795876443421e-09,1.1910524375,"Up in D8CM",8.5887240336552,"PLOD2","PLOD2_HUMAN",-1.1910524375
1.770181655,11.2642278675,58.5126292599768,8.52861501390399e-11,1.27239821425995e-08,15.8324190284898,"ZN622_HUMAN",26,-62.3890716898142,1.84219544557487e-11,2.57795876443421e-09,-1.770181655,"Up in D1CM",8.5887240336552,"ZNF622","ZN622_HUMAN",1.770181655
-1.6262056775,14.07326042625,-58.4396248202508,8.60442498669085e-11,1.27239821425995e-08,15.8234223647441,"HEXA_HUMAN",24,62.1161873180921,1.90365841443432e-11,2.57795876443421e-09,1.6262056775,"Up in D8CM",8.5887240336552,"HEXA","HEXA_HUMAN",-1.6262056775
-2.0223903675,11.58844494625,-57.105574920124,1.01346438423533e-10,1.42374854911993e-08,15.6565867777975,"HKDC1_HUMAN",46,61.9828804846063,1.93452621340659e-11,2.57795876443421e-09,2.0223903675,"Up in D8CM",8.5887240336552,"HKDC1","HKDC1_HUMAN",-2.0223903675
-1.05313730749999,17.03621888125,-47.8220302679419,3.5622145120838e-10,2.75685783735024e-08,14.3507459995449,"AHNK_HUMAN",309,61.8566145070834,1.96428761087848e-11,2.57795876443421e-09,1.05313730749999,"Up in D8CM",8.5887240336552,"AHNAK","AHNK_HUMAN",-1.05313730749999
-1.0204834925,15.54548382875,-49.36927426363,2.84299571030494e-10,2.39636108421603e-08,14.5879539324494,"A0A6Q8PH20_HUMAN",52,61.6897054742648,2.00442820653577e-11,2.57795876443421e-09,1.0204834925,"Up in D8CM",8.5887240336552,"CAST","A0A6Q8PH20_HUMAN",-1.0204834925
-2.09506917,11.2858279925,-61.0891275822673,6.28364566821823e-11,1.08469973617671e-08,16.141446666581,"ASM3A_HUMAN",17,61.6161014210455,2.02242422506336e-11,2.57795876443421e-09,2.09506917,"Up in D8CM",8.5887240336552,"SMPDL3A","ASM3A_HUMAN",-2.09506917
-1.7207350725,11.56850981625,-65.7645000689498,3.72496489179443e-11,8.97077973512436e-09,16.6631068487281,"IYD1_HUMAN",14,61.5266603278703,2.04453925878312e-11,2.57795876443421e-09,1.7207350725,"Up in D8CM",8.5887240336552,"IYD","IYD1_HUMAN",-1.7207350725
-1.032181025,13.8968125575,-52.974303345706,1.72556509617953e-10,1.81809852446216e-08,15.1087699897729,"ACOT9_HUMAN",29,61.508132687348,2.04915455234419e-11,2.57795876443421e-09,1.032181025,"Up in D8CM",8.5887240336552,"ACOT9","ACOT9_HUMAN",-1.032181025
-1.3028275975,15.76508343125,-54.767810403098,1.36290200503383e-10,1.66491318846814e-08,15.352622494711,"HEXB_HUMAN",26,59.8259646720766,2.52192144360985e-11,3.12606997767462e-09,1.3028275975,"Up in D8CM",8.50500130444294,"HEXB","HEXB_HUMAN",-1.3028275975
-1.2266030275,15.45950388875,-53.5982193759806,1.58817797492612e-10,1.81623882196245e-08,15.194692356581,"BHMT2_HUMAN",28,59.6450568866239,2.57974892224302e-11,3.15140632834586e-09,1.2266030275,"Up in D8CM",8.50149559721268,"BHMT2","BHMT2_HUMAN",-1.2266030275
-1.84607910999999,12.21865642,-55.9731008897813,1.16805786858515e-10,1.56408195740593e-08,15.511234824771,"CAP2_HUMAN",27,59.5073288754135,2.62478199379627e-11,3.16061248938697e-09,1.84607910999999,"Up in D8CM",8.50022874808241,"CAP2","CAP2_HUMAN",-1.84607910999999
-1.50966691775,9.810254811125,-53.949695903427,1.51629695808815e-10,1.80012212108803e-08,15.2425777955707,"FIL1L_HUMAN",33,59.3115994705441,2.6903205630023e-11,3.19390310218963e-09,1.50966691775,"Up in D8CM",8.49567826378385,"FILIP1L","FIL1L_HUMAN",-1.50966691775
1.37748742,12.7266932725,54.236366773219,1.46040914260597e-10,1.75854123757511e-08,15.2813616974297,"HUTU_HUMAN",27,-59.1029667779779,2.76222952377915e-11,3.20559194210213e-09,-1.37748742,"Up in D1CM",8.49409176226021,"UROC1","HUTU_HUMAN",1.37748742
-1.1275467875,15.16391611125,-49.4806386274026,2.79798155006973e-10,2.38224105914523e-08,14.6046962118514,"AMPN_HUMAN",49,59.0630696954595,2.7762274501537e-11,3.20559194210213e-09,1.1275467875,"Up in D8CM",8.49409176226021,"ANPEP","AMPN_HUMAN",-1.1275467875
-2.78298234925,11.238007545375,-57.729952030761,9.38283415360163e-11,1.34047303526624e-08,15.7352506716903,"SFXN3_HUMAN",17,58.7631438244259,2.88406798313131e-11,3.26131606107519e-09,2.78298234925,"Up in D8CM",8.48660711075263,"SFXN3","SFXN3_HUMAN",-2.78298234925
-1.110587125,12.7697145925,-50.0906441316644,2.56537638515114e-10,2.30037846281265e-08,14.6956372502395,"AMPE_HUMAN",38,58.7148535711017,2.90187097616134e-11,3.26131606107519e-09,1.110587125,"Up in D8CM",8.48660711075263,"ENPEP","AMPE_HUMAN",-1.110587125
-3.435500385,12.5951098225,-59.9563018250425,7.1753273904314e-11,1.16309297257589e-08,16.007574991359,"TSK_HUMAN",11,58.563155445214,2.95861216301501e-11,3.28133446342809e-09,3.435500385,"Up in D8CM",8.48394950011743,"TSKU","TSK_HUMAN",-3.435500385
-1.21554756,15.633589745,-59.3626422778434,7.69976861501671e-11,1.20187684548103e-08,15.936176800683,"TBB6_HUMAN",17,57.984153001271,3.18704249771953e-11,3.48877678094519e-09,1.21554756,"Up in D8CM",8.45732681670981,"TUBB6","TBB6_HUMAN",-1.21554756
-1.90102768,13.92549038,-56.0261499208793,1.16024192812456e-10,1.56408195740593e-08,15.5181220442905,"QORX_HUMAN",20,57.8008533790279,3.26347473409576e-11,3.52664468380681e-09,1.90102768,"Up in D8CM",8.45263829412763,"TP53I3","QORX_HUMAN",-1.90102768
-0.979817870000005,18.0178577875,-44.6863308995563,5.7579570596885e-10,3.64915940271536e-08,13.8419644481093,"MYH9_HUMAN",152,57.499543009941,3.39367217751938e-11,3.62091933978618e-09,0.979817870000005,"Up in D8CM",8.44118114949283,"MYH9","MYH9_HUMAN",-0.979817870000005
1.0912323,12.119683505,46.2528661325698,4.5115363015951e-10,3.14278838728472e-08,14.1010353328447,"SPTN2_HUMAN",127,-57.1197516216208,3.56624769321087e-11,3.7574877257593e-09,-1.0912323,"Up in D1CM",8.42510242940871,"SPTBN2","SPTN2_HUMAN",1.0912323
1.0299234375,12.34936475625,45.9045017058823,4.75962179855038e-10,3.19975140921861e-08,14.0442904124315,"COBL1_HUMAN",67,-56.4483040310365,3.8962526914645e-11,4.02677497961346e-09,-1.0299234375,"Up in D1CM",8.39504263854321,"COBLL1","COBL1_HUMAN",1.0299234375
0.988178255000003,11.2414250375,48.2339035138423,3.35230209168546e-10,2.64079947016979e-08,14.4147418274795,"HMDH_HUMAN",32,-56.3702915609192,3.93679015457675e-11,4.02677497961346e-09,-0.988178255000003,"Up in D1CM",8.39504263854321,"HMGCR","HMDH_HUMAN",0.988178255000003
0.936396604999995,16.878231525,48.4054572699391,3.26905807705261e-10,2.59951797466759e-08,14.4412128706201,"AK1BA_HUMAN",29,-56.3162573477152,3.96514798087456e-11,4.02677497961346e-09,-0.936396604999995,"Up in D1CM",8.39504263854321,"AKR1B10","AK1BA_HUMAN",0.936396604999995
1.4488563525,15.03694581875,52.5304206074953,1.83157388953698e-10,1.86316592408987e-08,15.046912538346,"SQSTM_HUMAN",24,-55.8701292626556,4.20833295092519e-11,4.22286171944624e-09,-1.4488563525,"Up in D1CM",8.37439313961812,"SQSTM1","SQSTM_HUMAN",1.4488563525
1.11068058,11.5787591925,46.4879591055004,4.35244973943895e-10,3.05723323781091e-08,14.139056171132,"AKA12_HUMAN",65,-55.6688473218997,4.32355156291441e-11,4.27126586381804e-09,-1.11068058,"Up in D1CM",8.36944339518625,"AKAP12","AKA12_HUMAN",1.11068058
-1.5371248675,15.94232213625,-51.4140009920212,2.13267135422357e-10,2.0662398672127e-08,14.8885858795062,"TPM4_HUMAN",30,55.6099862158905,4.35791747880355e-11,4.27126586381804e-09,1.5371248675,"Up in D8CM",8.36944339518625,"TPM4","TPM4_HUMAN",-1.5371248675
-1.15762329,14.2388553625,-60.8852701340849,6.43433228245766e-11,1.08469973617671e-08,16.1175817595459,"RRAS_HUMAN",15,55.3082017394959,4.53904817333e-11,4.39765943137915e-09,1.15762329,"Up in D8CM",8.35677840680783,"RRAS","RRAS_HUMAN",-1.15762329
1.2931871425,12.00038361625,49.7229499327209,2.70281781363095e-10,2.38224105914523e-08,14.6409749201535,"LPIN2_HUMAN",32,-55.1240146939534,4.65378347730633e-11,4.45758419661535e-09,-1.2931871425,"Up in D1CM",8.350900444949,"LPIN2","LPIN2_HUMAN",1.2931871425
-0.7183949925,11.39060342125,-39.9229590618408,1.27842719023552e-09,5.69437406754192e-08,12.9869975851113,"EHBP1_HUMAN",57,55.0126155242016,4.72477057300489e-11,4.47472934380429e-09,0.7183949925,"Up in D8CM",8.34923322806809,"EHBP1","EHBP1_HUMAN",-0.7183949925
0.734940049999999,11.8439481275,39.9499027646968,1.27234069984177e-09,5.69437406754192e-08,12.9921457823951,"ABCBB_HUMAN",63,-54.86470792536,4.82092572724247e-11,4.51506477276964e-09,-0.734940049999999,"Up in D1CM",8.34533601495077,"ABCB11","ABCBB_HUMAN",0.734940049999999
-4.276700255,11.1770952925,-52.5179749921786,1.83465146161418e-10,1.86316592408987e-08,15.0451693355011,"PEG10_HUMAN",23,54.1432223279038,5.32292771724985e-11,4.93043491524165e-09,4.276700255,"Up in D8CM",8.30711476977781,"PEG10","PEG10_HUMAN",-4.276700255
-1.0605943225,12.62076938125,-48.470890765207,3.2379303842404e-10,2.59928716273927e-08,14.4512810222549,"AS3MT_HUMAN",27,53.9997498340629,5.42966977128115e-11,4.97463983718791e-09,1.0605943225,"Up in D8CM",8.30323835660348,"AS3MT","AS3MT_HUMAN",-1.0605943225
0.972523925000001,13.077035785,44.9047292613444,5.56261257252483e-10,3.57918025754289e-08,13.8786927263258,"TOP1_HUMAN",42,-53.7044299398055,5.65710793921244e-11,5.1272863246905e-09,-0.972523925000001,"Up in D1CM",8.29011242943672,"TOP1","TOP1_HUMAN",0.972523925000001
1.192138911,10.565266967,51.5502561738455,2.0930547672186e-10,2.0662398672127e-08,14.9081234029844,"AATF_HUMAN",20,-53.4244377912167,5.88275651161072e-11,5.25614729028612e-09,-1.192138911,"Up in D1CM",8.27933247326901,"AATF","AATF_HUMAN",1.192138911
