"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-0.335135684184966,21.4196189181555,-10.7135690988282,1.10873784474575e-05,0.00516080508800988,4.05282480291378,"A2MG_HUMAN",56,-12.6799917838905,7.3358668579008e-07,0.000433400579348124,0.335135684184973,"Non-significant",3.36311051247276,"A2M","Alpha-2-macroglobulin","A2MG_HUMAN"
-0.600714686500098,20.8981564237146,-17.5538242205427,3.57903626990864e-07,0.000832961041216737,6.87135365143744,"APOA2_HUMAN",6,-12.6563836824325,7.44887847633556e-07,0.000433400579348124,0.600714686500094,"Up in C",3.36311051247276,"APOA2","Apolipoprotein A-II","APOA2_HUMAN"
-0.282966877054683,21.0287497534795,-10.9508345649476,9.54728528101991e-06,0.00476136755943436,4.1894863149936,"PLIN2_HUMAN",29,-12.399283123559,8.81319387921392e-07,0.000473336305112859,0.282966877054683,"Non-significant",3.32483018366746,"PLIN2","Perilipin-2","PLIN2_HUMAN"
-0.167238955333339,19.8383478826487,-8.76771820529718,4.27991824692169e-05,0.00998743292309463,2.77545397219927,"CSDE1_HUMAN",44,-11.6477187827658,1.46814385097288e-06,0.000732184311963762,0.167238955333339,"Non-significant",3.13537958069972,"CSDE1","Cold shock domain-containing protein E1","CSDE1_HUMAN"
-0.193001468186843,21.1068884436522,-8.23318086507967,6.48880819724866e-05,0.0113262147082975,2.36834915392326,"AL1L1_HUMAN",60,-10.5554564318192,3.25620513767064e-06,0.00119091449594001,0.193001468186836,"Non-significant",2.9241194184286,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN"
0.217473077545733,21.0291465572907,9.42818943264465,2.63405299111534e-05,0.00766289915998639,3.24280205394237,"COIA1_HUMAN",26,10.4944980401089,3.41138497834434e-06,0.00119091449594001,-0.21747307754573,"Non-significant",2.9241194184286,"COL18A1","Collagen alpha-1(XVIII) chain","COIA1_HUMAN"
0.585740215619705,19.2568685136382,10.0331538745773,1.73169606065423e-05,0.00696570393411166,3.63937322614714,"KCRB_HUMAN",13,10.5418059122196,3.29026275350286e-06,0.00119091449594001,-0.585740215619701,"Up in B",2.9241194184286,"CKB","Creatine kinase B-type","KCRB_HUMAN"
0.529579124195283,17.5120364391733,9.58508919456101,2.35734616785833e-05,0.00748135951999404,3.34842581684636,"PGBM_HUMAN",29,10.5554938618792,3.25611228963881e-06,0.00119091449594001,-0.529579124195273,"Up in B",2.9241194184286,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
-0.183021541680688,21.0463052521349,-9.50722649315567,2.49033126670989e-05,0.00755977952355149,3.29625842817216,"RETST_HUMAN",26,-10.6690762672016,2.98741651041096e-06,0.00119091449594001,0.183021541680684,"Non-significant",2.9241194184286,"RETSAT","All-trans-retinol 13,14-reductase","RETST_HUMAN"
-0.448223866384048,17.6796457604068,-9.72649759852353,2.13582941281227e-05,0.00710112426678824,3.44193180315493,"SMC5_HUMAN",24,-10.6236701880013,3.09176516184663e-06,0.00119091449594001,0.448223866384048,"Non-significant",2.9241194184286,"SMC5","Structural maintenance of chromosomes protein 5","SMC5_HUMAN"
-0.325062936441999,20.39819990866,-9.28062621853674,2.92817083074499e-05,0.00786326490010058,3.14162277618043,"ITIH2_HUMAN",30,-10.3702046392171,3.75383483973873e-06,0.00124806070719313,0.325062936441995,"Non-significant",2.90376428952717,"ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2","ITIH2_HUMAN"
0.256725560618843,20.6588325660728,8.53229985598174,5.12693544913491e-05,0.0100665326908758,2.59949278187324,"PEG3_HUMAN",69,10.2847205290354,4.01142819288228e-06,0.00127308143830473,-0.25672556061884,"Non-significant",2.89514381388358,"PEG3","Paternally-expressed gene 3 protein","PEG3_HUMAN"
-0.224073048032533,19.7164558716372,-8.14565961448621,6.96120790010962e-05,0.011572179418706,2.29906162390579,"ACACA_HUMAN",74,-10.0739151798437,4.7344905568606e-06,0.00143722665513047,0.224073048032526,"Non-significant",2.84247473686905,"ACACA","Acetyl-CoA carboxylase 1","ACACA_HUMAN"
-0.502310592224838,18.0426733638396,-12.9261439673634,3.04710278233539e-06,0.00203786362498624,5.19592984139044,"NSE4A_HUMAN",6,-9.97358623683366,5.12842611179422e-06,0.00149194462968947,0.502310592224834,"Up in C",2.82624729446827,"NSMCE4A","Non-structural maintenance of chromosomes element 4 homolog A","NSE4A_HUMAN"
-0.295408216961309,21.0845100852336,-8.65165578486192,4.67598206026649e-05,0.00998743292309463,2.68934566511344,"A1AT_HUMAN",29,-9.64641505587557,6.68786823398995e-06,0.00172943318554511,0.295408216961309,"Non-significant",2.76209621174131,"SERPINA1","Alpha-1-antitrypsin","A1AT_HUMAN"
-0.200777362110824,19.9554163830509,-9.89994177779539,1.89556537880438e-05,0.00696570393411166,3.5544869389706,"DDC_HUMAN",18,-9.66392676405571,6.59223190733301e-06,0.00172943318554511,0.200777362110824,"Non-significant",2.76209621174131,"DDC","Aromatic-L-amino-acid decarboxylase","DDC_HUMAN"
0.172027239193071,23.5596674670793,7.50423676143653,0.000118836747143243,0.0154264229591405,1.76710395604862,"PCKGC_HUMAN",57,9.64690000927656,6.68519918662289e-06,0.00172943318554511,-0.172027239193067,"Non-significant",2.76209621174131,"PCK1","Phosphoenolpyruvate carboxykinase, cytosolic [GTP]","PCKGC_HUMAN"
-0.928290695875077,20.2827125064943,-8.73498290397472,4.38765894533267e-05,0.00998743292309463,2.75129216187679,"ALBU_HUMAN",40,-9.59183019452234,6.99596298110566e-06,0.00174449334050285,0.92829069587507,"Up in C",2.75833068410546,"ALB;cRAP-ALB","Albumin","ALBU_HUMAN"
-0.521315688212983,18.0263077171105,-13.3115193703799,2.48502788435111e-06,0.00203786362498624,5.36809151028104,"NSE1_HUMAN",5,-9.22485601999665,9.52445000090247e-06,0.00229309344504486,0.521315688212983,"Up in C",2.63957824712769,"NSMCE1","Non-structural maintenance of chromosomes element 1 homolog","NSE1_HUMAN"
-0.335882610277956,20.6170171435418,-8.43361446490652,5.5370045828957e-05,0.0104484772966967,2.52418690929551,"HMCS1_HUMAN",22,-9.13248281203526,1.0310275752482e-05,0.00232214017109127,0.33588261027796,"Non-significant",2.63411156853624,"HMGCS1","Hydroxymethylglutaryl-CoA synthase, cytoplasmic","HMCS1_HUMAN"
0.241230299974951,20.1496369793294,8.70808233938348,4.4784880667137e-05,0.00998743292309463,2.73136367694674,"PAI1_HUMAN",20,9.1487905079717,1.01664861370488e-05,0.00232214017109127,-0.241230299974944,"Non-significant",2.63411156853624,"SERPINE1","Plasminogen activator inhibitor 1","PAI1_HUMAN"
-0.151003540465489,22.5585472507234,-7.09335364722517,0.000170706450640556,0.0167869357517234,1.40259781229801,"ACS2B_HUMAN",42,-8.92747446006136,1.23233509881503e-05,0.0024881154263476,0.151003540465485,"Non-significant",2.6041294761263,"ACSM2B","Acyl-coenzyme A synthetase ACSM2B, mitochondrial","ACS2B_HUMAN"
0.133087800514794,24.8806687553166,6.74118788091154,0.000235954415449885,0.0193815732784835,1.07429963994393,"CALX_HUMAN",47,8.95074186494984,1.2074358750649e-05,0.0024881154263476,-0.133087800514797,"Non-significant",2.6041294761263,"CANX","Calnexin","CALX_HUMAN"
0.235789843086923,24.3834169373342,8.30483295315297,6.12884765489658e-05,0.0109722088016636,2.42450887312605,"VDAC3_HUMAN",22,8.9137708748365,1.24726496594337e-05,0.0024881154263476,-0.235789843086923,"Non-significant",2.6041294761263,"VDAC3","Voltage-dependent anion-selective channel protein 3","VDAC3_HUMAN"
0.154015984835873,20.3730541079006,7.80084360494533,9.23883572551126e-05,0.0140229458772869,2.01849998829901,"XPC_HUMAN",28,8.96746784316654,1.18988043199247e-05,0.0024881154263476,-0.15401598483588,"Non-significant",2.6041294761263,"XPC","DNA repair protein complementing XP-C cells","XPC_HUMAN"
-0.430899206990436,18.7764001977879,-9.13141346371741,3.26383623242278e-05,0.00836521242121177,3.03745495274326,"CADH2_HUMAN",9,-8.80512085885864,1.37296796809637e-05,0.00266279509812468,0.430899206990428,"Non-significant",2.57466225120188,"CDH2","Cadherin-2","CADH2_HUMAN"
-0.153350720303305,20.0438160057765,-7.56181297181953,0.000113098947454148,0.0154264229591405,1.81665451180343,"STAT1_HUMAN",29,-8.76417903996536,1.42391550352288e-05,0.00268696703935047,0.153350720303305,"Non-significant",2.57073766096393,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-0.366645147264215,16.5409791647696,-10.1305880335762,1.62196241398776e-05,0.00696570393411166,3.70061979248295,"ITA1_HUMAN",8,-8.68716712831753,1.52550488970068e-05,0.00280291451049741,0.366645147264222,"Non-significant",2.55239014811393,"ITGA1","Integrin alpha-1","ITA1_HUMAN"
-0.247537577620378,18.4958544650567,-7.49962179383429,0.000119310633026867,0.0154264229591405,1.76311637528247,"DHX29_HUMAN",29,-8.37385949482572,2.02976025432248e-05,0.00363379130658451,0.247537577620381,"Non-significant",2.43964001841525,"DHX29","ATP-dependent RNA helicase DHX29","DHX29_HUMAN"
-0.168000924211775,20.5389857379773,-7.59225219158829,0.000110191759232454,0.0154264229591405,1.84270303831812,"PLSI_HUMAN",24,-8.27335264591777,2.22856748244292e-05,0.00388996454060411,0.168000924211782,"Non-significant",2.41005435751495,"PLS1","Plastin-1","PLSI_HUMAN"
-0.14724694450463,20.332822153132,-6.6245198030265,0.000263412019675093,0.0201198319790949,0.962156493925945,"AT131_HUMAN",41,-8.19148169937931,2.4064381799704e-05,0.00409798813964715,0.147246944504626,"Non-significant",2.38742930286339,"ATP13A1","Endoplasmic reticulum transmembrane helix translocase","AT131_HUMAN"
0.158329732381375,22.2705463883559,7.15897524765704,0.000160936542675733,0.0167869357517234,1.46212262364541,"HEXA_HUMAN",28,8.14232007295843,2.52073805568018e-05,0.00419042692970453,-0.158329732381375,"Non-significant",2.37774172792407,"HEXA","Beta-hexosaminidase subunit alpha","HEXA_HUMAN"
0.249908017646018,21.8132441525532,8.00455603409405,7.80664361530102e-05,0.0123877240277345,2.1857317261299,"NNMT_HUMAN",16,8.11714495478763,2.58157816300491e-05,0.00419176249630239,-0.249908017646021,"Non-significant",2.3776033322904,"NNMT","Nicotinamide N-methyltransferase","NNMT_HUMAN"
-0.14599150584867,19.7754445273012,-6.55660822164389,0.000281032396558266,0.0206544020291559,0.896082527028612,"ITA2_HUMAN",40,-8.06678477553324,2.70820226048555e-05,0.00429742458697957,0.145991505848674,"Non-significant",2.36679173575691,"ITGA2","Integrin alpha-2","ITA2_HUMAN"
0.192871919757721,19.5603831200534,6.82452919372578,0.000218303012211946,0.0185877028202903,1.15336380666324,"K1C39_HUMAN",39,7.97939820736392,2.94449781157653e-05,0.00456855193787273,-0.192871919757721,"Non-significant",2.34022143341976,"KRT39","Keratin, type I cytoskeletal 39","K1C39_HUMAN"
-0.105995734310405,19.8218274473852,-5.73637816613993,0.000640387952429666,0.0283636415249725,0.0494522668943587,"CUL4B_HUMAN",48,-7.93171653772282,3.08295108861059e-05,0.00467938358710416,0.105995734310401,"Non-significant",2.32981135255638,"CUL4B","Cullin-4B","CUL4B_HUMAN"
0.0971862318771315,20.0367118657709,5.10493777125861,0.00127809740735446,0.0393113484499949,-0.667661221996218,"PEPL_HUMAN",100,7.89696298284694,3.18838534943678e-05,0.00472767259757041,-0.0971862318771315,"Non-significant",2.32535260699818,"PPL","Periplakin","PEPL_HUMAN"
-0.373816220418149,19.8651389389654,-8.63930742117446,4.72049966287773e-05,0.00998743292309463,2.68011123612027,"S38A3_HUMAN",8,-7.87717459437384,3.25019027045803e-05,0.00472767259757041,0.373816220418156,"Non-significant",2.32535260699818,"SLC38A3","Sodium-coupled neutral amino acid transporter 3","S38A3_HUMAN"
0.238533708786477,18.3154504199775,7.30410142545801,0.000141480215640692,0.0167235060177264,1.59197843626907,"PRAG1_HUMAN",21,7.81789785220429,3.44337028420681e-05,0.00490645129067999,-0.238533708786481,"Non-significant",2.30923250830286,"PRAG1","Inactive tyrosine-protein kinase PRAG1","PRAG1_HUMAN"
-0.207877043451941,17.3127248666028,-8.33641686452423,5.97736395668141e-05,0.0109722088016636,2.44910399129936,"FRYL_HUMAN",14,-7.77632539525854,3.58639377485492e-05,0.00497998127873105,0.207877043451937,"Non-significant",2.30277228988267,"FRYL","Protein furry homolog-like","FRYL_HUMAN"
-0.14890667745539,21.05713655704,-6.51247352977427,0.00029318963756045,0.0213134926608302,0.85282433284931,"KS6A3_HUMAN",35,-7.7618764284755,3.6376259698551e-05,0.00497998127873105,0.14890667745539,"Non-significant",2.30277228988267,"RPS6KA3","Ribosomal protein S6 kinase alpha-3","KS6A3_HUMAN"
-0.191348736230736,22.0887374068886,-6.68829341059403,0.00024798463977586,0.0196753267603983,1.02366954739892,"APOA1_HUMAN",30,-7.55913517078379,4.44837945992976e-05,0.00535492851538441,0.191348736230736,"Non-significant",2.2712463223263,"APOA1","Apolipoprotein A-I","APOA1_HUMAN"
0.183759239194071,21.0951055298483,6.89985895870518,0.000203613874433265,0.0182453724671198,1.22408880115006,"CP2S1_HUMAN",25,7.58746933446042,4.32396259079454e-05,0.00535492851538441,-0.183759239194075,"Non-significant",2.2712463223263,"CYP2S1","Cytochrome P450 2S1","CP2S1_HUMAN"
-0.196665650031129,18.0602839020088,-7.54542758922379,0.000114699507992105,0.0154264229591405,1.8025904225169,"DHX36_HUMAN",17,-7.56013486929673,4.44392324579131e-05,0.00535492851538441,0.196665650031136,"Non-significant",2.2712463223263,"DHX36","ATP-dependent DNA/RNA helicase DHX36","DHX36_HUMAN"
-0.339420032820609,22.2656141366604,-8.51645133554659,5.19042075152574e-05,0.0100665326908758,2.5874612422228,"LICH_HUMAN",8,-7.56239609180943,4.43386183526588e-05,0.00535492851538441,0.339420032820609,"Non-significant",2.2712463223263,"LIPA","Lysosomal acid lipase/cholesteryl ester hydrolase","LICH_HUMAN"
-2.10627810437112,20.1515020285353,-9.0939838480751,3.35471136914823e-05,0.00836521242121177,3.01102657313692,"PGAM4_HUMAN",1,-7.58285672943189,4.34395299447671e-05,0.00535492851538441,2.10627810437112,"Up in C",2.2712463223263,"PGAM4","Probable phosphoglycerate mutase 4","PGAM4_HUMAN"
0.131686798921663,21.817960436462,6.05620082646586,0.000460126262807925,0.0267979373314912,0.390530520723308,"SYYC_HUMAN",44,7.63644810439764,4.11783162944592e-05,0.00535492851538441,-0.131686798921674,"Non-significant",2.2712463223263,"YARS1","Tyrosine--tRNA ligase, cytoplasmic","SYYC_HUMAN"
-0.158211540151257,25.1851596289006,-6.24189842360165,0.000381914072410041,0.0238082504782759,0.58204783220902,"TKFC_HUMAN",50,-7.65849852522629,4.02858374939402e-05,0.00535492851538441,0.158211540151257,"Non-significant",2.2712463223263,"TKFC","Triokinase/FMN cyclase","TKFC_HUMAN"
-0.183417847615068,22.8979898637164,-6.14065103688601,0.000422535292940161,0.0254322535802431,0.478210743749936,"ACLY_HUMAN",94,-7.50565271494271,4.69410672673576e-05,0.00537282838788018,0.183417847615072,"Non-significant",2.26979703089733,"ACLY","ATP-citrate synthase","ACLY_HUMAN"
-0.301883073572991,17.8369136470432,-7.17222617319298,0.000159040781942723,0.0167869357517234,1.4740809457085,"AGRL2_HUMAN",16,-7.51212808296971,4.66357520314847e-05,0.00537282838788018,0.301883073572991,"Non-significant",2.26979703089733,"ADGRL2","Adhesion G protein-coupled receptor L2","AGRL2_HUMAN"
-1.07625740854608,17.1539639736847,-7.46750040877366,0.000122668436209137,0.015572200392949,1.73529606054896,"VEZA_HUMAN",4,-7.52435459983423,4.60652114440501e-05,0.00537282838788018,1.07625740854609,"Up in C",2.26979703089733,"VEZT","Vezatin","VEZA_HUMAN"
0.156206422972154,20.6016814250717,6.39412614312043,0.000328797530284089,0.0225065132984658,0.735577645611113,"ERLEC_HUMAN",33,7.45545708225635,4.93838235369655e-05,0.00547298184023957,-0.156206422972158,"Non-significant",2.26177599287647,"ERLEC1","Endoplasmic reticulum lectin 1","ERLEC_HUMAN"
-0.130407833050128,19.159417375686,-6.65776445134985,0.000255239864266392,0.0200234239585162,0.994287053495424,"POP1_HUMAN",26,-7.46450722348169,4.89332570900616e-05,0.00547298184023957,0.130407833050128,"Non-significant",2.26177599287647,"POP1","Ribonucleases P/MRP protein subunit POP1","POP1_HUMAN"
-0.206286725149816,18.3372350709358,-6.4602673666992,0.000308336253119047,0.021745492113911,0.801329170155618,"HELZ2_HUMAN",37,-7.40494114641646,5.19841684215476e-05,0.00567114787373821,0.206286725149809,"Non-significant",2.24632902844822,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
0.171803287084153,26.6814838934746,6.61909856840917,0.000264772239905946,0.0201198319790949,0.956903604614328,"CATB_HUMAN",26,7.33912854137352,5.5600563284415e-05,0.00597235589002747,-0.171803287084145,"Non-significant",2.22385432076116,"CTSB","Cathepsin B","CATB_HUMAN"
-0.237062512838499,22.5113610163127,-6.61774216322965,0.000265113798636026,0.0201198319790949,0.955588734019418,"NSDHL_HUMAN",27,-7.31522964531147,5.69815892931855e-05,0.0060279614612882,0.237062512838499,"Non-significant",2.21982953293395,"NSDHL","Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating","NSDHL_HUMAN"
3.55622206703958,18.381609135149,7.13479039844774,0.000164462316696191,0.0167869357517234,1.4402438156233,"TOR4A_HUMAN",1,7.25595345914309,6.0572604537346e-05,0.00631220783402611,-3.55622206703958,"Up in B",2.19981871010207,"TOR4A","Torsin-4A","TOR4A_HUMAN"
0.295619017336413,19.6672438355378,8.5186473702336,5.18157132629442e-05,0.0100665326908758,2.58912979737807,"RAMAC_HUMAN",8,7.18480597641779,6.52151480138361e-05,0.00669606122695005,-0.295619017336406,"Non-significant",2.17418058392684,"RAMAC","RNA guanine-N7 methyltransferase activating subunit","RAMAC_HUMAN"
-0.200546079881974,18.9647698003295,-7.05749671617037,0.000176324946892143,0.0170986219333464,1.3698569472563,"LRC8A_HUMAN",16,-7.05574670029748,7.46678532822538e-05,0.00755552103792313,0.200546079881974,"Non-significant",2.12173558081638,"LRRC8A","Volume-regulated anion channel subunit LRRC8A","LRC8A_HUMAN"
0.582705728972279,25.0417526752051,7.10776382744394,0.000168505294997833,0.0167869357517234,1.41571272648581,"H14_HUMAN",6,7.01577857035984,7.789320023377e-05,0.00776929034331689,-0.582705728972275,"Up in B",2.10961864838786,"H1-4","Histone H1.4","H14_HUMAN"
0.13390042193446,21.1586896754733,5.93383312948071,0.000521394104766135,0.0275819127075627,0.261731640222481,"ANXA2_HUMAN",33,7.00238836819968,7.90077500984217e-05,0.00776946635474902,-0.133900421934463,"Non-significant",2.10960880966071,"ANXA2","Annexin A2","ANXA2_HUMAN"
-0.109608540457931,21.4819463284303,-5.23731913912039,0.00110085656312567,0.0381898872415967,-0.512369361761553,"NNTM_HUMAN",56,-6.98695223735194,8.03143838118632e-05,0.00778826427464485,0.109608540457931,"Non-significant",2.10855932023975,"NNT","NAD(P) transhydrogenase, mitochondrial","NNTM_HUMAN"
0.0935039284869497,20.1892685247937,4.79959447406887,0.00182031965592939,0.0455536625007132,-1.03611919890049,"AFAD_HUMAN",69,6.91256691705189,8.69527994190275e-05,0.0083164992540226,-0.0935039284869497,"Non-significant",2.08005944709925,"AFDN","Afadin","AFAD_HUMAN"
-0.161301097954627,20.2040117891269,-5.7452617111685,0.000634426545353585,0.0283636415249725,0.0591222850348379,"HD_HUMAN",50,-6.88547367630483,8.9518541463281e-05,0.00833357941995504,0.161301097954635,"Non-significant",2.07916842134956,"HTT","Huntingtin","HD_HUMAN"
-0.20232929571452,18.9024021823479,-6.57031436208281,0.000277372527326165,0.020602287082886,0.909465394065414,"PLGT2_HUMAN",19,-6.88766237070283,8.93082145600835e-05,0.00833357941995504,0.20232929571452,"Non-significant",2.07916842134956,"POGLUT2","Protein O-glucosyltransferase 2","PLGT2_HUMAN"
-0.455488801930034,18.7321349945014,-11.0458708819863,8.99951006747145e-06,0.00476136755943436,4.24318986577293,"COXM1_HUMAN",4,-6.79366594322713,9.88503158400114e-05,0.00886750686667115,0.455488801930041,"Non-significant",2.05219846655422,"CMC1","COX assembly mitochondrial protein homolog","COXM1_HUMAN"
-0.10697474296078,26.2315531697824,-5.50096572559821,0.000823511420826756,0.0328557528012138,-0.210976326540469,"IDHC_HUMAN",35,-6.80701470102447,9.74294995507092e-05,0.00886750686667115,0.10697474296078,"Non-significant",2.05219846655422,"IDH1","Isocitrate dehydrogenase [NADP] cytoplasmic","IDHC_HUMAN"
0.206485305637287,21.2407848684724,7.19210389775235,0.000156243760783516,0.0167869357517234,1.49198109428502,"TAGL2_HUMAN",13,6.79167566456932,9.90640984818605e-05,0.00886750686667115,-0.20648530563729,"Non-significant",2.05219846655422,"TAGLN2","Transgelin-2","TAGL2_HUMAN"
0.134342668699588,20.0406347594733,5.45439202402801,0.000866258379614089,0.0335619142805718,-0.263463043354615,"AGRIN_HUMAN",48,6.71221239130077,0.000108028385959323,0.00887037921007981,-0.134342668699588,"Non-significant",2.0520578136153,"AGRN","Agrin","AGRIN_HUMAN"
0.135338323686884,20.584039903222,5.93644457920939,0.000519995194998609,0.0275819127075627,0.2645021711301,"BOP1_HUMAN",28,6.73545737006813,0.000105317323234362,0.00887037921007981,-0.135338323686888,"Non-significant",2.0520578136153,"BOP1","Ribosome biogenesis protein BOP1","BOP1_HUMAN"
0.175036669086751,19.9311485129535,6.82751661332103,0.000217698345791997,0.0185877028202903,1.15618191008054,"CRLF1_HUMAN",16,6.70186376580828,0.000109259898605967,0.00887037921007981,-0.175036669086751,"Non-significant",2.0520578136153,"CRLF1","Cytokine receptor-like factor 1","CRLF1_HUMAN"
0.105341781596831,19.8154125616589,4.9202406943923,0.00158045087446249,0.0426460713075982,-0.888812030866975,"EVPL_HUMAN",72,6.70910511927551,0.000108396551896499,0.00887037921007981,-0.105341781596827,"Non-significant",2.0520578136153,"EVPL","Envoplakin","EVPL_HUMAN"
-0.305616604935604,17.6159081212333,-6.33297273951472,0.000349074362891501,0.0234349730933506,0.674271843729875,"MED24_HUMAN",17,-6.73774001031539,0.000105055150487183,0.00887037921007981,0.305616604935604,"Non-significant",2.0520578136153,"MED24","Mediator of RNA polymerase II transcription subunit 24","MED24_HUMAN"
-0.573800282904827,17.3993019525609,-6.74567620857994,0.000234964068943128,0.0193815732784835,1.07857967015397,"MTMR3_HUMAN",6,-6.7024835667544,0.000109185708746015,0.00887037921007981,0.573800282904834,"Up in C",2.0520578136153,"MTMR3","Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR3","MTMR3_HUMAN"
-0.320291493903095,19.0890071398521,-6.84939864501376,0.000213326117705166,0.0185877028202903,1.17679017243716,"NSE3_HUMAN",10,-6.75039089721066,0.000103615052800633,0.00887037921007981,0.320291493903095,"Non-significant",2.0520578136153,"NSMCE3","Non-structural maintenance of chromosomes element 3 homolog","NSE3_HUMAN"
-0.283311855584543,20.8583255798444,-6.89091300965696,0.000205298966802105,0.0182453724671198,1.21572612847298,"ODBB_HUMAN",11,-6.76015967866604,0.000102517855222187,0.00887037921007981,0.283311855584543,"Non-significant",2.0520578136153,"BCKDHB","2-oxoisovalerate dehydrogenase subunit beta, mitochondrial","ODBB_HUMAN"
0.186909434623885,19.3790117508574,6.12728700711173,0.000428248659232811,0.0255558302458418,0.464400728735892,"ADA_HUMAN",23,6.64137664601112,0.000116773299505278,0.00896579136286129,-0.186909434623882,"Non-significant",2.04741137153897,"ADA","Adenosine deaminase","ADA_HUMAN"
-0.121451882697645,20.5843364314355,-5.24827813133984,0.00108745224297146,0.0379629578021336,-0.499633210681333,"AT2B4_HUMAN",51,-6.63083431706501,0.00011813990337772,0.00896579136286129,0.121451882697645,"Non-significant",2.04741137153897,"ATP2B4","Plasma membrane calcium-transporting ATPase 4","AT2B4_HUMAN"
-0.087570081181866,21.7908037073508,-4.4026901908708,0.00294099356114694,0.0555519732668823,-1.53673456907204,"ITPR2_HUMAN",123,-6.6590391277584,0.000114522398608622,0.00896579136286129,0.0875700811818625,"Non-significant",2.04741137153897,"ITPR2","Inositol 1,4,5-trisphosphate-gated calcium channel ITPR2","ITPR2_HUMAN"
-0.326017215291699,18.6284778918753,-6.40622977059701,0.000324942368477848,0.0224628476902212,0.747652884861188,"MDR1_HUMAN",13,-6.65169670295082,0.000115452283395249,0.00896579136286129,0.326017215291699,"Non-significant",2.04741137153897,"ABCB1","ATP-dependent translocase ABCB1","MDR1_HUMAN"
