BF_1,BF_2,BF_3,BF_4,BFM_1,BFM_2,BFM_3,BFM_4,CF_1,CF_2,CF_3,CF_4,CFM_1,CFM_2,CFM_3,CFM_4,Protein.Names,Peptides,Genes,First.Protein.Description
19.686847576482094,19.748323902416082,19.854907940956323,19.746379823235,19.783885483628442,19.89942035809461,19.908193223087302,19.85228108591223,19.576840444564215,19.528316745396623,19.75020483647024,19.68114230944787,19.687782313678575,19.72004046963446,19.80707185998509,19.74132378686086,VINC_HUMAN,51,VCL,Vinculin
15.08698622895594,15.472297369456305,16.01730865315576,15.994178835441692,14.947719114442823,14.933819724655057,15.529528162145978,15.169764536527305,16.357211771073707,15.844163867512481,15.848128983184917,15.533092427421527,15.727947036995204,15.463652084955493,15.734188305899972,15.289147147436422,VIME_HUMAN,3,VIM,Vimentin
17.265166331954354,17.551603131361208,17.516761882787346,17.587184180913354,17.373043549941926,17.5018527311013,17.882846009592356,17.62113611327464,17.26001903802515,17.47428424614869,17.52966693715122,17.356873176230756,17.16060022436072,17.363031072102803,17.36389518935367,17.48530260121022,VGFR3_HUMAN,5,FLT4,Vascular endothelial growth factor receptor 3
15.881840479880392,14.930728098963629,15.440833489009965,14.889152182805791,15.468429948181083,14.37410213562003,13.787882159147639,14.4946118654196,15.818517270720655,15.934333584135594,15.83554220489231,14.729610122967415,15.030011843906468,15.048780593966445,15.582694767677042,14.916308688477653,VDAC2_HUMAN,1,VDAC2,Voltage-dependent anion-selective channel protein 2
15.955370657993457,16.125449795718055,16.482656722904956,16.325319510896513,16.33701902719929,16.41481899597332,16.29420251059589,16.375887905818193,16.134975729663886,15.97186683086004,16.791340975497647,16.332973604022754,16.187651701350905,15.442172453324561,15.477710841870563,15.626844062105825,VDAC1_HUMAN,2,VDAC1,Non-selective voltage-gated ion channel VDAC1
18.137941731525583,18.131274203719176,18.25270238625568,18.15886112028658,18.33692491418201,18.425330658568114,18.303308071136257,18.437300997089512,18.45908736210893,17.965451750218513,18.150505930221165,18.17435519193623,18.681128580020996,18.291026768056128,18.21296652958582,18.59981479810662,VCAM1_HUMAN,3,VCAM1,Vascular cell adhesion protein 1
15.667319480133486,14.794705229282126,16.135350571495223,15.796212024115164,13.902111274654422,15.629487540535646,15.788845755610396,15.766852381374084,14.605004869253015,14.999704985195702,15.832289260512791,16.090253042487802,13.9832163056229,14.877619649572688,14.412874124931264,14.213020657589224,VASP_HUMAN,1,VASP,Vasodilator-stimulated phosphoprotein
17.83444635961959,17.83198755321659,17.897874992010838,17.887131348807547,17.886083540504135,18.04614348731184,17.821643206897114,17.87358829791144,18.017373905424744,18.158663922367897,18.098391971394644,18.171865799948666,18.073581983742486,17.998728143785772,17.915389249719155,18.266786540694902,VASN_HUMAN,6,VASN,Vasorin
18.190442018782825,18.699829976958483,18.779946938132152,18.517838520927526,18.59204818459895,18.842359551762694,18.889301937738097,18.889343533571815,18.50381797554029,18.6305373206005,18.91764596226058,18.903043332096065,18.532629874956164,18.689045894519893,18.598568694839447,18.676952207626115,VAS1_HUMAN,9,ATP6AP1,V-type proton ATPase subunit S1
17.497243726586536,17.529125486575943,17.446170595766215,17.587235466447368,17.239067041671213,17.64016018895878,17.64648839618279,17.52363852369232,16.42300754633525,17.12464639087054,17.439985051442314,17.27161804217734,17.210633297528656,17.052345159618035,16.903728890117698,17.397716407936496,URP2_HUMAN,4,FERMT3,Fermitin family homolog 3
15.103705801530065,14.981977485523469,16.155567340759035,15.804244483718215,14.707849797917795,14.90283671811924,15.282103835164905,14.896516892069544,16.00187875291678,15.663029893981447,15.814086729685439,15.81479272679032,15.247949758775384,15.767038668778676,15.691675373335702,14.916308688477653,UGPA_HUMAN,2,UGP2,UTP--glucose-1-phosphate uridylyltransferase
18.062546869440787,18.085825122811293,18.22110089249269,18.18630288435153,18.069376338490706,17.264570882954033,17.10458851642087,17.728538369453986,18.56838665752449,18.09786753262777,18.488130414789307,18.396249381447344,18.31557415490396,18.02329954164548,18.081826678122468,18.23352137932669,UGDH_HUMAN,18,UGDH,UDP-glucose 6-dehydrogenase
14.435077696801917,13.82602207768278,14.7827320800126,14.89714113853626,14.549796698376692,15.275880784484757,15.504344175463237,15.694638105911887,15.340573395395165,15.144080635002016,15.502319039190462,15.338725938315255,14.961286893646125,14.787402670357267,13.959585431366161,14.696076430360456,UFM1_HUMAN,1,UFM1,Ubiquitin-fold modifier 1
14.294807391232217,14.076957521873481,16.148401108822604,16.26995578591521,14.031847635574294,15.89943245471763,16.39566633628633,15.86948781552426,14.973997747040478,15.185541382083732,16.500617841193115,16.573309903904544,14.78129311029861,14.29192610297341,15.128147413868598,14.290904415189175,UBP5_HUMAN,2,USP5,Ubiquitin carboxyl-terminal hydrolase 5
14.294807391232217,14.794705229282126,13.933561573701246,13.856279617622535,13.80612665943456,15.707644924783898,14.67175113116784,15.103050072028738,15.78482651743346,14.464405353857975,14.528521262407132,15.10375496923001,14.771025140804975,14.375548575907677,14.412874124931264,14.773159816501634,UBE2N_HUMAN,1,UBE2N,Ubiquitin-conjugating enzyme E2 N
19.945923862301242,19.960137721520944,20.158077099132854,20.264992303049365,20.06907209307411,20.18253014285739,19.974212906732667,20.3321064989079,19.885660629593207,19.828705194582096,20.10789134196464,20.095067301607052,20.082128245899554,19.74238510084384,19.890703650609378,19.831883981349932,UBAC2_HUMAN,2,UBAC2,Ubiquitin-associated domain-containing protein 2
17.360289852187844,17.14654878843123,17.304057147889132,17.14966774369432,17.52750755060157,16.992938336165814,16.848182788715963,16.70145538112537,16.202900532935935,17.217418176226207,17.184720405997766,16.543120958553097,16.764845680032135,17.382277832790198,16.842620430560064,17.253579761052727,UBA1_HUMAN,6,UBA1,Ubiquitin-like modifier-activating enzyme 1
17.746534002706785,17.7718956345552,17.923182382151605,18.04196388706726,17.043774932346146,17.99040870454386,17.87445310780599,18.57950377626798,17.682233381012878,17.990109505171837,18.82853630945009,18.636521959668997,17.9753889940577,17.831103088405367,17.818463595616933,17.815445841932785,UB2V1_HUMAN,1,UBE2V1;UBE2V2,Ubiquitin-conjugating enzyme E2 variant 1
17.01753702318634,17.10097025846529,17.00824258295452,16.97498587211439,17.16623174714352,17.589651146514786,18.090985920447483,17.767460313915674,17.3364542569828,17.05267417736211,17.019677593218724,16.98744167293612,17.00626032463951,16.939648078587656,17.31716526533642,17.266685902765182,TXND5_HUMAN,8,TXNDC5,Thioredoxin domain-containing protein 5
17.5607731592253,17.660852461188977,18.010183868764134,18.059365587295805,17.83444018696241,18.046218108274477,18.119250182751802,17.868967202774808,17.614544506666242,17.822309413390585,17.72511991138587,17.902098316991125,17.848971298658395,17.80203666601759,18.03024144565542,17.941179459046175,TXD17_HUMAN,3,TXNDC17,Thioredoxin domain-containing protein 17
15.552503999379422,16.61984741730607,16.72144635952716,17.02773324975283,16.406492359631685,16.830985531282487,16.91126323692194,17.03841534665319,16.923814925526454,16.623124173515023,16.952331746107717,16.84638410757047,16.70098149404625,17.18684933136025,16.861777547255684,17.829004181238506,TWSG1_HUMAN,3,TWSG1,Twisted gastrulation protein homolog 1
19.06649655213989,19.0668013411319,19.364666896100793,19.377814210587424,18.721940266315723,19.315892517404926,19.050175479330797,19.13726635581596,19.87690358786118,19.58478821444129,20.029179365950597,20.206575616824043,19.144135418084304,19.206449226433033,19.303473079773354,19.23520555216923,TTHY_HUMAN,8,TTR,Transthyretin
20.91706899962906,20.902422223664658,20.6714166720235,20.654034593795267,20.902422223664658,20.73892349138178,20.722340607186172,20.654034593795267,20.467621469564385,20.811274335606463,20.582333128441075,20.713977134251547,20.865141207585197,20.924337000093097,20.924337000093097,20.960137721520944,TSP4_HUMAN,13,THBS4,Thrombospondin-4
20.253496664211536,20.194602975157967,20.396236836327617,20.406653452272955,20.23022688488869,20.427263731948244,20.406653452272955,20.406653452272955,20.206575616824043,20.310080192577903,20.396236836327617,20.3321064989079,20.23022688488869,20.253496664211536,20.264992303049365,20.276397066321614,TSP1_HUMAN,37,THBS1,Thrombospondin-1
15.931647049799748,15.812776465206024,16.51098200188364,15.860960858583756,16.38096322874727,16.025172012167904,16.127037122160097,16.068637645305287,16.482918221394783,16.168711287209568,16.329346126389968,16.556206659597308,16.48419352853176,16.455163443542915,16.655740336972556,16.184329116232554,TSN_HUMAN,4,TSN,Translin
16.61240779313867,16.3405160241368,17.00124324269483,17.161742064331513,16.980976294487995,17.05571668710896,16.711048512421836,16.9316493579844,16.651177854188518,17.104957007830667,17.384691015919987,17.149121916744964,16.692016070329377,16.60727395737386,16.354865757161686,16.954003144295303,TSK_HUMAN,2,TSKU,Tsukushi
28.6997528941011,29.091439906102565,29.758117056615088,29.756527309852697,28.868206508326743,30.047912530561643,29.939997191394756,30.073675626626724,26.575424759098897,29.246718131580476,29.856381072929956,29.853409506398663,29.181866987230507,29.451204822167387,29.136139713573378,29.330312261262367,TRFL_HUMAN,7,LTF;cRAP-LTF,Lactotransferrin
26.686456071487644,26.61806909650739,26.61806909650739,26.58978005207597,26.645814086990296,26.645814086990296,26.58978005207597,26.575424759098897,26.659489023887375,26.67303555572532,26.60399391129567,26.645814086990296,26.6997528941011,26.712928282848832,26.73892349138178,26.6997528941011,TRFE_HUMAN,84,TF,Serotransferrin
20.487384724385812,20.636440533780526,20.4971657451784,20.28771237954945,20.467621469564385,19.834609925412483,19.914589515048153,19.880765806817227,20.37517522079979,20.206575616824043,20.535639892993036,20.563836784823685,20.218449717112335,20.310080192577903,20.10789134196464,20.385744462509976,TRAP1_HUMAN,1,TRAP1,"Heat shock protein 75 kDa, mitochondrial"
16.332463193946626,15.194722233018759,16.22667371777215,16.81257844413538,16.47698030650847,15.834364878418171,16.02034627752116,15.743882446500312,16.5054254647524,16.261246513360827,16.015293080258733,15.976774426532323,16.673916328539065,16.400615976326527,16.363135478109804,16.509086826573895,TPP1_HUMAN,2,TPP1,Tripeptidyl-peptidase 1
18.474272361567664,18.61263096508449,19.042963181383698,18.936330252397035,18.583909123811985,18.913365705179594,18.871177307165233,18.922566982121612,18.721099188707186,18.807515299249513,18.96902670215077,18.995952046151046,18.76024239146483,18.547832153985734,18.748137148533054,18.72712275376276,TPM4_HUMAN,10,TPM4,Tropomyosin alpha-4 chain
20.37517522079979,20.253496664211536,20.35380157000722,20.253496664211536,20.457637380991763,20.18253014285739,20.082128245899554,20.042599881712917,20.396236836327617,20.437459499054132,20.467621469564385,20.506880900011613,20.5731145984117,20.554498920244352,20.477536938429466,20.4971657451784,TPIS_HUMAN,23,TPI1,Triosephosphate isomerase
17.25395825277439,17.69630197310638,17.454275192802044,17.39372561717157,17.42381351252763,17.389135546106004,17.387756513491397,17.40207940450145,17.070498344393755,17.33749124242446,17.08773216117518,17.104322325189553,17.711989543725753,17.63591646592919,17.675516044082777,17.94073225752137,TNR12_HUMAN,1,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A
18.544070166384536,18.494777473887392,18.653425910410313,18.684878717863672,18.41925659375425,18.63229946052535,18.712839305167265,18.67258763051032,18.43739853882084,18.51320712163256,18.72690663387013,18.617546382044136,18.411204766796683,18.54413055625113,18.4366952778969,18.365284391667995,TLN1_HUMAN,57,TLN1,Talin-1
17.746534002706785,17.63359127588711,17.776040998366042,17.818588418361603,17.89272660436562,17.053819847013614,17.137331405754082,17.104752302000595,18.183620844355687,17.907905807345813,17.917628481934152,17.88554147737635,17.854424045394293,17.929102339433943,17.896231871585087,17.9236814761553,TKT_HUMAN,16,TKT,Transketolase
18.755334231179226,18.705534521588454,18.67823562330647,18.624763334066586,18.499215255173,17.88403335160103,18.00825899913568,18.07818730005066,18.891172563970347,18.658218457397687,18.91153243029097,19.02830539437875,18.95582015511131,18.85567453746083,18.759797179907594,18.85580530492068,TKFC_HUMAN,12,TKFC,Triokinase/FMN cyclase
16.81933089047752,16.76755083514609,17.0660366192807,16.87147213318895,16.388959036232887,17.110544481138117,16.898128976698356,16.528686075915154,16.863157838703785,16.019110705703916,16.670296636903945,16.98205772911317,16.467373105647894,16.92294438119474,14.956421535720725,16.833297790757673,TIE1_HUMAN,4,TIE1,Tyrosine-protein kinase receptor Tie-1
17.796743085830517,17.812108348580026,17.80363294117282,17.782230395898218,17.90176844637111,17.888814582925857,17.864923653920123,17.789170633125366,18.06421647572372,17.744058580000665,17.566277062917244,17.562890811424626,17.974677855835743,17.90956499081087,17.79729422000451,17.702402688561076,THYG_HUMAN,2,TG,Thyroglobulin
22.221403034501684,22.293336928743326,22.136335319978787,22.203591758385222,22.236079611134127,22.21252488315523,22.315618376119335,22.23022688488869,21.967192479054894,22.19760546331949,22.145693374677023,22.19159422528563,22.206575616824043,22.20955331662394,22.19159422528563,22.20060171577941,THRB_HUMAN,34,F2,Prothrombin
17.887297975440237,18.191078497644884,18.945883866240756,19.23777480362857,17.742552865070078,19.23295018553523,19.06138965238847,18.88836868737575,18.966801138937722,17.92566453852335,19.221624879748937,19.75408663060717,18.613886563465687,18.493437218415025,18.626293677996927,17.81599613088921,THIO_HUMAN,6,TXN;cRAP-TXN,Thioredoxin
16.535018641070025,16.00628881835781,15.64714921226016,15.728922273566347,16.25796233109966,14.978384243034379,13.359145566119526,14.984378403163122,15.210644711511097,15.814267017111943,15.407715880924155,15.700561635459563,15.571112672965684,15.736491779838186,15.428782162098535,16.13530848181209,THIL_HUMAN,4,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial"
17.352121036175387,17.140240640542036,17.15760352150244,16.44480137537569,16.94834441550344,16.944906475072,16.805240049886716,16.98476333633753,16.77991168114597,17.26363599035783,17.02060020950705,17.03653853389269,17.13361385354012,17.073189696179124,17.271061737131433,17.354025493351312,THIC_HUMAN,3,ACAT2,"Acetyl-CoA acetyltransferase, cytosolic"
22.29614100162003,22.31837951579639,22.154991119259112,22.130062722963256,22.3804695204693,22.215490341631792,22.3211353810869,22.133202430493824,21.991615952994113,22.18253014285739,22.015632834112647,22.164229326114448,22.31837951579639,22.23899709451642,22.342994815050638,22.40405634078692,THBG_HUMAN,10,SERPINA7,Thyroxine-binding globulin
17.74745217739115,17.93947591174154,17.69176396229428,17.89540960906779,17.72248070024932,17.806587380470095,17.900011793697654,17.75133483640134,17.57483740496303,17.990109505171837,17.555315591699216,17.69630197310638,17.48830304603842,17.99335306022379,18.257028671234263,18.1255143716549,TGON2_HUMAN,3,TGOLN2,Trans-Golgi network integral membrane protein 2
15.08698622895594,15.675284470959562,15.418893558306591,15.319760311170135,15.524731466415625,15.605751502478746,15.05448561461378,15.31064828060863,15.931275383903218,15.295327708717462,15.43499953830973,15.783289870757987,15.625514796663149,15.499961083874902,15.77408952663989,15.289147147436422,TGO1_HUMAN,1,MIA3,Transport and Golgi organization protein 1 homolog
17.397148164427936,17.359148998619155,17.588238830782327,17.52353898497399,16.46539103120146,17.797699517673767,17.725699091768195,17.648315446609296,17.120744125212212,17.294952740176644,17.73459055487254,17.490294657713697,17.29794618199592,17.42509294109573,16.9797601060837,17.63940430567997,TGBR3_HUMAN,3,TGFBR3,Transforming growth factor beta receptor type 3
18.14185268806274,17.60513946541769,17.963477510706188,17.885499771775454,18.042017342787123,17.88297135311928,18.126482664012833,18.17393571309281,17.468154670704255,18.089000396328363,18.10022087313858,18.025134153892648,17.804332726187614,18.112602403528847,17.992473703640634,17.965136053389465,TFR1_HUMAN,10,TFRC,Transferrin receptor protein 1
18.516538764398362,18.47333317015983,18.364989565163132,18.38324865393611,18.5944558262817,18.407670245776394,18.30932979603663,18.096488686294222,18.44165954665216,18.632491176550644,18.7295842349624,18.58022175757557,18.525383164136834,18.16508854809809,18.762255501455726,18.437020527870857,TFPI1_HUMAN,5,TFPI,Tissue factor pathway inhibitor
15.08698622895594,15.087815018730641,15.6956333943726,15.834841354756373,15.76259226068889,14.897070215039323,16.503591293423373,15.941794994389914,15.999579475532764,16.570562841958687,15.645498011471187,15.837430830221322,16.128056768723173,16.152358132015316,15.95377585695253,17.047986561013136,TFF3_HUMAN,1,TFF3,Trefoil factor 3
19.52119209372217,19.723874218863898,19.535983441298974,19.520353951437684,19.418655601164126,19.44833210939813,19.542676723216633,19.36191593841446,19.62856657608013,19.446485639660725,19.311978861044278,19.406939887024468,19.335409982945666,19.266871162611473,19.481817165734213,19.383904643499196,TETN_HUMAN,5,CLEC3B,Tetranectin
18.32032460097612,18.030650973075605,18.188009240604984,18.43108130683329,18.171641055219776,17.73129914079088,17.703842757117833,17.678634522628126,17.978213285295094,18.197341494964896,18.400466716585534,18.37632891541616,18.45468886765065,18.258690240169727,18.33451771815468,18.291714809655005,TERA_HUMAN,12,VCP,Transitional endoplasmic reticulum ATPase
16.05351442405344,16.29427431978305,16.62520940608778,16.68587118055183,15.989290267926998,16.688100020572087,16.839523673405928,16.94228540066504,15.115775219344808,16.160862139945856,16.54005991105343,16.05009521560403,16.274973207739762,16.307720233865158,15.640572578809659,16.380900679168708,TENA_HUMAN,2,TNC,Tenascin
15.403937385026888,16.088301710788684,15.30333839846351,15.468986707357976,16.154357306378177,14.085497355912631,13.792180232254807,15.16520536276815,16.388642945548987,15.43106987736664,15.639575297118604,15.141500487200855,15.741474886651718,15.799734416642004,15.422465605150908,16.276338902955406,TEBP_HUMAN,2,PTGES3,Prostaglandin E synthase 3
15.552696111774017,16.40265070522595,15.735841573114739,14.755101427623947,14.949393581956242,15.89943245471763,15.871383090046617,16.068637645305287,16.388642945548987,16.23348299470125,16.02032240127502,15.746154757234665,14.820213872340181,15.738538281603429,15.581780203812444,16.652886976322225,TCPZ_HUMAN,2,CCT6A,T-complex protein 1 subunit zeta
14.898790308381212,14.981977485523469,14.6731158050904,15.437680559892225,14.803561052136226,15.671579765094174,15.127478520098219,15.320592561334744,14.062805073668553,14.489528134279032,14.377095272891387,15.338725938315255,14.771025140804975,14.246517943188914,14.766730764118755,15.127990291996682,TCPQ_HUMAN,2,CCT8,T-complex protein 1 subunit theta
16.05351442405344,15.89071314910112,14.57817807009007,15.00501920602984,15.578136783414749,15.804526840623708,15.61385275937259,15.89720260274677,16.028963619720063,16.892044693515125,15.57148009816591,15.053718046544384,16.188241110589555,15.891479945970975,15.47935714278,16.55717797038407,TCPG_HUMAN,1,CCT3,T-complex protein 1 subunit gamma
15.955370657993457,15.998552969252124,15.902544700330418,16.099337535931777,15.683666302822894,15.069932207489861,13.792180232254807,14.305570166342191,14.290645280741817,16.04000925535998,15.701390400106595,15.621648408045774,15.373765783275378,16.16620231990194,15.387916346993176,15.412688919801788,TCPE_HUMAN,1,CCT5,T-complex protein 1 subunit epsilon
16.4749005255649,17.41066665316759,16.325069999965702,15.85369942030022,14.50741063007946,15.968734282963933,15.282103835164905,15.743882446500312,17.343307184368097,16.551588112127313,16.809089822234803,17.06266807309845,16.797585539212193,16.164506296973947,16.162102147056185,16.369488294913047,TCPD_HUMAN,1,CCT4,T-complex protein 1 subunit delta
15.557299151265067,15.892701705465395,16.15894294950934,16.314816877379354,15.383768407829324,15.270014207186634,14.518757641561153,15.508101155559864,15.742075179145596,15.68842790270512,16.060628388203803,16.184470535176416,16.276760534243394,15.904037137927185,15.840259140558457,16.059264177411595,TCPA_HUMAN,1,TCP1,T-complex protein 1 subunit alpha
16.39471053604595,16.778025779851564,16.801241023808977,16.9914554139666,16.267247555642033,15.288855262561754,15.14296858687362,15.792975803684937,16.360072044572824,16.56920886075762,17.00310060861446,16.59535802129353,16.78808104922077,16.969352792105088,16.71637739145032,16.893040767853048,TBCA_HUMAN,2,TBCA,Tubulin-specific chaperone A
19.610505831880065,19.48998511905313,19.719667896288904,19.34244800594898,19.639054487329105,19.186776806059445,19.063455648770656,19.014374691127436,19.831922628438438,19.75770089029794,19.751207326446043,19.853777076114188,19.735653526810992,19.57612816111283,19.568327274528528,19.667419972785844,TBB5_HUMAN,17,TUBB,Tubulin beta chain
18.367081956510706,18.24524165102612,18.2120735993166,18.398551653775993,18.15375982372753,17.75811258234688,17.670289720405876,17.775218023014343,18.144125457678616,18.282735524052292,18.44377320200066,18.47148867430977,18.149067322690406,18.134065280404563,18.15761338928884,18.277913938354427,TBB4B_HUMAN,5,TUBB4B,Tubulin beta-4B chain
20.5451002222421,20.4971657451784,20.600595334833805,20.506880900011613,20.554498920244352,20.516531070045332,20.506880900011613,20.59149312772655,20.37517522079979,20.535639892993036,20.645264384167533,20.68002980232821,20.5731145984117,20.609640474436812,20.526117118874527,20.6714166720235,TBB1_HUMAN,11,TUBB1,Tubulin beta-1 chain
20.18253014285739,20.145693374677023,20.158077099132854,20.298939634972704,20.17035542891129,20.23022688488869,20.145693374677023,20.029179365950597,20.3211353810869,20.206575616824043,20.37517522079979,20.396236836327617,20.095067301607052,20.10789134196464,20.029179365950597,20.06907209307411,TBA4A_HUMAN,21,TUBA4A,Tubulin alpha-4A chain
19.83315261078973,19.8402523779365,20.194602975157967,20.447583716327838,19.908394086831148,20.042599881712917,19.92448343708223,20.06907209307411,19.840326150280912,19.74057134426326,20.688591815831632,20.600595334833805,19.974212906732667,19.885469981322373,19.866740126514113,19.78935851908029,TBA1C_HUMAN,6,TUBA1C,Tubulin alpha-1C chain
14.898790308381212,14.76523429173774,14.978169704591865,15.353829131679056,15.198468062998057,14.875106176089334,15.223911201354598,15.94688115131869,14.178649291226264,15.41323123912454,15.461351543120028,15.409095869525682,15.148738722107636,15.351187710203037,14.350759661997877,15.169028517549084,TBA1A_HUMAN,1,TUBA1A,Tubulin alpha-1A chain
16.42268569066619,16.140314544648284,16.7997116537996,16.695921519134437,16.252358679327553,16.80226391179129,16.85132204433096,16.67935638750011,16.665349797728016,16.5961431567148,16.788093797649335,16.698284144952954,16.621035922640143,16.107194594617482,16.17587307598907,16.553309799497786,TARSH_HUMAN,3,ABI3BP,Target of Nesh-SH3
16.295578829321407,16.406626881529682,16.057598345262438,15.282082110283815,16.094081810480283,16.147870697829017,16.248713307188684,15.995354224544702,15.84722621846484,16.629157370500305,15.898870592305816,15.610188594416147,15.414179807673593,16.38954059664232,16.573685644648755,16.039013268801085,TALDO_HUMAN,1,TALDO1,Transaldolase
18.180933809029515,18.464936554931445,18.276456136090374,18.405394956482393,18.270756134068147,18.23202268448668,18.252235774987177,18.277423627240086,18.37581580488995,18.475721558317467,18.367005146822304,18.45568441393709,18.390269737076512,18.287374208268247,18.413859281103893,18.266868875597908,TAGL2_HUMAN,3,TAGLN2,Transgelin-2
16.45220745100513,15.618457199300227,15.336952800160514,15.790185563210503,16.01596597653807,14.933819724655057,15.196290902345112,14.907402398563743,17.21474599154415,16.156881016181757,14.816928641451572,15.68638015167105,15.776746583023938,16.119911759649003,15.458842329517505,15.09776056484614,T132C_HUMAN,1,TMEM132C,Transmembrane protein 132C
15.59362163210273,15.518004559291162,15.694621783985866,15.99932401863282,15.524731466415625,14.882982096343458,14.357043342963106,14.99140226607675,14.931499318300174,15.476999286133061,15.820642696777432,15.7322946418392,15.615882477230508,15.595834397470401,15.369498518828753,14.837529385062423,SYDC_HUMAN,4,DARS1,"Aspartate--tRNA ligase, cytoplasmic"
16.943338981049394,16.819405740410915,16.86929260775845,16.931083742334938,16.937097908730966,16.650350584591468,16.599599077672966,16.682240240487733,17.154135752274513,17.012439040071584,16.978230046753495,16.680455677999824,16.923501590078168,16.837615615025914,17.12605911607068,16.75523967964377,SUMO2_HUMAN,1,SUMO2;SUMO3;SUMO4,Small ubiquitin-related modifier 3
13.980773295786161,14.561419223485725,16.089512550758215,15.766495263266224,15.35423560518885,14.624487057113916,15.096398089061553,15.09338455039373,15.598363693147787,13.156730942375619,16.0858313455131,16.03531675796907,14.78129311029861,14.703930602100362,13.959585431366161,15.131483219469878,STIP1_HUMAN,1,STIP1,Stress-induced-phosphoprotein 1
18.3965880584514,18.701187992552484,18.203147232305465,18.196707773788276,18.37055119427434,18.25801387656704,18.487459310772785,18.37804925980564,18.373132786576264,18.147890566924747,18.126583490436023,18.12270668687361,17.924313800790337,18.108376414492888,18.205401906523214,18.132369190346427,STC2_HUMAN,5,STC2,Stanniocalcin-2
