"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000302","GO:0000302","response to reactive oxygen species","4/35","205/18614",0.000572468903465282,0.0218427659154369,0.0154743793450389,"3240/8754/140885/4353",4
"GO:0051701","GO:0051701","biological process involved in interaction with host","4/35","206/18614",0.000583029023481634,0.0218427659154369,0.0154743793450389,"7037/3673/10410/6317",4
"GO:0010042","GO:0010042","response to manganese ion","2/35","22/18614",0.00077489047121569,0.0266647164467075,0.0188904619049475,"7037/8754",2
"GO:0035089","GO:0035089","establishment of apical/basal cell polarity","2/35","22/18614",0.00077489047121569,0.0266647164467075,0.0188904619049475,"2195/6624",2
"GO:0050900","GO:0050900","leukocyte migration","5/35","393/18614",0.000787994480312613,0.0266647164467075,0.0188904619049475,"3929/3673/6372/140885/6364",5
"GO:0032642","GO:0032642","regulation of chemokine production","3/35","98/18614",0.000819599376603279,0.0268329928750019,0.0190096763531698,"3929/6372/140885",3
"GO:0032602","GO:0032602","chemokine production","3/35","99/18614",0.000844126563274607,0.0268329928750019,0.0190096763531698,"3929/6372/140885",3
"GO:0050764","GO:0050764","regulation of phagocytosis","3/35","101/18614",0.000894571755319727,0.0269144421506478,0.0190673786145777,"197/3673/140885",3
"GO:0060143","GO:0060143","positive regulation of syncytium formation by plasma membrane fusion","2/35","24/18614",0.000923660550451212,0.0269144421506478,0.0190673786145777,"9518/8754",2
"GO:0061162","GO:0061162","establishment of monopolar cell polarity","2/35","24/18614",0.000923660550451212,0.0269144421506478,0.0190673786145777,"2195/6624",2
"GO:0061339","GO:0061339","establishment or maintenance of monopolar cell polarity","2/35","25/18614",0.00100279495008031,0.0271264660933864,0.0192175857327086,"2195/6624",2
"GO:0002274","GO:0002274","myeloid leukocyte activation","4/35","240/18614",0.00103096836097067,0.0271264660933864,0.0192175857327086,"3929/6372/306/8754",4
"GO:0097529","GO:0097529","myeloid leukocyte migration","4/35","241/18614",0.00104697615605106,0.0271264660933864,0.0192175857327086,"3929/6372/140885/6364",4
"GO:0030593","GO:0030593","neutrophil chemotaxis","3/35","107/18614",0.00105728079081402,0.0271264660933864,0.0192175857327086,"3929/6372/6364",3
"GO:1903901","GO:1903901","negative regulation of viral life cycle","2/35","26/18614",0.00108508028008716,0.0271264660933864,0.0192175857327086,"10410/684",2
"GO:0032963","GO:0032963","collagen metabolic process","3/35","108/18614",0.00108609301803835,0.0271264660933864,0.0192175857327086,"7431/5345/3673",3
"GO:0016032","GO:0016032","viral process","5/35","426/18614",0.00113023995855392,0.0275725980586759,0.01953364530573,"7037/3673/10410/684/6317",5
"GO:0071346","GO:0071346","cellular response to type II interferon","3/35","116/18614",0.00133460592767164,0.031818218593808,0.0225414302616311,"7431/140885/6364",3
"GO:0042744","GO:0042744","hydrogen peroxide catabolic process","2/35","30/18614",0.00144550245212855,0.0329637407018011,0.0233529686774086,"3240/4353",2
"GO:0060142","GO:0060142","regulation of syncytium formation by plasma membrane fusion","2/35","30/18614",0.00144550245212855,0.0329637407018011,0.0233529686774086,"9518/8754",2
"GO:0051491","GO:0051491","positive regulation of filopodium assembly","2/35","31/18614",0.00154337135505376,0.0344467351372638,0.0244035873833809,"375790/6624",2
"GO:0035456","GO:0035456","response to interferon-beta","2/35","32/18614",0.0016443229642793,0.0359353081151873,0.0254581581750261,"10410/684",2
"GO:1990266","GO:1990266","neutrophil migration","3/35","128/18614",0.00177005975777429,0.0378937282837803,0.0268455894519581,"3929/6372/6364",3
"GO:0042542","GO:0042542","response to hydrogen peroxide","3/35","129/18614",0.001809880407931,0.0379712909583923,0.0269005382736691,"3240/8754/140885",3
"GO:0031667","GO:0031667","response to nutrient levels","5/35","477/18614",0.00186201860758252,0.0381512377003217,0.0270280204871077,"7037/81631/9518/3673/4353",5
"GO:0071621","GO:0071621","granulocyte chemotaxis","3/35","131/18614",0.00189119576779479,0.0381512377003217,0.0270280204871077,"3929/6372/6364",3
"GO:0002446","GO:0002446","neutrophil mediated immunity","2/35","35/18614",0.00196556150426483,0.0389032833579963,0.027560802820476,"6372/306",2
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","5/35","491/18614",0.00211287038254999,0.0410444635424989,0.0290777093582904,"6385/7037/5345/8876/140885",5
"GO:0046328","GO:0046328","regulation of JNK cascade","3/35","139/18614",0.00223918651863316,0.0427073937826579,0.0302558025292825,"5345/140885/6317",3
"GO:0045730","GO:0045730","respiratory burst","2/35","39/18614",0.00243635725135926,0.044837522046945,0.0317648793990699,"3929/4353",2
"GO:0046329","GO:0046329","negative regulation of JNK cascade","2/35","39/18614",0.00243635725135926,0.044837522046945,0.0317648793990699,"140885/6317",2
"GO:0002687","GO:0002687","positive regulation of leukocyte migration","3/35","147/18614",0.00262457773036753,0.0474686558475094,0.033628890701261,"3929/3673/6364",3
