HBV	HBV_pure_new	HDV	Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description
15.7657	16.1634	17.7506	I3L382	I3L382	I3L382_HUMAN	ZC3H7A	Zinc finger CCCH domain-containing protein 7A (Fragment)
17.1185	17.5539	15.9067	O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1
17.3318	17.9862	14.9758	O00154	O00154;K7EKP8	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase
17.2403	17.5557	18.8294	O00187	O00187	MASP2_HUMAN	MASP2	Mannan-binding lectin serine protease 2
18.5069	18.0065	NaN	O00203	O00203;H0YBD0	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1
17.9568	18.6934	16.1699	O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11
17.7203	18.7712	15.6602	O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12
20.5934	21.2432	19.0623	O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1
17.9436	18.5067	17.2656	O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F
23.3435	23.0313	20.4133	O00391	O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1
18.0617	16.5977	NaN	O00408	O00408;E9PEF1	PDE2A_HUMAN	PDE2A	cGMP-dependent 3',5'-cyclic phosphodiesterase
NaN	14.4487	NaN	O00410	O00410;C9JZD8;E7EX05;E7ESZ1;E7EV12;H0Y8C6;C9JQT6;E7EQT5;C9J875;E7ETV3;E7EWK4;E7ETV8	IPO5_HUMAN	IPO5	Importin-5
17.8944	18.3367	14.2016	O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein
16.1792	17.4422	NaN	O00462	O00462;A0A2R8Y7A7;A0A2R8Y4U7;A0A2R8YE79;A0A2R8YEC9;A0A2R8Y7A0;A0A2R8Y211;A0A2R8Y524;A0A2R8YCE9	MANBA_HUMAN	MANBA	Beta-mannosidase
22.8282	22.7271	22.0018	O00468	O00468	AGRIN_HUMAN	AGRN	Agrin
19.0368	20.0968	14.8587	O00469	O00469;E7ETU9;C9JXZ0	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
19.169	20.7039	17.9191	O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14
17.9043	18.1873	17.4059	O00560	O00560;G5EA09	SDCB1_HUMAN	SDCBP	Syntenin-1
16.8326	17.8329	15.5302	O00567	O00567;H0YDU4;H0Y653;A0A494C128	NOP56_HUMAN	NOP56	Nucleolar protein 56
15.9662	16.8452	16.2153	O00571	O00571;O15523;A0A2U3TZJ9;A0A2R8YFS5;A0A2R8YCW1;A0A0D9SF53;A0A2R8YFR4;A0A2R8YF78;A0A0D9SFB3;A0A2R8Y645;F6S8Q4;A0A0D9SG12;A0A2R8Y4A4;A0A2R8YDH3;A0A2R8Y5G6;A0A2R8YDT5;A0A2R8Y7T2	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X
15.0206	14.6684	NaN	O00571;P17844;Q92841	O00571;O15523;P17844;Q92841;J3KRZ1;J3KTA4;A0A2U3TZJ9;A0A2R8YFS5;A0A2R8YCW1;A0A0D9SF53;A0A2R8YFR4;A0A2R8YF78;A0A0D9SFB3;A0A1X7SBZ2;A0A2R8Y645;F6S8Q4;J3QSF1;A0A0D9SG12;A0A2R8Y4A4;A0A2R8YDH3;A0A5H1ZRQ2;A0A2R8Y5G6;A0A2R8YDT5;A0A2R8Y7T2	DDX17_HUMAN;DDX3X_HUMAN;DDX5_HUMAN	DDX17;DDX3X;DDX5	ATP-dependent RNA helicase DDX3X
15.9309	17.4859	NaN	O00584	O00584;A0A087WZM2;H0YAE9;D6RHI9;D6REQ6	RNT2_HUMAN	RNASET2	Ribonuclease T2
17.6921	19.2625	18.2625	O00754	O00754;M0R2P5;M0QZG6	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase
15.3338	16.8727	NaN	O00764	O00764;F2Z2Y4	PDXK_HUMAN	PDXK	Pyridoxal kinase
15.9406	NaN	14.4358	O14531	O14531;Q5T0Q6	DPYL4_HUMAN	DPYSL4	Dihydropyrimidinase-related protein 4
16.0555	16.8957	NaN	O14579	O14579;M0QXB4;M0R061	COPE_HUMAN	COPE	Coatomer subunit epsilon
18.8093	18.9643	18.535	O14617	O14617;A0A2R8Y4J3;A0A087WYN6	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1
15.9278	15.9894	NaN	O14657	O14657	TOR1B_HUMAN	TOR1B	Torsin-1B
17.5012	17.7409	17.2311	O14672	O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10
17.9853	18.6846	15.954	O14744	O14744;H0YJX6;H0YJ77;G3V5T6	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5
15.1748	15.4423	NaN	O14745	O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1
16.6046	17.0192	NaN	O14773	O14773;A0A2R8YGD1;A0A2R8Y7I4;A0A2R8YD45;A0A2R8YDY1	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1
13.9074	16.8762	NaN	O14776	O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1
18.272	18.4009	19.0396	O14786	O14786;E9PEP6;H0Y4A0;Q5JWQ6;E7EX60;Q5T7F0;Q5JWQ4	NRP1_HUMAN	NRP1	Neuropilin-1
NaN	15.9944	NaN	O14791	O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1
17.3015	18.9277	16.9831	O14818	O14818;H0Y586	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7
16.6432	16.7781	17.0704	O14950;P19105	P19105;O14950;J3QRS3	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B
13.2798	14.5042	NaN	O14974	O14974;F8VW28;F8VZN8;H0YHL8	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A
17.2419	17.891	15.8561	O14980	O14980	XPO1_HUMAN	XPO1	Exportin-1
19.1761	19.1306	16.4472	O15031	O15031;A6QRH1;E2PU09	PLXB2_HUMAN	PLXNB2	Plexin-B2
17.2088	17.6924	16.5985	O15067	O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase
15.4053	17.1756	14.18	O15143	O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B
17.3077	18.7292	16.5379	O15144	O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2
17.8596	17.7481	13.7382	O15145	O15145;C9JZD1;F8VR50	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3
20.9897	20.7623	19.4916	O15230	O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5
19.8604	19.8039	19.4463	O15230;Q16787	Q16787;O15230;A0A0A0MSA0;A0A075B783	LAMA3_HUMAN;LAMA5_HUMAN	LAMA3;LAMA5	Laminin subunit alpha-5
23.0338	24.4341	20.6673	O15232	O15232	MATN3_HUMAN	MATN3	Matrilin-3
17.414	17.6418	15.0218	O15305	O15305;H3BRM0;H3BNY9;H3BT06;H3BV34;H3BV55;H3BR08;H3BPH4;H3BM92	PMM2_HUMAN	PMM2	Phosphomannomutase 2
15.3857	15.7555	16.9063	O15335	O15335	CHAD_HUMAN	CHAD	Chondroadherin
14.3846	16.8457	NaN	O15347	O15347;E7EQU1;E7ES08;E9PES6	HMGB3_HUMAN	HMGB3	High mobility group protein B3
NaN	15.5713	NaN	O15355	O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G
16.0375	17.5313	14.2435	O15371	O15371;A0A0D9SGB5	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D
14.2902	16.5222	14.4764	O15372	O15372;A0A087WZK9;B3KS98	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H
16.4248	17.061	NaN	O15427	O15427;J3QQS9;J3QSC3;J3KTI8;J3QQV2	MOT4_HUMAN	SLC16A3	Monocarboxylate transporter 4
17.0194	18.3281	NaN	O15460	O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2
17.8118	18.4661	NaN	O15511	O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5
17.1331	16.7601	NaN	O15533	O15533;A2AB90;A0A0G2JKZ1;A0A0G2JH37;A0A0A0MT98;A0A0A0MSV9	TPSN_HUMAN	TAPBP	Tapasin
15.3629	16.8846	15.3915	O43143	O43143	DHX15_HUMAN	DHX15	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15
19.1138	19.6202	18.5544	O43175	O43175;A0A286YFM8;A0A286YER3;A0A286YF34;A0A286YFB2;A0A286YFC8;A0A286YFA2;A0A286YFL2;A0A2C9F2M7;A0A286YF22	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase
NaN	15.3081	NaN	O43237	O43237;H3BUM4	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2
16.8924	18.4021	14.864	O43242	O43242;H0YGV8	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3
13.9126	16.5739	NaN	O43252	O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1
15.8579	16.7289	NaN	O43324	O43324;D6RBD7;H0YAL7;D6RCQ0;C9J1V9	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1
16.8052	17.6333	NaN	O43390	O43390;A0A6Q8PH35	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R
16.2227	17.715	NaN	O43396	O43396;K7EKG2;K7EPB7	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1
21.65	21.0324	20.7404	O43405	O43405;G3V4C4;A0A2U3TZE7;A0A2R8Y3T0;H0YJW4	COCH_HUMAN	COCH	Cochlin
17.7421	18.6764	NaN	O43488	O43488;Q8NHP1;H3BLU7;A0A499FJT0;H7C5H7	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2
NaN	15.0821	NaN	O43490	O43490	PROM1_HUMAN	PROM1	Prominin-1
20.3226	20.2775	19.2906	O43505	O43505	B4GA1_HUMAN	B4GAT1	Beta-1,4-glucuronyltransferase 1
15.7962	15.8082	NaN	O43556	O43556;A0A2R8Y416;A0A2R8Y5P8;A0A2R8Y2R1;A0A2R8Y5J3;A0A2R8Y5J6;A0A2R8Y621;A0A2R8Y5M2;A0A2R8YFA5;A0A2R8Y6S4;A0A2R8Y5R7;A0A2R8Y7J1;A0A2R8Y638;A0A2R8YGQ3;A0A2R8YE48;A0A2R8YCT2;A0A2R8YE99;A0A2R8Y652;A0A2R8Y5X0;A0A2R8Y5X5;A0A2R8Y6G8;A0A2R8Y6Y5;A0A2R8Y4X1;A0A2R8Y5Q3;B7Z2R4;A0A2R8Y628;A0A2R8Y7Q5;E9PEH6;A0A2R8Y4E3;A0A2R8Y6D4;A0A2R8YD68;A0A2R8Y4P8;A0A2R8YE16;A0A2R8Y504;A0A2R8Y5H7;A0A2R8Y448;A0A2R8Y821;A0A2R8YH84;A0A2R8Y6U6;A0A2R8YEY2;A0A2U3TZN7;C9JR67;A0A2R8Y6V3	SGCE_HUMAN	SGCE	Epsilon-sarcoglycan
15.5942	17.0727	NaN	O43592	O43592	XPOT_HUMAN	XPOT	Exportin-T
16.0821	17.2525	NaN	O43684	O43684;J3QT28	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3
17.5513	18.9414	16.9801	O43707	O43707;F5GXS2;H7C144	ACTN4_HUMAN	ACTN4	Alpha-actinin-4
19.3643	20.1283	18.3962	O43707;P12814	P12814;O43707;H7C5W8;H0YJ11;F5GXS2;H7C144;H9KV75;H0YJW3	ACTN1_HUMAN;ACTN4_HUMAN	ACTN1;ACTN4	Alpha-actinin-4
16.9142	18.0571	13.8487	O43747	O43747	AP1G1_HUMAN	AP1G1	AP-1 complex subunit gamma-1
15.5718	16.1936	14.4716	O43765	O43765;K7EMD6	SGTA_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha
16.953	18.3028	16.3583	O43776	O43776	SYNC_HUMAN	NARS1	Asparagine--tRNA ligase, cytoplasmic
15.2633	16.66	NaN	O43809	O43809;H3BV41;H3BND3	CPSF5_HUMAN	NUDT21	Cleavage and polyadenylation specificity factor subunit 5
16.6098	17.3664	NaN	O43818	O43818	U3IP2_HUMAN	RRP9	U3 small nucleolar RNA-interacting protein 2
16.9465	17.3381	13.8297	O60218	O60218	AK1BA_HUMAN	AKR1B10	Aldo-keto reductase family 1 member B10
NaN	14.9054	NaN	O60234;P60983	P60983;O60234;G3V4P8;M0QYJ8;M0QYG8;M0R1D2;M0R0C1	GMFB_HUMAN;GMFG_HUMAN	GMFB;GMFG	Glia maturation factor gamma
16.8282	16.8434	NaN	O60243	O60243	H6ST1_HUMAN	HS6ST1	Heparan-sulfate 6-O-sulfotransferase 1
17.6837	18.0969	16.4455	O60462	O60462	NRP2_HUMAN	NRP2	Neuropilin-2
13.6683	14.864	NaN	O60488	O60488;O95573	ACSL4_HUMAN	ACSL4	Long-chain-fatty-acid--CoA ligase 4
16.6552	17.8858	NaN	O60547	O60547	GMDS_HUMAN	GMDS	GDP-mannose 4,6 dehydratase
18.4147	19.2525	19.8593	O60568	O60568;H7C2V1	PLOD3_HUMAN	PLOD3	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3
17.8219	18.6131	14.8332	O60610	O60610;A0A2R8Y5N1;A0A0G2JH68;A0A140T8Z0;H9KV28	DIAP1_HUMAN	DIAPH1	Protein diaphanous homolog 1
NaN	15.3042	NaN	O60674	O60674;A0A1B0GTR9	JAK2_HUMAN	JAK2	Tyrosine-protein kinase JAK2
18.9898	18.7058	NaN	O60687	O60687;A0A1W2PRB1;A0A1W2PR88	SRPX2_HUMAN	SRPX2	Sushi repeat-containing protein SRPX2
19.5747	20.7083	17.7897	O60701	O60701;E7ETF4;D6RHF4;E7ER95;E9PBD2;E7ER83;E7EV97	UGDH_HUMAN	UGDH	UDP-glucose 6-dehydrogenase
17.7173	18.6713	NaN	O60749	O60749;D6RC15	SNX2_HUMAN	SNX2	Sorting nexin-2
17.2263	18.4109	14.0572	O60749;Q13596	O60749;Q13596;H0YK42	SNX1_HUMAN;SNX2_HUMAN	SNX1;SNX2	Sorting nexin-2
18.2023	19.5087	17.2782	O60763	O60763	USO1_HUMAN	USO1	General vesicular transport factor p115
24.0977	24.1731	23.1613	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q93079;Q99877;Q99879;Q99880	Q99880;Q93079;P06899;P33778;Q99879;O60814;Q99877;Q16778;P57053;Q5QNW6;P23527;P62807;P58876;U3KQK0	H2B1B_HUMAN;H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1J_HUMAN;H2B1K_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B1O_HUMAN;H2B2E_HUMAN;H2B2F_HUMAN;H2BFS_HUMAN	H2BC11;H2BC12;H2BC13;H2BC14;H2BC15;H2BC17;H2BC18;H2BC21;H2BC3;H2BC4;H2BC5;H2BC9;H2BS1	Histone H2B type 1-K
22.9337	23.1947	21.7347	O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880	Q99880;Q93079;Q99879;O60814;Q99877;P57053;Q5QNW6;P62807;P58876;U3KQK0	H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1K_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2F_HUMAN;H2BFS_HUMAN	H2BC12;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9;H2BS1	Histone H2B type 1-K
15.278	16.5789	16.3796	O60841	O60841;A0A087WUT6	IF2P_HUMAN	EIF5B	Eukaryotic translation initiation factor 5B
16.4177	17.072	NaN	O60884	O60884;A0A087WT48	DNJA2_HUMAN	DNAJA2	DnaJ homolog subfamily A member 2
NaN	13.2483	NaN	O60885;Q15059	Q15059;O60885;M0QZD9	BRD3_HUMAN;BRD4_HUMAN	BRD3;BRD4	Bromodomain-containing protein 4
17.2997	NaN	19.277	O60888	O60888;C9IZG4	CUTA_HUMAN	CUTA	Protein CutA
17.8775	17.7756	15.6803	O60911	O60911	CATL2_HUMAN	CTSV	Cathepsin L2
NaN	13.221	NaN	O75044;P0DJJ0;P0DMP2	O75044;P0DJJ0;P0DMP2;A0A075B7B5;B7ZM87;A0A286YEY3	SRG2B_HUMAN;SRG2C_HUMAN;SRGP2_HUMAN	SRGAP2;SRGAP2B;SRGAP2C	SLIT-ROBO Rho GTPase-activating protein 2
20.0139	20.4818	18.1245	O75083	O75083;D6RD66	WDR1_HUMAN	WDR1	WD repeat-containing protein 1
15.7308	16.4756	NaN	O75096	O75096	LRP4_HUMAN	LRP4	Low-density lipoprotein receptor-related protein 4
17.8643	18.6238	15.4398	O75116	O75116;E9PF63;Q14DU5	ROCK2_HUMAN	ROCK2	Rho-associated protein kinase 2
16.6546	16.667	NaN	O75131	O75131;H0YB26	CPNE3_HUMAN	CPNE3	Copine-3
18.8737	18.0233	19.7284	O75144	O75144;A0A087X1L8;K4DIA0	ICOSL_HUMAN	ICOSLG	ICOS ligand
19.9403	19.6316	NaN	O75179	Q8IWZ3;O75179;A0A1W2PQ15;E9PDP5;H0YM23	ANR17_HUMAN	ANKRD17	Ankyrin repeat domain-containing protein 17
14.7332	16.3001	NaN	O75326	O75326;F5GYX3	SEM7A_HUMAN	SEMA7A	Semaphorin-7A
16.2019	17.585	13.7794	O75351;Q6PIW4;Q9UN37	Q9UN37;O75351;Q6PIW4;I3L4J1	FIGL1_HUMAN;VPS4A_HUMAN;VPS4B_HUMAN	FIGNL1;VPS4A;VPS4B	Vacuolar protein sorting-associated protein 4B
21.5502	21.2219	18.2446	O75367	O75367;B4DJC3	H2AY_HUMAN	MACROH2A1	Core histone macro-H2A.1
22.2948	21.1073	20.859	O75367;Q9P0M6	Q9P0M6;O75367;D6RCF2	H2AW_HUMAN;H2AY_HUMAN	MACROH2A1;MACROH2A2	Core histone macro-H2A.1
18.6848	19.6639	18.7907	O75369	O75369;E7EN95	FLNB_HUMAN	FLNB	Filamin-B
